ward,precinct,total,Michael ''Mike'' Stuttley,Michael ''Mike'' Stuttley Percent,Alzetta L. Bozeman-Martin,Alzetta L. Bozeman-Martin Percent,Jack L. Genius,Jack L. Genius Percent,Marc M. Hamilton,Marc M. Hamilton Percent,Carl B. Boyd,Carl B. Boyd Percent,precinct_id
9,42,81,46,56.79,4,4.94,6,7.41,8,9.88,17,20.99,09042
9,43,102,30,29.41,12,11.76,12,11.76,8,7.84,40,39.22,09043
9,44,106,41,38.68,10,9.43,7,6.6,17,16.04,31,29.25,09044
9,45,186,79,42.47,26,13.98,5,2.69,23,12.37,53,28.49,09045
9,46,131,47,35.88,21,16.03,8,6.11,18,13.74,37,28.24,09046
9,48,210,89,42.38,44,20.95,9,4.29,22,10.48,46,21.9,09048
9,49,100,31,31.0,16,16.0,3,3.0,14,14.0,36,36.0,09049
9,50,150,66,44.0,19,12.67,7,4.67,17,11.33,41,27.33,09050
9,51,107,39,36.45,19,17.76,7,6.54,11,10.28,31,28.97,09051
18,24,213,62,29.11,42,19.72,22,10.33,21,9.86,66,30.99,18024
18,25,69,30,43.48,15,21.74,3,4.35,10,14.49,11,15.94,18025
18,45,197,86,43.65,30,15.23,8,4.06,19,9.64,54,27.41,18045
18,46,193,57,29.53,43,22.28,9,4.66,21,10.88,63,32.64,18046
19,43,16,2,12.5,2,12.5,1,6.25,3,18.75,8,50.0,19043
19,50,3,1,,2,,0,,0,,0,,19050
19,60,187,42,22.46,47,25.13,8,4.28,34,18.18,56,29.95,19060
21,1,263,79,30.04,70,26.62,21,7.98,35,13.31,58,22.05,21001
21,3,162,76,46.91,19,11.73,8,4.94,24,14.81,35,21.6,21003
21,4,185,99,53.51,21,11.35,7,3.78,14,7.57,44,23.78,21004
21,5,153,54,35.29,27,17.65,10,6.54,18,11.76,44,28.76,21005
21,6,133,29,21.8,19,14.29,7,5.26,37,27.82,41,30.83,21006
21,7,151,54,35.76,26,17.22,11,7.28,13,8.61,47,31.13,21007
21,8,206,66,32.04,46,22.33,15,7.28,38,18.45,41,19.9,21008
21,9,184,58,31.52,28,15.22,12,6.52,31,16.85,55,29.89,21009
21,10,126,52,41.27,17,13.49,7,5.56,24,19.05,26,20.63,21010
21,11,196,71,36.22,32,16.33,14,7.14,13,6.63,66,33.67,21011
21,12,169,69,40.83,27,15.98,2,1.18,23,13.61,48,28.4,21012
21,13,97,24,24.74,20,20.62,4,4.12,11,11.34,38,39.18,21013
21,14,146,71,48.63,18,12.33,8,5.48,17,11.64,32,21.92,21014
21,17,158,58,36.71,29,18.35,9,5.7,21,13.29,41,25.95,21017
21,18,157,81,51.59,25,15.92,3,1.91,10,6.37,38,24.2,21018
21,19,125,29,23.2,21,16.8,10,8.0,37,29.6,28,22.4,21019
21,20,72,16,22.22,14,19.44,3,4.17,17,23.61,22,30.56,21020
21,21,185,72,38.92,48,25.95,6,3.24,30,16.22,29,15.68,21021
21,22,174,59,33.91,51,29.31,9,5.17,22,12.64,33,18.97,21022
21,23,136,60,44.12,21,15.44,7,5.15,7,5.15,41,30.15,21023
21,24,171,63,36.84,28,16.37,1,0.58,34,19.88,45,26.32,21024
21,25,144,60,41.67,27,18.75,6,4.17,10,6.94,41,28.47,21025
21,26,125,60,48.0,16,12.8,11,8.8,6,4.8,32,25.6,21026
21,27,209,77,36.84,31,14.83,17,8.13,17,8.13,67,32.06,21027
21,28,138,43,31.16,19,13.77,5,3.62,26,18.84,45,32.61,21028
21,30,131,43,32.82,22,16.79,11,8.4,17,12.98,38,29.01,21030
21,31,204,75,36.76,39,19.12,6,2.94,24,11.76,60,29.41,21031
21,33,161,55,34.16,34,21.12,5,3.11,34,21.12,33,20.5,21033
21,35,80,27,33.75,13,16.25,9,11.25,6,7.5,25,31.25,21035
21,38,161,80,49.69,19,11.8,10,6.21,11,6.83,41,25.47,21038
21,39,5,0,,1,,0,,0,,4,,21039
21,40,184,46,25.0,42,22.83,8,4.35,19,10.33,69,37.5,21040
21,42,163,58,35.58,26,15.95,10,6.13,21,12.88,48,29.45,21042
21,43,134,45,33.58,13,9.7,5,3.73,26,19.4,45,33.58,21043
21,44,156,39,25.0,24,15.38,9,5.77,37,23.72,47,30.13,21044
21,45,133,42,31.58,20,15.04,2,1.5,29,21.8,40,30.08,21045
21,46,100,42,42.0,13,13.0,3,3.0,18,18.0,24,24.0,21046
21,47,214,69,32.24,41,19.16,12,5.61,32,14.95,60,28.04,21047
21,48,215,70,32.56,34,15.81,12,5.58,40,18.6,59,27.44,21048
21,49,221,55,24.89,40,18.1,8,3.62,39,17.65,79,35.75,21049
21,50,140,47,33.57,21,15.0,3,2.14,24,17.14,45,32.14,21050
21,51,180,60,33.33,32,17.78,11,6.11,33,18.33,44,24.44,21051
21,53,111,43,38.74,12,10.81,4,3.6,15,13.51,37,33.33,21053
21,54,179,73,40.78,19,10.61,6,3.35,23,12.85,58,32.4,21054
21,55,182,60,32.97,31,17.03,12,6.59,15,8.24,64,35.16,21055
21,56,121,28,23.14,30,24.79,6,4.96,16,13.22,41,33.88,21056
21,58,130,47,36.15,27,20.77,10,7.69,8,6.15,38,29.23,21058
21,59,213,98,46.01,33,15.49,7,3.29,32,15.02,43,20.19,21059
21,60,176,53,30.11,29,16.48,11,6.25,34,19.32,49,27.84,21060
21,61,154,43,27.92,21,13.64,6,3.9,30,19.48,54,35.06,21061
21,63,164,79,48.17,25,15.24,7,4.27,18,10.98,35,21.34,21063
21,64,93,27,29.03,16,17.2,6,6.45,15,16.13,29,31.18,21064
21,66,121,35,28.93,20,16.53,5,4.13,23,19.01,38,31.4,21066
21,68,140,49,35.0,25,17.86,9,6.43,15,10.71,42,30.0,21068
21,71,111,33,29.73,27,24.32,11,9.91,11,9.91,29,26.13,21071
34,1,309,136,44.01,42,13.59,16,5.18,31,10.03,84,27.18,34001
34,2,215,117,54.42,17,7.91,10,4.65,20,9.3,51,23.72,34002
34,3,225,105,46.67,30,13.33,7,3.11,17,7.56,66,29.33,34003
34,4,176,118,67.05,14,7.95,10,5.68,7,3.98,27,15.34,34004
34,5,183,89,48.63,25,13.66,4,2.19,9,4.92,56,30.6,34005
34,6,118,73,61.86,13,11.02,3,2.54,9,7.63,20,16.95,34006
34,7,284,158,55.63,30,10.56,8,2.82,26,9.15,62,21.83,34007
34,8,209,87,41.63,25,11.96,7,3.35,15,7.18,75,35.89,34008
34,9,139,66,47.48,23,16.55,7,5.04,7,5.04,36,25.9,34009
34,10,198,96,48.48,17,8.59,6,3.03,24,12.12,55,27.78,34010
34,11,147,72,48.98,22,14.97,6,4.08,12,8.16,35,23.81,34011
34,12,202,82,40.59,18,8.91,14,6.93,30,14.85,58,28.71,34012
34,13,231,109,47.19,38,16.45,10,4.33,23,9.96,51,22.08,34013
34,14,161,96,59.63,17,10.56,6,3.73,6,3.73,36,22.36,34014
34,15,141,85,60.28,12,8.51,9,6.38,8,5.67,27,19.15,34015
34,16,113,43,38.05,15,13.27,8,7.08,11,9.73,36,31.86,34016
34,17,161,62,38.51,23,14.29,9,5.59,9,5.59,58,36.02,34017
34,18,183,116,63.39,13,7.1,15,8.2,8,4.37,31,16.94,34018
34,20,231,107,46.32,31,13.42,9,3.9,22,9.52,62,26.84,34020
34,21,251,127,50.6,26,10.36,14,5.58,18,7.17,66,26.29,34021
34,22,241,134,55.6,31,12.86,9,3.73,17,7.05,50,20.75,34022
34,23,161,76,47.2,34,21.12,5,3.11,13,8.07,33,20.5,34023
34,24,180,80,44.44,29,16.11,9,5.0,19,10.56,43,23.89,34024
34,25,212,86,40.57,24,11.32,11,5.19,26,12.26,65,30.66,34025
34,26,129,90,69.77,7,5.43,6,4.65,8,6.2,18,13.95,34026
34,27,147,74,50.34,15,10.2,7,4.76,14,9.52,37,25.17,34027
34,28,121,84,69.42,4,3.31,4,3.31,9,7.44,20,16.53,34028
34,29,189,91,48.15,19,10.05,7,3.7,14,7.41,58,30.69,34029
34,30,246,106,43.09,39,15.85,11,4.47,20,8.13,70,28.46,34030
34,31,81,32,39.51,7,8.64,9,11.11,4,4.94,29,35.8,34031
34,32,263,166,63.12,15,5.7,5,1.9,22,8.37,55,20.91,34032
34,34,239,104,43.51,30,12.55,9,3.77,31,12.97,65,27.2,34034
34,35,227,150,66.08,17,7.49,11,4.85,9,3.96,40,17.62,34035
34,36,224,107,47.77,23,10.27,13,5.8,19,8.48,62,27.68,34036
34,37,162,91,56.17,20,12.35,6,3.7,9,5.56,36,22.22,34037
34,38,136,83,61.03,14,10.29,6,4.41,15,11.03,18,13.24,34038
34,39,118,68,57.63,23,19.49,3,2.54,7,5.93,17,14.41,34039
34,40,211,153,72.51,19,9.0,7,3.32,8,3.79,24,11.37,34040
34,41,134,70,52.24,15,11.19,3,2.24,8,5.97,38,28.36,34041
34,42,218,100,45.87,27,12.39,10,4.59,14,6.42,67,30.73,34042
34,43,255,103,40.39,45,17.65,13,5.1,18,7.06,76,29.8,34043
34,44,259,137,52.9,30,11.58,8,3.09,17,6.56,67,25.87,34044
34,45,158,61,38.61,32,20.25,8,5.06,13,8.23,44,27.85,34045
34,46,162,69,42.59,15,9.26,8,4.94,18,11.11,52,32.1,34046
34,47,110,60,54.55,16,14.55,3,2.73,9,8.18,22,20.0,34047
34,48,259,132,50.97,34,13.13,8,3.09,26,10.04,59,22.78,34048
34,49,277,94,33.94,48,17.33,14,5.05,25,9.03,96,34.66,34049
34,50,179,75,41.9,22,12.29,7,3.91,18,10.06,57,31.84,34050
34,51,282,202,71.63,21,7.45,6,2.13,9,3.19,44,15.6,34051
34,52,129,72,55.81,10,7.75,3,2.33,7,5.43,37,28.68,34052
34,53,140,60,42.86,24,17.14,3,2.14,17,12.14,36,25.71,34053
34,54,161,87,54.04,23,14.29,5,3.11,8,4.97,38,23.6,34054
34,55,214,77,35.98,50,23.36,9,4.21,16,7.48,62,28.97,34055
34,56,81,34,41.98,6,7.41,4,4.94,8,9.88,29,35.8,34056
34,57,171,77,45.03,26,15.2,11,6.43,20,11.7,37,21.64,34057
34,58,195,83,42.56,29,14.87,8,4.1,23,11.79,52,26.67,34058
34,59,173,92,53.18,19,10.98,6,3.47,10,5.78,46,26.59,34059
34,60,185,70,37.84,26,14.05,6,3.24,37,20.0,46,24.86,34060
