ward,precinct,total,Samuel T. Bunville,Samuel T. Bunville Percent,Keith B. Kysel,Keith B. Kysel Percent,Esther Golar,Esther Golar Percent,Darryl Smith,Darryl Smith Percent,precinct_id
16,30,71,6,8.45,4,5.63,34,47.89,27,38.03,16030
16,31,140,14,10.0,5,3.57,69,49.29,52,37.14,16031
16,33,95,21,22.11,4,4.21,28,29.47,42,44.21,16033
16,34,113,9,7.96,6,5.31,17,15.04,81,71.68,16034
16,36,118,11,9.32,2,1.69,24,20.34,81,68.64,16036
16,37,72,6,8.33,4,5.56,16,22.22,46,63.89,16037
16,38,135,13,9.63,3,2.22,83,61.48,36,26.67,16038
16,40,145,9,6.21,7,4.83,38,26.21,91,62.76,16040
16,43,146,20,13.7,5,3.42,26,17.81,95,65.07,16043
16,44,97,22,22.68,6,6.19,27,27.84,42,43.3,16044
16,45,73,9,,0,,17,,47,,16045
16,46,30,6,20.0,1,3.33,5,16.67,18,60.0,16046
17,13,18,4,,0,,1,,13,,17013
17,14,25,5,20.0,1,4.0,4,16.0,15,60.0,17014
20,8,46,10,21.74,3,6.52,28,60.87,5,10.87,20008
20,12,5,1,,0,,0,,4,,20012
20,13,114,30,26.32,10,8.77,33,28.95,41,35.96,20013
20,15,93,22,23.66,10,10.75,48,51.61,13,13.98,20015
20,19,98,26,26.53,8,8.16,22,22.45,42,42.86,20019
20,20,77,13,16.88,4,5.19,29,37.66,31,40.26,20020
20,25,15,6,,0,,2,,7,,20025
20,39,107,45,42.06,3,2.8,26,24.3,33,30.84,20039
20,40,95,16,16.84,1,1.05,31,32.63,47,49.47,20040
20,41,35,8,22.86,3,8.57,21,60.0,3,8.57,20041
20,43,29,13,44.83,1,3.45,3,10.34,12,41.38,20043
20,44,186,27,14.52,7,3.76,100,53.76,52,27.96,20044
20,45,92,11,11.96,3,3.26,26,28.26,52,56.52,20045
20,48,56,14,25.0,2,3.57,13,23.21,27,48.21,20048
20,50,76,32,42.11,2,2.63,19,25.0,23,30.26,20050
