ward,precinct,total,Bobby L. Rush,Bobby L. Rush Percent,Phillip Jackson,Phillip Jackson Percent,precinct_id
15,2,122,115,94.26,7,5.74,15002
15,3,95,87,91.58,8,8.42,15003
15,4,121,110,90.91,11,9.09,15004
15,5,98,90,91.84,8,8.16,15005
15,6,100,90,90.0,10,10.0,15006
15,7,111,104,93.69,7,6.31,15007
15,8,155,142,91.61,13,8.39,15008
15,9,124,109,87.9,15,12.1,15009
15,11,115,96,83.48,19,16.52,15011
15,12,66,64,96.97,2,3.03,15012
15,17,125,110,88.0,15,12.0,15017
15,18,90,81,90.0,9,10.0,15018
15,19,128,121,94.53,7,5.47,15019
15,20,124,114,91.94,10,8.06,15020
15,21,140,134,95.71,6,4.29,15021
15,22,126,116,92.06,10,7.94,15022
15,23,88,78,88.64,10,11.36,15023
15,24,124,107,86.29,17,13.71,15024
15,26,107,96,89.72,11,10.28,15026
15,27,93,84,90.32,9,9.68,15027
15,29,60,53,88.33,7,11.67,15029
15,30,107,101,94.39,6,5.61,15030
15,31,121,109,90.08,12,9.92,15031
15,33,84,75,89.29,9,10.71,15033
15,34,103,91,88.35,12,11.65,15034
15,35,145,132,91.03,13,8.97,15035
15,36,92,89,96.74,3,3.26,15036
15,37,107,94,87.85,13,12.15,15037
15,38,105,95,90.48,10,9.52,15038
15,39,126,116,92.06,10,7.94,15039
15,40,134,125,93.28,9,6.72,15040
15,41,152,140,92.11,12,7.89,15041
15,42,69,65,94.2,4,5.8,15042
15,43,105,97,92.38,8,7.62,15043
15,45,56,52,92.86,4,7.14,15045
15,46,95,91,95.79,4,4.21,15046
15,47,140,131,93.57,9,6.43,15047
15,48,88,71,80.68,17,19.32,15048
15,49,9,8,88.89,1,11.11,15049
15,50,101,86,85.15,15,14.85,15050
15,51,88,81,92.05,7,7.95,15051
15,52,80,75,93.75,5,6.25,15052
16,2,89,83,93.26,6,6.74,16002
16,3,129,117,90.7,12,9.3,16003
16,5,132,122,92.42,10,7.58,16005
16,8,109,90,82.57,19,17.43,16008
16,9,183,159,86.89,24,13.11,16009
16,10,93,85,91.4,8,8.6,16010
16,12,86,77,89.53,9,10.47,16012
16,14,129,122,94.57,7,5.43,16014
16,19,97,90,92.78,7,7.22,16019
16,25,104,97,93.27,7,6.73,16025
16,26,130,121,93.08,9,6.92,16026
16,27,197,176,89.34,21,10.66,16027
16,28,162,148,91.36,14,8.64,16028
16,31,156,148,94.87,8,5.13,16031
16,34,120,114,95.0,6,5.0,16034
16,36,130,120,92.31,10,7.69,16036
16,37,79,71,89.87,8,10.13,16037
16,38,136,131,96.32,5,3.68,16038
16,40,155,147,94.84,8,5.16,16040
16,41,71,65,91.55,6,8.45,16041
16,43,157,135,85.99,22,14.01,16043
16,44,104,84,80.77,20,19.23,16044
16,45,85,76,89.41,9,10.59,16045
16,46,40,37,92.5,3,7.5,16046
17,1,99,94,94.95,5,5.05,17001
17,2,125,117,93.6,8,6.4,17002
17,3,119,107,89.92,12,10.08,17003
17,4,226,207,91.59,19,8.41,17004
17,5,131,124,94.66,7,5.34,17005
17,6,120,108,90.0,12,10.0,17006
17,7,188,175,93.09,13,6.91,17007
17,8,153,139,90.85,14,9.15,17008
17,9,115,104,90.43,11,9.57,17009
17,10,158,138,87.34,20,12.66,17010
17,11,156,141,90.38,15,9.62,17011
17,12,194,171,88.14,23,11.86,17012
17,13,107,94,87.85,13,12.15,17013
17,14,140,127,90.71,13,9.29,17014
17,15,132,117,88.64,15,11.36,17015
17,16,132,120,90.91,12,9.09,17016
17,17,96,90,93.75,6,6.25,17017
17,18,177,168,94.92,9,5.08,17018
17,19,53,50,94.34,3,5.66,17019
17,20,133,123,92.48,10,7.52,17020
17,21,228,188,82.46,40,17.54,17021
17,22,163,149,91.41,14,8.59,17022
17,23,122,120,98.36,2,1.64,17023
17,24,165,148,89.7,17,10.3,17024
17,25,89,83,93.26,6,6.74,17025
17,26,193,181,93.78,12,6.22,17026
17,27,212,192,90.57,20,9.43,17027
17,28,123,114,92.68,9,7.32,17028
17,29,172,148,86.05,24,13.95,17029
17,30,157,143,91.08,14,8.92,17030
17,31,149,139,93.29,10,6.71,17031
17,32,159,143,89.94,16,10.06,17032
17,33,128,108,84.38,20,15.63,17033
17,34,120,104,86.67,16,13.33,17034
17,35,93,87,93.55,6,6.45,17035
17,36,95,88,92.63,7,7.37,17036
17,37,121,108,89.26,13,10.74,17037
17,38,148,137,92.57,11,7.43,17038
17,39,106,94,88.68,12,11.32,17039
17,40,115,106,92.17,9,7.83,17040
17,41,122,111,90.98,11,9.02,17041
17,42,116,108,93.1,8,6.9,17042
17,43,118,109,92.37,9,7.63,17043
17,44,104,90,86.54,14,13.46,17044
17,45,83,71,85.54,12,14.46,17045
17,46,157,147,93.63,10,6.37,17046
17,47,86,76,88.37,10,11.63,17047
17,48,165,147,89.09,18,10.91,17048
17,49,132,126,95.45,6,4.55,17049
17,50,130,120,92.31,10,7.69,17050
17,51,169,140,82.84,29,17.16,17051
17,52,207,187,90.34,20,9.66,17052
17,53,124,110,88.71,14,11.29,17053
17,54,184,151,82.07,33,17.93,17054
17,55,143,130,90.91,13,9.09,17055
17,56,147,138,93.88,9,6.12,17056
17,57,170,155,91.18,15,8.82,17057
17,58,110,104,94.55,6,5.45,17058
17,59,64,59,92.19,5,7.81,17059
17,60,211,191,90.52,20,9.48,17060
17,61,129,116,89.92,13,10.08,17061
17,62,129,121,93.8,8,6.2,17062
17,63,90,83,92.22,7,7.78,17063
17,64,96,85,88.54,11,11.46,17064
18,1,98,75,76.53,23,23.47,18001
18,2,178,146,82.02,32,17.98,18002
18,4,228,189,82.89,39,17.11,18004
18,5,182,165,90.66,17,9.34,18005
18,7,136,99,72.79,37,27.21,18007
18,8,75,65,86.67,10,13.33,18008
18,9,229,187,81.66,42,18.34,18009
18,10,286,246,86.01,40,13.99,18010
18,11,172,126,73.26,46,26.74,18011
18,12,243,204,83.95,39,16.05,18012
18,13,214,177,82.71,37,17.29,18013
18,14,243,212,87.24,31,12.76,18014
18,16,226,201,88.94,25,11.06,18016
18,17,154,130,84.42,24,15.58,18017
18,18,239,206,86.19,33,13.81,18018
18,19,282,258,91.49,24,8.51,18019
18,20,223,203,91.03,20,8.97,18020
18,21,279,216,77.42,63,22.58,18021
18,22,218,199,91.28,19,8.72,18022
18,23,174,144,82.76,30,17.24,18023
18,24,257,235,91.44,22,8.56,18024
18,25,81,72,88.89,9,11.11,18025
18,26,172,147,85.47,25,14.53,18026
18,27,150,133,88.67,17,11.33,18027
18,29,188,146,77.66,42,22.34,18029
18,30,138,128,92.75,10,7.25,18030
18,31,151,122,80.79,29,19.21,18031
18,32,264,244,92.42,20,7.58,18032
18,33,158,147,93.04,11,6.96,18033
18,34,286,227,79.37,59,20.63,18034
18,35,235,200,85.11,35,14.89,18035
18,36,136,107,78.68,29,21.32,18036
18,37,140,118,84.29,22,15.71,18037
18,38,254,224,88.19,30,11.81,18038
18,39,148,132,89.19,16,10.81,18039
18,40,249,211,84.74,38,15.26,18040
18,42,99,79,79.8,20,20.2,18042
18,44,99,81,81.82,18,18.18,18044
18,45,220,191,86.82,29,13.18,18045
18,46,225,206,91.56,19,8.44,18046
18,47,139,129,92.81,10,7.19,18047
18,49,132,115,87.12,17,12.88,18049
18,50,183,167,91.26,16,8.74,18050
18,51,250,226,90.4,24,9.6,18051
18,52,221,199,90.05,22,9.95,18052
18,53,145,130,89.66,15,10.34,18053
18,54,210,182,86.67,28,13.33,18054
18,58,166,150,90.36,16,9.64,18058
18,59,119,108,90.76,11,9.24,18059
18,60,236,223,94.49,13,5.51,18060
18,61,187,172,91.98,15,8.02,18061
19,28,268,220,82.09,48,17.91,19028
19,43,276,250,90.58,26,9.42,19043
19,48,179,157,87.71,22,12.29,19048
19,50,240,209,87.08,31,12.92,19050
19,60,231,199,86.15,32,13.85,19060
19,66,351,314,89.46,37,10.54,19066
20,1,142,130,91.55,12,8.45,20001
20,2,132,120,90.91,12,9.09,20002
20,3,122,112,91.8,10,8.2,20003
20,5,94,89,94.68,5,5.32,20005
20,6,142,117,82.39,25,17.61,20006
20,7,78,66,84.62,12,15.38,20007
20,9,148,126,85.14,22,14.86,20009
20,10,125,104,83.2,21,16.8,20010
20,11,93,83,89.25,10,10.75,20011
20,12,98,88,89.8,10,10.2,20012
20,13,134,122,91.04,12,8.96,20013
20,14,237,208,87.76,29,12.24,20014
20,16,190,158,83.16,32,16.84,20016
20,17,112,96,85.71,16,14.29,20017
20,18,144,128,88.89,16,11.11,20018
20,19,110,104,94.55,6,5.45,20019
20,20,95,89,93.68,6,6.32,20020
20,22,168,146,86.9,22,13.1,20022
20,23,195,181,92.82,14,7.18,20023
20,24,158,137,86.71,21,13.29,20024
20,25,107,94,87.85,13,12.15,20025
20,26,181,162,89.5,19,10.5,20026
20,28,171,148,86.55,23,13.45,20028
20,29,137,120,87.59,17,12.41,20029
20,30,161,148,91.93,13,8.07,20030
20,32,135,118,87.41,17,12.59,20032
20,33,165,147,89.09,18,10.91,20033
20,34,183,151,82.51,32,17.49,20034
20,35,80,73,91.25,7,8.75,20035
20,36,130,113,86.92,17,13.08,20036
20,37,164,149,90.85,15,9.15,20037
20,38,31,28,90.32,3,9.68,20038
20,39,132,121,91.67,11,8.33,20039
20,42,110,98,89.09,12,10.91,20042
20,43,41,37,90.24,4,9.76,20043
20,44,220,196,89.09,24,10.91,20044
20,46,93,83,89.25,10,10.75,20046
20,47,113,104,92.04,9,7.96,20047
20,49,122,116,95.08,6,4.92,20049
20,50,84,77,91.67,7,8.33,20050
21,1,302,263,87.09,39,12.91,21001
21,2,193,168,87.05,25,12.95,21002
21,3,190,173,91.05,17,8.95,21003
21,4,208,188,90.38,20,9.62,21004
21,5,180,164,91.11,16,8.89,21005
21,6,158,144,91.14,14,8.86,21006
21,7,194,172,88.66,22,11.34,21007
21,8,233,200,85.84,33,14.16,21008
21,9,216,194,89.81,22,10.19,21009
21,10,145,129,88.97,16,11.03,21010
21,11,218,180,82.57,38,17.43,21011
21,12,212,179,84.43,33,15.57,21012
21,13,115,100,86.96,15,13.04,21013
21,14,180,162,90.0,18,10.0,21014
21,15,174,160,91.95,14,8.05,21015
21,16,192,176,91.67,16,8.33,21016
21,17,185,170,91.89,15,8.11,21017
21,18,201,178,88.56,23,11.44,21018
21,19,158,144,91.14,14,8.86,21019
21,20,110,93,84.55,17,15.45,21020
21,21,232,209,90.09,23,9.91,21021
21,22,217,192,88.48,25,11.52,21022
21,23,176,150,85.23,26,14.77,21023
21,24,209,189,90.43,20,9.57,21024
21,25,173,146,84.39,27,15.61,21025
21,26,149,134,89.93,15,10.07,21026
21,27,243,213,87.65,30,12.35,21027
21,28,167,157,94.01,10,5.99,21028
21,29,107,100,93.46,7,6.54,21029
21,30,155,139,89.68,16,10.32,21030
21,31,250,217,86.8,33,13.2,21031
21,32,177,153,86.44,24,13.56,21032
21,33,186,164,88.17,22,11.83,21033
21,34,252,225,89.29,27,10.71,21034
21,35,121,108,89.26,13,10.74,21035
21,36,172,150,87.21,22,12.79,21036
21,37,139,121,87.05,18,12.95,21037
21,38,186,168,90.32,18,9.68,21038
21,39,169,156,92.31,13,7.69,21039
21,40,210,180,85.71,30,14.29,21040
21,41,145,136,93.79,9,6.21,21041
21,42,202,184,91.09,18,8.91,21042
21,43,159,144,90.57,15,9.43,21043
21,44,177,151,85.31,26,14.69,21044
21,45,156,143,91.67,13,8.33,21045
21,46,115,105,91.3,10,8.7,21046
21,47,262,222,84.73,40,15.27,21047
21,48,248,223,89.92,25,10.08,21048
21,49,266,217,81.58,49,18.42,21049
21,50,191,168,87.96,23,12.04,21050
21,51,232,208,89.66,24,10.34,21051
21,52,220,202,91.82,18,8.18,21052
21,53,138,125,90.58,13,9.42,21053
21,54,197,151,76.65,46,23.35,21054
21,55,211,183,86.73,28,13.27,21055
21,56,156,144,92.31,12,7.69,21056
21,57,170,157,92.35,13,7.65,21057
21,58,157,141,89.81,16,10.19,21058
21,59,262,222,84.73,40,15.27,21059
21,60,218,189,86.7,29,13.3,21060
21,61,193,175,90.67,18,9.33,21061
21,62,210,185,88.1,25,11.9,21062
21,63,191,171,89.53,20,10.47,21063
21,64,110,95,86.36,15,13.64,21064
21,65,299,240,80.27,59,19.73,21065
21,66,145,132,91.03,13,8.97,21066
21,67,213,187,87.79,26,12.21,21067
21,68,192,170,88.54,22,11.46,21068
21,69,157,136,86.62,21,13.38,21069
21,70,201,183,91.04,18,8.96,21070
21,71,157,138,87.9,19,12.1,21071
21,72,178,165,92.7,13,7.3,21072
21,73,233,216,92.7,17,7.3,21073
21,74,71,65,91.55,6,8.45,21074
34,8,230,199,86.52,31,13.48,34008
34,13,257,230,89.49,27,10.51,34013
34,19,59,46,77.97,13,22.03,34019
34,33,84,78,92.86,6,7.14,34033
34,45,193,182,94.3,11,5.7,34045
34,47,123,109,88.62,14,11.38,34047
34,51,291,259,89.0,32,11.0,34051
34,55,232,201,86.64,31,13.36,34055
34,57,199,180,90.45,19,9.55,34057
34,58,223,195,87.44,28,12.56,34058
34,60,203,176,86.7,27,13.3,34060
