ward,precinct,total,Carl Anthony Walker,Carl Anthony Walker Percent,Bonita Coleman-John,Bonita Coleman-John Percent,precinct_id
7,16,126,86,68.25,40,31.75,07016
7,17,100,59,59.0,41,41.0,07017
7,18,105,59,56.19,46,43.81,07018
7,19,223,135,60.54,88,39.46,07019
7,20,71,39,54.93,32,45.07,07020
7,21,139,97,69.78,42,30.22,07021
7,22,114,88,77.19,26,22.81,07022
7,23,98,51,52.04,47,47.96,07023
7,24,152,104,68.42,48,31.58,07024
7,25,185,130,70.27,55,29.73,07025
7,26,190,122,64.21,68,35.79,07026
7,27,232,130,56.03,102,43.97,07027
7,28,141,82,58.16,59,41.84,07028
7,29,109,65,59.63,44,40.37,07029
7,30,186,112,60.22,74,39.78,07030
7,31,176,91,51.7,85,48.3,07031
7,32,120,75,62.5,45,37.5,07032
7,33,141,86,60.99,55,39.01,07033
7,34,132,97,73.48,35,26.52,07034
7,36,200,128,64.0,72,36.0,07036
7,37,64,41,64.06,23,35.94,07037
7,38,114,77,67.54,37,32.46,07038
7,39,123,79,64.23,44,35.77,07039
7,41,125,74,59.2,51,40.8,07041
7,42,220,132,60.0,88,40.0,07042
7,43,155,115,74.19,40,25.81,07043
7,46,76,61,80.26,15,19.74,07046
7,47,131,92,70.23,39,29.77,07047
7,48,58,40,68.97,18,31.03,07048
7,49,106,74,69.81,32,30.19,07049
7,51,153,107,69.93,46,30.07,07051
7,52,112,70,62.5,42,37.5,07052
7,53,132,89,67.42,43,32.58,07053
7,54,54,34,62.96,20,37.04,07054
7,55,139,80,57.55,59,42.45,07055
7,56,101,65,64.36,36,35.64,07056
7,57,131,81,61.83,50,38.17,07057
7,58,211,146,69.19,65,30.81,07058
7,59,73,47,64.38,26,35.62,07059
7,60,101,63,62.38,38,37.62,07060
7,61,159,104,65.41,55,34.59,07061
7,62,143,99,69.23,44,30.77,07062
7,63,109,68,62.39,41,37.61,07063
7,65,150,94,62.67,56,37.33,07065
8,1,215,120,55.81,95,44.19,08001
8,2,99,70,70.71,29,29.29,08002
8,3,240,144,60.0,96,40.0,08003
8,4,193,90,46.63,103,53.37,08004
8,5,239,145,60.67,94,39.33,08005
8,6,203,131,64.53,72,35.47,08006
8,7,130,80,61.54,50,38.46,08007
8,8,229,150,65.5,79,34.5,08008
8,9,251,144,57.37,107,42.63,08009
8,10,252,149,59.13,103,40.87,08010
8,11,169,103,60.95,66,39.05,08011
8,12,160,95,59.38,65,40.63,08012
8,13,139,90,64.75,49,35.25,08013
8,14,129,109,84.5,20,15.5,08014
8,15,147,100,68.03,47,31.97,08015
8,16,224,150,66.96,74,33.04,08016
8,17,163,82,50.31,81,49.69,08017
8,18,106,76,71.7,30,28.3,08018
8,19,239,166,69.46,73,30.54,08019
8,20,146,109,74.66,37,25.34,08020
8,21,146,99,67.81,47,32.19,08021
8,22,153,102,66.67,51,33.33,08022
8,23,161,97,60.25,64,39.75,08023
8,24,206,123,59.71,83,40.29,08024
8,25,184,97,52.72,87,47.28,08025
8,26,117,67,57.26,50,42.74,08026
8,27,223,144,64.57,79,35.43,08027
8,28,179,131,73.18,48,26.82,08028
8,29,216,168,77.78,48,22.22,08029
8,30,151,99,65.56,52,34.44,08030
8,31,125,84,67.2,41,32.8,08031
8,32,284,192,67.61,92,32.39,08032
8,33,165,126,76.36,39,23.64,08033
8,34,230,163,70.87,67,29.13,08034
8,35,212,130,61.32,82,38.68,08035
8,36,166,111,66.87,55,33.13,08036
8,37,199,112,56.28,87,43.72,08037
8,38,167,118,70.66,49,29.34,08038
8,39,211,134,63.51,77,36.49,08039
8,40,189,134,70.9,55,29.1,08040
8,41,147,93,63.27,54,36.73,08041
8,42,170,110,64.71,60,35.29,08042
8,43,136,102,75.0,34,25.0,08043
8,44,144,99,68.75,45,31.25,08044
8,45,151,93,61.59,58,38.41,08045
8,46,155,104,67.1,51,32.9,08046
8,47,180,141,78.33,39,21.67,08047
8,48,161,112,69.57,49,30.43,08048
8,49,231,161,69.7,70,30.3,08049
8,50,204,139,68.14,65,31.86,08050
8,51,236,160,67.8,76,32.2,08051
8,52,219,141,64.38,78,35.62,08052
8,53,229,143,62.45,86,37.55,08053
8,54,208,134,64.42,74,35.58,08054
8,55,136,90,66.18,46,33.82,08055
8,56,201,148,73.63,53,26.37,08056
8,58,221,158,71.49,63,28.51,08058
8,59,102,66,64.71,36,35.29,08059
8,60,154,86,55.84,68,44.16,08060
8,61,158,90,56.96,68,43.04,08061
8,62,186,108,58.06,78,41.94,08062
8,63,223,154,69.06,69,30.94,08063
8,64,149,99,66.44,50,33.56,08064
8,65,124,71,57.26,53,42.74,08065
8,66,248,174,70.16,74,29.84,08066
8,67,89,63,70.79,26,29.21,08067
8,68,93,71,76.34,22,23.66,08068
8,69,113,81,71.68,32,28.32,08069
9,13,229,134,58.52,95,41.48,09013
9,35,231,153,66.23,78,33.77,09035
9,36,188,139,73.94,49,26.06,09036
9,47,209,126,60.29,83,39.71,09047
9,52,199,135,67.84,64,32.16,09052
10,1,93,57,61.29,36,38.71,10001
10,2,80,61,76.25,19,23.75,10002
10,3,128,98,76.56,30,23.44,10003
10,4,87,45,51.72,42,48.28,10004
10,5,99,71,71.72,28,28.28,10005
10,6,133,87,65.41,46,34.59,10006
10,7,31,13,41.94,18,58.06,10007
10,8,100,67,67.0,33,33.0,10008
10,9,100,78,78.0,22,22.0,10009
10,10,79,58,73.42,21,26.58,10010
10,11,101,67,66.34,34,33.66,10011
10,12,77,56,72.73,21,27.27,10012
10,13,97,75,77.32,22,22.68,10013
10,14,98,70,71.43,28,28.57,10014
10,15,40,27,67.5,13,32.5,10015
10,16,111,92,82.88,19,17.12,10016
10,17,70,51,72.86,19,27.14,10017
10,18,84,50,59.52,34,40.48,10018
10,19,119,82,68.91,37,31.09,10019
10,20,62,46,74.19,16,25.81,10020
10,21,85,57,67.06,28,32.94,10021
10,22,20,16,80.0,4,20.0,10022
10,23,94,63,67.02,31,32.98,10023
10,24,83,62,74.7,21,25.3,10024
10,25,112,61,54.46,51,45.54,10025
10,26,73,41,56.16,32,43.84,10026
10,27,122,91,74.59,31,25.41,10027
10,28,97,57,58.76,40,41.24,10028
10,29,127,79,62.2,48,37.8,10029
10,30,107,78,72.9,29,27.1,10030
10,31,83,48,57.83,35,42.17,10031
10,32,84,50,59.52,34,40.48,10032
10,33,77,54,70.13,23,29.87,10033
10,34,90,46,51.11,44,48.89,10034
10,35,107,71,66.36,36,33.64,10035
10,36,127,90,70.87,37,29.13,10036
10,37,86,46,53.49,40,46.51,10037
10,38,88,58,65.91,30,34.09,10038
10,39,85,52,61.18,33,38.82,10039
10,40,84,61,72.62,23,27.38,10040
10,41,105,73,69.52,32,30.48,10041
10,42,84,52,61.9,32,38.1,10042
10,43,48,27,56.25,21,43.75,10043
10,44,81,50,61.73,31,38.27,10044
10,45,47,24,51.06,23,48.94,10045
10,46,91,58,63.74,33,36.26,10046
10,47,91,64,70.33,27,29.67,10047
10,48,98,64,65.31,34,34.69,10048
10,49,91,54,59.34,37,40.66,10049
17,2,102,66,64.71,36,35.29,17002
17,3,84,46,54.76,38,45.24,17003
17,4,197,117,59.39,80,40.61,17004
17,5,99,48,48.48,51,51.52,17005
17,7,164,114,69.51,50,30.49,17007
17,9,92,51,55.43,41,44.57,17009
17,10,134,91,67.91,43,32.09,17010
17,12,170,134,78.82,36,21.18,17012
17,15,107,65,60.75,42,39.25,17015
17,18,151,100,66.23,51,33.77,17018
17,20,104,67,64.42,37,35.58,17020
17,21,202,133,65.84,69,34.16,17021
17,22,133,76,57.14,57,42.86,17022
17,23,102,75,73.53,27,26.47,17023
17,24,134,84,62.69,50,37.31,17024
17,25,76,47,61.84,29,38.16,17025
17,26,161,94,58.39,67,41.61,17026
17,27,169,100,59.17,69,40.83,17027
17,28,99,56,56.57,43,43.43,17028
17,29,154,100,64.94,54,35.06,17029
17,30,148,103,69.59,45,30.41,17030
17,31,116,80,68.97,36,31.03,17031
17,33,109,59,54.13,50,45.87,17033
17,35,80,44,55.0,36,45.0,17035
17,37,85,46,54.12,39,45.88,17037
17,38,132,89,67.42,43,32.58,17038
17,44,80,47,58.75,33,41.25,17044
17,47,68,43,63.24,25,36.76,17047
17,48,145,101,69.66,44,30.34,17048
17,50,99,64,64.65,35,35.35,17050
17,51,145,98,67.59,47,32.41,17051
17,52,166,94,56.63,72,43.37,17052
17,53,109,72,66.06,37,33.94,17053
17,54,157,87,55.41,70,44.59,17054
17,55,114,79,69.3,35,30.7,17055
18,20,187,130,69.52,57,30.48,18020
18,30,118,80,67.8,38,32.2,18030
18,38,220,156,70.91,64,29.09,18038
18,51,220,153,69.55,67,30.45,18051
18,52,186,132,70.97,54,29.03,18052
18,53,139,101,72.66,38,27.34,18053
18,60,207,149,71.98,58,28.02,18060
18,61,172,115,66.86,57,33.14,18061
21,2,172,109,63.37,63,36.63,21002
21,15,145,107,73.79,38,26.21,21015
21,16,170,112,65.88,58,34.12,21016
21,29,91,73,80.22,18,19.78,21029
21,32,154,111,72.08,43,27.92,21032
21,34,223,144,64.57,79,35.43,21034
21,35,18,7,38.89,11,61.11,21035
21,36,143,101,70.63,42,29.37,21036
21,37,102,67,65.69,35,34.31,21037
21,39,131,83,63.36,48,36.64,21039
21,41,138,83,60.14,55,39.86,21041
21,52,183,95,51.91,88,48.09,21052
21,57,142,100,70.42,42,29.58,21057
21,62,182,127,69.78,55,30.22,21062
21,65,264,152,57.58,112,42.42,21065
21,67,160,101,63.13,59,36.88,21067
21,68,21,13,61.9,8,38.1,21068
21,69,140,97,69.29,43,30.71,21069
21,70,174,104,59.77,70,40.23,21070
21,71,13,8,61.54,5,38.46,21071
21,72,147,96,65.31,51,34.69,21072
21,73,210,132,62.86,78,37.14,21073
21,74,55,39,70.91,16,29.09,21074
