ward,precinct,total,Rahm Emanuel,Rahm Emanuel Percent,John Haptonstall (Johnny Hap),John Haptonstall (Johnny Hap) Percent,Mark Arnold Fredrickson,Mark Arnold Fredrickson Percent,precinct_id
36,52,110,92,83.64,8,7.27,10,9.09,36052
36,53,105,88,83.81,7,6.67,10,9.52,36053
36,55,209,163,77.99,20,9.57,26,12.44,36055
37,39,42,23,54.76,9,21.43,10,23.81,37039
38,1,124,101,81.45,13,10.48,10,8.06,38001
38,2,94,78,82.98,5,5.32,11,11.7,38002
38,3,87,68,78.16,9,10.34,10,11.49,38003
38,4,56,46,82.14,5,8.93,5,8.93,38004
38,5,195,170,87.18,12,6.15,13,6.67,38005
38,6,106,79,74.53,12,11.32,15,14.15,38006
38,7,123,98,79.67,11,8.94,14,11.38,38007
38,8,80,61,76.25,11,13.75,8,10.0,38008
38,9,105,91,86.67,8,7.62,6,5.71,38009
38,10,171,142,83.04,13,7.6,16,9.36,38010
38,11,82,66,80.49,7,8.54,9,10.98,38011
38,12,141,123,87.23,7,4.96,11,7.8,38012
38,13,84,72,85.71,5,5.95,7,8.33,38013
38,14,107,92,85.98,8,7.48,7,6.54,38014
38,15,95,81,85.26,6,6.32,8,8.42,38015
38,16,131,115,87.79,5,3.82,11,8.4,38016
38,17,111,91,81.98,8,7.21,12,10.81,38017
38,18,138,106,76.81,9,6.52,23,16.67,38018
38,19,145,119,82.07,12,8.28,14,9.66,38019
38,20,146,128,87.67,11,7.53,7,4.79,38020
38,21,107,88,82.24,7,6.54,12,11.21,38021
38,22,118,96,81.36,13,11.02,9,7.63,38022
38,23,78,59,75.64,5,6.41,14,17.95,38023
38,24,73,65,89.04,3,4.11,5,6.85,38024
38,25,113,96,84.96,9,7.96,8,7.08,38025
38,26,78,61,78.21,7,8.97,10,12.82,38026
38,27,78,58,74.36,11,14.1,9,11.54,38027
38,28,95,71,74.74,9,9.47,15,15.79,38028
38,29,104,83,79.81,12,11.54,9,8.65,38029
38,30,106,92,86.79,5,4.72,9,8.49,38030
38,31,141,107,75.89,16,11.35,18,12.77,38031
38,32,133,112,84.21,9,6.77,12,9.02,38032
38,33,99,82,82.83,8,8.08,9,9.09,38033
38,34,75,61,81.33,6,8.0,8,10.67,38034
38,35,141,103,73.05,17,12.06,21,14.89,38035
38,36,111,84,75.68,11,9.91,16,14.41,38036
38,37,108,90,83.33,9,8.33,9,8.33,38037
38,38,142,118,83.1,5,3.52,19,13.38,38038
38,39,112,84,75.0,9,8.04,19,16.96,38039
38,40,104,94,90.38,5,4.81,5,4.81,38040
38,41,155,136,87.74,6,3.87,13,8.39,38041
38,42,147,115,78.23,11,7.48,21,14.29,38042
38,43,135,115,85.19,10,7.41,10,7.41,38043
38,44,116,90,77.59,6,5.17,20,17.24,38044
38,45,120,104,86.67,7,5.83,9,7.5,38045
38,46,104,79,75.96,11,10.58,14,13.46,38046
38,47,104,77,74.04,14,13.46,13,12.5,38047
38,48,124,100,80.65,11,8.87,13,10.48,38048
38,49,93,76,81.72,4,4.3,13,13.98,38049
38,50,130,100,76.92,13,10.0,17,13.08,38050
38,51,84,75,89.29,2,2.38,7,8.33,38051
38,52,128,107,83.59,8,6.25,13,10.16,38052
38,53,23,19,,0,,4,,38053
39,1,148,118,79.73,12,8.11,18,12.16,39001
39,2,230,206,89.57,7,3.04,17,7.39,39002
39,3,151,116,76.82,15,9.93,20,13.25,39003
39,4,111,91,81.98,6,5.41,14,12.61,39004
39,5,82,69,84.15,4,4.88,9,10.98,39005
39,6,120,97,80.83,7,5.83,16,13.33,39006
39,7,94,79,84.04,7,7.45,8,8.51,39007
39,8,152,139,91.45,4,2.63,9,5.92,39008
39,9,152,132,86.84,10,6.58,10,6.58,39009
39,10,115,99,86.09,6,5.22,10,8.7,39010
39,11,190,158,83.16,17,8.95,15,7.89,39011
39,12,92,75,81.52,5,5.43,12,13.04,39012
39,13,66,57,86.36,5,7.58,4,6.06,39013
39,14,100,85,85.0,6,6.0,9,9.0,39014
39,15,116,92,79.31,12,10.34,12,10.34,39015
39,16,72,58,80.56,11,15.28,3,4.17,39016
39,17,102,80,78.43,12,11.76,10,9.8,39017
39,18,135,118,87.41,8,5.93,9,6.67,39018
39,19,86,68,79.07,7,8.14,11,12.79,39019
39,20,128,104,81.25,10,7.81,14,10.94,39020
39,21,86,71,82.56,9,10.47,6,6.98,39021
39,22,94,75,79.79,8,8.51,11,11.7,39022
39,23,83,76,91.57,2,2.41,5,6.02,39023
39,24,95,80,84.21,6,6.32,9,9.47,39024
39,25,125,98,78.4,17,13.6,10,8.0,39025
39,26,129,102,79.07,10,7.75,17,13.18,39026
39,27,157,122,77.71,11,7.01,24,15.29,39027
39,28,127,106,83.46,13,10.24,8,6.3,39028
39,29,140,119,85.0,12,8.57,9,6.43,39029
39,30,63,54,85.71,7,11.11,2,3.17,39030
39,31,65,41,63.08,16,24.62,8,12.31,39031
39,32,166,157,94.58,6,3.61,3,1.81,39032
39,33,138,113,81.88,13,9.42,12,8.7,39033
39,34,131,109,83.21,11,8.4,11,8.4,39034
39,35,155,122,78.71,22,14.19,11,7.1,39035
39,36,165,141,85.45,11,6.67,13,7.88,39036
39,37,182,165,90.66,5,2.75,12,6.59,39037
39,38,153,134,87.58,7,4.58,12,7.84,39038
39,39,66,55,83.33,3,4.55,8,12.12,39039
39,40,81,66,81.48,5,6.17,10,12.35,39040
39,41,56,50,89.29,3,5.36,3,5.36,39041
39,42,137,109,79.56,12,8.76,16,11.68,39042
39,43,109,84,77.06,16,14.68,9,8.26,39043
39,44,125,100,80.0,12,9.6,13,10.4,39044
39,45,71,51,71.83,5,7.04,15,21.13,39045
39,46,114,89,78.07,10,8.77,15,13.16,39046
39,47,74,62,83.78,7,9.46,5,6.76,39047
40,1,92,75,81.52,8,8.7,9,9.78,40001
40,2,88,69,78.41,9,10.23,10,11.36,40002
40,5,114,102,89.47,5,4.39,7,6.14,40005
40,6,94,79,84.04,11,11.7,4,4.26,40006
40,10,152,128,84.21,12,7.89,12,7.89,40010
40,14,83,69,83.13,7,8.43,7,8.43,40014
40,15,124,111,89.52,3,2.42,10,8.06,40015
40,17,72,61,84.72,5,6.94,6,8.33,40017
40,19,113,88,77.88,8,7.08,17,15.04,40019
40,20,108,95,87.96,6,5.56,7,6.48,40020
40,21,115,102,88.7,7,6.09,6,5.22,40021
40,23,127,104,81.89,13,10.24,10,7.87,40023
40,24,83,68,81.93,5,6.02,10,12.05,40024
40,25,91,73,80.22,8,8.79,10,10.99,40025
40,29,164,144,87.8,12,7.32,8,4.88,40029
40,30,187,163,87.17,13,6.95,11,5.88,40030
40,31,120,109,90.83,3,2.5,8,6.67,40031
40,32,57,47,82.46,6,10.53,4,7.02,40032
40,34,99,87,87.88,7,7.07,5,5.05,40034
40,36,141,116,82.27,13,9.22,12,8.51,40036
40,38,67,52,77.61,7,10.45,8,11.94,40038
40,40,83,73,87.95,6,7.23,4,4.82,40040
40,41,23,19,,0,,4,,40041
40,44,79,66,83.54,8,10.13,5,6.33,40044
40,45,161,136,84.47,15,9.32,10,6.21,40045
40,48,96,86,89.58,3,3.13,7,7.29,40048
40,49,66,52,78.79,7,10.61,7,10.61,40049
41,3,154,125,81.17,8,5.19,21,13.64,41003
41,6,171,128,74.85,15,8.77,28,16.37,41006
41,9,149,117,78.52,13,8.72,19,12.75,41009
41,10,159,114,71.7,15,9.43,30,18.87,41010
41,12,177,141,79.66,21,11.86,15,8.47,41012
41,14,229,181,79.04,21,9.17,27,11.79,41014
41,16,159,130,81.76,9,5.66,20,12.58,41016
41,19,226,194,85.84,16,7.08,16,7.08,41019
41,21,164,116,70.73,13,7.93,35,21.34,41021
41,22,148,121,81.76,14,9.46,13,8.78,41022
41,23,154,121,78.57,22,14.29,11,7.14,41023
41,24,162,126,77.78,9,5.56,27,16.67,41024
41,30,184,150,81.52,15,8.15,19,10.33,41030
41,35,184,140,76.09,24,13.04,20,10.87,41035
41,38,148,110,74.32,16,10.81,22,14.86,41038
41,39,138,113,81.88,8,5.8,17,12.32,41039
41,44,198,165,83.33,13,6.57,20,10.1,41044
41,46,129,90,69.77,10,7.75,29,22.48,41046
41,47,155,129,83.23,4,2.58,22,14.19,41047
41,50,147,104,70.75,20,13.61,23,15.65,41050
41,51,110,82,74.55,15,13.64,13,11.82,41051
41,53,170,122,71.76,20,11.76,28,16.47,41053
41,54,142,120,84.51,9,6.34,13,9.15,41054
41,57,150,117,78.0,12,8.0,21,14.0,41057
43,2,106,94,88.68,6,5.66,6,5.66,43002
43,6,80,59,73.75,6,7.5,15,18.75,43006
43,7,148,129,87.16,8,5.41,11,7.43,43007
43,8,151,131,86.75,7,4.64,13,8.61,43008
43,12,149,129,86.58,11,7.38,9,6.04,43012
43,14,125,111,88.8,6,4.8,8,6.4,43014
43,17,103,89,86.41,6,5.83,8,7.77,43017
43,20,122,106,86.89,7,5.74,9,7.38,43020
43,21,127,114,89.76,7,5.51,6,4.72,43021
43,22,64,55,85.94,5,7.81,4,6.25,43022
43,27,96,80,83.33,4,4.17,12,12.5,43027
43,29,90,79,87.78,6,6.67,5,5.56,43029
43,31,126,118,93.65,5,3.97,3,2.38,43031
43,32,128,113,88.28,8,6.25,7,5.47,43032
43,33,39,34,87.18,4,10.26,1,2.56,43033
43,34,37,33,89.19,1,2.7,3,8.11,43034
43,38,78,65,83.33,3,3.85,10,12.82,43038
43,43,66,52,78.79,2,3.03,12,18.18,43043
43,44,85,74,87.06,5,5.88,6,7.06,43044
43,45,42,37,88.1,1,2.38,4,9.52,43045
43,48,98,83,84.69,8,8.16,7,7.14,43048
43,50,74,60,81.08,9,12.16,5,6.76,43050
43,53,117,101,86.32,5,4.27,11,9.4,43053
43,56,65,56,86.15,5,7.69,4,6.15,43056
43,57,59,50,84.75,2,3.39,7,11.86,43057
43,58,75,70,93.33,1,1.33,4,5.33,43058
43,59,147,131,89.12,7,4.76,9,6.12,43059
44,1,133,121,90.98,8,6.02,4,3.01,44001
44,2,83,73,87.95,7,8.43,3,3.61,44002
44,5,110,89,80.91,12,10.91,9,8.18,44005
44,6,91,77,84.62,11,12.09,3,3.3,44006
44,8,53,42,79.25,5,9.43,6,11.32,44008
44,9,74,59,79.73,8,10.81,7,9.46,44009
44,10,57,50,87.72,6,10.53,1,1.75,44010
44,11,107,82,76.64,20,18.69,5,4.67,44011
44,12,76,66,86.84,5,6.58,5,6.58,44012
44,13,75,63,84.0,7,9.33,5,6.67,44013
44,14,88,71,80.68,10,11.36,7,7.95,44014
44,15,158,129,81.65,8,5.06,21,13.29,44015
44,16,104,97,93.27,3,2.88,4,3.85,44016
44,17,142,124,87.32,7,4.93,11,7.75,44017
44,18,73,66,90.41,5,6.85,2,2.74,44018
44,19,61,47,77.05,8,13.11,6,9.84,44019
44,20,66,59,89.39,3,4.55,4,6.06,44020
44,21,121,108,89.26,6,4.96,7,5.79,44021
44,22,158,143,90.51,3,1.9,12,7.59,44022
44,23,80,71,88.75,4,5.0,5,6.25,44023
44,24,74,66,89.19,2,2.7,6,8.11,44024
44,25,104,88,84.62,8,7.69,8,7.69,44025
44,26,63,52,82.54,5,7.94,6,9.52,44026
44,27,98,83,84.69,3,3.06,12,12.24,44027
44,28,73,63,86.3,7,9.59,3,4.11,44028
44,29,109,88,80.73,10,9.17,11,10.09,44029
44,30,98,84,85.71,9,9.18,5,5.1,44030
44,31,105,91,86.67,8,7.62,6,5.71,44031
44,32,85,79,92.94,4,4.71,2,2.35,44032
44,33,108,102,94.44,3,2.78,3,2.78,44033
44,34,76,61,80.26,9,11.84,6,7.89,44034
44,36,73,62,84.93,6,8.22,5,6.85,44036
44,37,169,156,92.31,5,2.96,8,4.73,44037
44,38,86,65,75.58,13,15.12,8,9.3,44038
44,39,85,76,89.41,7,8.24,2,2.35,44039
44,40,113,97,85.84,11,9.73,5,4.42,44040
44,41,95,82,86.32,8,8.42,5,5.26,44041
44,42,136,116,85.29,10,7.35,10,7.35,44042
44,43,122,107,87.7,6,4.92,9,7.38,44043
44,44,146,123,84.25,10,6.85,13,8.9,44044
44,45,117,99,84.62,8,6.84,10,8.55,44045
44,46,92,79,85.87,7,7.61,6,6.52,44046
44,47,130,109,83.85,11,8.46,10,7.69,44047
44,50,95,79,83.16,5,5.26,11,11.58,44050
44,51,82,64,78.05,10,12.2,8,9.76,44051
45,1,95,77,81.05,4,4.21,14,14.74,45001
45,2,164,141,85.98,12,7.32,11,6.71,45002
45,3,250,210,84.0,14,5.6,26,10.4,45003
45,4,195,156,80.0,14,7.18,25,12.82,45004
45,5,168,139,82.74,9,5.36,20,11.9,45005
45,6,166,129,77.71,15,9.04,22,13.25,45006
45,7,109,89,81.65,8,7.34,12,11.01,45007
45,8,122,101,82.79,8,6.56,13,10.66,45008
45,9,176,142,80.68,9,5.11,25,14.2,45009
45,10,163,135,82.82,11,6.75,17,10.43,45010
45,11,128,99,77.34,9,7.03,20,15.63,45011
45,12,169,141,83.43,15,8.88,13,7.69,45012
45,13,248,221,89.11,12,4.84,15,6.05,45013
45,14,169,137,81.07,20,11.83,12,7.1,45014
45,15,170,133,78.24,18,10.59,19,11.18,45015
45,16,152,124,81.58,19,12.5,9,5.92,45016
45,17,142,122,85.92,8,5.63,12,8.45,45017
45,18,167,149,89.22,10,5.99,8,4.79,45018
45,19,184,154,83.7,15,8.15,15,8.15,45019
45,20,137,109,79.56,11,8.03,17,12.41,45020
45,21,150,123,82.0,8,5.33,19,12.67,45021
45,22,128,95,74.22,23,17.97,10,7.81,45022
45,23,147,112,76.19,19,12.93,16,10.88,45023
45,24,172,140,81.4,14,8.14,18,10.47,45024
45,25,170,141,82.94,17,10.0,12,7.06,45025
45,26,197,173,87.82,12,6.09,12,6.09,45026
45,27,121,108,89.26,3,2.48,10,8.26,45027
45,28,138,113,81.88,9,6.52,16,11.59,45028
45,29,151,124,82.12,8,5.3,19,12.58,45029
45,30,172,133,77.33,20,11.63,19,11.05,45030
45,31,139,115,82.73,11,7.91,13,9.35,45031
45,32,83,69,83.13,5,6.02,9,10.84,45032
45,33,139,113,81.29,12,8.63,14,10.07,45033
45,34,117,91,77.78,7,5.98,19,16.24,45034
45,35,141,117,82.98,11,7.8,13,9.22,45035
45,36,135,115,85.19,5,3.7,15,11.11,45036
45,37,129,110,85.27,9,6.98,10,7.75,45037
45,38,151,121,80.13,12,7.95,18,11.92,45038
45,39,173,138,79.77,15,8.67,20,11.56,45039
45,40,204,173,84.8,10,4.9,21,10.29,45040
45,41,97,83,85.57,8,8.25,6,6.19,45041
45,42,160,136,85.0,8,5.0,16,10.0,45042
45,43,133,111,83.46,12,9.02,10,7.52,45043
45,44,182,149,81.87,16,8.79,17,9.34,45044
45,45,106,88,83.02,8,7.55,10,9.43,45045
45,46,164,138,84.15,10,6.1,16,9.76,45046
45,47,136,117,86.03,6,4.41,13,9.56,45047
45,48,141,123,87.23,9,6.38,9,6.38,45048
45,49,156,131,83.97,11,7.05,14,8.97,45049
45,50,130,108,83.08,9,6.92,13,10.0,45050
45,51,146,123,84.25,12,8.22,11,7.53,45051
45,52,147,119,80.95,12,8.16,16,10.88,45052
45,53,112,89,79.46,7,6.25,16,14.29,45053
46,3,173,152,87.86,8,4.62,13,7.51,46003
46,5,58,48,82.76,3,5.17,7,12.07,46005
46,13,107,87,81.31,8,7.48,12,11.21,46013
46,17,192,175,91.15,8,4.17,9,4.69,46017
46,18,172,142,82.56,10,5.81,20,11.63,46018
46,24,66,55,83.33,3,4.55,8,12.12,46024
46,29,147,131,89.12,7,4.76,9,6.12,46029
46,31,138,126,91.3,6,4.35,6,4.35,46031
46,36,159,140,88.05,7,4.4,12,7.55,46036
46,37,55,43,78.18,2,3.64,10,18.18,46037
46,43,182,166,91.21,6,3.3,10,5.49,46043
46,44,112,85,75.89,13,11.61,14,12.5,46044
47,1,158,140,88.61,11,6.96,7,4.43,47001
47,2,152,132,86.84,8,5.26,12,7.89,47002
47,3,116,104,89.66,8,6.9,4,3.45,47003
47,4,200,170,85.0,21,10.5,9,4.5,47004
47,5,155,137,88.39,8,5.16,10,6.45,47005
47,6,211,195,92.42,7,3.32,9,4.27,47006
47,7,148,129,87.16,6,4.05,13,8.78,47007
47,8,238,209,87.82,15,6.3,14,5.88,47008
47,9,140,122,87.14,12,8.57,6,4.29,47009
47,10,103,82,79.61,12,11.65,9,8.74,47010
47,11,260,231,88.85,21,8.08,8,3.08,47011
47,12,147,134,91.16,6,4.08,7,4.76,47012
47,13,270,233,86.3,21,7.78,16,5.93,47013
47,14,120,101,84.17,11,9.17,8,6.67,47014
47,15,142,119,83.8,13,9.15,10,7.04,47015
47,16,174,142,81.61,25,14.37,7,4.02,47016
47,17,162,138,85.19,14,8.64,10,6.17,47017
47,18,188,167,88.83,8,4.26,13,6.91,47018
47,19,246,225,91.46,10,4.07,11,4.47,47019
47,20,183,159,86.89,14,7.65,10,5.46,47020
47,21,181,154,85.08,16,8.84,11,6.08,47021
47,22,187,161,86.1,15,8.02,11,5.88,47022
47,23,73,68,93.15,2,2.74,3,4.11,47023
47,24,136,115,84.56,16,11.76,5,3.68,47024
47,25,169,154,91.12,10,5.92,5,2.96,47025
47,26,191,167,87.43,16,8.38,8,4.19,47026
47,27,134,116,86.57,7,5.22,11,8.21,47027
47,28,248,216,87.1,14,5.65,18,7.26,47028
47,29,152,132,86.84,10,6.58,10,6.58,47029
47,30,173,143,82.66,14,8.09,16,9.25,47030
47,31,153,134,87.58,10,6.54,9,5.88,47031
47,32,154,130,84.42,16,10.39,8,5.19,47032
47,33,158,145,91.77,7,4.43,6,3.8,47033
47,34,183,160,87.43,16,8.74,7,3.83,47034
47,35,223,193,86.55,19,8.52,11,4.93,47035
47,36,203,180,88.67,16,7.88,7,3.45,47036
47,37,232,195,84.05,16,6.9,21,9.05,47037
47,38,185,160,86.49,17,9.19,8,4.32,47038
47,39,163,147,90.18,8,4.91,8,4.91,47039
47,40,114,101,88.6,7,6.14,6,5.26,47040
47,41,295,264,89.49,14,4.75,17,5.76,47041
47,42,129,112,86.82,10,7.75,7,5.43,47042
47,43,110,100,90.91,4,3.64,6,5.45,47043
47,44,149,128,85.91,8,5.37,13,8.72,47044
47,45,166,142,85.54,16,9.64,8,4.82,47045
47,46,115,93,80.87,12,10.43,10,8.7,47046
47,47,140,116,82.86,11,7.86,13,9.29,47047
47,48,44,32,72.73,9,20.45,3,6.82,47048
47,49,90,73,81.11,7,7.78,10,11.11,47049
47,50,116,105,90.52,7,6.03,4,3.45,47050
47,51,119,104,87.39,5,4.2,10,8.4,47051
47,52,43,38,88.37,3,6.98,2,4.65,47052
50,44,105,90,85.71,1,0.95,14,13.33,50044
50,45,61,49,80.33,7,11.48,5,8.2,50045
