ward,precinct,total,Thomas J. Dart,Thomas J. Dart Percent,"Sylvester E. Baker, Jr.","Sylvester E. Baker, Jr. Percent",Richard L. Remus,Richard L. Remus Percent,precinct_id
1,48,69,40,57.97,19,27.54,10,14.49,01048
1,49,28,18,64.29,2,7.14,8,28.57,01049
1,50,54,34,62.96,10,18.52,10,18.52,01050
2,1,114,70,61.4,27,23.68,17,14.91,02001
2,2,6,3,50.0,3,50.0,0,0.0,02002
2,3,100,45,45.0,41,41.0,14,14.0,02003
2,4,98,32,32.65,59,60.2,7,7.14,02004
2,5,82,26,31.71,50,60.98,6,7.32,02005
2,6,61,44,72.13,7,11.48,10,16.39,02006
2,7,192,92,47.92,84,43.75,16,8.33,02007
2,8,154,94,61.04,50,32.47,10,6.49,02008
2,9,102,42,41.18,45,44.12,15,14.71,02009
2,10,26,9,34.62,12,46.15,5,19.23,02010
2,11,73,60,82.19,11,15.07,2,2.74,02011
2,12,89,72,80.9,8,8.99,9,10.11,02012
2,13,115,70,60.87,32,27.83,13,11.3,02013
2,14,218,84,38.53,118,54.13,16,7.34,02014
2,15,21,11,52.38,10,47.62,0,0.0,02015
2,16,87,50,57.47,25,28.74,12,13.79,02016
2,17,112,55,49.11,50,44.64,7,6.25,02017
2,18,134,89,66.42,37,27.61,8,5.97,02018
2,19,4,2,50.0,2,50.0,0,0.0,02019
2,20,198,77,38.89,105,53.03,16,8.08,02020
2,21,187,92,49.2,81,43.32,14,7.49,02021
2,22,241,162,67.22,54,22.41,25,10.37,02022
2,23,98,45,45.92,38,38.78,15,15.31,02023
2,24,75,34,45.33,37,49.33,4,5.33,02024
2,25,71,41,57.75,23,32.39,7,9.86,02025
2,26,171,87,50.88,70,40.94,14,8.19,02026
2,27,107,36,33.64,62,57.94,9,8.41,02027
2,28,39,26,66.67,6,15.38,7,17.95,02028
2,29,46,24,52.17,20,43.48,2,4.35,02029
2,30,64,30,46.88,28,43.75,6,9.38,02030
2,31,184,64,34.78,109,59.24,11,5.98,02031
2,32,50,22,44.0,23,46.0,5,10.0,02032
2,33,75,27,36.0,40,53.33,8,10.67,02033
2,34,177,75,42.37,90,50.85,12,6.78,02034
2,35,33,20,60.61,10,30.3,3,9.09,02035
2,36,72,38,52.78,28,38.89,6,8.33,02036
2,37,137,87,63.5,34,24.82,16,11.68,02037
2,38,171,72,42.11,74,43.27,25,14.62,02038
2,39,103,58,56.31,33,32.04,12,11.65,02039
2,40,164,76,46.34,56,34.15,32,19.51,02040
2,41,68,23,33.82,41,60.29,4,5.88,02041
2,42,22,9,40.91,12,54.55,1,4.55,02042
2,43,209,123,58.85,66,31.58,20,9.57,02043
2,44,131,48,36.64,72,54.96,11,8.4,02044
2,45,106,39,36.79,56,52.83,11,10.38,02045
2,46,231,103,44.59,103,44.59,25,10.82,02046
2,47,119,46,38.66,56,47.06,17,14.29,02047
2,48,92,32,34.78,54,58.7,6,6.52,02048
2,49,95,54,56.84,28,29.47,13,13.68,02049
2,50,75,41,54.67,25,33.33,9,12.0,02050
2,51,65,34,52.31,24,36.92,7,10.77,02051
2,52,148,56,37.84,75,50.68,17,11.49,02052
2,53,44,25,56.82,14,31.82,5,11.36,02053
2,54,113,79,69.91,19,16.81,15,13.27,02054
2,55,31,21,67.74,5,16.13,5,16.13,02055
2,56,136,51,37.5,70,51.47,15,11.03,02056
2,57,117,54,46.15,44,37.61,19,16.24,02057
2,58,53,33,62.26,13,24.53,7,13.21,02058
2,59,160,111,69.38,34,21.25,15,9.38,02059
2,60,148,106,71.62,26,17.57,16,10.81,02060
2,61,87,56,64.37,22,25.29,9,10.34,02061
3,1,164,60,36.59,99,60.37,5,3.05,03001
3,2,241,72,29.88,156,64.73,13,5.39,03002
3,3,112,57,50.89,45,40.18,10,8.93,03003
3,4,107,33,30.84,67,62.62,7,6.54,03004
3,5,167,47,28.14,95,56.89,25,14.97,03005
3,6,60,23,38.33,31,51.67,6,10.0,03006
3,7,164,61,37.2,90,54.88,13,7.93,03007
3,8,65,24,36.92,33,50.77,8,12.31,03008
3,9,124,42,33.87,71,57.26,11,8.87,03009
3,10,64,24,37.5,28,43.75,12,18.75,03010
3,11,153,41,26.8,104,67.97,8,5.23,03011
3,12,153,53,34.64,93,60.78,7,4.58,03012
3,13,104,59,56.73,17,16.35,28,26.92,03013
3,14,98,30,30.61,63,64.29,5,5.1,03014
3,15,136,52,38.24,67,49.26,17,12.5,03015
3,16,148,32,21.62,105,70.95,11,7.43,03016
3,17,102,33,32.35,63,61.76,6,5.88,03017
3,18,103,23,22.33,72,69.9,8,7.77,03018
3,19,10,3,30.0,6,60.0,1,10.0,03019
3,20,109,39,35.78,65,59.63,5,4.59,03020
3,21,66,15,22.73,47,71.21,4,6.06,03021
3,22,87,15,17.24,70,80.46,2,2.3,03022
3,23,31,18,58.06,13,41.94,0,0.0,03023
3,24,125,50,40.0,66,52.8,9,7.2,03024
3,25,114,34,29.82,71,62.28,9,7.89,03025
3,26,130,40,30.77,78,60.0,12,9.23,03026
3,27,144,63,43.75,71,49.31,10,6.94,03027
3,28,50,19,38.0,26,52.0,5,10.0,03028
3,29,114,33,28.95,66,57.89,15,13.16,03029
3,30,118,34,28.81,77,65.25,7,5.93,03030
3,31,206,50,24.27,143,69.42,13,6.31,03031
3,32,99,27,27.27,70,70.71,2,2.02,03032
3,33,168,53,31.55,93,55.36,22,13.1,03033
3,34,104,28,26.92,69,66.35,7,6.73,03034
3,35,121,40,33.06,71,58.68,10,8.26,03035
3,36,59,24,40.68,31,52.54,4,6.78,03036
3,37,55,15,27.27,34,61.82,6,10.91,03037
3,38,195,80,41.03,101,51.79,14,7.18,03038
3,39,237,49,20.68,182,76.79,6,2.53,03039
3,40,103,26,25.24,70,67.96,7,6.8,03040
3,41,145,54,37.24,85,58.62,6,4.14,03041
3,42,97,38,39.18,47,48.45,12,12.37,03042
3,43,51,18,35.29,29,56.86,4,7.84,03043
3,44,51,12,23.53,33,64.71,6,11.76,03044
3,45,91,38,41.76,40,43.96,13,14.29,03045
3,46,73,25,34.25,37,50.68,11,15.07,03046
3,47,96,27,28.13,60,62.5,9,9.38,03047
3,48,111,34,30.63,64,57.66,13,11.71,03048
3,49,46,17,36.96,24,52.17,5,10.87,03049
3,50,122,24,19.67,92,75.41,6,4.92,03050
3,51,50,32,64.0,11,22.0,7,14.0,03051
3,52,62,18,29.03,41,66.13,3,4.84,03052
3,53,135,34,25.19,74,54.81,27,20.0,03053
3,54,149,97,65.1,38,25.5,14,9.4,03054
4,1,135,75,55.56,49,36.3,11,8.15,04001
4,2,242,121,50.0,104,42.98,17,7.02,04002
4,3,226,111,49.12,99,43.81,16,7.08,04003
4,4,212,95,44.81,93,43.87,24,11.32,04004
4,5,183,62,33.88,101,55.19,20,10.93,04005
4,6,81,32,39.51,46,56.79,3,3.7,04006
4,7,184,86,46.74,91,49.46,7,3.8,04007
4,8,212,100,47.17,97,45.75,15,7.08,04008
4,9,369,184,49.86,157,42.55,28,7.59,04009
4,10,196,94,47.96,81,41.33,21,10.71,04010
4,11,165,70,42.42,75,45.45,20,12.12,04011
4,12,102,42,41.18,51,50.0,9,8.82,04012
4,13,133,56,42.11,48,36.09,29,21.8,04013
4,14,128,60,46.88,49,38.28,19,14.84,04014
4,15,118,51,43.22,55,46.61,12,10.17,04015
4,16,214,84,39.25,108,50.47,22,10.28,04016
4,17,162,99,61.11,52,32.1,11,6.79,04017
4,18,199,123,61.81,60,30.15,16,8.04,04018
4,19,194,74,38.14,110,56.7,10,5.15,04019
4,20,69,44,63.77,19,27.54,6,8.7,04020
4,21,201,86,42.79,78,38.81,37,18.41,04021
4,22,231,124,53.68,91,39.39,16,6.93,04022
4,23,133,68,51.13,55,41.35,10,7.52,04023
4,24,202,115,56.93,68,33.66,19,9.41,04024
4,25,205,80,39.02,114,55.61,11,5.37,04025
4,26,182,76,41.76,87,47.8,19,10.44,04026
4,27,178,82,46.07,82,46.07,14,7.87,04027
4,28,104,58,55.77,33,31.73,13,12.5,04028
4,29,143,89,62.24,44,30.77,10,6.99,04029
4,30,32,18,56.25,10,31.25,4,12.5,04030
4,31,96,39,40.63,44,45.83,13,13.54,04031
4,32,169,102,60.36,48,28.4,19,11.24,04032
4,33,95,43,45.26,40,42.11,12,12.63,04033
4,34,118,79,66.95,27,22.88,12,10.17,04034
4,35,109,49,44.95,47,43.12,13,11.93,04035
4,36,90,38,42.22,43,47.78,9,10.0,04036
4,37,56,24,42.86,25,44.64,7,12.5,04037
4,38,253,151,59.68,88,34.78,14,5.53,04038
4,39,102,52,50.98,37,36.27,13,12.75,04039
4,40,143,76,53.15,53,37.06,14,9.79,04040
4,41,78,45,57.69,20,25.64,13,16.67,04041
4,42,214,100,46.73,93,43.46,21,9.81,04042
4,43,113,75,66.37,24,21.24,14,12.39,04043
4,44,113,56,49.56,43,38.05,14,12.39,04044
4,45,362,189,52.21,157,43.37,16,4.42,04045
4,46,138,63,45.65,69,50.0,6,4.35,04046
4,47,216,135,62.5,63,29.17,18,8.33,04047
4,48,236,150,63.56,71,30.08,15,6.36,04048
4,49,143,58,40.56,73,51.05,12,8.39,04049
4,50,162,66,40.74,86,53.09,10,6.17,04050
4,51,231,102,44.16,107,46.32,22,9.52,04051
4,52,239,103,43.1,114,47.7,22,9.21,04052
4,53,166,65,39.16,82,49.4,19,11.45,04053
4,54,94,49,52.13,32,34.04,13,13.83,04054
4,55,96,72,75.0,18,18.75,6,6.25,04055
5,1,182,61,33.52,105,57.69,16,8.79,05001
5,2,148,71,47.97,60,40.54,17,11.49,05002
5,3,84,54,64.29,27,32.14,3,3.57,05003
5,4,137,46,33.58,83,60.58,8,5.84,05004
5,5,152,62,40.79,68,44.74,22,14.47,05005
5,6,200,67,33.5,115,57.5,18,9.0,05006
5,7,181,85,46.96,83,45.86,13,7.18,05007
5,8,194,152,78.35,24,12.37,18,9.28,05008
5,9,169,85,50.3,66,39.05,18,10.65,05009
5,10,157,72,45.86,79,50.32,6,3.82,05010
5,11,156,93,59.62,41,26.28,22,14.1,05011
5,12,113,43,38.05,54,47.79,16,14.16,05012
5,13,149,55,36.91,78,52.35,16,10.74,05013
5,14,203,116,57.14,72,35.47,15,7.39,05014
5,15,135,48,35.56,72,53.33,15,11.11,05015
5,16,135,53,39.26,64,47.41,18,13.33,05016
5,17,193,81,41.97,97,50.26,15,7.77,05017
5,18,176,80,45.45,79,44.89,17,9.66,05018
5,19,91,35,38.46,49,53.85,7,7.69,05019
5,20,84,38,45.24,36,42.86,10,11.9,05020
5,21,211,66,31.28,114,54.03,31,14.69,05021
5,22,168,80,47.62,70,41.67,18,10.71,05022
5,23,129,62,48.06,56,43.41,11,8.53,05023
5,24,174,104,59.77,54,31.03,16,9.2,05024
5,25,172,62,36.05,81,47.09,29,16.86,05025
5,26,197,67,34.01,102,51.78,28,14.21,05026
5,27,151,109,72.19,21,13.91,21,13.91,05027
5,28,185,85,45.95,85,45.95,15,8.11,05028
5,29,187,70,37.43,102,54.55,15,8.02,05029
5,30,147,118,80.27,17,11.56,12,8.16,05030
5,31,152,62,40.79,66,43.42,24,15.79,05031
5,32,290,102,35.17,165,56.9,23,7.93,05032
5,33,137,71,51.82,54,39.42,12,8.76,05033
5,34,167,66,39.52,76,45.51,25,14.97,05034
5,35,134,84,62.69,35,26.12,15,11.19,05035
5,36,90,30,33.33,46,51.11,14,15.56,05036
5,37,144,86,59.72,40,27.78,18,12.5,05037
5,38,169,126,74.56,33,19.53,10,5.92,05038
5,39,163,132,80.98,21,12.88,10,6.13,05039
5,40,153,46,30.07,87,56.86,20,13.07,05040
5,41,98,82,83.67,11,11.22,5,5.1,05041
5,42,185,76,41.08,87,47.03,22,11.89,05042
5,43,201,71,35.32,113,56.22,17,8.46,05043
5,44,212,82,38.68,107,50.47,23,10.85,05044
5,45,99,43,43.43,43,43.43,13,13.13,05045
5,46,174,112,64.37,40,22.99,22,12.64,05046
5,47,123,51,41.46,65,52.85,7,5.69,05047
5,48,98,65,66.33,26,26.53,7,7.14,05048
5,49,38,13,34.21,24,63.16,1,2.63,05049
5,50,130,40,30.77,74,56.92,16,12.31,05050
5,51,125,56,44.8,60,48.0,9,7.2,05051
5,52,16,11,68.75,5,31.25,0,0.0,05052
5,53,207,111,53.62,84,40.58,12,5.8,05053
5,54,256,123,48.05,116,45.31,17,6.64,05054
5,55,151,53,35.1,79,52.32,19,12.58,05055
6,1,256,88,34.38,154,60.16,14,5.47,06001
6,2,227,90,39.65,118,51.98,19,8.37,06002
6,3,230,92,40.0,119,51.74,19,8.26,06003
6,4,126,42,33.33,72,57.14,12,9.52,06004
6,5,106,30,28.3,59,55.66,17,16.04,06005
6,6,171,54,31.58,97,56.73,20,11.7,06006
6,7,201,80,39.8,99,49.25,22,10.95,06007
6,8,234,80,34.19,148,63.25,6,2.56,06008
6,9,177,60,33.9,99,55.93,18,10.17,06009
6,10,267,99,37.08,149,55.81,19,7.12,06010
6,11,210,74,35.24,116,55.24,20,9.52,06011
6,12,144,55,38.19,69,47.92,20,13.89,06012
6,13,176,70,39.77,91,51.7,15,8.52,06013
6,14,185,77,41.62,92,49.73,16,8.65,06014
6,15,122,50,40.98,61,50.0,11,9.02,06015
6,16,230,64,27.83,156,67.83,10,4.35,06016
6,17,238,83,34.87,140,58.82,15,6.3,06017
6,18,78,25,32.05,42,53.85,11,14.1,06018
6,19,215,76,35.35,119,55.35,20,9.3,06019
6,20,182,71,39.01,86,47.25,25,13.74,06020
6,21,200,77,38.5,110,55.0,13,6.5,06021
6,22,180,69,38.33,103,57.22,8,4.44,06022
6,23,167,65,38.92,93,55.69,9,5.39,06023
6,24,231,89,38.53,113,48.92,29,12.55,06024
6,25,148,70,47.3,64,43.24,14,9.46,06025
6,26,223,84,37.67,106,47.53,33,14.8,06026
6,27,244,96,39.34,124,50.82,24,9.84,06027
6,28,360,137,38.06,197,54.72,26,7.22,06028
6,29,255,86,33.73,145,56.86,24,9.41,06029
6,30,149,39,26.17,96,64.43,14,9.4,06030
6,31,232,95,40.95,119,51.29,18,7.76,06031
6,32,185,56,30.27,107,57.84,22,11.89,06032
6,33,238,86,36.13,124,52.1,28,11.76,06033
6,34,173,68,39.31,87,50.29,18,10.4,06034
6,35,187,58,31.02,116,62.03,13,6.95,06035
6,36,98,33,33.67,54,55.1,11,11.22,06036
6,37,242,77,31.82,140,57.85,25,10.33,06037
6,38,212,75,35.38,117,55.19,20,9.43,06038
6,39,155,61,39.35,77,49.68,17,10.97,06039
6,40,105,26,24.76,66,62.86,13,12.38,06040
6,41,204,58,28.43,135,66.18,11,5.39,06041
6,42,93,30,32.26,53,56.99,10,10.75,06042
6,43,203,68,33.5,122,60.1,13,6.4,06043
6,44,192,75,39.06,100,52.08,17,8.85,06044
6,45,139,42,30.22,88,63.31,9,6.47,06045
6,46,186,55,29.57,118,63.44,13,6.99,06046
6,47,217,79,36.41,114,52.53,24,11.06,06047
6,48,171,55,32.16,101,59.06,15,8.77,06048
6,49,198,78,39.39,105,53.03,15,7.58,06049
6,50,214,79,36.92,117,54.67,18,8.41,06050
6,51,140,43,30.71,85,60.71,12,8.57,06051
6,52,133,47,35.34,76,57.14,10,7.52,06052
6,53,176,65,36.93,93,52.84,18,10.23,06053
6,54,189,64,33.86,106,56.08,19,10.05,06054
6,55,156,49,31.41,89,57.05,18,11.54,06055
6,56,131,60,45.8,59,45.04,12,9.16,06056
6,57,108,31,28.7,66,61.11,11,10.19,06057
6,58,229,78,34.06,132,57.64,19,8.3,06058
6,59,184,67,36.41,90,48.91,27,14.67,06059
6,60,132,42,31.82,84,63.64,6,4.55,06060
6,61,123,35,28.46,66,53.66,22,17.89,06061
6,62,172,58,33.72,97,56.4,17,9.88,06062
6,63,166,52,31.33,101,60.84,13,7.83,06063
6,64,237,86,36.29,137,57.81,14,5.91,06064
7,1,222,95,42.79,111,50.0,16,7.21,07001
7,2,231,106,45.89,107,46.32,18,7.79,07002
7,3,109,42,38.53,57,52.29,10,9.17,07003
7,4,137,88,64.23,34,24.82,15,10.95,07004
7,5,130,81,62.31,35,26.92,14,10.77,07005
7,6,143,72,50.35,55,38.46,16,11.19,07006
7,7,97,56,57.73,29,29.9,12,12.37,07007
7,8,59,30,50.85,19,32.2,10,16.95,07008
7,9,165,88,53.33,70,42.42,7,4.24,07009
7,10,111,44,39.64,55,49.55,12,10.81,07010
7,11,176,82,46.59,83,47.16,11,6.25,07011
7,12,119,58,48.74,50,42.02,11,9.24,07012
7,13,113,50,44.25,41,36.28,22,19.47,07013
7,14,169,60,35.5,86,50.89,23,13.61,07014
7,15,82,31,37.8,41,50.0,10,12.2,07015
7,16,134,53,39.55,58,43.28,23,17.16,07016
7,17,108,36,33.33,56,51.85,16,14.81,07017
7,18,103,51,49.51,39,37.86,13,12.62,07018
7,19,238,105,44.12,110,46.22,23,9.66,07019
7,20,83,31,37.35,41,49.4,11,13.25,07020
7,21,164,75,45.73,68,41.46,21,12.8,07021
7,22,123,74,60.16,45,36.59,4,3.25,07022
7,23,105,45,42.86,50,47.62,10,9.52,07023
7,24,166,79,47.59,71,42.77,16,9.64,07024
7,25,193,111,57.51,61,31.61,21,10.88,07025
7,26,209,88,42.11,101,48.33,20,9.57,07026
7,27,242,88,36.36,137,56.61,17,7.02,07027
7,28,158,63,39.87,74,46.84,21,13.29,07028
7,29,113,48,42.48,47,41.59,18,15.93,07029
7,30,200,75,37.5,89,44.5,36,18.0,07030
7,31,192,73,38.02,81,42.19,38,19.79,07031
7,32,133,54,40.6,61,45.86,18,13.53,07032
7,33,152,61,40.13,59,38.82,32,21.05,07033
7,34,140,59,42.14,60,42.86,21,15.0,07034
7,35,74,37,50.0,28,37.84,9,12.16,07035
7,36,222,124,55.86,80,36.04,18,8.11,07036
7,37,67,35,52.24,26,38.81,6,8.96,07037
7,38,127,56,44.09,61,48.03,10,7.87,07038
7,39,135,57,42.22,52,38.52,26,19.26,07039
7,40,173,77,44.51,69,39.88,27,15.61,07040
7,41,139,67,48.2,54,38.85,18,12.95,07041
7,42,241,101,41.91,117,48.55,23,9.54,07042
7,43,173,93,53.76,67,38.73,13,7.51,07043
7,44,190,91,47.89,74,38.95,25,13.16,07044
7,45,249,129,51.81,108,43.37,12,4.82,07045
7,46,98,55,56.12,35,35.71,8,8.16,07046
7,47,148,72,48.65,61,41.22,15,10.14,07047
7,48,66,30,45.45,29,43.94,7,10.61,07048
7,49,108,55,50.93,49,45.37,4,3.7,07049
7,50,111,55,49.55,51,45.95,5,4.5,07050
7,51,162,82,50.62,63,38.89,17,10.49,07051
7,52,120,62,51.67,49,40.83,9,7.5,07052
7,53,143,73,51.05,58,40.56,12,8.39,07053
7,54,67,30,44.78,27,40.3,10,14.93,07054
7,55,151,59,39.07,64,42.38,28,18.54,07055
7,56,111,54,48.65,44,39.64,13,11.71,07056
7,57,144,61,42.36,70,48.61,13,9.03,07057
7,58,232,111,47.84,100,43.1,21,9.05,07058
7,59,78,43,55.13,27,34.62,8,10.26,07059
7,60,108,58,53.7,38,35.19,12,11.11,07060
7,61,162,79,48.77,63,38.89,20,12.35,07061
7,62,162,90,55.56,59,36.42,13,8.02,07062
7,63,122,47,38.52,57,46.72,18,14.75,07063
7,64,130,54,41.54,61,46.92,15,11.54,07064
7,65,149,55,36.91,71,47.65,23,15.44,07065
8,1,229,100,43.67,112,48.91,17,7.42,08001
8,2,106,66,62.26,35,33.02,5,4.72,08002
8,3,273,120,43.96,132,48.35,21,7.69,08003
8,4,208,102,49.04,87,41.83,19,9.13,08004
8,5,265,114,43.02,133,50.19,18,6.79,08005
8,6,220,119,54.09,75,34.09,26,11.82,08006
8,7,150,84,56.0,53,35.33,13,8.67,08007
8,8,259,144,55.6,99,38.22,16,6.18,08008
8,9,280,119,42.5,134,47.86,27,9.64,08009
8,10,276,128,46.38,127,46.01,21,7.61,08010
8,11,178,90,50.56,73,41.01,15,8.43,08011
8,12,168,98,58.33,56,33.33,14,8.33,08012
8,13,154,90,58.44,51,33.12,13,8.44,08013
8,14,139,94,67.63,35,25.18,10,7.19,08014
8,15,150,80,53.33,53,35.33,17,11.33,08015
8,16,238,126,52.94,93,39.08,19,7.98,08016
8,17,171,82,47.95,73,42.69,16,9.36,08017
8,18,112,62,55.36,43,38.39,7,6.25,08018
8,19,250,131,52.4,91,36.4,28,11.2,08019
8,20,155,76,49.03,59,38.06,20,12.9,08020
8,21,167,81,48.5,74,44.31,12,7.19,08021
8,22,161,72,44.72,78,48.45,11,6.83,08022
8,23,178,71,39.89,81,45.51,26,14.61,08023
8,24,220,102,46.36,96,43.64,22,10.0,08024
8,25,197,93,47.21,85,43.15,19,9.64,08025
8,26,122,59,48.36,49,40.16,14,11.48,08026
8,27,230,117,50.87,96,41.74,17,7.39,08027
8,28,190,86,45.26,95,50.0,9,4.74,08028
8,29,226,135,59.73,74,32.74,17,7.52,08029
8,30,165,88,53.33,63,38.18,14,8.48,08030
8,31,137,77,56.2,51,37.23,9,6.57,08031
8,32,301,117,38.87,167,55.48,17,5.65,08032
8,33,180,102,56.67,65,36.11,13,7.22,08033
8,34,255,131,51.37,111,43.53,13,5.1,08034
8,35,238,118,49.58,104,43.7,16,6.72,08035
8,36,182,96,52.75,74,40.66,12,6.59,08036
8,37,209,94,44.98,95,45.45,20,9.57,08037
8,38,177,103,58.19,65,36.72,9,5.08,08038
8,39,227,106,46.7,95,41.85,26,11.45,08039
8,40,203,125,61.58,68,33.5,10,4.93,08040
8,41,150,79,52.67,57,38.0,14,9.33,08041
8,42,200,108,54.0,79,39.5,13,6.5,08042
8,43,147,82,55.78,56,38.1,9,6.12,08043
8,44,157,89,56.69,58,36.94,10,6.37,08044
8,45,160,86,53.75,56,35.0,18,11.25,08045
8,46,163,86,52.76,54,33.13,23,14.11,08046
8,47,202,102,50.5,87,43.07,13,6.44,08047
8,48,174,96,55.17,66,37.93,12,6.9,08048
8,49,252,143,56.75,92,36.51,17,6.75,08049
8,50,210,103,49.05,94,44.76,13,6.19,08050
8,51,249,93,37.35,135,54.22,21,8.43,08051
8,52,235,115,48.94,107,45.53,13,5.53,08052
8,53,255,147,57.65,86,33.73,22,8.63,08053
8,54,219,118,53.88,78,35.62,23,10.5,08054
8,55,156,84,53.85,61,39.1,11,7.05,08055
8,56,214,125,58.41,74,34.58,15,7.01,08056
8,57,119,45,37.82,65,54.62,9,7.56,08057
8,58,227,97,42.73,113,49.78,17,7.49,08058
8,59,115,58,50.43,41,35.65,16,13.91,08059
8,60,162,63,38.89,86,53.09,13,8.02,08060
8,61,166,73,43.98,77,46.39,16,9.64,08061
8,62,190,87,45.79,93,48.95,10,5.26,08062
8,63,242,142,58.68,89,36.78,11,4.55,08063
8,64,160,101,63.13,49,30.63,10,6.25,08064
8,65,131,60,45.8,58,44.27,13,9.92,08065
8,66,260,128,49.23,107,41.15,25,9.62,08066
8,67,98,62,63.27,34,34.69,2,2.04,08067
8,68,109,69,63.3,34,31.19,6,5.5,08068
8,69,127,73,57.48,43,33.86,11,8.66,08069
8,70,234,108,46.15,100,42.74,26,11.11,08070
9,1,243,118,48.56,112,46.09,13,5.35,09001
9,2,226,57,25.22,160,70.8,9,3.98,09002
9,3,91,43,47.25,37,40.66,11,12.09,09003
9,4,225,104,46.22,107,47.56,14,6.22,09004
9,5,176,97,55.11,71,40.34,8,4.55,09005
9,6,194,87,44.85,94,48.45,13,6.7,09006
9,7,193,70,36.27,105,54.4,18,9.33,09007
9,8,202,88,43.56,107,52.97,7,3.47,09008
9,9,221,94,42.53,117,52.94,10,4.52,09009
9,10,187,70,37.43,90,48.13,27,14.44,09010
9,11,127,48,37.8,73,57.48,6,4.72,09011
9,12,199,88,44.22,100,50.25,11,5.53,09012
9,13,255,111,43.53,135,52.94,9,3.53,09013
9,14,244,60,24.59,169,69.26,15,6.15,09014
9,15,155,83,53.55,63,40.65,9,5.81,09015
9,16,119,53,44.54,57,47.9,9,7.56,09016
9,17,195,52,26.67,127,65.13,16,8.21,09017
9,18,207,83,40.1,106,51.21,18,8.7,09018
9,19,220,94,42.73,99,45.0,27,12.27,09019
9,20,232,92,39.66,114,49.14,26,11.21,09020
9,21,183,78,42.62,79,43.17,26,14.21,09021
9,22,248,117,47.18,119,47.98,12,4.84,09022
9,23,150,78,52.0,67,44.67,5,3.33,09023
9,24,89,44,49.44,38,42.7,7,7.87,09024
9,25,114,63,55.26,37,32.46,14,12.28,09025
9,26,111,65,58.56,40,36.04,6,5.41,09026
9,27,152,69,45.39,68,44.74,15,9.87,09027
9,28,107,67,62.62,33,30.84,7,6.54,09028
9,29,161,81,50.31,70,43.48,10,6.21,09029
9,30,160,81,50.63,70,43.75,9,5.63,09030
9,31,157,82,52.23,67,42.68,8,5.1,09031
9,32,184,81,44.02,89,48.37,14,7.61,09032
9,33,139,70,50.36,54,38.85,15,10.79,09033
9,34,167,60,35.93,100,59.88,7,4.19,09034
9,35,253,122,48.22,112,44.27,19,7.51,09035
9,36,204,106,51.96,83,40.69,15,7.35,09036
9,37,218,148,67.89,49,22.48,21,9.63,09037
