ward,precinct,total,Earlean Collins,Earlean Collins Percent,precinct_id
37,6,172,172,100.0,37006
37,7,174,174,100.0,37007
37,8,111,111,100.0,37008
37,9,155,155,100.0,37009
37,10,166,166,100.0,37010
37,12,73,73,100.0,37012
37,13,134,134,100.0,37013
37,14,222,222,100.0,37014
37,15,165,165,100.0,37015
37,16,150,150,100.0,37016
37,17,134,134,100.0,37017
37,18,161,161,100.0,37018
37,20,152,152,100.0,37020
37,21,163,163,100.0,37021
37,22,88,88,100.0,37022
37,23,112,112,100.0,37023
37,24,137,137,100.0,37024
37,25,177,177,100.0,37025
37,26,159,159,100.0,37026
37,27,189,189,100.0,37027
37,28,166,166,100.0,37028
37,29,151,151,100.0,37029
37,30,119,119,100.0,37030
37,31,181,181,100.0,37031
37,32,177,177,100.0,37032
37,33,136,136,100.0,37033
37,34,158,158,100.0,37034
37,35,156,156,100.0,37035
37,36,161,161,100.0,37036
37,37,170,170,100.0,37037
37,38,177,177,100.0,37038
37,40,145,145,100.0,37040
37,41,182,182,100.0,37041
37,43,134,134,100.0,37043
