ward,precinct,total,James Michael McGing,James Michael McGing Percent,John Joseph Pembroke,John Joseph Pembroke Percent,Brian Grossman,Brian Grossman Percent,precinct_id
39,13,48,28,58.33,4,8.33,16,33.33,39013
39,14,81,53,65.43,11,13.58,17,20.99,39014
39,15,104,66,63.46,13,12.5,25,24.04,39015
39,16,53,20,37.74,11,20.75,22,41.51,39016
39,17,72,35,48.61,5,6.94,32,44.44,39017
39,18,97,34,35.05,13,13.4,50,51.55,39018
39,19,82,45,54.88,8,9.76,29,35.37,39019
39,20,100,58,58.0,7,7.0,35,35.0,39020
39,21,75,48,64.0,11,14.67,16,21.33,39021
39,22,99,77,77.78,7,7.07,15,15.15,39022
39,23,73,47,64.38,4,5.48,22,30.14,39023
39,24,70,38,54.29,14,20.0,18,25.71,39024
39,25,100,39,39.0,28,28.0,33,33.0,39025
39,26,112,74,66.07,13,11.61,25,22.32,39026
39,27,127,47,37.01,15,11.81,65,51.18,39027
39,28,93,44,47.31,13,13.98,36,38.71,39028
39,29,104,42,40.38,24,23.08,38,36.54,39029
39,30,52,23,44.23,15,28.85,14,26.92,39030
39,31,49,26,53.06,11,22.45,12,24.49,39031
39,33,107,52,48.6,18,16.82,37,34.58,39033
39,34,103,40,38.83,25,24.27,38,36.89,39034
39,35,126,58,46.03,13,10.32,55,43.65,39035
39,36,125,61,48.8,13,10.4,51,40.8,39036
39,37,155,90,58.06,8,5.16,57,36.77,39037
39,38,108,52,48.15,13,12.04,43,39.81,39038
39,39,52,33,63.46,5,9.62,14,26.92,39039
39,40,75,48,64.0,11,14.67,16,21.33,39040
39,41,25,10,40.0,2,8.0,13,52.0,39041
39,42,114,74,64.91,11,9.65,29,25.44,39042
39,43,82,31,37.8,12,14.63,39,47.56,39043
39,44,87,34,39.08,23,26.44,30,34.48,39044
39,45,61,27,44.26,10,16.39,24,39.34,39045
39,46,89,39,43.82,11,12.36,39,43.82,39046
39,47,61,38,62.3,10,16.39,13,21.31,39047
40,1,69,31,44.93,13,18.84,25,36.23,40001
40,2,72,50,69.44,9,12.5,13,18.06,40002
40,5,82,38,46.34,16,19.51,28,34.15,40005
40,6,73,32,43.84,14,19.18,27,36.99,40006
40,8,21,13,61.9,3,14.29,5,23.81,40008
40,10,126,69,54.76,19,15.08,38,30.16,40010
40,14,56,29,51.79,10,17.86,17,30.36,40014
40,15,108,69,63.89,17,15.74,22,20.37,40015
40,17,64,31,48.44,8,12.5,25,39.06,40017
40,18,11,9,,2,,0,,40018
40,19,86,47,54.65,14,16.28,25,29.07,40019
40,20,80,43,53.75,13,16.25,24,30.0,40020
40,21,87,46,52.87,11,12.64,30,34.48,40021
40,24,55,29,52.73,6,10.91,20,36.36,40024
40,25,77,39,50.65,9,11.69,29,37.66,40025
40,29,139,62,44.6,12,8.63,65,46.76,40029
40,30,164,87,53.05,11,6.71,66,40.24,40030
40,31,96,62,64.58,10,10.42,24,25.0,40031
40,32,50,21,42.0,7,14.0,22,44.0,40032
40,34,84,48,57.14,15,17.86,21,25.0,40034
40,36,101,68,67.33,16,15.84,17,16.83,40036
40,38,49,24,48.98,8,16.33,17,34.69,40038
40,44,57,30,52.63,12,21.05,15,26.32,40044
40,48,80,42,52.5,14,17.5,24,30.0,40048
40,49,51,25,49.02,6,11.76,20,39.22,40049
41,1,146,110,75.34,18,12.33,18,12.33,41001
41,2,210,174,82.86,15,7.14,21,10.0,41002
41,3,139,83,59.71,17,12.23,39,28.06,41003
41,4,167,135,80.84,16,9.58,16,9.58,41004
41,5,130,94,72.31,17,13.08,19,14.62,41005
41,6,151,91,60.26,8,5.3,52,34.44,41006
41,7,170,126,74.12,17,10.0,27,15.88,41007
41,8,138,103,74.64,14,10.14,21,15.22,41008
41,9,124,79,63.71,14,11.29,31,25.0,41009
41,10,140,92,65.71,9,6.43,39,27.86,41010
41,11,144,102,70.83,17,11.81,25,17.36,41011
41,12,139,79,56.83,21,15.11,39,28.06,41012
41,13,79,55,69.62,11,13.92,13,16.46,41013
41,14,206,110,53.4,23,11.17,73,35.44,41014
41,15,132,101,76.52,7,5.3,24,18.18,41015
41,16,142,89,62.68,20,14.08,33,23.24,41016
41,17,141,91,64.54,21,14.89,29,20.57,41017
41,18,123,80,65.04,15,12.2,28,22.76,41018
41,19,102,59,57.84,11,10.78,32,31.37,41019
41,20,155,77,49.68,40,25.81,38,24.52,41020
41,21,147,94,63.95,14,9.52,39,26.53,41021
41,22,133,88,66.17,16,12.03,29,21.8,41022
41,23,126,79,62.7,22,17.46,25,19.84,41023
41,24,132,85,64.39,15,11.36,32,24.24,41024
41,30,152,88,57.89,19,12.5,45,29.61,41030
41,31,154,115,74.68,13,8.44,26,16.88,41031
41,32,92,59,64.13,12,13.04,21,22.83,41032
41,33,94,59,62.77,17,18.09,18,19.15,41033
41,34,87,54,62.07,10,11.49,23,26.44,41034
41,35,179,121,67.6,15,8.38,43,24.02,41035
41,36,149,104,69.8,18,12.08,27,18.12,41036
41,37,123,82,66.67,14,11.38,27,21.95,41037
41,38,127,77,60.63,15,11.81,35,27.56,41038
41,39,116,72,62.07,12,10.34,32,27.59,41039
41,40,176,139,78.98,19,10.8,18,10.23,41040
41,41,149,111,74.5,19,12.75,19,12.75,41041
41,42,171,137,80.12,18,10.53,16,9.36,41042
41,43,125,80,64.0,14,11.2,31,24.8,41043
41,45,121,69,57.02,24,19.83,28,23.14,41045
41,46,117,63,53.85,13,11.11,41,35.04,41046
41,49,179,148,82.68,16,8.94,15,8.38,41049
41,50,123,75,60.98,19,15.45,29,23.58,41050
41,51,97,62,63.92,17,17.53,18,18.56,41051
41,52,212,127,59.91,20,9.43,65,30.66,41052
41,53,149,84,56.38,27,18.12,38,25.5,41053
41,55,85,58,68.24,7,8.24,20,23.53,41055
41,56,206,170,82.52,12,5.83,24,11.65,41056
45,2,150,121,80.67,11,7.33,18,12.0,45002
45,3,231,184,79.65,14,6.06,33,14.29,45003
45,4,178,92,51.69,25,14.04,61,34.27,45004
45,5,148,85,57.43,13,8.78,50,33.78,45005
45,6,156,109,69.87,9,5.77,38,24.36,45006
45,7,85,47,55.29,6,7.06,32,37.65,45007
45,8,104,62,59.62,20,19.23,22,21.15,45008
45,9,158,89,56.33,18,11.39,51,32.28,45009
45,10,135,87,64.44,21,15.56,27,20.0,45010
45,11,123,78,63.41,15,12.2,30,24.39,45011
45,12,137,82,59.85,10,7.3,45,32.85,45012
45,13,221,172,77.83,13,5.88,36,16.29,45013
45,14,144,86,59.72,14,9.72,44,30.56,45014
45,15,161,112,69.57,20,12.42,29,18.01,45015
45,16,131,71,54.2,18,13.74,42,32.06,45016
45,17,127,79,62.2,8,6.3,40,31.5,45017
45,18,151,116,76.82,9,5.96,26,17.22,45018
45,19,169,99,58.58,17,10.06,53,31.36,45019
45,20,87,54,62.07,11,12.64,22,25.29,45020
45,21,130,94,72.31,9,6.92,27,20.77,45021
45,22,115,84,73.04,14,12.17,17,14.78,45022
45,23,133,79,59.4,16,12.03,38,28.57,45023
45,24,152,79,51.97,16,10.53,57,37.5,45024
45,25,156,110,70.51,18,11.54,28,17.95,45025
45,26,182,129,70.88,18,9.89,35,19.23,45026
45,27,109,67,61.47,13,11.93,29,26.61,45027
45,28,121,78,64.46,16,13.22,27,22.31,45028
45,29,134,92,68.66,19,14.18,23,17.16,45029
45,30,150,82,54.67,20,13.33,48,32.0,45030
45,31,119,74,62.18,16,13.45,29,24.37,45031
45,32,71,35,49.3,11,15.49,25,35.21,45032
45,33,127,77,60.63,12,9.45,38,29.92,45033
45,34,101,60,59.41,12,11.88,29,28.71,45034
45,35,129,87,67.44,12,9.3,30,23.26,45035
45,36,104,56,53.85,17,16.35,31,29.81,45036
45,37,102,48,47.06,22,21.57,32,31.37,45037
45,38,125,85,68.0,19,15.2,21,16.8,45038
45,39,154,101,65.58,18,11.69,35,22.73,45039
45,40,202,144,71.29,23,11.39,35,17.33,45040
45,41,69,38,55.07,17,24.64,14,20.29,45041
45,42,143,109,76.22,21,14.69,13,9.09,45042
45,43,114,70,61.4,15,13.16,29,25.44,45043
45,44,163,113,69.33,16,9.82,34,20.86,45044
45,45,91,45,49.45,14,15.38,32,35.16,45045
45,46,148,77,52.03,29,19.59,42,28.38,45046
45,47,115,68,59.13,21,18.26,26,22.61,45047
45,48,123,77,62.6,16,13.01,30,24.39,45048
45,49,138,79,57.25,15,10.87,44,31.88,45049
45,50,106,66,62.26,12,11.32,28,26.42,45050
45,51,121,77,63.64,15,12.4,29,23.97,45051
45,52,129,91,70.54,8,6.2,30,23.26,45052
45,53,94,62,65.96,11,11.7,21,22.34,45053
46,21,21,6,28.57,6,28.57,9,42.86,46021
47,1,124,80,64.52,17,13.71,27,21.77,47001
47,2,117,61,52.14,19,16.24,37,31.62,47002
47,3,96,44,45.83,10,10.42,42,43.75,47003
47,4,167,83,49.7,10,5.99,74,44.31,47004
47,5,111,67,60.36,4,3.6,40,36.04,47005
47,6,169,100,59.17,21,12.43,48,28.4,47006
47,7,125,67,53.6,14,11.2,44,35.2,47007
47,8,187,118,63.1,17,9.09,52,27.81,47008
47,9,113,74,65.49,13,11.5,26,23.01,47009
47,10,70,37,52.86,11,15.71,22,31.43,47010
47,11,218,155,71.1,17,7.8,46,21.1,47011
47,12,107,56,52.34,16,14.95,35,32.71,47012
47,13,204,105,51.47,27,13.24,72,35.29,47013
47,14,95,29,30.53,13,13.68,53,55.79,47014
47,16,151,56,37.09,17,11.26,78,51.66,47016
47,17,130,76,58.46,15,11.54,39,30.0,47017
47,19,207,149,71.98,16,7.73,42,20.29,47019
47,20,143,89,62.24,22,15.38,32,22.38,47020
47,21,7,5,,0,,2,,47021
47,22,157,74,47.13,17,10.83,66,42.04,47022
47,25,140,51,36.43,10,7.14,79,56.43,47025
47,26,136,61,44.85,17,12.5,58,42.65,47026
47,27,101,50,49.5,16,15.84,35,34.65,47027
47,28,199,114,57.29,17,8.54,68,34.17,47028
47,29,128,65,50.78,14,10.94,49,38.28,47029
47,30,141,73,51.77,17,12.06,51,36.17,47030
47,31,118,63,53.39,12,10.17,43,36.44,47031
47,32,127,71,55.91,9,7.09,47,37.01,47032
47,33,134,68,50.75,19,14.18,47,35.07,47033
47,34,144,79,54.86,17,11.81,48,33.33,47034
47,35,179,96,53.63,18,10.06,65,36.31,47035
47,36,167,78,46.71,14,8.38,75,44.91,47036
47,37,168,96,57.14,26,15.48,46,27.38,47037
47,38,139,70,50.36,13,9.35,56,40.29,47038
47,39,133,49,36.84,18,13.53,66,49.62,47039
47,42,93,49,52.69,13,13.98,31,33.33,47042
47,43,90,53,58.89,6,6.67,31,34.44,47043
47,45,129,51,39.53,19,14.73,59,45.74,47045
47,46,85,35,41.18,17,20.0,33,38.82,47046
47,47,124,56,45.16,10,8.06,58,46.77,47047
47,48,35,20,57.14,7,20.0,8,22.86,47048
47,49,71,35,49.3,10,14.08,26,36.62,47049
47,50,88,56,63.64,7,7.95,25,28.41,47050
47,51,86,40,46.51,12,13.95,34,39.53,47051
47,52,35,24,68.57,2,5.71,9,25.71,47052
48,49,10,5,50.0,2,20.0,3,30.0,48049
50,8,74,38,51.35,12,16.22,24,32.43,50008
50,23,65,17,26.15,11,16.92,37,56.92,50023
50,29,90,34,37.78,21,23.33,35,38.89,50029
50,45,33,10,30.3,3,9.09,20,60.61,50045
