ward,precinct,total,Andre Martin Thapedi,Andre Martin Thapedi Percent,Diane M. Shelley,Diane M. Shelley Percent,Stephen Stern,Stephen Stern Percent,precinct_id
5,40,150,94,62.67,36,24.0,20,13.33,05040
5,41,104,11,10.58,33,31.73,60,57.69,05041
5,42,179,84,46.93,69,38.55,26,14.53,05042
5,43,203,67,33.0,52,25.62,84,41.38,05043
5,44,204,101,49.51,71,34.8,32,15.69,05044
5,45,95,35,36.84,44,46.32,16,16.84,05045
5,46,156,31,19.87,72,46.15,53,33.97,05046
5,47,116,58,50.0,42,36.21,16,13.79,05047
5,48,93,25,26.88,36,38.71,32,34.41,05048
5,49,35,20,57.14,11,31.43,4,11.43,05049
5,50,87,24,27.59,50,57.47,13,14.94,05050
5,51,107,39,36.45,47,43.93,21,19.63,05051
5,52,16,4,25.0,6,37.5,6,37.5,05052
5,53,187,69,36.9,75,40.11,43,22.99,05053
5,54,236,105,44.49,91,38.56,40,16.95,05054
5,55,145,66,45.52,59,40.69,20,13.79,05055
6,7,190,51,26.84,93,48.95,46,24.21,06007
6,15,108,39,36.11,49,45.37,20,18.52,06015
6,18,70,21,30.0,33,47.14,16,22.86,06018
6,20,187,94,50.27,55,29.41,38,20.32,06020
6,30,140,41,29.29,70,50.0,29,20.71,06030
6,32,162,64,39.51,63,38.89,35,21.6,06032
6,33,216,104,48.15,64,29.63,48,22.22,06033
6,39,34,12,35.29,13,38.24,9,26.47,06039
6,48,152,53,34.87,69,45.39,30,19.74,06048
6,61,115,42,36.52,50,43.48,23,20.0,06061
6,62,150,59,39.33,61,40.67,30,20.0,06062
7,9,149,72,48.32,51,34.23,26,17.45,07009
7,11,165,74,44.85,58,35.15,33,20.0,07011
7,35,69,36,52.17,23,33.33,10,14.49,07035
7,40,154,60,38.96,64,41.56,30,19.48,07040
7,44,178,71,39.89,74,41.57,33,18.54,07044
7,45,241,89,36.93,79,32.78,73,30.29,07045
7,50,99,45,45.45,31,31.31,23,23.23,07050
7,64,127,73,57.48,35,27.56,19,14.96,07064
8,57,106,49,46.23,42,39.62,15,14.15,08057
8,69,3,1,,2,,0,,08069
8,70,220,115,52.27,79,35.91,26,11.82,08070
11,12,208,22,10.58,45,21.63,141,67.79,11012
11,13,140,11,7.86,37,26.43,92,65.71,11013
11,15,135,16,11.85,29,21.48,90,66.67,11015
11,27,99,14,14.14,17,17.17,68,68.69,11027
11,28,129,28,21.71,50,38.76,51,39.53,11028
11,31,136,26,19.12,28,20.59,82,60.29,11031
11,32,144,13,9.03,38,26.39,93,64.58,11032
11,34,82,17,20.73,27,32.93,38,46.34,11034
11,39,241,43,17.84,82,34.02,116,48.13,11039
11,42,68,6,8.82,16,23.53,46,67.65,11042
11,43,151,31,20.53,60,39.74,60,39.74,11043
11,45,78,15,19.23,30,38.46,33,42.31,11045
11,46,67,17,25.37,18,26.87,32,47.76,11046
11,47,101,16,15.84,45,44.55,40,39.6,11047
11,48,65,3,4.62,17,26.15,45,69.23,11048
11,49,170,11,6.47,41,24.12,118,69.41,11049
15,2,95,20,21.05,62,65.26,13,13.68,15002
15,3,87,19,21.84,52,59.77,16,18.39,15003
15,4,89,26,29.21,45,50.56,18,20.22,15004
15,5,85,22,25.88,51,60.0,12,14.12,15005
15,7,98,27,27.55,55,56.12,16,16.33,15007
15,12,52,13,25.0,28,53.85,11,21.15,15012
15,17,110,28,25.45,62,56.36,20,18.18,15017
15,18,73,17,23.29,44,60.27,12,16.44,15018
15,19,111,28,25.23,58,52.25,25,22.52,15019
15,20,94,20,21.28,59,62.77,15,15.96,15020
15,21,113,22,19.47,67,59.29,24,21.24,15021
15,23,70,18,25.71,41,58.57,11,15.71,15023
15,26,88,25,28.41,51,57.95,12,13.64,15026
15,31,96,19,19.79,60,62.5,17,17.71,15031
15,33,70,20,28.57,33,47.14,17,24.29,15033
15,34,80,17,21.25,52,65.0,11,13.75,15034
15,35,106,18,16.98,66,62.26,22,20.75,15035
15,36,79,17,21.52,47,59.49,15,18.99,15036
15,37,93,12,12.9,62,66.67,19,20.43,15037
15,39,121,25,20.66,76,62.81,20,16.53,15039
15,40,108,29,26.85,59,54.63,20,18.52,15040
15,42,56,15,26.79,25,44.64,16,28.57,15042
15,43,99,21,21.21,54,54.55,24,24.24,15043
15,46,51,12,23.53,28,54.9,11,21.57,15046
15,47,112,29,25.89,62,55.36,21,18.75,15047
15,51,3,0,,3,,0,,15051
15,52,65,16,24.62,37,56.92,12,18.46,15052
16,3,98,22,22.45,64,65.31,12,12.24,16003
16,5,108,24,22.22,69,63.89,15,13.89,16005
16,6,41,9,21.95,28,68.29,4,9.76,16006
16,8,96,21,21.88,61,63.54,14,14.58,16008
16,9,167,31,18.56,103,61.68,33,19.76,16009
16,10,77,13,16.88,45,58.44,19,24.68,16010
16,12,75,11,14.67,52,69.33,12,16.0,16012
16,14,110,18,16.36,73,66.36,19,17.27,16014
16,15,123,34,27.64,73,59.35,16,13.01,16015
16,16,124,25,20.16,81,65.32,18,14.52,16016
16,18,97,29,29.9,54,55.67,14,14.43,16018
16,19,86,18,20.93,56,65.12,12,13.95,16019
16,20,111,19,17.12,71,63.96,21,18.92,16020
16,22,91,28,30.77,47,51.65,16,17.58,16022
16,24,66,13,19.7,48,72.73,5,7.58,16024
16,25,88,17,19.32,64,72.73,7,7.95,16025
16,26,97,26,26.8,52,53.61,19,19.59,16026
16,27,164,34,20.73,105,64.02,25,15.24,16027
16,28,132,23,17.42,82,62.12,27,20.45,16028
16,29,68,11,16.18,47,69.12,10,14.71,16029
16,30,65,17,26.15,42,64.62,6,9.23,16030
16,31,127,16,12.6,94,74.02,17,13.39,16031
16,33,94,22,23.4,62,65.96,10,10.64,16033
16,34,98,17,17.35,59,60.2,22,22.45,16034
16,36,111,26,23.42,61,54.95,24,21.62,16036
16,37,68,11,16.18,45,66.18,12,17.65,16037
16,38,119,24,20.17,76,63.87,19,15.97,16038
16,40,138,25,18.12,95,68.84,18,13.04,16040
16,41,56,18,32.14,33,58.93,5,8.93,16041
16,43,140,24,17.14,84,60.0,32,22.86,16043
16,44,1,1,,0,,0,,16044
16,45,70,14,20.0,43,61.43,13,18.57,16045
16,46,35,11,31.43,17,48.57,7,20.0,16046
17,1,73,23,31.51,29,39.73,21,28.77,17001
17,6,97,29,29.9,51,52.58,17,17.53,17006
17,8,115,43,37.39,48,41.74,24,20.87,17008
17,13,70,15,21.43,38,54.29,17,24.29,17013
17,14,111,27,24.32,62,55.86,22,19.82,17014
17,16,101,16,15.84,63,62.38,22,21.78,17016
17,17,71,19,26.76,35,49.3,17,23.94,17017
17,19,40,8,20.0,21,52.5,11,27.5,17019
17,34,82,20,24.39,39,47.56,23,28.05,17034
17,36,69,19,27.54,32,46.38,18,26.09,17036
17,39,74,20,27.03,38,51.35,16,21.62,17039
17,41,108,25,23.15,57,52.78,26,24.07,17041
17,42,87,23,26.44,37,42.53,27,31.03,17042
17,43,92,25,27.17,48,52.17,19,20.65,17043
17,45,71,21,29.58,32,45.07,18,25.35,17045
17,46,124,43,34.68,54,43.55,27,21.77,17046
17,49,93,22,23.66,46,49.46,25,26.88,17049
17,58,97,26,26.8,49,50.52,22,22.68,17058
20,1,124,37,29.84,52,41.94,35,28.23,20001
20,2,114,28,24.56,57,50.0,29,25.44,20002
20,3,108,40,37.04,43,39.81,25,23.15,20003
20,5,83,31,37.35,36,43.37,16,19.28,20005
20,6,131,36,27.48,47,35.88,48,36.64,20006
20,7,60,12,20.0,30,50.0,18,30.0,20007
20,9,114,40,35.09,55,48.25,19,16.67,20009
20,10,106,44,41.51,47,44.34,15,14.15,20010
20,11,78,16,20.51,43,55.13,19,24.36,20011
20,12,80,20,25.0,35,43.75,25,31.25,20012
20,13,113,24,21.24,60,53.1,29,25.66,20013
20,14,194,73,37.63,78,40.21,43,22.16,20014
20,16,164,59,35.98,76,46.34,29,17.68,20016
20,17,93,16,17.2,59,63.44,18,19.35,20017
20,18,125,34,27.2,63,50.4,28,22.4,20018
20,19,88,19,21.59,51,57.95,18,20.45,20019
20,20,88,18,20.45,46,52.27,24,27.27,20020
20,22,147,57,38.78,62,42.18,28,19.05,20022
20,23,154,36,23.38,72,46.75,46,29.87,20023
20,24,135,56,41.48,59,43.7,20,14.81,20024
20,25,83,26,31.33,38,45.78,19,22.89,20025
20,26,155,73,47.1,54,34.84,28,18.06,20026
20,27,72,26,36.11,29,40.28,17,23.61,20027
20,28,144,28,19.44,53,36.81,63,43.75,20028
20,29,116,33,28.45,62,53.45,21,18.1,20029
20,30,134,54,40.3,44,32.84,36,26.87,20030
20,31,125,33,26.4,54,43.2,38,30.4,20031
20,32,113,27,23.89,72,63.72,14,12.39,20032
20,33,131,25,19.08,67,51.15,39,29.77,20033
20,34,154,56,36.36,59,38.31,39,25.32,20034
20,35,68,14,20.59,36,52.94,18,26.47,20035
20,36,104,29,27.88,50,48.08,25,24.04,20036
20,37,146,26,17.81,51,34.93,69,47.26,20037
20,38,26,8,30.77,12,46.15,6,23.08,20038
20,39,98,24,24.49,49,50.0,25,25.51,20039
20,40,81,18,22.22,48,59.26,15,18.52,20040
20,41,36,11,30.56,18,50.0,7,19.44,20041
20,42,87,26,29.89,37,42.53,24,27.59,20042
20,43,31,11,35.48,13,41.94,7,22.58,20043
20,44,182,45,24.73,74,40.66,63,34.62,20044
20,45,92,20,21.74,44,47.83,28,30.43,20045
20,46,73,17,23.29,29,39.73,27,36.99,20046
20,47,88,36,40.91,36,40.91,16,18.18,20047
20,48,56,17,30.36,25,44.64,14,25.0,20048
20,49,108,27,25.0,37,34.26,44,40.74,20049
20,50,74,23,31.08,37,50.0,14,18.92,20050
