ward,precinct,total,Edward J. Lechowicz,Edward J. Lechowicz Percent,Roxanne L. Rochester,Roxanne L. Rochester Percent,Ramon Ocasio III,Ramon Ocasio III Percent,precinct_id
1,49,27,9,33.33,6,22.22,12,44.44,01049
1,50,53,26,49.06,12,22.64,15,28.3,01050
26,1,39,19,48.72,9,23.08,11,28.21,26001
26,3,48,18,37.5,15,31.25,15,31.25,26003
26,4,53,13,24.53,8,15.09,32,60.38,26004
26,5,85,39,45.88,14,16.47,32,37.65,26005
26,6,69,21,30.43,5,7.25,43,62.32,26006
26,7,37,16,43.24,6,16.22,15,40.54,26007
26,8,56,17,30.36,16,28.57,23,41.07,26008
26,9,41,14,34.15,6,14.63,21,51.22,26009
26,10,44,9,20.45,11,25.0,24,54.55,26010
26,11,56,16,28.57,9,16.07,31,55.36,26011
26,12,44,8,18.18,10,22.73,26,59.09,26012
26,13,74,19,25.68,8,10.81,47,63.51,26013
26,14,51,7,13.73,10,19.61,34,66.67,26014
26,15,47,14,29.79,4,8.51,29,61.7,26015
26,16,55,19,34.55,4,7.27,32,58.18,26016
26,18,44,11,25.0,6,13.64,27,61.36,26018
26,19,91,30,32.97,23,25.27,38,41.76,26019
26,20,80,19,23.75,16,20.0,45,56.25,26020
26,21,57,14,24.56,16,28.07,27,47.37,26021
26,22,44,13,29.55,11,25.0,20,45.45,26022
26,23,56,17,30.36,3,5.36,36,64.29,26023
26,24,44,19,43.18,8,18.18,17,38.64,26024
26,25,30,5,16.67,8,26.67,17,56.67,26025
26,26,58,13,22.41,9,15.52,36,62.07,26026
26,27,65,22,33.85,5,7.69,38,58.46,26027
26,28,18,3,16.67,2,11.11,13,72.22,26028
26,29,50,19,38.0,9,18.0,22,44.0,26029
26,30,37,9,24.32,5,13.51,23,62.16,26030
26,31,73,16,21.92,7,9.59,50,68.49,26031
26,32,75,15,20.0,15,20.0,45,60.0,26032
26,34,61,18,29.51,11,18.03,32,52.46,26034
26,35,58,27,46.55,11,18.97,20,34.48,26035
26,36,57,16,28.07,8,14.04,33,57.89,26036
26,37,39,13,33.33,11,28.21,15,38.46,26037
26,38,38,15,39.47,6,15.79,17,44.74,26038
26,39,31,9,29.03,4,12.9,18,58.06,26039
26,40,33,9,27.27,5,15.15,19,57.58,26040
26,41,54,9,16.67,5,9.26,40,74.07,26041
26,42,37,4,10.81,7,18.92,26,70.27,26042
26,43,54,17,31.48,8,14.81,29,53.7,26043
26,44,33,10,30.3,8,24.24,15,45.45,26044
26,45,64,12,18.75,17,26.56,35,54.69,26045
26,46,43,14,32.56,11,25.58,18,41.86,26046
26,47,47,13,27.66,10,21.28,24,51.06,26047
26,48,74,21,28.38,13,17.57,40,54.05,26048
26,49,49,16,32.65,10,20.41,23,46.94,26049
26,50,32,15,46.88,6,18.75,11,34.38,26050
26,51,67,21,31.34,12,17.91,34,50.75,26051
26,52,17,10,58.82,3,17.65,4,23.53,26052
26,53,30,13,43.33,4,13.33,13,43.33,26053
26,54,59,13,22.03,12,20.34,34,57.63,26054
26,55,36,14,38.89,6,16.67,16,44.44,26055
26,56,58,16,27.59,13,22.41,29,50.0,26056
26,57,48,9,18.75,13,27.08,26,54.17,26057
26,58,43,8,18.6,10,23.26,25,58.14,26058
26,59,84,19,22.62,33,39.29,32,38.1,26059
26,60,57,9,15.79,12,21.05,36,63.16,26060
26,61,35,13,37.14,3,8.57,19,54.29,26061
26,62,78,26,33.33,10,12.82,42,53.85,26062
26,63,22,4,18.18,2,9.09,16,72.73,26063
27,4,73,31,42.47,17,23.29,25,34.25,27004
27,10,164,82,50.0,63,38.41,19,11.59,27010
27,11,104,57,54.81,35,33.65,12,11.54,27011
27,13,50,18,36.0,16,32.0,16,32.0,27013
27,15,4,2,,2,,0,,27015
27,18,66,20,30.3,16,24.24,30,45.45,27018
27,27,2,1,,0,,1,,27027
27,30,67,31,46.27,21,31.34,15,22.39,27030
27,32,81,26,32.1,29,35.8,26,32.1,27032
27,35,79,32,40.51,16,20.25,31,39.24,27035
27,38,53,17,32.08,16,30.19,20,37.74,27038
27,41,68,15,22.06,22,32.35,31,45.59,27041
27,53,65,30,46.15,17,26.15,18,27.69,27053
27,54,43,19,44.19,7,16.28,17,39.53,27054
27,56,53,19,35.85,10,18.87,24,45.28,27056
27,59,114,60,52.63,19,16.67,35,30.7,27059
29,7,10,1,10.0,2,20.0,7,70.0,29007
30,4,61,27,44.26,10,16.39,24,39.34,30004
30,5,44,14,31.82,5,11.36,25,56.82,30005
30,19,50,24,48.0,9,18.0,17,34.0,30019
30,20,60,20,33.33,5,8.33,35,58.33,30020
30,21,91,30,32.97,12,13.19,49,53.85,30021
30,22,82,21,25.61,14,17.07,47,57.32,30022
30,23,70,22,31.43,13,18.57,35,50.0,30023
30,24,81,37,45.68,7,8.64,37,45.68,30024
30,26,49,11,22.45,9,18.37,29,59.18,30026
30,27,99,24,24.24,14,14.14,61,61.62,30027
30,29,35,8,22.86,6,17.14,21,60.0,30029
30,31,57,14,24.56,9,15.79,34,59.65,30031
30,32,29,10,34.48,12,41.38,7,24.14,30032
30,33,74,22,29.73,8,10.81,44,59.46,30033
30,35,89,44,49.44,9,10.11,36,40.45,30035
30,40,72,31,43.06,6,8.33,35,48.61,30040
30,41,81,30,37.04,9,11.11,42,51.85,30041
31,1,42,22,52.38,6,14.29,14,33.33,31001
31,2,58,19,32.76,8,13.79,31,53.45,31002
31,4,67,32,47.76,12,17.91,23,34.33,31004
31,5,82,35,42.68,13,15.85,34,41.46,31005
31,6,73,24,32.88,14,19.18,35,47.95,31006
31,7,64,13,20.31,9,14.06,42,65.63,31007
31,9,12,5,41.67,4,33.33,3,25.0,31009
31,10,33,19,57.58,3,9.09,11,33.33,31010
31,11,37,16,43.24,7,18.92,14,37.84,31011
31,12,77,30,38.96,11,14.29,36,46.75,31012
31,13,49,11,22.45,10,20.41,28,57.14,31013
31,14,43,14,32.56,5,11.63,24,55.81,31014
31,17,65,26,40.0,8,12.31,31,47.69,31017
31,18,49,28,57.14,3,6.12,18,36.73,31018
31,19,74,43,58.11,5,6.76,26,35.14,31019
31,20,58,18,31.03,10,17.24,30,51.72,31020
31,21,83,28,33.73,14,16.87,41,49.4,31021
31,22,47,14,29.79,10,21.28,23,48.94,31022
31,23,43,21,48.84,2,4.65,20,46.51,31023
31,24,64,17,26.56,5,7.81,42,65.63,31024
31,25,80,27,33.75,7,8.75,46,57.5,31025
31,27,70,27,38.57,12,17.14,31,44.29,31027
31,28,64,25,39.06,10,15.63,29,45.31,31028
31,30,75,41,54.67,11,14.67,23,30.67,31030
31,31,84,39,46.43,15,17.86,30,35.71,31031
31,32,83,31,37.35,14,16.87,38,45.78,31032
31,33,60,24,40.0,11,18.33,25,41.67,31033
31,34,49,12,24.49,5,10.2,32,65.31,31034
31,35,62,44,70.97,4,6.45,14,22.58,31035
31,36,106,48,45.28,13,12.26,45,42.45,31036
31,37,67,20,29.85,12,17.91,35,52.24,31037
31,39,47,13,27.66,8,17.02,26,55.32,31039
31,40,51,22,43.14,6,11.76,23,45.1,31040
31,41,59,33,55.93,4,6.78,22,37.29,31041
31,42,84,34,40.48,13,15.48,37,44.05,31042
31,44,58,27,46.55,6,10.34,25,43.1,31044
31,46,70,36,51.43,10,14.29,24,34.29,31046
31,47,95,52,54.74,9,9.47,34,35.79,31047
31,48,64,29,45.31,12,18.75,23,35.94,31048
31,49,46,22,47.83,7,15.22,17,36.96,31049
31,50,64,26,40.63,10,15.63,28,43.75,31050
31,51,55,24,43.64,7,12.73,24,43.64,31051
32,1,90,40,44.44,21,23.33,29,32.22,32001
32,2,89,15,16.85,20,22.47,54,60.67,32002
32,3,73,34,46.58,10,13.7,29,39.73,32003
32,4,118,52,44.07,24,20.34,42,35.59,32004
32,5,66,29,43.94,14,21.21,23,34.85,32005
32,6,95,63,66.32,12,12.63,20,21.05,32006
32,9,74,23,31.08,19,25.68,32,43.24,32009
32,11,60,30,50.0,9,15.0,21,35.0,32011
32,12,69,21,30.43,13,18.84,35,50.72,32012
32,14,82,40,48.78,13,15.85,29,35.37,32014
32,15,41,15,36.59,16,39.02,10,24.39,32015
32,16,104,60,57.69,15,14.42,29,27.88,32016
32,17,72,44,61.11,14,19.44,14,19.44,32017
32,19,52,20,38.46,13,25.0,19,36.54,32019
32,20,81,42,51.85,22,27.16,17,20.99,32020
32,24,64,26,40.63,17,26.56,21,32.81,32024
32,26,82,50,60.98,16,19.51,16,19.51,32026
32,27,32,16,50.0,7,21.88,9,28.13,32027
32,28,73,31,42.47,22,30.14,20,27.4,32028
32,29,90,39,43.33,29,32.22,22,24.44,32029
32,30,55,17,30.91,13,23.64,25,45.45,32030
32,31,103,37,35.92,22,21.36,44,42.72,32031
32,33,74,30,40.54,15,20.27,29,39.19,32033
32,34,105,50,47.62,18,17.14,37,35.24,32034
32,35,129,76,58.91,29,22.48,24,18.6,32035
32,36,84,20,23.81,32,38.1,32,38.1,32036
32,40,84,28,33.33,28,33.33,28,33.33,32040
32,41,92,35,38.04,21,22.83,36,39.13,32041
32,42,95,33,34.74,31,32.63,31,32.63,32042
32,45,85,37,43.53,21,24.71,27,31.76,32045
32,46,58,37,63.79,12,20.69,9,15.52,32046
32,52,46,22,47.83,12,26.09,12,26.09,32052
33,1,137,74,54.01,21,15.33,42,30.66,33001
33,2,155,76,49.03,37,23.87,42,27.1,33002
33,3,138,65,47.1,24,17.39,49,35.51,33003
33,4,131,70,53.44,20,15.27,41,31.3,33004
33,6,179,109,60.89,29,16.2,41,22.91,33006
33,7,237,71,29.96,44,18.57,122,51.48,33007
33,8,111,49,44.14,23,20.72,39,35.14,33008
33,10,235,164,69.79,37,15.74,34,14.47,33010
33,11,152,81,53.29,23,15.13,48,31.58,33011
33,12,203,125,61.58,32,15.76,46,22.66,33012
33,13,209,113,54.07,38,18.18,58,27.75,33013
33,15,129,55,42.64,32,24.81,42,32.56,33015
33,16,130,59,45.38,28,21.54,43,33.08,33016
33,17,186,95,51.08,40,21.51,51,27.42,33017
33,19,165,83,50.3,27,16.36,55,33.33,33019
33,20,134,71,52.99,18,13.43,45,33.58,33020
33,21,177,87,49.15,37,20.9,53,29.94,33021
33,22,230,146,63.48,29,12.61,55,23.91,33022
33,23,151,71,47.02,34,22.52,46,30.46,33023
33,24,215,55,25.58,61,28.37,99,46.05,33024
33,25,170,63,37.06,49,28.82,58,34.12,33025
33,26,114,44,38.6,21,18.42,49,42.98,33026
33,27,81,35,43.21,15,18.52,31,38.27,33027
35,1,94,25,26.6,20,21.28,49,52.13,35001
35,2,88,26,29.55,11,12.5,51,57.95,35002
35,3,62,12,19.35,18,29.03,32,51.61,35003
35,4,121,43,35.54,20,16.53,58,47.93,35004
35,5,105,27,25.71,16,15.24,62,59.05,35005
35,6,115,41,35.65,12,10.43,62,53.91,35006
35,7,123,23,18.7,27,21.95,73,59.35,35007
35,8,91,15,16.48,13,14.29,63,69.23,35008
35,9,105,20,19.05,28,26.67,57,54.29,35009
35,10,106,34,32.08,15,14.15,57,53.77,35010
35,11,57,20,35.09,10,17.54,27,47.37,35011
35,12,131,42,32.06,24,18.32,65,49.62,35012
35,14,142,29,20.42,34,23.94,79,55.63,35014
35,15,105,22,20.95,16,15.24,67,63.81,35015
35,16,117,21,17.95,26,22.22,70,59.83,35016
35,17,118,28,23.73,23,19.49,67,56.78,35017
35,18,111,24,21.62,22,19.82,65,58.56,35018
35,19,108,24,22.22,25,23.15,59,54.63,35019
35,20,98,30,30.61,18,18.37,50,51.02,35020
35,21,99,34,34.34,18,18.18,47,47.47,35021
35,23,69,15,21.74,9,13.04,45,65.22,35023
35,24,61,22,36.07,14,22.95,25,40.98,35024
35,25,85,15,17.65,19,22.35,51,60.0,35025
35,26,135,38,28.15,36,26.67,61,45.19,35026
35,27,155,34,21.94,35,22.58,86,55.48,35027
35,28,105,13,12.38,19,18.1,73,69.52,35028
35,29,117,41,35.04,24,20.51,52,44.44,35029
35,30,141,30,21.28,25,17.73,86,60.99,35030
35,31,49,10,20.41,14,28.57,25,51.02,35031
35,32,89,14,15.73,21,23.6,54,60.67,35032
35,34,105,20,19.05,25,23.81,60,57.14,35034
35,35,122,32,26.23,12,9.84,78,63.93,35035
35,36,58,17,29.31,11,18.97,30,51.72,35036
37,1,81,35,43.21,10,12.35,36,44.44,37001
37,2,115,43,37.39,51,44.35,21,18.26,37002
37,3,66,20,30.3,31,46.97,15,22.73,37003
37,10,156,63,40.38,63,40.38,30,19.23,37010
37,12,73,20,27.4,30,41.1,23,31.51,37012
37,19,106,34,32.08,15,14.15,57,53.77,37019
37,22,81,56,69.14,22,27.16,3,3.7,37022
37,39,89,41,46.07,15,16.85,33,37.08,37039
37,42,76,21,27.63,23,30.26,32,42.11,37042
47,15,115,54,46.96,28,24.35,33,28.7,47015
47,21,135,53,39.26,31,22.96,51,37.78,47021
47,40,88,26,29.55,25,28.41,37,42.05,47040
