ward,precinct,total,George Cardenas,George Cardenas Percent,Ricardo Muñoz,Ricardo Muñoz Percent,precinct_id
26,3,50,22,44.0,28,56.0,26003
26,4,53,21,39.62,32,60.38,26004
26,5,96,31,32.29,65,67.71,26005
26,6,73,28,38.36,45,61.64,26006
26,7,39,14,35.9,25,64.1,26007
26,8,58,21,36.21,37,63.79,26008
26,9,45,16,35.56,29,64.44,26009
26,10,48,18,37.5,30,62.5,26010
26,11,66,16,24.24,50,75.76,26011
26,12,50,16,32.0,34,68.0,26012
26,13,81,26,32.1,55,67.9,26013
26,14,56,17,30.36,39,69.64,26014
26,15,49,11,22.45,38,77.55,26015
26,16,58,15,25.86,43,74.14,26016
26,18,44,14,31.82,30,68.18,26018
26,19,96,41,42.71,55,57.29,26019
26,20,79,30,37.97,49,62.03,26020
26,21,64,25,39.06,39,60.94,26021
26,22,37,19,51.35,18,48.65,26022
26,23,55,17,30.91,38,69.09,26023
26,24,53,27,50.94,26,49.06,26024
26,25,40,19,47.5,21,52.5,26025
26,26,60,17,28.33,43,71.67,26026
26,27,78,26,33.33,52,66.67,26027
26,28,56,23,41.07,33,58.93,26028
26,29,58,22,37.93,36,62.07,26029
26,30,49,15,30.61,34,69.39,26030
26,31,85,29,34.12,56,65.88,26031
26,32,73,34,46.58,39,53.42,26032
26,34,61,15,24.59,46,75.41,26034
26,35,61,23,37.7,38,62.3,26035
26,36,58,20,34.48,38,65.52,26036
26,37,40,17,42.5,23,57.5,26037
26,38,41,20,48.78,21,51.22,26038
26,39,35,8,22.86,27,77.14,26039
26,40,38,14,36.84,24,63.16,26040
26,41,62,16,25.81,46,74.19,26041
26,42,44,10,22.73,34,77.27,26042
26,43,57,22,38.6,35,61.4,26043
26,44,37,20,54.05,17,45.95,26044
26,45,72,23,31.94,49,68.06,26045
26,46,10,4,40.0,6,60.0,26046
26,47,51,22,43.14,29,56.86,26047
26,48,79,26,32.91,53,67.09,26048
26,49,48,19,39.58,29,60.42,26049
26,50,30,9,30.0,21,70.0,26050
26,51,76,28,36.84,48,63.16,26051
26,52,21,10,47.62,11,52.38,26052
26,53,38,15,39.47,23,60.53,26053
26,54,63,19,30.16,44,69.84,26054
26,55,39,13,33.33,26,66.67,26055
26,56,62,26,41.94,36,58.06,26056
26,57,50,15,30.0,35,70.0,26057
26,58,51,22,43.14,29,56.86,26058
26,59,80,29,36.25,51,63.75,26059
26,60,56,22,39.29,34,60.71,26060
26,61,40,11,27.5,29,72.5,26061
26,62,83,29,34.94,54,65.06,26062
26,63,22,5,22.73,17,77.27,26063
27,13,59,28,47.46,31,52.54,27013
27,18,17,5,29.41,12,70.59,27018
27,32,100,44,44.0,56,56.0,27032
27,35,71,23,32.39,48,67.61,27035
27,38,56,25,44.64,31,55.36,27038
27,41,72,33,45.83,39,54.17,27041
27,56,55,21,38.18,34,61.82,27056
27,59,102,31,30.39,71,69.61,27059
28,29,98,31,31.63,67,68.37,28029
28,34,20,4,20.0,16,80.0,28034
28,38,57,22,38.6,35,61.4,28038
29,6,62,30,48.39,32,51.61,29006
29,7,80,36,45.0,44,55.0,29007
29,24,5,3,60.0,2,40.0,29024
29,39,86,45,52.33,41,47.67,29039
29,52,74,41,55.41,33,44.59,29052
30,4,62,31,50.0,31,50.0,30004
30,5,54,19,35.19,35,64.81,30005
30,17,11,6,54.55,5,45.45,30017
30,18,70,34,48.57,36,51.43,30018
30,19,50,20,40.0,30,60.0,30019
30,20,67,23,34.33,44,65.67,30020
30,21,89,41,46.07,48,53.93,30021
30,22,85,29,34.12,56,65.88,30022
30,23,75,29,38.67,46,61.33,30023
30,24,80,34,42.5,46,57.5,30024
30,25,11,5,45.45,6,54.55,30025
30,26,60,25,41.67,35,58.33,30026
30,27,109,42,38.53,67,61.47,30027
30,29,35,10,28.57,25,71.43,30029
30,31,67,31,46.27,36,53.73,30031
30,32,36,18,50.0,18,50.0,30032
30,33,92,45,48.91,47,51.09,30033
30,35,92,45,48.91,47,51.09,30035
30,36,54,18,33.33,36,66.67,30036
30,41,88,47,53.41,41,46.59,30041
31,1,43,22,51.16,21,48.84,31001
31,2,61,23,37.7,38,62.3,31002
31,4,67,26,38.81,41,61.19,31004
31,5,85,26,30.59,59,69.41,31005
31,6,77,30,38.96,47,61.04,31006
31,7,66,31,46.97,35,53.03,31007
31,10,37,11,29.73,26,70.27,31010
31,11,47,22,46.81,25,53.19,31011
31,12,81,29,35.8,52,64.2,31012
31,13,48,12,25.0,36,75.0,31013
31,14,47,22,46.81,25,53.19,31014
31,16,18,7,38.89,11,61.11,31016
31,17,58,23,39.66,35,60.34,31017
31,18,43,17,39.53,26,60.47,31018
31,20,62,26,41.94,36,58.06,31020
31,21,83,36,43.37,47,56.63,31021
31,22,45,23,51.11,22,48.89,31022
31,23,45,16,35.56,29,64.44,31023
31,24,62,22,35.48,40,64.52,31024
31,25,78,28,35.9,50,64.1,31025
31,27,69,36,52.17,33,47.83,31027
31,30,81,32,39.51,49,60.49,31030
31,31,93,31,33.33,62,66.67,31031
31,34,48,19,39.58,29,60.42,31034
31,35,13,2,15.38,11,84.62,31035
31,36,93,40,43.01,53,56.99,31036
31,37,68,22,32.35,46,67.65,31037
31,39,51,24,47.06,27,52.94,31039
31,40,58,18,31.03,40,68.97,31040
31,42,87,34,39.08,53,60.92,31042
31,44,59,18,30.51,41,69.49,31044
31,49,50,21,42.0,29,58.0,31049
31,51,60,25,41.67,35,58.33,31051
32,1,9,7,77.78,2,22.22,32001
32,2,87,35,40.23,52,59.77,32002
32,3,60,43,71.67,17,28.33,32003
32,4,109,56,51.38,53,48.62,32004
32,5,67,39,58.21,28,41.79,32005
32,11,59,34,57.63,25,42.37,32011
32,12,13,7,53.85,6,46.15,32012
32,14,78,40,51.28,38,48.72,32014
32,16,97,53,54.64,44,45.36,32016
32,17,64,37,57.81,27,42.19,32017
32,28,73,37,50.68,36,49.32,32028
32,29,89,48,53.93,41,46.07,32029
32,31,107,62,57.94,45,42.06,32031
32,33,75,38,50.67,37,49.33,32033
32,34,106,54,50.94,52,49.06,32034
32,35,121,70,57.85,51,42.15,32035
32,36,92,41,44.57,51,55.43,32036
32,46,7,6,85.71,1,14.29,32046
32,52,42,24,57.14,18,42.86,32052
33,1,149,90,60.4,59,39.6,33001
33,2,174,100,57.47,74,42.53,33002
33,3,139,74,53.24,65,46.76,33003
33,4,146,94,64.38,52,35.62,33004
33,6,185,132,71.35,53,28.65,33006
33,8,130,78,60.0,52,40.0,33008
33,11,167,97,58.08,70,41.92,33011
33,12,191,132,69.11,59,30.89,33012
33,13,206,136,66.02,70,33.98,33013
33,15,138,66,47.83,72,52.17,33015
33,16,127,61,48.03,66,51.97,33016
33,17,182,118,64.84,64,35.16,33017
33,19,169,112,66.27,57,33.73,33019
33,20,144,68,47.22,76,52.78,33020
33,21,180,112,62.22,68,37.78,33021
33,22,90,64,71.11,26,28.89,33022
33,26,119,67,56.3,52,43.7,33026
33,27,87,51,58.62,36,41.38,33027
35,1,125,47,37.6,78,62.4,35001
35,2,90,45,50.0,45,50.0,35002
35,3,69,31,44.93,38,55.07,35003
35,4,118,52,44.07,66,55.93,35004
35,5,113,47,41.59,66,58.41,35005
35,6,118,45,38.14,73,61.86,35006
35,7,123,38,30.89,85,69.11,35007
35,8,85,34,40.0,51,60.0,35008
35,9,106,51,48.11,55,51.89,35009
35,10,102,40,39.22,62,60.78,35010
35,11,98,39,39.8,59,60.2,35011
35,12,126,53,42.06,73,57.94,35012
35,13,25,11,44.0,14,56.0,35013
35,14,151,58,38.41,93,61.59,35014
35,15,101,43,42.57,58,57.43,35015
35,16,115,52,45.22,63,54.78,35016
35,17,117,46,39.32,71,60.68,35017
35,18,120,43,35.83,77,64.17,35018
35,19,109,43,39.45,66,60.55,35019
35,20,101,41,40.59,60,59.41,35020
35,21,101,40,39.6,61,60.4,35021
35,23,75,25,33.33,50,66.67,35023
35,24,67,22,32.84,45,67.16,35024
35,25,89,35,39.33,54,60.67,35025
35,26,136,67,49.26,69,50.74,35026
35,27,147,68,46.26,79,53.74,35027
35,28,102,41,40.2,61,59.8,35028
35,29,111,42,37.84,69,62.16,35029
35,30,134,46,34.33,88,65.67,35030
35,31,57,22,38.6,35,61.4,35031
35,32,95,44,46.32,51,53.68,35032
35,34,98,37,37.76,61,62.24,35034
35,35,123,53,43.09,70,56.91,35035
35,36,67,18,26.87,49,73.13,35036
36,4,58,33,56.9,25,43.1,36004
36,33,48,29,60.42,19,39.58,36033
36,44,43,22,51.16,21,48.84,36044
36,54,30,19,63.33,11,36.67,36054
36,55,20,12,60.0,8,40.0,36055
37,1,87,33,37.93,54,62.07,37001
37,11,38,10,26.32,28,73.68,37011
37,19,117,43,36.75,74,63.25,37019
37,39,97,51,52.58,46,47.42,37039
