ward,precinct,total,Carol M. Howard,Carol M. Howard Percent,Melanie Rose Nuby,Melanie Rose Nuby Percent,Leopoldo ''Leo'' Lastre,Leopoldo ''Leo'' Lastre Percent,Kenneth K. McNeil,Kenneth K. McNeil Percent,precinct_id
22,21,137,79,57.66,36,26.28,5,3.65,17,12.41,22021
24,1,92,60,65.22,18,19.57,0,0.0,14,15.22,24001
24,2,78,36,46.15,22,28.21,2,2.56,18,23.08,24002
24,3,96,40,41.67,49,51.04,1,1.04,6,6.25,24003
24,4,118,64,54.24,18,15.25,11,9.32,25,21.19,24004
24,5,111,56,50.45,22,19.82,2,1.8,31,27.93,24005
24,6,135,64,47.41,47,34.81,7,5.19,17,12.59,24006
24,7,123,75,60.98,14,11.38,8,6.5,26,21.14,24007
24,8,84,57,67.86,13,15.48,4,4.76,10,11.9,24008
24,9,100,53,53.0,18,18.0,7,7.0,22,22.0,24009
24,10,98,56,57.14,22,22.45,6,6.12,14,14.29,24010
24,11,54,37,68.52,7,12.96,2,3.7,8,14.81,24011
24,12,79,43,54.43,23,29.11,3,3.8,10,12.66,24012
24,13,103,56,54.37,28,27.18,8,7.77,11,10.68,24013
24,14,178,113,63.48,35,19.66,5,2.81,25,14.04,24014
24,15,101,56,55.45,19,18.81,3,2.97,23,22.77,24015
24,16,84,52,61.9,13,15.48,3,3.57,16,19.05,24016
24,17,92,46,50.0,23,25.0,7,7.61,16,17.39,24017
24,18,59,36,61.02,9,15.25,2,3.39,12,20.34,24018
24,19,89,50,56.18,20,22.47,3,3.37,16,17.98,24019
24,20,117,64,54.7,29,24.79,3,2.56,21,17.95,24020
24,21,76,37,48.68,16,21.05,6,7.89,17,22.37,24021
24,22,105,66,62.86,22,20.95,3,2.86,14,13.33,24022
24,23,103,56,54.37,29,28.16,5,4.85,13,12.62,24023
24,24,84,46,54.76,17,20.24,8,9.52,13,15.48,24024
24,25,97,42,43.3,25,25.77,4,4.12,26,26.8,24025
24,26,116,64,55.17,32,27.59,6,5.17,14,12.07,24026
24,27,66,32,48.48,18,27.27,6,9.09,10,15.15,24027
24,28,123,72,58.54,16,13.01,6,4.88,29,23.58,24028
24,29,131,77,58.78,15,11.45,5,3.82,34,25.95,24029
24,30,83,56,67.47,14,16.87,2,2.41,11,13.25,24030
24,31,92,54,58.7,20,21.74,7,7.61,11,11.96,24031
24,32,118,70,59.32,18,15.25,4,3.39,26,22.03,24032
24,33,89,47,52.81,22,24.72,5,5.62,15,16.85,24033
24,34,129,73,56.59,24,18.6,4,3.1,28,21.71,24034
24,35,109,66,60.55,22,20.18,3,2.75,18,16.51,24035
24,36,91,56,61.54,15,16.48,9,9.89,11,12.09,24036
24,37,123,69,56.1,38,30.89,2,1.63,14,11.38,24037
24,38,120,80,66.67,23,19.17,2,1.67,15,12.5,24038
24,39,102,63,61.76,14,13.73,3,2.94,22,21.57,24039
24,40,152,71,46.71,48,31.58,13,8.55,20,13.16,24040
24,41,111,74,66.67,11,9.91,3,2.7,23,20.72,24041
24,42,98,61,62.24,13,13.27,4,4.08,20,20.41,24042
24,43,140,85,60.71,16,11.43,3,2.14,36,25.71,24043
24,45,88,52,59.09,15,17.05,1,1.14,20,22.73,24045
24,46,143,92,64.34,15,10.49,5,3.5,31,21.68,24046
24,47,111,49,44.14,37,33.33,5,4.5,20,18.02,24047
24,48,52,26,50.0,18,34.62,2,3.85,6,11.54,24048
24,49,147,79,53.74,28,19.05,8,5.44,32,21.77,24049
24,50,153,90,58.82,32,20.92,9,5.88,22,14.38,24050
24,51,189,92,48.68,32,16.93,7,3.7,58,30.69,24051
24,52,95,54,56.84,23,24.21,7,7.37,11,11.58,24052
24,54,64,34,53.13,10,15.63,6,9.38,14,21.88,24054
24,55,52,34,65.38,9,17.31,2,3.85,7,13.46,24055
24,56,148,82,55.41,42,28.38,5,3.38,19,12.84,24056
24,58,132,82,62.12,22,16.67,5,3.79,23,17.42,24058
24,59,60,36,60.0,9,15.0,3,5.0,12,20.0,24059
25,3,47,25,53.19,10,21.28,3,6.38,9,19.15,25003
25,4,112,52,46.43,23,20.54,19,16.96,18,16.07,25004
25,10,65,29,44.62,15,23.08,7,10.77,14,21.54,25010
25,21,78,24,30.77,14,17.95,9,11.54,31,39.74,25021
25,25,1,1,100.0,0,0.0,0,0.0,0,0.0,25025
25,26,61,20,32.79,19,31.15,9,14.75,13,21.31,25026
25,28,115,60,52.17,17,14.78,10,8.7,28,24.35,25028
25,29,51,29,56.86,12,23.53,3,5.88,7,13.73,25029
26,2,74,26,35.14,18,24.32,15,20.27,15,20.27,26002
26,17,31,16,51.61,0,0.0,6,19.35,9,29.03,26017
26,28,31,16,51.61,7,22.58,6,19.35,2,6.45,26028
26,33,25,15,60.0,4,16.0,3,12.0,3,12.0,26033
26,46,20,10,50.0,5,25.0,1,5.0,4,20.0,26046
27,1,49,22,44.9,13,26.53,6,12.24,8,16.33,27001
27,2,102,64,62.75,8,7.84,7,6.86,23,22.55,27002
27,3,89,50,56.18,16,17.98,9,10.11,14,15.73,27003
27,7,56,26,46.43,12,21.43,5,8.93,13,23.21,27007
27,8,125,84,67.2,20,16.0,6,4.8,15,12.0,27008
27,14,129,78,60.47,19,14.73,4,3.1,28,21.71,27014
27,15,73,41,56.16,13,17.81,3,4.11,16,21.92,27015
27,17,47,27,57.45,11,23.4,4,8.51,5,10.64,27017
27,19,92,66,71.74,11,11.96,1,1.09,14,15.22,27019
27,22,106,72,67.92,13,12.26,4,3.77,17,16.04,27022
27,23,17,5,29.41,4,23.53,3,17.65,5,29.41,27023
27,24,103,82,79.61,4,3.88,6,5.83,11,10.68,27024
27,25,85,64,75.29,10,11.76,2,2.35,9,10.59,27025
27,26,107,60,56.07,20,18.69,5,4.67,22,20.56,27026
27,27,64,51,79.69,4,6.25,3,4.69,6,9.38,27027
27,29,86,63,73.26,8,9.3,6,6.98,9,10.47,27029
27,31,95,73,76.84,4,4.21,6,6.32,12,12.63,27031
27,33,79,56,70.89,8,10.13,5,6.33,10,12.66,27033
27,34,107,83,77.57,4,3.74,10,9.35,10,9.35,27034
27,36,105,71,67.62,10,9.52,3,2.86,21,20.0,27036
27,40,83,57,68.67,7,8.43,7,8.43,12,14.46,27040
27,44,105,33,31.43,16,15.24,13,12.38,43,40.95,27044
27,45,117,83,70.94,5,4.27,9,7.69,20,17.09,27045
27,46,117,78,66.67,15,12.82,5,4.27,19,16.24,27046
27,47,75,52,69.33,11,14.67,2,2.67,10,13.33,27047
27,48,105,46,43.81,10,9.52,7,6.67,42,40.0,27048
27,49,106,53,50.0,19,17.92,7,6.6,27,25.47,27049
27,52,73,38,52.05,17,23.29,4,5.48,14,19.18,27052
27,55,110,73,66.36,19,17.27,4,3.64,14,12.73,27055
27,57,56,26,46.43,11,19.64,4,7.14,15,26.79,27057
27,58,53,36,67.92,6,11.32,1,1.89,10,18.87,27058
28,1,134,76,56.72,24,17.91,6,4.48,28,20.9,28001
28,2,113,62,54.87,26,23.01,5,4.42,20,17.7,28002
28,3,72,39,54.17,11,15.28,9,12.5,13,18.06,28003
28,4,155,107,69.03,19,12.26,3,1.94,26,16.77,28004
28,5,89,55,61.8,13,14.61,5,5.62,16,17.98,28005
28,6,80,62,77.5,7,8.75,3,3.75,8,10.0,28006
28,7,99,51,51.52,19,19.19,8,8.08,21,21.21,28007
28,8,92,57,61.96,9,9.78,7,7.61,19,20.65,28008
28,9,87,64,73.56,13,14.94,3,3.45,7,8.05,28009
28,10,37,22,59.46,6,16.22,3,8.11,6,16.22,28010
28,11,102,55,53.92,17,16.67,12,11.76,18,17.65,28011
28,12,87,54,62.07,7,8.05,2,2.3,24,27.59,28012
28,13,63,40,63.49,7,11.11,4,6.35,12,19.05,28013
28,14,69,45,65.22,11,15.94,4,5.8,9,13.04,28014
28,15,105,60,57.14,16,15.24,9,8.57,20,19.05,28015
28,16,87,67,77.01,8,9.2,2,2.3,10,11.49,28016
28,17,115,78,67.83,16,13.91,4,3.48,17,14.78,28017
28,18,147,93,63.27,19,12.93,5,3.4,30,20.41,28018
28,19,126,80,63.49,12,9.52,5,3.97,29,23.02,28019
28,20,124,79,63.71,18,14.52,6,4.84,21,16.94,28020
28,21,148,113,76.35,15,10.14,4,2.7,16,10.81,28021
28,22,107,61,57.01,12,11.21,5,4.67,29,27.1,28022
28,23,112,59,52.68,18,16.07,6,5.36,29,25.89,28023
28,24,59,30,50.85,11,18.64,5,8.47,13,22.03,28024
28,25,60,23,38.33,18,30.0,11,18.33,8,13.33,28025
28,26,125,84,67.2,23,18.4,7,5.6,11,8.8,28026
28,27,141,81,57.45,12,8.51,7,4.96,41,29.08,28027
28,28,84,58,69.05,13,15.48,4,4.76,9,10.71,28028
28,30,67,40,59.7,9,13.43,5,7.46,13,19.4,28030
28,31,92,66,71.74,11,11.96,3,3.26,12,13.04,28031
28,32,97,57,58.76,22,22.68,1,1.03,17,17.53,28032
28,33,126,97,76.98,11,8.73,6,4.76,12,9.52,28033
28,35,76,47,61.84,13,17.11,3,3.95,13,17.11,28035
28,36,92,67,72.83,13,14.13,4,4.35,8,8.7,28036
28,37,208,101,48.56,21,10.1,60,28.85,26,12.5,28037
28,39,111,66,59.46,12,10.81,5,4.5,28,25.23,28039
28,40,158,88,55.7,26,16.46,7,4.43,37,23.42,28040
28,41,124,82,66.13,17,13.71,5,4.03,20,16.13,28041
28,42,98,62,63.27,19,19.39,4,4.08,13,13.27,28042
28,43,160,118,73.75,21,13.13,1,0.63,20,12.5,28043
28,44,135,79,58.52,16,11.85,10,7.41,30,22.22,28044
28,45,102,70,68.63,16,15.69,1,0.98,15,14.71,28045
28,46,131,80,61.07,20,15.27,8,6.11,23,17.56,28046
28,47,87,58,66.67,12,13.79,2,2.3,15,17.24,28047
28,48,41,27,65.85,6,14.63,3,7.32,5,12.2,28048
28,49,52,28,53.85,8,15.38,5,9.62,11,21.15,28049
28,50,68,48,70.59,14,20.59,3,4.41,3,4.41,28050
28,51,88,54,61.36,10,11.36,5,5.68,19,21.59,28051
28,52,72,39,54.17,16,22.22,5,6.94,12,16.67,28052
28,54,80,43,53.75,15,18.75,6,7.5,16,20.0,28054
28,55,96,59,61.46,15,15.63,5,5.21,17,17.71,28055
28,56,118,78,66.1,15,12.71,4,3.39,21,17.8,28056
28,57,127,79,62.2,21,16.54,3,2.36,24,18.9,28057
28,58,118,73,61.86,17,14.41,7,5.93,21,17.8,28058
28,59,72,51,70.83,9,12.5,3,4.17,9,12.5,28059
28,60,65,41,63.08,9,13.85,3,4.62,12,18.46,28060
28,61,32,18,56.25,6,18.75,2,6.25,6,18.75,28061
29,1,181,147,81.22,13,7.18,6,3.31,15,8.29,29001
29,3,219,167,76.26,19,8.68,4,1.83,29,13.24,29003
29,4,182,144,79.12,17,9.34,3,1.65,18,9.89,29004
29,5,155,122,78.71,18,11.61,3,1.94,12,7.74,29005
29,8,117,102,87.18,4,3.42,3,2.56,8,6.84,29008
29,10,114,86,75.44,10,8.77,7,6.14,11,9.65,29010
29,11,177,155,87.57,12,6.78,5,2.82,5,2.82,29011
29,13,158,136,86.08,9,5.7,1,0.63,12,7.59,29013
29,14,254,198,77.95,21,8.27,3,1.18,32,12.6,29014
29,16,197,168,85.28,12,6.09,5,2.54,12,6.09,29016
29,18,198,172,86.87,12,6.06,5,2.53,9,4.55,29018
29,19,143,132,92.31,1,0.7,2,1.4,8,5.59,29019
29,20,138,116,84.06,5,3.62,4,2.9,13,9.42,29020
29,21,122,81,66.39,17,13.93,9,7.38,15,12.3,29021
29,22,113,71,62.83,17,15.04,8,7.08,17,15.04,29022
29,23,174,134,77.01,24,13.79,4,2.3,12,6.9,29023
29,26,190,157,82.63,16,8.42,5,2.63,12,6.32,29026
29,27,109,87,79.82,4,3.67,5,4.59,13,11.93,29027
29,28,204,146,71.57,23,11.27,10,4.9,25,12.25,29028
29,29,208,181,87.02,11,5.29,0,0.0,16,7.69,29029
29,31,124,98,79.03,12,9.68,1,0.81,13,10.48,29031
29,33,195,155,79.49,22,11.28,3,1.54,15,7.69,29033
29,34,97,64,65.98,12,12.37,5,5.15,16,16.49,29034
29,35,117,74,63.25,17,14.53,4,3.42,22,18.8,29035
29,37,152,122,80.26,10,6.58,3,1.97,17,11.18,29037
29,38,172,133,77.33,8,4.65,7,4.07,24,13.95,29038
29,40,288,234,81.25,24,8.33,4,1.39,26,9.03,29040
29,41,196,166,84.69,11,5.61,6,3.06,13,6.63,29041
29,42,200,135,67.5,34,17.0,4,2.0,27,13.5,29042
29,43,266,233,87.59,12,4.51,4,1.5,17,6.39,29043
29,44,206,145,70.39,30,14.56,12,5.83,19,9.22,29044
29,45,154,127,82.47,12,7.79,2,1.3,13,8.44,29045
29,46,124,98,79.03,16,12.9,5,4.03,5,4.03,29046
29,47,222,165,74.32,23,10.36,14,6.31,20,9.01,29047
29,50,112,88,78.57,7,6.25,4,3.57,13,11.61,29050
29,51,152,108,71.05,15,9.87,3,1.97,26,17.11,29051
37,4,125,72,57.6,17,13.6,12,9.6,24,19.2,37004
37,5,179,128,71.51,15,8.38,9,5.03,27,15.08,37005
37,6,163,92,56.44,22,13.5,11,6.75,38,23.31,37006
37,7,165,124,75.15,9,5.45,7,4.24,25,15.15,37007
37,8,99,63,63.64,14,14.14,6,6.06,16,16.16,37008
37,9,143,84,58.74,19,13.29,10,6.99,30,20.98,37009
37,13,121,69,57.02,14,11.57,11,9.09,27,22.31,37013
37,14,200,116,58.0,16,8.0,8,4.0,60,30.0,37014
37,15,151,91,60.26,18,11.92,13,8.61,29,19.21,37015
37,17,130,87,66.92,17,13.08,6,4.62,20,15.38,37017
37,18,164,115,70.12,13,7.93,7,4.27,29,17.68,37018
37,20,139,84,60.43,16,11.51,7,5.04,32,23.02,37020
37,21,156,93,59.62,18,11.54,14,8.97,31,19.87,37021
37,23,118,74,62.71,15,12.71,10,8.47,19,16.1,37023
37,25,171,98,57.31,29,16.96,9,5.26,35,20.47,37025
37,27,180,112,62.22,19,10.56,10,5.56,39,21.67,37027
37,28,145,84,57.93,19,13.1,16,11.03,26,17.93,37028
37,29,154,108,70.13,17,11.04,8,5.19,21,13.64,37029
37,30,111,64,57.66,14,12.61,7,6.31,26,23.42,37030
37,31,177,111,62.71,30,16.95,3,1.69,33,18.64,37031
37,32,150,101,67.33,14,9.33,10,6.67,25,16.67,37032
37,33,130,81,62.31,11,8.46,4,3.08,34,26.15,37033
37,34,161,97,60.25,26,16.15,8,4.97,30,18.63,37034
37,35,160,126,78.75,7,4.38,9,5.63,18,11.25,37035
37,36,158,97,61.39,22,13.92,13,8.23,26,16.46,37036
37,37,154,99,64.29,29,18.83,10,6.49,16,10.39,37037
37,38,165,99,60.0,14,8.48,3,1.82,49,29.7,37038
37,40,150,78,52.0,18,12.0,6,4.0,48,32.0,37040
37,41,190,105,55.26,24,12.63,13,6.84,48,25.26,37041
37,43,137,75,54.74,9,6.57,3,2.19,50,36.5,37043
42,18,69,38,55.07,13,18.84,5,7.25,13,18.84,42018
42,21,45,28,62.22,6,13.33,3,6.67,8,17.78,42021
42,69,98,59,60.2,9,9.18,11,11.22,19,19.39,42069
