ward,precinct,total,Alexander Giannoulias,Alexander Giannoulias Percent,Paul L. Mangieri,Paul L. Mangieri Percent,precinct_id
37,9,169,123,72.78,46,27.22,37009
37,10,174,107,61.49,67,38.51,37010
37,11,43,21,48.84,22,51.16,37011
37,12,84,63,75.0,21,25.0,37012
37,13,137,86,62.77,51,37.23,37013
37,14,233,158,67.81,75,32.19,37014
37,15,174,117,67.24,57,32.76,37015
37,16,160,118,73.75,42,26.25,37016
37,17,134,89,66.42,45,33.58,37017
37,18,165,101,61.21,64,38.79,37018
37,19,112,70,62.5,42,37.5,37019
37,20,163,104,63.8,59,36.2,37020
37,21,166,115,69.28,51,30.72,37021
37,22,94,55,58.51,39,41.49,37022
37,23,116,89,76.72,27,23.28,37023
37,24,160,99,61.88,61,38.13,37024
37,25,190,125,65.79,65,34.21,37025
37,26,158,118,74.68,40,25.32,37026
37,27,203,132,65.02,71,34.98,37027
37,28,171,124,72.51,47,27.49,37028
37,29,164,99,60.37,65,39.63,37029
37,30,126,88,69.84,38,30.16,37030
37,31,176,115,65.34,61,34.66,37031
37,32,165,119,72.12,46,27.88,37032
37,33,141,100,70.92,41,29.08,37033
37,34,180,118,65.56,62,34.44,37034
37,35,168,87,51.79,81,48.21,37035
37,36,167,128,76.65,39,23.35,37036
37,37,170,115,67.65,55,32.35,37037
37,38,181,114,62.98,67,37.02,37038
37,39,144,97,67.36,47,32.64,37039
37,40,161,113,70.19,48,29.81,37040
37,41,199,122,61.31,77,38.69,37041
37,42,85,62,72.94,23,27.06,37042
37,43,150,98,65.33,52,34.67,37043
38,1,126,92,73.02,34,26.98,38001
38,2,90,50,55.56,40,44.44,38002
38,3,88,46,52.27,42,47.73,38003
38,4,53,29,54.72,24,45.28,38004
38,5,197,124,62.94,73,37.06,38005
38,6,103,65,63.11,38,36.89,38006
38,7,114,85,74.56,29,25.44,38007
38,8,79,53,67.09,26,32.91,38008
38,9,99,61,61.62,38,38.38,38009
38,10,160,108,67.5,52,32.5,38010
38,11,79,48,60.76,31,39.24,38011
38,12,131,85,64.89,46,35.11,38012
38,13,88,45,51.14,43,48.86,38013
38,14,108,79,73.15,29,26.85,38014
38,15,94,62,65.96,32,34.04,38015
38,16,121,78,64.46,43,35.54,38016
38,17,109,80,73.39,29,26.61,38017
38,18,132,79,59.85,53,40.15,38018
38,19,150,98,65.33,52,34.67,38019
38,20,137,83,60.58,54,39.42,38020
38,21,108,73,67.59,35,32.41,38021
38,22,114,66,57.89,48,42.11,38022
38,23,80,52,65.0,28,35.0,38023
38,24,74,44,59.46,30,40.54,38024
38,25,114,65,57.02,49,42.98,38025
38,26,85,57,67.06,28,32.94,38026
38,27,77,44,57.14,33,42.86,38027
38,28,96,56,58.33,40,41.67,38028
38,29,102,58,56.86,44,43.14,38029
38,30,100,63,63.0,37,37.0,38030
38,31,135,75,55.56,60,44.44,38031
38,32,135,80,59.26,55,40.74,38032
38,33,98,55,56.12,43,43.88,38033
38,34,74,35,47.3,39,52.7,38034
38,35,136,86,63.24,50,36.76,38035
38,36,112,70,62.5,42,37.5,38036
38,37,111,68,61.26,43,38.74,38037
38,38,140,74,52.86,66,47.14,38038
38,39,107,72,67.29,35,32.71,38039
38,40,103,68,66.02,35,33.98,38040
38,41,159,107,67.3,52,32.7,38041
38,42,146,83,56.85,63,43.15,38042
38,43,136,91,66.91,45,33.09,38043
38,44,113,68,60.18,45,39.82,38044
38,45,119,75,63.03,44,36.97,38045
38,46,108,67,62.04,41,37.96,38046
38,47,101,60,59.41,41,40.59,38047
38,48,121,69,57.02,52,42.98,38048
38,49,93,58,62.37,35,37.63,38049
38,50,123,88,71.54,35,28.46,38050
38,51,83,57,68.67,26,31.33,38051
38,52,122,63,51.64,59,48.36,38052
38,53,21,16,76.19,5,23.81,38053
39,1,143,90,62.94,53,37.06,39001
39,2,233,144,61.8,89,38.2,39002
39,3,142,65,45.77,77,54.23,39003
39,4,113,67,59.29,46,40.71,39004
39,5,77,50,64.94,27,35.06,39005
39,6,117,82,70.09,35,29.91,39006
39,7,92,50,54.35,42,45.65,39007
39,8,153,65,42.48,88,57.52,39008
39,9,153,54,35.29,99,64.71,39009
39,10,113,78,69.03,35,30.97,39010
39,11,192,89,46.35,103,53.65,39011
39,12,94,69,73.4,25,26.6,39012
39,13,60,44,73.33,16,26.67,39013
39,14,109,59,54.13,50,45.87,39014
39,15,118,54,45.76,64,54.24,39015
39,16,64,52,81.25,12,18.75,39016
39,17,111,80,72.07,31,27.93,39017
39,18,139,75,53.96,64,46.04,39018
39,19,90,53,58.89,37,41.11,39019
39,20,127,84,66.14,43,33.86,39020
39,21,88,41,46.59,47,53.41,39021
39,22,122,44,36.07,78,63.93,39022
39,23,84,54,64.29,30,35.71,39023
39,24,96,62,64.58,34,35.42,39024
39,25,124,82,66.13,42,33.87,39025
39,26,129,65,50.39,64,49.61,39026
39,27,149,86,57.72,63,42.28,39027
39,28,129,79,61.24,50,38.76,39028
39,29,138,97,70.29,41,29.71,39029
39,30,68,40,58.82,28,41.18,39030
39,31,75,44,58.67,31,41.33,39031
39,32,165,52,31.52,113,68.48,39032
39,33,146,83,56.85,63,43.15,39033
39,34,132,86,65.15,46,34.85,39034
39,35,149,86,57.72,63,42.28,39035
39,36,170,88,51.76,82,48.24,39036
39,37,173,94,54.34,79,45.66,39037
39,38,149,95,63.76,54,36.24,39038
39,39,65,40,61.54,25,38.46,39039
39,40,83,46,55.42,37,44.58,39040
39,41,53,28,52.83,25,47.17,39041
39,42,135,66,48.89,69,51.11,39042
39,43,111,78,70.27,33,29.73,39043
39,44,128,91,71.09,37,28.91,39044
39,45,70,52,74.29,18,25.71,39045
39,46,115,81,70.43,34,29.57,39046
39,47,76,43,56.58,33,43.42,39047
40,1,83,56,67.47,27,32.53,40001
40,2,84,52,61.9,32,38.1,40002
40,3,117,86,73.5,31,26.5,40003
40,4,142,105,73.94,37,26.06,40004
40,5,117,89,76.07,28,23.93,40005
40,6,91,66,72.53,25,27.47,40006
40,7,122,93,76.23,29,23.77,40007
40,8,26,19,73.08,7,26.92,40008
40,9,71,41,57.75,30,42.25,40009
