ward,precinct,total,John P. Daley,John P. Daley Percent,Carl Segvich,Carl Segvich Percent,precinct_id
13,6,272,222,81.62,50,18.38,13006
13,7,240,205,85.42,35,14.58,13007
13,8,310,247,79.68,63,20.32,13008
13,9,300,267,89.0,33,11.0,13009
13,10,244,192,78.69,52,21.31,13010
13,11,289,260,89.97,29,10.03,13011
13,12,237,208,87.76,29,12.24,13012
13,13,297,271,91.25,26,8.75,13013
13,14,216,178,82.41,38,17.59,13014
13,16,146,133,91.1,13,8.9,13016
13,17,259,202,77.99,57,22.01,13017
13,19,233,212,90.99,21,9.01,13019
13,21,327,279,85.32,48,14.68,13021
13,22,250,226,90.4,24,9.6,13022
13,23,213,185,86.85,28,13.15,13023
13,24,249,216,86.75,33,13.25,13024
13,25,226,182,80.53,44,19.47,13025
13,26,192,171,89.06,21,10.94,13026
13,27,282,242,85.82,40,14.18,13027
13,29,240,216,90.0,24,10.0,13029
13,32,281,245,87.19,36,12.81,13032
13,34,197,159,80.71,38,19.29,13034
13,35,217,191,88.02,26,11.98,13035
13,36,170,144,84.71,26,15.29,13036
13,37,198,168,84.85,30,15.15,13037
13,38,279,225,80.65,54,19.35,13038
13,39,220,193,87.73,27,12.27,13039
13,40,281,240,85.41,41,14.59,13040
13,41,230,211,91.74,19,8.26,13041
13,42,245,217,88.57,28,11.43,13042
13,43,192,179,93.23,13,6.77,13043
13,44,316,296,93.67,20,6.33,13044
13,45,362,313,86.46,49,13.54,13045
13,46,198,180,90.91,18,9.09,13046
13,47,248,218,87.9,30,12.1,13047
13,48,275,233,84.73,42,15.27,13048
13,49,298,261,87.58,37,12.42,13049
14,2,190,167,87.89,23,12.11,14002
14,25,223,199,89.24,24,10.76,14025
14,28,219,188,85.84,31,14.16,14028
15,6,200,183,91.5,17,8.5,15006
15,13,141,132,93.62,9,6.38,15013
15,15,180,166,92.22,14,7.78,15015
15,22,225,213,94.67,12,5.33,15022
15,24,246,231,93.9,15,6.1,15024
15,29,97,97,100.0,0,0.0,15029
15,33,81,79,97.53,2,2.47,15033
15,44,25,23,92.0,2,8.0,15044
15,45,87,82,94.25,5,5.75,15045
15,50,176,168,95.45,8,4.55,15050
16,1,143,136,95.1,7,4.9,16001
16,2,148,147,99.32,1,0.68,16002
16,6,78,74,94.87,4,5.13,16006
16,7,183,170,92.9,13,7.1,16007
16,8,235,228,97.02,7,2.98,16008
16,10,132,127,96.21,5,3.79,16010
16,11,239,228,95.4,11,4.6,16011
16,12,152,145,95.39,7,4.61,16012
16,13,37,35,94.59,2,5.41,16013
16,18,181,176,97.24,5,2.76,16018
16,19,170,159,93.53,11,6.47,16019
16,23,54,49,90.74,5,9.26,16023
16,24,118,116,98.31,2,1.69,16024
16,29,101,94,93.07,7,6.93,16029
16,30,145,138,95.17,7,4.83,16030
16,38,182,173,95.05,9,4.95,16038
16,44,146,133,91.1,13,8.9,16044
18,1,142,131,92.25,11,7.75,18001
18,2,270,246,91.11,24,8.89,18002
18,3,232,175,75.43,57,24.57,18003
18,6,234,167,71.37,67,28.63,18006
18,7,45,42,93.33,3,6.67,18007
18,11,271,235,86.72,36,13.28,18011
18,15,187,153,81.82,34,18.18,18015
18,17,240,222,92.5,18,7.5,18017
18,23,230,216,93.91,14,6.09,18023
18,28,298,231,77.52,67,22.48,18028
18,29,303,258,85.15,45,14.85,18029
18,36,139,125,89.93,14,10.07,18036
18,41,279,217,77.78,62,22.22,18041
18,43,206,181,87.86,25,12.14,18043
18,48,165,138,83.64,27,16.36,18048
18,55,275,191,69.45,84,30.55,18055
18,56,222,192,86.49,30,13.51,18056
18,57,207,196,94.69,11,5.31,18057
18,62,218,194,88.99,24,11.01,18062
19,1,368,301,81.79,67,18.21,19001
19,2,315,281,89.21,34,10.79,19002
19,3,307,217,70.68,90,29.32,19003
19,4,318,239,75.16,79,24.84,19004
19,5,361,307,85.04,54,14.96,19005
19,6,309,222,71.84,87,28.16,19006
19,7,337,277,82.2,60,17.8,19007
19,8,268,207,77.24,61,22.76,19008
19,9,275,188,68.36,87,31.64,19009
19,10,467,382,81.8,85,18.2,19010
19,11,366,256,69.95,110,30.05,19011
19,12,365,267,73.15,98,26.85,19012
19,13,264,249,94.32,15,5.68,19013
19,14,212,152,71.7,60,28.3,19014
19,15,268,209,77.99,59,22.01,19015
19,16,408,317,77.7,91,22.3,19016
19,17,367,304,82.83,63,17.17,19017
19,18,420,340,80.95,80,19.05,19018
19,19,361,278,77.01,83,22.99,19019
19,20,319,256,80.25,63,19.75,19020
19,21,266,212,79.7,54,20.3,19021
19,22,410,311,75.85,99,24.15,19022
19,23,402,302,75.12,100,24.88,19023
19,24,287,208,72.47,79,27.53,19024
19,25,413,309,74.82,104,25.18,19025
19,26,379,282,74.41,97,25.59,19026
19,27,233,194,83.26,39,16.74,19027
19,28,356,324,91.01,32,8.99,19028
19,29,271,203,74.91,68,25.09,19029
19,30,342,245,71.64,97,28.36,19030
19,31,339,246,72.57,93,27.43,19031
19,32,410,323,78.78,87,21.22,19032
19,33,375,267,71.2,108,28.8,19033
19,34,365,272,74.52,93,25.48,19034
19,35,321,264,82.24,57,17.76,19035
19,36,336,291,86.61,45,13.39,19036
19,37,370,309,83.51,61,16.49,19037
19,38,374,327,87.43,47,12.57,19038
19,39,174,164,94.25,10,5.75,19039
19,40,346,280,80.92,66,19.08,19040
19,41,309,211,68.28,98,31.72,19041
19,42,289,239,82.7,50,17.3,19042
19,44,292,216,73.97,76,26.03,19044
19,45,368,278,75.54,90,24.46,19045
19,46,451,366,81.15,85,18.85,19046
19,47,261,223,85.44,38,14.56,19047
19,49,380,316,83.16,64,16.84,19049
19,51,316,243,76.9,73,23.1,19051
19,52,282,199,70.57,83,29.43,19052
19,53,337,252,74.78,85,25.22,19053
19,54,274,209,76.28,65,23.72,19054
19,55,287,226,78.75,61,21.25,19055
19,56,458,377,82.31,81,17.69,19056
19,57,424,357,84.2,67,15.8,19057
19,58,345,252,73.04,93,26.96,19058
19,59,375,259,69.07,116,30.93,19059
19,60,295,267,90.51,28,9.49,19060
19,61,439,359,81.78,80,18.22,19061
19,62,311,258,82.96,53,17.04,19062
19,63,252,221,87.7,31,12.3,19063
19,64,388,327,84.28,61,15.72,19064
19,65,262,220,83.97,42,16.03,19065
19,67,125,103,82.4,22,17.6,19067
20,41,8,8,100.0,0,0.0,20041
20,45,4,2,50.0,2,50.0,20045
23,1,280,204,72.86,76,27.14,23001
23,2,331,258,77.95,73,22.05,23002
23,3,291,192,65.98,99,34.02,23003
23,4,295,212,71.86,83,28.14,23004
23,5,257,230,89.49,27,10.51,23005
23,6,92,73,79.35,19,20.65,23006
23,7,8,8,100.0,0,0.0,23007
23,8,275,227,82.55,48,17.45,23008
23,10,295,253,85.76,42,14.24,23010
23,11,327,235,71.87,92,28.13,23011
23,12,295,212,71.86,83,28.14,23012
23,13,340,258,75.88,82,24.12,23013
23,14,17,16,94.12,1,5.88,23014
23,15,293,212,72.35,81,27.65,23015
23,16,325,244,75.08,81,24.92,23016
23,17,360,267,74.17,93,25.83,23017
23,18,237,165,69.62,72,30.38,23018
23,19,280,209,74.64,71,25.36,23019
23,20,244,188,77.05,56,22.95,23020
23,21,225,218,96.89,7,3.11,23021
23,22,288,220,76.39,68,23.61,23022
23,23,251,178,70.92,73,29.08,23023
23,25,203,163,80.3,40,19.7,23025
23,26,319,219,68.65,100,31.35,23026
23,27,226,171,75.66,55,24.34,23027
23,28,297,230,77.44,67,22.56,23028
23,30,258,200,77.52,58,22.48,23030
23,31,295,249,84.41,46,15.59,23031
23,32,273,237,86.81,36,13.19,23032
23,33,284,233,82.04,51,17.96,23033
23,34,234,189,80.77,45,19.23,23034
23,35,196,195,99.49,1,0.51,23035
23,36,372,274,73.66,98,26.34,23036
23,37,171,163,95.32,8,4.68,23037
23,38,240,186,77.5,54,22.5,23038
23,39,274,190,69.34,84,30.66,23039
23,40,287,189,65.85,98,34.15,23040
23,41,255,202,79.22,53,20.78,23041
23,42,219,181,82.65,38,17.35,23042
23,43,325,240,73.85,85,26.15,23043
23,44,265,227,85.66,38,14.34,23044
23,45,325,253,77.85,72,22.15,23045
23,46,285,215,75.44,70,24.56,23046
23,47,357,259,72.55,98,27.45,23047
23,48,241,186,77.18,55,22.82,23048
23,49,337,234,69.44,103,30.56,23049
23,50,184,148,80.43,36,19.57,23050
23,51,223,183,82.06,40,17.94,23051
23,52,335,251,74.93,84,25.07,23052
23,53,179,154,86.03,25,13.97,23053
23,54,330,254,76.97,76,23.03,23054
23,55,278,193,69.42,85,30.58,23055
23,56,262,187,71.37,75,28.63,23056
