ward,precinct,total,Rahm Emanuel,Rahm Emanuel Percent,Kevin Edward White,Kevin Edward White Percent,precinct_id
39,6,266,198,74.44,68,25.56,39006
39,7,190,155,81.58,35,18.42,39007
39,8,305,260,85.25,45,14.75,39008
39,9,332,267,80.42,65,19.58,39009
39,10,222,197,88.74,25,11.26,39010
39,11,340,281,82.65,59,17.35,39011
39,12,244,205,84.02,39,15.98,39012
39,13,163,135,82.82,28,17.18,39013
39,14,276,244,88.41,32,11.59,39014
39,15,230,160,69.57,70,30.43,39015
39,16,203,167,82.27,36,17.73,39016
39,17,227,188,82.82,39,17.18,39017
39,18,283,232,81.98,51,18.02,39018
39,19,185,149,80.54,36,19.46,39019
39,20,240,157,65.42,83,34.58,39020
39,21,188,165,87.77,23,12.23,39021
39,22,260,232,89.23,28,10.77,39022
39,23,154,130,84.42,24,15.58,39023
39,24,264,230,87.12,34,12.88,39024
39,25,277,213,76.9,64,23.1,39025
39,26,302,209,69.21,93,30.79,39026
39,27,271,214,78.97,57,21.03,39027
39,28,285,238,83.51,47,16.49,39028
39,29,260,208,80.0,52,20.0,39029
39,30,166,145,87.35,21,12.65,39030
39,31,197,167,84.77,30,15.23,39031
39,32,233,209,89.7,24,10.3,39032
39,33,320,270,84.38,50,15.63,39033
39,34,328,261,79.57,67,20.43,39034
39,35,302,243,80.46,59,19.54,39035
39,36,301,253,84.05,48,15.95,39036
39,37,386,280,72.54,106,27.46,39037
39,38,315,250,79.37,65,20.63,39038
39,39,114,90,78.95,24,21.05,39039
39,40,185,125,67.57,60,32.43,39040
39,41,142,112,78.87,30,21.13,39041
39,42,256,176,68.75,80,31.25,39042
39,43,263,221,84.03,42,15.97,39043
39,44,346,295,85.26,51,14.74,39044
39,45,170,133,78.24,37,21.76,39045
39,46,214,186,86.92,28,13.08,39046
39,47,180,129,71.67,51,28.33,39047
40,1,165,134,81.21,31,18.79,40001
40,2,177,145,81.92,32,18.08,40002
40,5,277,245,88.45,32,11.55,40005
40,6,270,238,88.15,32,11.85,40006
40,10,264,216,81.82,48,18.18,40010
40,14,225,195,86.67,30,13.33,40014
40,15,234,201,85.9,33,14.1,40015
40,17,130,103,79.23,27,20.77,40017
40,19,212,175,82.55,37,17.45,40019
40,20,230,188,81.74,42,18.26,40020
40,21,240,211,87.92,29,12.08,40021
40,23,309,281,90.94,28,9.06,40023
40,24,155,130,83.87,25,16.13,40024
40,25,190,152,80.0,38,20.0,40025
40,29,275,226,82.18,49,17.82,40029
40,30,320,257,80.31,63,19.69,40030
40,31,231,172,74.46,59,25.54,40031
40,32,145,111,76.55,34,23.45,40032
40,34,177,154,87.01,23,12.99,40034
40,36,310,264,85.16,46,14.84,40036
40,38,134,111,82.84,23,17.16,40038
40,40,170,144,84.71,26,15.29,40040
40,41,32,30,93.75,2,6.25,40041
40,44,214,170,79.44,44,20.56,40044
40,45,383,306,79.9,77,20.1,40045
40,48,190,161,84.74,29,15.26,40048
40,49,152,121,79.61,31,20.39,40049
41,3,374,273,72.99,101,27.01,41003
41,6,311,211,67.85,100,32.15,41006
41,9,379,270,71.24,109,28.76,41009
41,10,295,178,60.34,117,39.66,41010
41,12,364,262,71.98,102,28.02,41012
41,14,368,248,67.39,120,32.61,41014
41,16,393,279,70.99,114,29.01,41016
41,19,387,272,70.28,115,29.72,41019
41,21,378,248,65.61,130,34.39,41021
41,22,335,218,65.07,117,34.93,41022
41,23,308,215,69.81,93,30.19,41023
41,24,351,225,64.1,126,35.9,41024
41,30,398,281,70.6,117,29.4,41030
41,35,402,266,66.17,136,33.83,41035
41,38,369,253,68.56,116,31.44,41038
41,39,263,185,70.34,78,29.66,41039
41,44,343,217,63.27,126,36.73,41044
41,46,280,197,70.36,83,29.64,41046
41,47,326,204,62.58,122,37.42,41047
41,50,352,242,68.75,110,31.25,41050
41,51,237,169,71.31,68,28.69,41051
41,53,336,246,73.21,90,26.79,41053
41,54,285,207,72.63,78,27.37,41054
41,57,299,205,68.56,94,31.44,41057
43,2,328,238,72.56,90,27.44,43002
43,6,257,205,79.77,52,20.23,43006
43,7,323,242,74.92,81,25.08,43007
43,8,399,317,79.45,82,20.55,43008
43,12,365,289,79.18,76,20.82,43012
43,14,282,214,75.89,68,24.11,43014
43,17,362,257,70.99,105,29.01,43017
43,20,322,237,73.6,85,26.4,43020
43,21,302,222,73.51,80,26.49,43021
43,22,247,168,68.02,79,31.98,43022
43,27,254,200,78.74,54,21.26,43027
43,29,249,182,73.09,67,26.91,43029
43,31,353,263,74.5,90,25.5,43031
43,32,309,250,80.91,59,19.09,43032
43,33,153,115,75.16,38,24.84,43033
43,34,165,132,80.0,33,20.0,43034
43,38,238,184,77.31,54,22.69,43038
43,43,239,175,73.22,64,26.78,43043
43,44,335,251,74.93,84,25.07,43044
43,45,103,82,79.61,21,20.39,43045
43,48,328,255,77.74,73,22.26,43048
43,50,219,174,79.45,45,20.55,43050
43,53,331,258,77.95,73,22.05,43053
43,56,170,131,77.06,39,22.94,43056
43,57,260,202,77.69,58,22.31,43057
43,58,249,195,78.31,54,21.69,43058
43,59,276,220,79.71,56,20.29,43059
44,1,260,213,81.92,47,18.08,44001
44,2,240,205,85.42,35,14.58,44002
44,5,352,308,87.5,44,12.5,44005
44,6,327,281,85.93,46,14.07,44006
44,8,150,120,80.0,30,20.0,44008
44,9,249,173,69.48,76,30.52,44009
44,10,237,187,78.9,50,21.1,44010
44,11,289,228,78.89,61,21.11,44011
44,12,251,206,82.07,45,17.93,44012
44,13,227,174,76.65,53,23.35,44013
44,14,285,222,77.89,63,22.11,44014
44,15,379,318,83.91,61,16.09,44015
44,16,333,266,79.88,67,20.12,44016
44,17,332,278,83.73,54,16.27,44017
44,18,219,174,79.45,45,20.55,44018
44,19,191,163,85.34,28,14.66,44019
44,20,292,249,85.27,43,14.73,44020
44,21,342,298,87.13,44,12.87,44021
44,22,384,323,84.11,61,15.89,44022
44,23,273,233,85.35,40,14.65,44023
44,24,216,176,81.48,40,18.52,44024
44,25,333,263,78.98,70,21.02,44025
44,26,246,212,86.18,34,13.82,44026
44,27,347,281,80.98,66,19.02,44027
44,28,242,191,78.93,51,21.07,44028
44,29,331,252,76.13,79,23.87,44029
44,30,252,226,89.68,26,10.32,44030
44,31,327,264,80.73,63,19.27,44031
44,32,241,203,84.23,38,15.77,44032
44,33,357,325,91.04,32,8.96,44033
44,34,225,184,81.78,41,18.22,44034
44,36,333,262,78.68,71,21.32,44036
44,37,399,346,86.72,53,13.28,44037
44,38,294,221,75.17,73,24.83,44038
44,39,357,270,75.63,87,24.37,44039
44,40,349,260,74.5,89,25.5,44040
44,41,266,216,81.2,50,18.8,44041
44,42,398,337,84.67,61,15.33,44042
44,43,368,282,76.63,86,23.37,44043
44,44,355,292,82.25,63,17.75,44044
44,45,365,314,86.03,51,13.97,44045
44,46,230,197,85.65,33,14.35,44046
44,47,399,318,79.7,81,20.3,44047
44,50,301,231,76.74,70,23.26,44050
44,51,258,196,75.97,62,24.03,44051
45,1,227,184,81.06,43,18.94,45001
45,2,312,243,77.88,69,22.12,45002
45,3,337,267,79.23,70,20.77,45003
45,4,374,250,66.84,124,33.16,45004
45,5,344,216,62.79,128,37.21,45005
45,6,292,220,75.34,72,24.66,45006
45,7,239,185,77.41,54,22.59,45007
45,8,235,187,79.57,48,20.43,45008
45,9,321,235,73.21,86,26.79,45009
45,10,346,264,76.3,82,23.7,45010
45,11,278,194,69.78,84,30.22,45011
45,12,324,240,74.07,84,25.93,45012
45,13,312,252,80.77,60,19.23,45013
45,14,341,267,78.3,74,21.7,45014
45,15,296,228,77.03,68,22.97,45015
45,16,294,248,84.35,46,15.65,45016
45,17,259,202,77.99,57,22.01,45017
45,18,276,226,81.88,50,18.12,45018
45,19,312,239,76.6,73,23.4,45019
45,20,271,193,71.22,78,28.78,45020
45,21,284,209,73.59,75,26.41,45021
45,22,269,192,71.38,77,28.62,45022
