ward,precinct,total,William M. Beavers,William M. Beavers Percent,Ann Rochelle Hunter,Ann Rochelle Hunter Percent,precinct_id
8,40,261,247,94.64,14,5.36,08040
8,41,228,218,95.61,10,4.39,08041
8,42,281,261,92.88,20,7.12,08042
8,43,223,214,95.96,9,4.04,08043
8,44,218,209,95.87,9,4.13,08044
8,45,211,201,95.26,10,4.74,08045
8,46,231,220,95.24,11,4.76,08046
8,47,273,259,94.87,14,5.13,08047
8,48,213,195,91.55,18,8.45,08048
8,49,323,313,96.9,10,3.1,08049
8,50,288,275,95.49,13,4.51,08050
8,51,325,313,96.31,12,3.69,08051
8,52,282,272,96.45,10,3.55,08052
8,53,327,310,94.8,17,5.2,08053
8,54,293,280,95.56,13,4.44,08054
8,55,251,242,96.41,9,3.59,08055
8,56,305,293,96.07,12,3.93,08056
8,58,279,265,94.98,14,5.02,08058
8,59,183,178,97.27,5,2.73,08059
8,60,217,205,94.47,12,5.53,08060
8,61,228,220,96.49,8,3.51,08061
8,62,231,215,93.07,16,6.93,08062
8,63,317,300,94.64,17,5.36,08063
8,64,243,232,95.47,11,4.53,08064
8,65,186,174,93.55,12,6.45,08065
8,66,412,396,96.12,16,3.88,08066
9,8,254,245,96.46,9,3.54,09008
9,20,331,321,96.98,10,3.02,09020
9,21,301,292,97.01,9,2.99,09021
9,25,172,133,77.33,39,22.67,09025
9,27,286,270,94.41,16,5.59,09027
9,36,315,309,98.1,6,1.9,09036
9,37,219,158,72.15,61,27.85,09037
9,47,335,326,97.31,9,2.69,09047
9,49,233,222,95.28,11,4.72,09049
9,51,140,130,92.86,10,7.14,09051
10,1,199,192,96.48,7,3.52,10001
10,2,153,109,71.24,44,28.76,10002
10,3,223,124,55.61,99,44.39,10003
10,4,174,150,86.21,24,13.79,10004
10,5,193,133,68.91,60,31.09,10005
10,6,222,214,96.4,8,3.6,10006
10,7,63,54,85.71,9,14.29,10007
10,8,183,123,67.21,60,32.79,10008
10,9,215,130,60.47,85,39.53,10009
10,10,223,146,65.47,77,34.53,10010
10,11,216,146,67.59,70,32.41,10011
10,12,180,138,76.67,42,23.33,10012
10,13,176,131,74.43,45,25.57,10013
10,14,225,142,63.11,83,36.89,10014
10,15,97,62,63.92,35,36.08,10015
10,16,217,130,59.91,87,40.09,10016
10,17,147,95,64.63,52,35.37,10017
10,18,196,181,92.35,15,7.65,10018
10,19,250,160,64.0,90,36.0,10019
10,20,172,122,70.93,50,29.07,10020
10,21,167,106,63.47,61,36.53,10021
10,22,40,25,62.5,15,37.5,10022
10,23,182,139,76.37,43,23.63,10023
10,24,204,112,54.9,92,45.1,10024
10,25,243,225,92.59,18,7.41,10025
10,26,182,133,73.08,49,26.92,10026
10,27,255,174,68.24,81,31.76,10027
10,28,152,146,96.05,6,3.95,10028
10,29,202,192,95.05,10,4.95,10029
10,30,233,193,82.83,40,17.17,10030
10,31,217,159,73.27,58,26.73,10031
10,32,227,162,71.37,65,28.63,10032
10,33,193,144,74.61,49,25.39,10033
10,34,183,156,85.25,27,14.75,10034
10,35,195,163,83.59,32,16.41,10035
10,36,226,203,89.82,23,10.18,10036
10,37,186,175,94.09,11,5.91,10037
10,38,240,183,76.25,57,23.75,10038
10,39,189,148,78.31,41,21.69,10039
10,40,154,144,93.51,10,6.49,10040
10,41,263,177,67.3,86,32.7,10041
10,42,209,128,61.24,81,38.76,10042
10,43,105,88,83.81,17,16.19,10043
10,44,185,146,78.92,39,21.08,10044
10,45,124,98,79.03,26,20.97,10045
10,46,228,173,75.88,55,24.12,10046
10,47,178,121,67.98,57,32.02,10047
10,48,179,164,91.62,15,8.38,10048
10,49,178,168,94.38,10,5.62,10049
18,30,236,232,98.31,4,1.69,18030
18,46,281,274,97.51,7,2.49,18046
18,53,198,190,95.96,8,4.04,18053
19,43,35,34,97.14,1,2.86,19043
19,50,3,3,100.0,0,0.0,19050
21,1,383,359,93.73,24,6.27,21001
21,2,262,252,96.18,10,3.82,21002
21,3,197,190,96.45,7,3.55,21003
21,4,276,271,98.19,5,1.81,21004
21,5,258,248,96.12,10,3.88,21005
21,6,248,241,97.18,7,2.82,21006
21,7,294,284,96.6,10,3.4,21007
21,8,307,289,94.14,18,5.86,21008
21,9,293,284,96.93,9,3.07,21009
21,10,204,193,94.61,11,5.39,21010
21,11,283,270,95.41,13,4.59,21011
21,12,297,281,94.61,16,5.39,21012
21,13,155,149,96.13,6,3.87,21013
21,14,249,238,95.58,11,4.42,21014
21,15,240,235,97.92,5,2.08,21015
21,16,259,250,96.53,9,3.47,21016
21,17,265,258,97.36,7,2.64,21017
21,18,245,233,95.1,12,4.9,21018
21,19,225,220,97.78,5,2.22,21019
21,20,143,137,95.8,6,4.2,21020
21,21,305,296,97.05,9,2.95,21021
21,22,261,254,97.32,7,2.68,21022
21,23,231,223,96.54,8,3.46,21023
21,24,296,287,96.96,9,3.04,21024
21,25,216,213,98.61,3,1.39,21025
21,26,199,192,96.48,7,3.52,21026
21,27,297,275,92.59,22,7.41,21027
21,28,214,206,96.26,8,3.74,21028
21,30,202,199,98.51,3,1.49,21030
21,31,356,342,96.07,14,3.93,21031
21,32,246,236,95.93,10,4.07,21032
21,33,233,218,93.56,15,6.44,21033
21,34,315,305,96.83,10,3.17,21034
21,35,158,146,92.41,12,7.59,21035
21,36,236,225,95.34,11,4.66,21036
21,37,216,211,97.69,5,2.31,21037
21,38,264,257,97.35,7,2.65,21038
21,39,223,215,96.41,8,3.59,21039
21,40,252,246,97.62,6,2.38,21040
21,41,210,201,95.71,9,4.29,21041
21,42,287,279,97.21,8,2.79,21042
21,43,243,234,96.3,9,3.7,21043
21,44,273,263,96.34,10,3.66,21044
21,45,230,222,96.52,8,3.48,21045
21,46,188,181,96.28,7,3.72,21046
21,47,337,320,94.96,17,5.04,21047
21,48,372,362,97.31,10,2.69,21048
21,49,342,328,95.91,14,4.09,21049
21,50,245,237,96.73,8,3.27,21050
21,51,320,309,96.56,11,3.44,21051
21,52,272,266,97.79,6,2.21,21052
21,53,219,208,94.98,11,5.02,21053
21,54,245,235,95.92,10,4.08,21054
21,55,292,278,95.21,14,4.79,21055
21,56,225,222,98.67,3,1.33,21056
21,57,249,243,97.59,6,2.41,21057
21,58,195,189,96.92,6,3.08,21058
21,59,335,322,96.12,13,3.88,21059
21,60,299,285,95.32,14,4.68,21060
21,61,292,284,97.26,8,2.74,21061
21,62,294,280,95.24,14,4.76,21062
21,63,243,238,97.94,5,2.06,21063
21,64,151,147,97.35,4,2.65,21064
21,65,347,323,93.08,24,6.92,21065
21,66,212,208,98.11,4,1.89,21066
21,67,276,270,97.83,6,2.17,21067
21,68,283,277,97.88,6,2.12,21068
21,69,233,229,98.28,4,1.72,21069
21,70,251,238,94.82,13,5.18,21070
21,71,203,200,98.52,3,1.48,21071
21,72,243,232,95.47,11,4.53,21072
21,73,349,336,96.28,13,3.72,21073
34,8,318,308,96.86,10,3.14,34008
34,13,353,338,95.75,15,4.25,34013
34,19,65,63,96.92,2,3.08,34019
34,29,300,296,98.67,4,1.33,34029
34,45,286,276,96.5,10,3.5,34045
34,55,333,321,96.4,12,3.6,34055
34,56,147,143,97.28,4,2.72,34056
34,57,275,268,97.45,7,2.55,34057
34,58,307,297,96.74,10,3.26,34058
