ward,precinct,total,Mattie Hunter,Mattie Hunter Percent,Chad Jackson Surles,Chad Jackson Surles Percent,precinct_id
20,23,277,273,98.56,4,1.44,20023
20,25,31,30,96.77,1,3.23,20025
20,27,134,132,98.51,2,1.49,20027
20,31,229,219,95.63,10,4.37,20031
20,33,240,235,97.92,5,2.08,20033
20,36,0,0,0.0,0,0.0,20036
20,37,245,239,97.55,6,2.45,20037
20,39,188,183,97.34,5,2.66,20039
20,40,167,161,96.41,6,3.59,20040
20,41,71,67,94.37,4,5.63,20041
20,42,196,192,97.96,4,2.04,20042
20,43,55,54,98.18,1,1.82,20043
20,44,271,266,98.15,5,1.85,20044
20,45,151,149,98.68,2,1.32,20045
20,46,179,171,95.53,8,4.47,20046
20,48,100,99,99.0,1,1.0,20048
20,50,140,138,98.57,2,1.43,20050
25,14,165,133,80.61,32,19.39,25014
25,16,172,149,86.63,23,13.37,25016
25,18,255,242,94.9,13,5.1,25018
27,5,91,69,75.82,22,24.18,27005
27,6,133,129,96.99,4,3.01,27006
27,9,264,237,89.77,27,10.23,27009
27,12,222,166,74.77,56,25.23,27012
27,16,105,71,67.62,34,32.38,27016
27,20,324,319,98.46,5,1.54,27020
27,21,148,145,97.97,3,2.03,27021
27,28,190,151,79.47,39,20.53,27028
27,37,191,177,92.67,14,7.33,27037
27,39,109,108,99.08,1,0.92,27039
27,42,178,127,71.35,51,28.65,27042
27,43,104,103,99.04,1,0.96,27043
27,51,126,121,96.03,5,3.97,27051
42,3,301,220,73.09,81,26.91,42003
42,4,270,150,55.56,120,44.44,42004
42,9,240,173,72.08,67,27.92,42009
42,17,336,236,70.24,100,29.76,42017
42,19,135,91,67.41,44,32.59,42019
42,20,196,129,65.82,67,34.18,42020
42,22,291,203,69.76,88,30.24,42022
42,24,50,37,74.0,13,26.0,42024
42,27,331,234,70.69,97,29.31,42027
42,32,293,222,75.77,71,24.23,42032
42,39,180,136,75.56,44,24.44,42039
42,45,291,208,71.48,83,28.52,42045
42,46,213,166,77.93,47,22.07,42046
42,49,121,70,57.85,51,42.15,42049
42,55,328,208,63.41,120,36.59,42055
42,56,387,237,61.24,150,38.76,42056
42,57,229,180,78.6,49,21.4,42057
42,58,189,123,65.08,66,34.92,42058
42,60,152,124,81.58,28,18.42,42060
42,61,0,0,0.0,0,0.0,42061
43,13,158,112,70.89,46,29.11,43013
43,19,213,132,61.97,81,38.03,43019
43,30,211,138,65.4,73,34.6,43030
43,37,245,175,71.43,70,28.57,43037
43,51,286,221,77.27,65,22.73,43051
43,54,223,165,73.99,58,26.01,43054
43,55,214,184,85.98,30,14.02,43055
