ward,precinct,total,Carol Ronen,Carol Ronen Percent,Frank Thomas,Frank Thomas Percent,precinct_id
47,30,346,294,84.97,52,15.03,47030
47,31,293,263,89.76,30,10.24,47031
47,32,331,304,91.84,27,8.16,47032
47,33,321,290,90.34,31,9.66,47033
47,34,374,339,90.64,35,9.36,47034
47,36,428,370,86.45,58,13.55,47036
47,37,412,328,79.61,84,20.39,47037
47,38,342,294,85.96,48,14.04,47038
47,39,318,268,84.28,50,15.72,47039
47,41,471,421,89.38,50,10.62,47041
47,45,312,279,89.42,33,10.58,47045
48,1,322,278,86.34,44,13.66,48001
48,2,266,221,83.08,45,16.92,48002
48,3,378,332,87.83,46,12.17,48003
48,4,385,306,79.48,79,20.52,48004
48,5,284,232,81.69,52,18.31,48005
48,6,317,272,85.8,45,14.2,48006
48,7,249,230,92.37,19,7.63,48007
48,8,215,176,81.86,39,18.14,48008
48,9,303,256,84.49,47,15.51,48009
48,10,186,172,92.47,14,7.53,48010
48,11,385,345,89.61,40,10.39,48011
48,12,281,249,88.61,32,11.39,48012
48,13,265,226,85.28,39,14.72,48013
48,14,336,251,74.7,85,25.3,48014
48,15,153,143,93.46,10,6.54,48015
48,16,276,243,88.04,33,11.96,48016
48,17,271,230,84.87,41,15.13,48017
48,18,242,215,88.84,27,11.16,48018
48,19,250,223,89.2,27,10.8,48019
48,20,145,121,83.45,24,16.55,48020
48,21,139,123,88.49,16,11.51,48021
48,22,388,342,88.14,46,11.86,48022
48,23,322,275,85.4,47,14.6,48023
48,24,349,314,89.97,35,10.03,48024
48,25,281,246,87.54,35,12.46,48025
48,26,326,278,85.28,48,14.72,48026
48,27,192,161,83.85,31,16.15,48027
48,28,259,226,87.26,33,12.74,48028
48,29,219,195,89.04,24,10.96,48029
48,30,278,241,86.69,37,13.31,48030
48,31,246,213,86.59,33,13.41,48031
48,32,264,243,92.05,21,7.95,48032
48,33,254,217,85.43,37,14.57,48033
48,34,188,160,85.11,28,14.89,48034
48,35,218,181,83.03,37,16.97,48035
48,36,263,234,88.97,29,11.03,48036
48,37,222,201,90.54,21,9.46,48037
48,38,355,312,87.89,43,12.11,48038
48,39,233,202,86.7,31,13.3,48039
48,40,204,182,89.22,22,10.78,48040
48,41,193,168,87.05,25,12.95,48041
48,42,232,216,93.1,16,6.9,48042
48,43,383,350,91.38,33,8.62,48043
48,44,298,263,88.26,35,11.74,48044
48,45,214,188,87.85,26,12.15,48045
48,46,220,189,85.91,31,14.09,48046
48,47,233,217,93.13,16,6.87,48047
48,48,255,215,84.31,40,15.69,48048
48,49,147,133,90.48,14,9.52,48049
48,50,334,308,92.22,26,7.78,48050
48,51,391,322,82.35,69,17.65,48051
48,52,211,182,86.26,29,13.74,48052
48,53,210,177,84.29,33,15.71,48053
48,54,194,180,92.78,14,7.22,48054
48,55,162,123,75.93,39,24.07,48055
48,56,163,153,93.87,10,6.13,48056
49,2,376,320,85.11,56,14.89,49002
49,3,184,165,89.67,19,10.33,49003
49,4,144,134,93.06,10,6.94,49004
49,7,231,202,87.45,29,12.55,49007
49,8,266,241,90.6,25,9.4,49008
49,9,220,202,91.82,18,8.18,49009
49,10,222,190,85.59,32,14.41,49010
49,11,217,183,84.33,34,15.67,49011
49,12,280,255,91.07,25,8.93,49012
49,13,336,297,88.39,39,11.61,49013
49,15,175,154,88.0,21,12.0,49015
49,17,36,33,91.67,3,8.33,49017
49,18,184,156,84.78,28,15.22,49018
49,19,179,164,91.62,15,8.38,49019
49,21,115,94,81.74,21,18.26,49021
49,22,243,221,90.95,22,9.05,49022
49,23,222,203,91.44,19,8.56,49023
49,25,293,260,88.74,33,11.26,49025
49,26,264,204,77.27,60,22.73,49026
49,27,297,276,92.93,21,7.07,49027
49,29,290,260,89.66,30,10.34,49029
49,31,191,170,89.01,21,10.99,49031
49,32,201,170,84.58,31,15.42,49032
49,33,207,189,91.3,18,8.7,49033
49,36,351,316,90.03,35,9.97,49036
49,37,314,289,92.04,25,7.96,49037
49,39,205,189,92.2,16,7.8,49039
49,42,261,246,94.25,15,5.75,49042
50,34,3,0,0.0,3,100.0,50034
