ward,precinct,total,Bobbie L. Steele,Bobbie L. Steele Percent,Scott W. Kummer,Scott W. Kummer Percent,precinct_id
25,5,0,0,0.0,0,0.0,25005
25,6,163,142,87.12,21,12.88,25006
25,8,59,50,84.75,9,15.25,25008
25,10,149,135,90.6,14,9.4,25010
25,14,144,106,73.61,38,26.39,25014
25,16,125,97,77.6,28,22.4,25016
25,18,242,202,83.47,40,16.53,25018
25,21,182,113,62.09,69,37.91,25021
25,25,213,158,74.18,55,25.82,25025
25,26,189,133,70.37,56,29.63,25026
25,27,201,162,80.6,39,19.4,25027
25,28,306,219,71.57,87,28.43,25028
25,29,147,118,80.27,29,19.73,25029
27,1,252,185,73.41,67,26.59,27001
27,5,90,66,73.33,24,26.67,27005
27,6,134,127,94.78,7,5.22,27006
27,9,277,257,92.78,20,7.22,27009
27,11,258,213,82.56,45,17.44,27011
27,12,217,158,72.81,59,27.19,27012
27,16,101,65,64.36,36,35.64,27016
27,17,53,38,71.7,15,28.3,27017
27,18,0,0,0.0,0,0.0,27018
27,20,311,302,97.11,9,2.89,27020
27,21,153,152,99.35,1,0.65,27021
27,28,191,158,82.72,33,17.28,27028
27,37,184,167,90.76,17,9.24,27037
27,39,118,116,98.31,2,1.69,27039
27,42,179,131,73.18,48,26.82,27042
27,43,104,104,100.0,0,0.0,27043
27,51,130,124,95.38,6,4.62,27051
27,58,99,77,77.78,22,22.22,27058
28,10,51,50,98.04,1,1.96,28010
28,32,189,180,95.24,9,4.76,28032
28,35,165,157,95.15,8,4.85,28035
28,36,152,149,98.03,3,1.97,28036
28,50,121,117,96.69,4,3.31,28050
28,52,143,136,95.1,7,4.9,28052
28,53,90,84,93.33,6,6.67,28053
28,54,154,151,98.05,3,1.95,28054
28,61,127,120,94.49,7,5.51,28061
32,46,9,9,100.0,0,0.0,32046
42,1,413,290,70.22,123,29.78,42001
42,3,291,194,66.67,97,33.33,42003
42,4,266,156,58.65,110,41.35,42004
42,7,293,188,64.16,105,35.84,42007
42,8,363,241,66.39,122,33.61,42008
42,9,514,346,67.32,168,32.68,42009
42,10,247,170,68.83,77,31.17,42010
42,12,192,134,69.79,58,30.21,42012
42,14,326,208,63.8,118,36.2,42014
42,15,322,218,67.7,104,32.3,42015
42,16,195,120,61.54,75,38.46,42016
42,17,342,232,67.84,110,32.16,42017
42,18,410,276,67.32,134,32.68,42018
42,19,133,87,65.41,46,34.59,42019
42,20,199,137,68.84,62,31.16,42020
42,21,193,128,66.32,65,33.68,42021
42,22,287,193,67.25,94,32.75,42022
42,23,378,238,62.96,140,37.04,42023
42,24,343,234,68.22,109,31.78,42024
42,26,307,252,82.08,55,17.92,42026
42,27,335,229,68.36,106,31.64,42027
42,28,324,209,64.51,115,35.49,42028
42,29,383,223,58.22,160,41.78,42029
42,30,209,133,63.64,76,36.36,42030
42,32,289,212,73.36,77,26.64,42032
42,33,360,252,70.0,108,30.0,42033
42,34,262,206,78.63,56,21.37,42034
42,36,248,165,66.53,83,33.47,42036
42,39,176,132,75.0,44,25.0,42039
42,42,204,117,57.35,87,42.65,42042
42,45,287,211,73.52,76,26.48,42045
42,46,206,152,73.79,54,26.21,42046
42,48,246,147,59.76,99,40.24,42048
42,49,121,72,59.5,49,40.5,42049
42,55,323,204,63.16,119,36.84,42055
42,56,381,239,62.73,142,37.27,42056
42,57,224,164,73.21,60,26.79,42057
42,58,183,114,62.3,69,37.7,42058
42,59,383,261,68.15,122,31.85,42059
42,60,151,128,84.77,23,15.23,42060
42,61,213,127,59.62,86,40.38,42061
42,67,392,264,67.35,128,32.65,42067
42,68,263,176,66.92,87,33.08,42068
42,69,284,217,76.41,67,23.59,42069
43,13,157,111,70.7,46,29.3,43013
43,19,218,139,63.76,79,36.24,43019
43,28,383,240,62.66,143,37.34,43028
43,30,204,131,64.22,73,35.78,43030
43,35,351,224,63.82,127,36.18,43035
43,37,244,176,72.13,68,27.87,43037
43,39,221,137,61.99,84,38.01,43039
43,40,120,69,57.5,51,42.5,43040
43,51,301,237,78.74,64,21.26,43051
43,54,227,161,70.93,66,29.07,43054
43,55,2,1,50.0,1,50.0,43055
