ward,precinct,total,Luis V. Gutierrez,Luis V. Gutierrez Percent,Ann Melichar,Ann Melichar Percent,precinct_id
11,30,0,0,0.0,0,0.0,11030
12,1,92,84,91.3,8,8.7,12001
12,2,176,153,86.93,23,13.07,12002
12,3,189,162,85.71,27,14.29,12003
12,4,155,133,85.81,22,14.19,12004
12,5,161,140,86.96,21,13.04,12005
12,6,124,118,95.16,6,4.84,12006
12,7,190,181,95.26,9,4.74,12007
12,8,286,242,84.62,44,15.38,12008
12,9,156,148,94.87,8,5.13,12009
12,10,176,145,82.39,31,17.61,12010
12,11,269,253,94.05,16,5.95,12011
12,12,173,148,85.55,25,14.45,12012
12,13,248,211,85.08,37,14.92,12013
12,14,160,128,80.0,32,20.0,12014
12,15,145,139,95.86,6,4.14,12015
12,16,133,122,91.73,11,8.27,12016
12,17,206,182,88.35,24,11.65,12017
12,18,214,203,94.86,11,5.14,12018
12,19,226,202,89.38,24,10.62,12019
12,20,178,152,85.39,26,14.61,12020
12,21,216,175,81.02,41,18.98,12021
12,22,145,133,91.72,12,8.28,12022
12,23,170,149,87.65,21,12.35,12023
12,24,232,197,84.91,35,15.09,12024
13,3,332,263,79.22,69,20.78,13003
14,1,134,119,88.81,15,11.19,14001
14,3,272,241,88.6,31,11.4,14003
14,4,176,156,88.64,20,11.36,14004
14,5,261,246,94.25,15,5.75,14005
14,6,196,172,87.76,24,12.24,14006
14,7,211,161,76.3,50,23.7,14007
14,8,142,119,83.8,23,16.2,14008
14,9,229,206,89.96,23,10.04,14009
14,10,222,181,81.53,41,18.47,14010
14,11,171,151,88.3,20,11.7,14011
14,12,152,130,85.53,22,14.47,14012
14,13,198,166,83.84,32,16.16,14013
14,14,173,159,91.91,14,8.09,14014
14,15,251,224,89.24,27,10.76,14015
14,16,228,187,82.02,41,17.98,14016
14,17,267,244,91.39,23,8.61,14017
14,18,204,183,89.71,21,10.29,14018
14,19,259,221,85.33,38,14.67,14019
14,20,177,146,82.49,31,17.51,14020
14,21,210,193,91.9,17,8.1,14021
14,22,251,217,86.45,34,13.55,14022
14,23,258,208,80.62,50,19.38,14023
14,24,130,124,95.38,6,4.62,14024
14,26,252,220,87.3,32,12.7,14026
14,27,270,217,80.37,53,19.63,14027
14,29,249,217,87.15,32,12.85,14029
14,30,160,130,81.25,30,18.75,14030
14,31,235,207,88.09,28,11.91,14031
14,32,143,133,93.01,10,6.99,14032
14,33,165,147,89.09,18,10.91,14033
14,34,178,159,89.33,19,10.67,14034
14,35,196,178,90.82,18,9.18,14035
16,21,177,160,90.4,17,9.6,16021
16,32,98,90,91.84,8,8.16,16032
20,4,192,179,93.23,13,6.77,20004
20,8,89,83,93.26,6,6.74,20008
20,15,197,179,90.86,18,9.14,20015
20,21,116,103,88.79,13,11.21,20021
22,1,159,149,93.71,10,6.29,22001
22,2,142,133,93.66,9,6.34,22002
22,3,217,211,97.24,6,2.76,22003
22,4,207,203,98.07,4,1.93,22004
22,5,204,201,98.53,3,1.47,22005
22,6,192,181,94.27,11,5.73,22006
22,8,176,170,96.59,6,3.41,22008
22,9,222,214,96.4,8,3.6,22009
22,10,180,173,96.11,7,3.89,22010
22,11,194,187,96.39,7,3.61,22011
22,12,156,143,91.67,13,8.33,22012
22,13,236,228,96.61,8,3.39,22013
22,14,123,115,93.5,8,6.5,22014
22,15,155,149,96.13,6,3.87,22015
22,16,217,207,95.39,10,4.61,22016
22,17,180,171,95.0,9,5.0,22017
22,18,191,183,95.81,8,4.19,22018
22,20,237,219,92.41,18,7.59,22020
22,22,151,141,93.38,10,6.62,22022
22,23,196,190,96.94,6,3.06,22023
22,24,150,145,96.67,5,3.33,22024
22,25,164,160,97.56,4,2.44,22025
22,26,147,137,93.2,10,6.8,22026
22,27,240,225,93.75,15,6.25,22027
22,28,130,126,96.92,4,3.08,22028
22,29,137,134,97.81,3,2.19,22029
23,9,287,235,81.88,52,18.12,23009
23,24,198,159,80.3,39,19.7,23024
23,29,264,225,85.23,39,14.77,23029
24,53,185,173,93.51,12,6.49,24053
24,57,227,214,94.27,13,5.73,24057
25,1,245,202,82.45,43,17.55,25001
25,2,338,321,94.97,17,5.03,25002
25,5,247,196,79.35,51,20.65,25005
25,6,170,155,91.18,15,8.82,25006
25,7,244,226,92.62,18,7.38,25007
25,8,213,202,94.84,11,5.16,25008
25,9,339,311,91.74,28,8.26,25009
25,11,274,242,88.32,32,11.68,25011
25,12,230,214,93.04,16,6.96,25012
25,13,305,281,92.13,24,7.87,25013
25,15,272,246,90.44,26,9.56,25015
25,17,397,369,92.95,28,7.05,25017
25,19,299,284,94.98,15,5.02,25019
25,20,311,285,91.64,26,8.36,25020
25,22,147,129,87.76,18,12.24,25022
25,23,300,287,95.67,13,4.33,25023
25,24,307,294,95.77,13,4.23,25024
25,30,244,230,94.26,14,5.74,25030
25,31,157,126,80.25,31,19.75,25031
26,1,133,119,89.47,14,10.53,26001
26,2,165,142,86.06,23,13.94,26002
26,3,145,132,91.03,13,8.97,26003
26,4,120,109,90.83,11,9.17,26004
26,5,204,180,88.24,24,11.76,26005
26,6,129,120,93.02,9,6.98,26006
26,7,102,79,77.45,23,22.55,26007
26,8,133,118,88.72,15,11.28,26008
26,9,116,102,87.93,14,12.07,26009
26,10,111,108,97.3,3,2.7,26010
26,11,152,122,80.26,30,19.74,26011
26,12,100,91,91.0,9,9.0,26012
26,13,172,144,83.72,28,16.28,26013
26,14,140,127,90.71,13,9.29,26014
26,15,139,128,92.09,11,7.91,26015
26,16,105,96,91.43,9,8.57,26016
26,18,97,81,83.51,16,16.49,26018
26,19,218,196,89.91,22,10.09,26019
26,20,181,161,88.95,20,11.05,26020
26,21,183,157,85.79,26,14.21,26021
26,22,109,94,86.24,15,13.76,26022
26,23,133,118,88.72,15,11.28,26023
26,24,112,87,77.68,25,22.32,26024
26,25,63,56,88.89,7,11.11,26025
26,26,106,99,93.4,7,6.6,26026
26,27,142,128,90.14,14,9.86,26027
26,28,131,116,88.55,15,11.45,26028
26,29,146,132,90.41,14,9.59,26029
26,30,124,117,94.35,7,5.65,26030
26,31,135,112,82.96,23,17.04,26031
26,32,187,148,79.14,39,20.86,26032
26,34,156,139,89.1,17,10.9,26034
26,35,163,131,80.37,32,19.63,26035
26,36,138,119,86.23,19,13.77,26036
26,37,90,69,76.67,21,23.33,26037
26,38,114,104,91.23,10,8.77,26038
26,39,113,108,95.58,5,4.42,26039
26,40,88,76,86.36,12,13.64,26040
26,41,143,122,85.31,21,14.69,26041
26,42,112,106,94.64,6,5.36,26042
26,43,113,99,87.61,14,12.39,26043
26,44,90,83,92.22,7,7.78,26044
26,45,168,146,86.9,22,13.1,26045
26,46,40,34,85.0,6,15.0,26046
26,47,97,85,87.63,12,12.37,26047
26,48,174,154,88.51,20,11.49,26048
26,49,114,106,92.98,8,7.02,26049
26,50,82,69,84.15,13,15.85,26050
26,51,160,138,86.25,22,13.75,26051
26,52,49,44,89.8,5,10.2,26052
26,53,85,78,91.76,7,8.24,26053
26,54,117,111,94.87,6,5.13,26054
26,55,106,94,88.68,12,11.32,26055
26,56,145,127,87.59,18,12.41,26056
26,57,114,107,93.86,7,6.14,26057
26,58,119,101,84.87,18,15.13,26058
26,59,166,153,92.17,13,7.83,26059
26,60,138,117,84.78,21,15.22,26060
26,61,66,57,86.36,9,13.64,26061
26,62,180,155,86.11,25,13.89,26062
26,63,69,62,89.86,7,10.14,26063
27,13,211,182,86.26,29,13.74,27013
27,18,3,2,66.67,1,33.33,27018
27,32,202,181,89.6,21,10.4,27032
27,35,220,182,82.73,38,17.27,27035
27,38,176,153,86.93,23,13.07,27038
27,41,264,210,79.55,54,20.45,27041
27,56,146,132,90.41,14,9.59,27056
27,59,242,216,89.26,26,10.74,27059
28,29,197,187,94.92,10,5.08,28029
28,34,28,26,92.86,2,7.14,28034
28,38,95,87,91.58,8,8.42,28038
29,6,142,123,86.62,19,13.38,29006
29,7,171,148,86.55,23,13.45,29007
29,24,47,43,91.49,4,8.51,29024
29,39,184,159,86.41,25,13.59,29039
29,52,136,119,87.5,17,12.5,29052
30,4,187,159,85.03,28,14.97,30004
30,5,127,112,88.19,15,11.81,30005
30,17,21,14,66.67,7,33.33,30017
30,18,154,131,85.06,23,14.94,30018
30,19,120,100,83.33,20,16.67,30019
30,20,169,160,94.67,9,5.33,30020
30,21,191,169,88.48,22,11.52,30021
30,22,189,164,86.77,25,13.23,30022
30,23,148,136,91.89,12,8.11,30023
30,24,174,154,88.51,20,11.49,30024
30,25,124,96,77.42,28,22.58,30025
30,26,136,126,92.65,10,7.35,30026
30,27,239,215,89.96,24,10.04,30027
30,29,103,97,94.17,6,5.83,30029
30,31,133,125,93.98,8,6.02,30031
30,32,77,67,87.01,10,12.99,30032
30,33,204,184,90.2,20,9.8,30033
30,35,197,172,87.31,25,12.69,30035
30,36,168,135,80.36,33,19.64,30036
30,41,174,167,95.98,7,4.02,30041
31,1,91,80,87.91,11,12.09,31001
31,2,118,99,83.9,19,16.1,31002
31,4,146,121,82.88,25,17.12,31004
31,5,173,139,80.35,34,19.65,31005
31,6,173,147,84.97,26,15.03,31006
31,7,146,129,88.36,17,11.64,31007
31,10,97,91,93.81,6,6.19,31010
31,11,123,98,79.67,25,20.33,31011
31,12,144,129,89.58,15,10.42,31012
31,13,138,120,86.96,18,13.04,31013
31,14,135,118,87.41,17,12.59,31014
31,16,46,39,84.78,7,15.22,31016
31,17,151,132,87.42,19,12.58,31017
31,18,142,117,82.39,25,17.61,31018
31,20,138,122,88.41,16,11.59,31020
31,21,183,162,88.52,21,11.48,31021
31,22,111,87,78.38,24,21.62,31022
31,23,107,93,86.92,14,13.08,31023
31,24,125,107,85.6,18,14.4,31024
31,25,176,159,90.34,17,9.66,31025
31,27,136,124,91.18,12,8.82,31027
31,30,179,154,86.03,25,13.97,31030
31,31,223,172,77.13,51,22.87,31031
31,34,123,117,95.12,6,4.88,31034
31,35,80,67,83.75,13,16.25,31035
31,36,175,154,88.0,21,12.0,31036
31,37,162,144,88.89,18,11.11,31037
31,39,110,98,89.09,12,10.91,31039
31,40,123,109,88.62,14,11.38,31040
31,42,191,169,88.48,22,11.52,31042
31,44,134,119,88.81,15,11.19,31044
31,49,74,66,89.19,8,10.81,31049
31,51,118,106,89.83,12,10.17,31051
32,1,55,52,94.55,3,5.45,32001
32,2,274,209,76.28,65,23.72,32002
32,3,229,194,84.72,35,15.28,32003
32,4,336,259,77.08,77,22.92,32004
32,5,211,172,81.52,39,18.48,32005
32,11,240,209,87.08,31,12.92,32011
32,12,117,104,88.89,13,11.11,32012
32,14,239,191,79.92,48,20.08,32014
32,16,292,242,82.88,50,17.12,32016
32,17,208,163,78.37,45,21.63,32017
32,28,211,169,80.09,42,19.91,32028
32,29,275,215,78.18,60,21.82,32029
32,31,348,284,81.61,64,18.39,32031
32,33,197,151,76.65,46,23.35,32033
32,34,331,261,78.85,70,21.15,32034
32,35,350,280,80.0,70,20.0,32035
32,36,359,286,79.67,73,20.33,32036
32,46,41,33,80.49,8,19.51,32046
32,52,178,144,80.9,34,19.1,32052
33,1,345,307,88.99,38,11.01,33001
33,2,324,261,80.56,63,19.44,33002
33,3,334,291,87.13,43,12.87,33003
33,4,376,316,84.04,60,15.96,33004
33,6,370,328,88.65,42,11.35,33006
33,8,326,278,85.28,48,14.72,33008
33,11,326,276,84.66,50,15.34,33011
33,12,364,297,81.59,67,18.41,33012
33,13,317,267,84.23,50,15.77,33013
33,15,333,257,77.18,76,22.82,33015
33,16,288,244,84.72,44,15.28,33016
33,17,371,304,81.94,67,18.06,33017
33,19,375,325,86.67,50,13.33,33019
33,20,335,291,86.87,44,13.13,33020
33,21,333,295,88.59,38,11.41,33021
33,22,171,145,84.8,26,15.2,33022
33,26,311,268,86.17,43,13.83,33026
33,27,295,245,83.05,50,16.95,33027
35,1,302,245,81.13,57,18.87,35001
35,2,246,213,86.59,33,13.41,35002
35,3,176,149,84.66,27,15.34,35003
35,4,305,243,79.67,62,20.33,35004
35,5,236,199,84.32,37,15.68,35005
35,6,249,204,81.93,45,18.07,35006
35,7,350,297,84.86,53,15.14,35007
35,8,272,240,88.24,32,11.76,35008
35,9,264,217,82.2,47,17.8,35009
35,10,276,233,84.42,43,15.58,35010
35,11,245,190,77.55,55,22.45,35011
35,12,300,240,80.0,60,20.0,35012
35,13,83,75,90.36,8,9.64,35013
35,14,288,267,92.71,21,7.29,35014
35,15,244,200,81.97,44,18.03,35015
35,16,260,228,87.69,32,12.31,35016
35,17,283,250,88.34,33,11.66,35017
35,18,302,248,82.12,54,17.88,35018
35,19,231,206,89.18,25,10.82,35019
35,20,225,189,84.0,36,16.0,35020
35,21,235,187,79.57,48,20.43,35021
35,23,150,130,86.67,20,13.33,35023
35,24,173,148,85.55,25,14.45,35024
35,25,252,202,80.16,50,19.84,35025
35,26,288,228,79.17,60,20.83,35026
35,27,298,237,79.53,61,20.47,35027
35,28,298,267,89.6,31,10.4,35028
35,29,325,273,84.0,52,16.0,35029
35,30,345,295,85.51,50,14.49,35030
35,31,142,120,84.51,22,15.49,35031
35,32,154,138,89.61,16,10.39,35032
35,34,249,214,85.94,35,14.06,35034
35,35,258,221,85.66,37,14.34,35035
35,36,182,154,84.62,28,15.38,35036
36,4,161,135,83.85,26,16.15,36004
36,33,109,86,78.9,23,21.1,36033
36,44,71,51,71.83,20,28.17,36044
36,54,69,61,88.41,8,11.59,36054
36,55,25,20,80.0,5,20.0,36055
37,1,200,181,90.5,19,9.5,37001
37,11,109,97,88.99,12,11.01,37011
37,19,205,183,89.27,22,10.73,37019
37,39,227,186,81.94,41,18.06,37039
