ward,precinct,total,John J. Cullerton,John J. Cullerton Percent,William S. Hackney,William S. Hackney Percent,precinct_id
43,59,273,218,79.85,55,20.15,43059
44,1,251,210,83.67,41,16.33,44001
44,2,232,198,85.34,34,14.66,44002
44,3,341,297,87.1,44,12.9,44003
44,4,325,266,81.85,59,18.15,44004
44,5,343,301,87.76,42,12.24,44005
44,6,323,279,86.38,44,13.62,44006
44,7,325,260,80.0,65,20.0,44007
44,8,144,118,81.94,26,18.06,44008
44,9,236,174,73.73,62,26.27,44009
44,10,230,186,80.87,44,19.13,44010
44,11,284,222,78.17,62,21.83,44011
44,12,249,207,83.13,42,16.87,44012
44,13,224,175,78.13,49,21.88,44013
44,14,276,213,77.17,63,22.83,44014
44,15,377,316,83.82,61,16.18,44015
44,16,324,264,81.48,60,18.52,44016
44,17,331,282,85.2,49,14.8,44017
44,18,232,176,75.86,56,24.14,44018
44,19,184,155,84.24,29,15.76,44019
44,20,288,238,82.64,50,17.36,44020
44,21,334,287,85.93,47,14.07,44021
44,22,380,321,84.47,59,15.53,44022
44,23,267,230,86.14,37,13.86,44023
44,24,210,175,83.33,35,16.67,44024
44,25,331,265,80.06,66,19.94,44025
44,26,239,206,86.19,33,13.81,44026
44,27,344,283,82.27,61,17.73,44027
44,28,235,181,77.02,54,22.98,44028
44,29,323,254,78.64,69,21.36,44029
44,30,247,226,91.5,21,8.5,44030
44,31,316,248,78.48,68,21.52,44031
44,32,240,205,85.42,35,14.58,44032
44,33,351,324,92.31,27,7.69,44033
44,34,216,176,81.48,40,18.52,44034
44,35,254,212,83.46,42,16.54,44035
44,36,310,240,77.42,70,22.58,44036
44,37,392,339,86.48,53,13.52,44037
44,38,290,225,77.59,65,22.41,44038
44,39,347,262,75.5,85,24.5,44039
44,40,348,265,76.15,83,23.85,44040
44,41,257,202,78.6,55,21.4,44041
44,42,388,335,86.34,53,13.66,44042
44,43,366,299,81.69,67,18.31,44043
44,44,336,274,81.55,62,18.45,44044
44,45,344,292,84.88,52,15.12,44045
44,46,227,198,87.22,29,12.78,44046
44,47,390,315,80.77,75,19.23,44047
44,48,247,205,83.0,42,17.0,44048
44,49,481,412,85.65,69,14.35,44049
44,50,289,230,79.58,59,20.42,44050
44,51,252,196,77.78,56,22.22,44051
46,1,481,407,84.62,74,15.38,46001
46,3,327,304,92.97,23,7.03,46003
46,5,220,185,84.09,35,15.91,46005
46,10,256,221,86.33,35,13.67,46010
46,13,292,220,75.34,72,24.66,46013
46,15,338,288,85.21,50,14.79,46015
46,17,422,357,84.6,65,15.4,46017
46,18,362,297,82.04,65,17.96,46018
46,24,270,222,82.22,48,17.78,46024
46,28,363,286,78.79,77,21.21,46028
46,29,298,248,83.22,50,16.78,46029
46,30,332,275,82.83,57,17.17,46030
46,31,354,294,83.05,60,16.95,46031
46,33,379,312,82.32,67,17.68,46033
46,36,322,269,83.54,53,16.46,46036
46,37,231,197,85.28,34,14.72,46037
46,43,375,326,86.93,49,13.07,46043
46,44,202,185,91.58,17,8.42,46044
47,1,353,316,89.52,37,10.48,47001
47,2,246,209,84.96,37,15.04,47002
47,3,244,202,82.79,42,17.21,47003
47,4,329,284,86.32,45,13.68,47004
47,6,353,303,85.84,50,14.16,47006
47,7,314,261,83.12,53,16.88,47007
47,8,381,339,88.98,42,11.02,47008
47,9,225,196,87.11,29,12.89,47009
47,12,293,263,89.76,30,10.24,47012
47,13,435,383,88.05,52,11.95,47013
47,14,236,201,85.17,35,14.83,47014
47,15,338,319,94.38,19,5.62,47015
47,16,293,258,88.05,35,11.95,47016
47,17,285,251,88.07,34,11.93,47017
47,18,335,293,87.46,42,12.54,47018
47,21,341,297,87.1,44,12.9,47021
47,24,333,263,78.98,70,21.02,47024
47,25,328,273,83.23,55,16.77,47025
47,27,288,242,84.03,46,15.97,47027
47,29,302,246,81.46,56,18.54,47029
47,35,467,387,82.87,80,17.13,47035
47,40,313,276,88.18,37,11.82,47040
47,42,268,238,88.81,30,11.19,47042
47,43,222,183,82.43,39,17.57,47043
47,44,400,311,77.75,89,22.25,47044
47,46,247,205,83.0,42,17.0,47046
47,47,275,234,85.09,41,14.91,47047
47,48,60,55,91.67,5,8.33,47048
47,49,206,171,83.01,35,16.99,47049
47,50,257,204,79.38,53,20.62,47050
47,51,200,164,82.0,36,18.0,47051
47,52,92,82,89.13,10,10.87,47052
