ward,precinct,total,Earlean Collins,Earlean Collins Percent,Henrietta S. Butler,Henrietta S. Butler Percent,precinct_id
28,21,247,244,98.79,3,1.21,28021
28,22,189,182,96.3,7,3.7,28022
28,23,198,197,99.49,1,0.51,28023
28,24,127,121,95.28,6,4.72,28024
28,25,155,151,97.42,4,2.58,28025
28,26,197,193,97.97,4,2.03,28026
28,27,253,248,98.02,5,1.98,28027
28,28,131,128,97.71,3,2.29,28028
28,30,140,140,100.0,0,0.0,28030
28,31,175,172,98.29,3,1.71,28031
28,33,218,212,97.25,6,2.75,28033
28,37,304,299,98.36,5,1.64,28037
28,39,170,165,97.06,5,2.94,28039
28,40,257,255,99.22,2,0.78,28040
28,41,185,183,98.92,2,1.08,28041
28,42,173,172,99.42,1,0.58,28042
28,43,253,243,96.05,10,3.95,28043
28,44,221,219,99.1,2,0.9,28044
28,45,219,213,97.26,6,2.74,28045
28,46,208,205,98.56,3,1.44,28046
28,47,217,206,94.93,11,5.07,28047
28,48,105,104,99.05,1,0.95,28048
28,49,105,102,97.14,3,2.86,28049
28,51,179,173,96.65,6,3.35,28051
28,55,181,180,99.45,1,0.55,28055
28,56,193,189,97.93,4,2.07,28056
28,57,208,204,98.08,4,1.92,28057
28,58,187,181,96.79,6,3.21,28058
28,59,128,127,99.22,1,0.78,28059
28,60,130,128,98.46,2,1.54,28060
29,1,251,248,98.8,3,1.2,29001
29,3,343,338,98.54,5,1.46,29003
29,4,256,252,98.44,4,1.56,29004
29,5,223,215,96.41,8,3.59,29005
29,8,194,192,98.97,2,1.03,29008
29,10,181,180,99.45,1,0.55,29010
29,11,256,252,98.44,4,1.56,29011
29,12,305,296,97.05,9,2.95,29012
29,13,274,270,98.54,4,1.46,29013
29,14,329,325,98.78,4,1.22,29014
29,15,286,281,98.25,5,1.75,29015
29,16,326,324,99.39,2,0.61,29016
29,17,205,204,99.51,1,0.49,29017
29,18,297,291,97.98,6,2.02,29018
29,19,219,216,98.63,3,1.37,29019
29,20,262,246,93.89,16,6.11,29020
29,21,227,221,97.36,6,2.64,29021
29,22,258,206,79.84,52,20.16,29022
29,23,283,277,97.88,6,2.12,29023
29,25,250,245,98.0,5,2.0,29025
29,26,298,292,97.99,6,2.01,29026
29,27,219,217,99.09,2,0.91,29027
29,28,330,325,98.48,5,1.52,29028
29,29,328,320,97.56,8,2.44,29029
29,31,236,232,98.31,4,1.69,29031
29,33,263,256,97.34,7,2.66,29033
29,34,177,158,89.27,19,10.73,29034
29,35,224,220,98.21,4,1.79,29035
29,36,272,269,98.9,3,1.1,29036
29,37,263,261,99.24,2,0.76,29037
29,38,250,248,99.2,2,0.8,29038
29,40,353,349,98.87,4,1.13,29040
29,41,320,315,98.44,5,1.56,29041
29,42,305,299,98.03,6,1.97,29042
29,43,347,345,99.42,2,0.58,29043
29,44,300,292,97.33,8,2.67,29044
29,45,236,230,97.46,6,2.54,29045
29,46,245,242,98.78,3,1.22,29046
29,47,337,324,96.14,13,3.86,29047
29,48,210,207,98.57,3,1.43,29048
29,49,284,282,99.3,2,0.7,29049
29,50,237,235,99.16,2,0.84,29050
29,51,254,243,95.67,11,4.33,29051
32,6,4,4,100.0,0,0.0,32006
32,11,214,177,82.71,37,17.29,32011
32,12,49,39,79.59,10,20.41,32012
32,46,39,33,84.62,6,15.38,32046
36,23,126,116,92.06,10,7.94,36023
36,24,266,243,91.35,23,8.65,36024
36,44,279,227,81.36,52,18.64,36044
36,54,344,310,90.12,34,9.88,36054
37,2,191,184,96.34,7,3.66,37002
37,3,178,167,93.82,11,6.18,37003
37,4,286,279,97.55,7,2.45,37004
37,5,296,292,98.65,4,1.35,37005
37,6,287,281,97.91,6,2.09,37006
37,7,318,311,97.8,7,2.2,37007
37,8,217,207,95.39,10,4.61,37008
37,9,250,243,97.2,7,2.8,37009
37,10,255,248,97.25,7,2.75,37010
37,12,177,166,93.79,11,6.21,37012
37,13,243,234,96.3,9,3.7,37013
37,14,312,307,98.4,5,1.6,37014
37,15,280,279,99.64,1,0.36,37015
37,16,244,231,94.67,13,5.33,37016
37,17,228,226,99.12,2,0.88,37017
37,18,273,269,98.53,4,1.47,37018
37,20,253,247,97.63,6,2.37,37020
37,21,290,289,99.66,1,0.34,37021
37,22,168,163,97.02,5,2.98,37022
37,23,211,208,98.58,3,1.42,37023
37,24,258,252,97.67,6,2.33,37024
37,25,305,294,96.39,11,3.61,37025
37,26,281,276,98.22,5,1.78,37026
37,27,275,268,97.45,7,2.55,37027
37,28,262,255,97.33,7,2.67,37028
37,29,290,286,98.62,4,1.38,37029
37,30,193,186,96.37,7,3.63,37030
37,31,276,270,97.83,6,2.17,37031
37,32,248,244,98.39,4,1.61,37032
37,33,227,222,97.8,5,2.2,37033
37,34,280,275,98.21,5,1.79,37034
37,35,262,249,95.04,13,4.96,37035
37,36,244,239,97.95,5,2.05,37036
37,37,288,282,97.92,6,2.08,37037
37,38,314,309,98.41,5,1.59,37038
37,40,267,264,98.88,3,1.12,37040
37,41,304,289,95.07,15,4.93,37041
37,43,219,207,94.52,12,5.48,37043
