ward,precinct,total,Jerry ''Iceman'' Butler,Jerry ''Iceman'' Butler Percent,Maurice Perkins,Maurice Perkins Percent,precinct_id
5,3,158,145,91.77,13,8.23,05003
5,4,191,190,99.48,1,0.52,05004
5,5,242,234,96.69,8,3.31,05005
5,6,308,302,98.05,6,1.95,05006
5,7,292,285,97.6,7,2.4,05007
5,8,370,326,88.11,44,11.89,05008
5,9,253,249,98.42,4,1.58,05009
5,10,276,267,96.74,9,3.26,05010
5,11,276,235,85.14,41,14.86,05011
5,12,197,195,98.98,2,1.02,05012
5,13,252,242,96.03,10,3.97,05013
5,14,346,315,91.04,31,8.96,05014
5,15,257,236,91.83,21,8.17,05015
5,16,237,233,98.31,4,1.69,05016
5,17,307,301,98.05,6,1.95,05017
5,18,293,288,98.29,5,1.71,05018
5,19,141,139,98.58,2,1.42,05019
5,20,137,134,97.81,3,2.19,05020
5,21,306,298,97.39,8,2.61,05021
5,22,273,270,98.9,3,1.1,05022
5,23,224,219,97.77,5,2.23,05023
5,24,245,230,93.88,15,6.12,05024
5,25,278,273,98.2,5,1.8,05025
5,26,296,287,96.96,9,3.04,05026
5,27,378,315,83.33,63,16.67,05027
5,28,297,292,98.32,5,1.68,05028
5,29,295,283,95.93,12,4.07,05029
5,30,255,202,79.22,53,20.78,05030
5,31,223,219,98.21,4,1.79,05031
5,32,403,386,95.78,17,4.22,05032
5,33,191,187,97.91,4,2.09,05033
5,34,283,278,98.23,5,1.77,05034
5,35,224,202,90.18,22,9.82,05035
5,36,168,167,99.4,1,0.6,05036
5,37,218,197,90.37,21,9.63,05037
5,38,273,247,90.48,26,9.52,05038
5,39,325,281,86.46,44,13.54,05039
5,40,266,261,98.12,5,1.88,05040
5,41,244,208,85.25,36,14.75,05041
5,42,276,264,95.65,12,4.35,05042
5,43,295,289,97.97,6,2.03,05043
5,44,340,334,98.24,6,1.76,05044
5,45,163,162,99.39,1,0.61,05045
5,46,286,254,88.81,32,11.19,05046
5,47,214,213,99.53,1,0.47,05047
5,48,149,136,91.28,13,8.72,05048
5,49,62,58,93.55,4,6.45,05049
5,50,235,232,98.72,3,1.28,05050
5,51,191,188,98.43,3,1.57,05051
5,52,52,46,88.46,6,11.54,05052
5,53,286,268,93.71,18,6.29,05053
5,54,370,363,98.11,7,1.89,05054
5,55,238,233,97.9,5,2.1,05055
6,4,187,179,95.72,8,4.28,06004
6,5,164,161,98.17,3,1.83,06005
6,6,242,235,97.11,7,2.89,06006
6,7,300,296,98.67,4,1.33,06007
6,11,260,259,99.62,1,0.38,06011
6,12,248,242,97.58,6,2.42,06012
6,15,194,188,96.91,6,3.09,06015
6,20,254,251,98.82,3,1.18,06020
6,23,242,238,98.35,4,1.65,06023
6,30,216,213,98.61,3,1.39,06030
6,32,303,299,98.68,4,1.32,06032
6,33,358,352,98.32,6,1.68,06033
6,36,165,164,99.39,1,0.61,06036
6,39,262,257,98.09,5,1.91,06039
6,40,175,172,98.29,3,1.71,06040
6,42,157,156,99.36,1,0.64,06042
6,48,271,270,99.63,1,0.37,06048
6,49,291,287,98.63,4,1.37,06049
6,55,273,268,98.17,5,1.83,06055
6,56,218,215,98.62,3,1.38,06056
6,61,189,183,96.83,6,3.17,06061
7,9,240,234,97.5,6,2.5,07009
7,35,168,153,91.07,15,8.93,07035
7,40,348,336,96.55,12,3.45,07040
7,48,114,112,98.25,2,1.75,07048
7,50,166,163,98.19,3,1.81,07050
7,64,199,190,95.48,9,4.52,07064
8,57,257,254,98.83,3,1.17,08057
8,67,145,143,98.62,2,1.38,08067
8,68,174,170,97.7,4,2.3,08068
8,69,205,202,98.54,3,1.46,08069
8,70,370,363,98.11,7,1.89,08070
17,2,189,182,96.3,7,3.7,17002
17,3,156,150,96.15,6,3.85,17003
17,4,312,308,98.72,4,1.28,17004
17,5,211,208,98.58,3,1.42,17005
17,7,240,238,99.17,2,0.83,17007
17,9,151,150,99.34,1,0.66,17009
17,10,216,211,97.69,5,2.31,17010
17,11,239,234,97.91,5,2.09,17011
17,12,258,253,98.06,5,1.94,17012
17,15,203,199,98.03,4,1.97,17015
17,18,253,249,98.42,4,1.58,17018
17,20,216,211,97.69,5,2.31,17020
17,21,316,309,97.78,7,2.22,17021
17,22,225,221,98.22,4,1.78,17022
17,23,176,176,100.0,0,0.0,17023
17,24,228,223,97.81,5,2.19,17024
17,25,137,135,98.54,2,1.46,17025
17,26,287,283,98.61,4,1.39,17026
17,27,287,284,98.95,3,1.05,17027
17,28,187,177,94.65,10,5.35,17028
17,29,234,229,97.86,5,2.14,17029
17,30,232,230,99.14,2,0.86,17030
17,31,221,217,98.19,4,1.81,17031
17,32,254,251,98.82,3,1.18,17032
17,33,177,174,98.31,3,1.69,17033
17,35,135,133,98.52,2,1.48,17035
17,37,219,218,99.54,1,0.46,17037
17,38,208,205,98.56,3,1.44,17038
17,40,168,166,98.81,2,1.19,17040
17,44,163,160,98.16,3,1.84,17044
17,47,120,118,98.33,2,1.67,17047
17,48,236,234,99.15,2,0.85,17048
17,50,220,215,97.73,5,2.27,17050
17,51,241,240,99.59,1,0.41,17051
17,52,270,267,98.89,3,1.11,17052
17,53,202,199,98.51,3,1.49,17053
17,54,251,246,98.01,5,1.99,17054
17,55,208,206,99.04,2,0.96,17055
17,56,236,235,99.58,1,0.42,17056
17,57,250,247,98.8,3,1.2,17057
17,61,215,212,98.6,3,1.4,17061
18,4,315,305,96.83,10,3.17,18004
18,7,216,190,87.96,26,12.04,18007
18,8,109,105,96.33,4,3.67,18008
18,9,321,301,93.77,20,6.23,18009
18,10,408,392,96.08,16,3.92,18010
18,12,367,342,93.19,25,6.81,18012
18,13,328,311,94.82,17,5.18,18013
18,14,341,332,97.36,9,2.64,18014
18,16,336,321,95.54,15,4.46,18016
18,18,326,303,92.94,23,7.06,18018
18,19,358,357,99.72,1,0.28,18019
18,20,292,288,98.63,4,1.37,18020
18,21,404,384,95.05,20,4.95,18021
18,22,341,321,94.13,20,5.87,18022
18,24,273,271,99.27,2,0.73,18024
18,25,297,290,97.64,7,2.36,18025
18,26,228,215,94.3,13,5.7,18026
18,31,257,236,91.83,21,8.17,18031
18,32,366,360,98.36,6,1.64,18032
18,33,19,19,100.0,0,0.0,18033
18,34,367,343,93.46,24,6.54,18034
18,35,348,326,93.68,22,6.32,18035
18,36,86,78,90.7,8,9.3,18036
18,37,219,210,95.89,9,4.11,18037
18,38,333,329,98.8,4,1.2,18038
18,40,354,339,95.76,15,4.24,18040
18,44,166,153,92.17,13,7.83,18044
18,45,308,300,97.4,8,2.6,18045
18,51,369,363,98.37,6,1.63,18051
18,52,312,309,99.04,3,0.96,18052
18,54,306,296,96.73,10,3.27,18054
18,58,0,0,0.0,0,0.0,18058
18,59,1,1,100.0,0,0.0,18059
18,60,323,320,99.07,3,0.93,18060
18,61,253,250,98.81,3,1.19,18061
20,1,209,207,99.04,2,0.96,20001
20,2,183,179,97.81,4,2.19,20002
20,3,193,190,98.45,3,1.55,20003
20,5,137,134,97.81,3,2.19,20005
20,6,299,293,97.99,6,2.01,20006
20,9,225,221,98.22,4,1.78,20009
20,10,208,206,99.04,2,0.96,20010
20,14,325,318,97.85,7,2.15,20014
20,16,289,280,96.89,9,3.11,20016
20,18,188,186,98.94,2,1.06,20018
20,22,263,258,98.1,5,1.9,20022
20,24,251,242,96.41,9,3.59,20024
20,26,228,221,96.93,7,3.07,20026
20,29,226,217,96.02,9,3.98,20029
20,32,191,186,97.38,5,2.62,20032
20,34,313,298,95.21,15,4.79,20034
20,36,196,190,96.94,6,3.06,20036
20,37,248,240,96.77,8,3.23,20037
20,38,37,35,94.59,2,5.41,20038
20,47,173,171,98.84,2,1.16,20047
21,29,130,128,98.46,2,1.54,21029
21,52,6,6,100.0,0,0.0,21052
21,74,105,105,100.0,0,0.0,21074
42,2,187,132,70.59,55,29.41,42002
42,5,268,177,66.04,91,33.96,42005
42,6,466,304,65.24,162,34.76,42006
42,11,328,178,54.27,150,45.73,42011
42,13,463,268,57.88,195,42.12,42013
42,25,260,153,58.85,107,41.15,42025
42,31,202,106,52.48,96,47.52,42031
42,35,215,136,63.26,79,36.74,42035
42,37,264,149,56.44,115,43.56,42037
42,38,277,146,52.71,131,47.29,42038
42,40,255,123,48.24,132,51.76,42040
42,41,261,155,59.39,106,40.61,42041
42,43,287,165,57.49,122,42.51,42043
42,44,347,212,61.1,135,38.9,42044
42,47,181,125,69.06,56,30.94,42047
42,50,202,119,58.91,83,41.09,42050
42,51,255,157,61.57,98,38.43,42051
42,52,157,97,61.78,60,38.22,42052
42,53,256,175,68.36,81,31.64,42053
42,54,204,128,62.75,76,37.25,42054
42,62,201,118,58.71,83,41.29,42062
42,63,281,169,60.14,112,39.86,42063
42,64,128,91,71.09,37,28.91,42064
42,65,287,180,62.72,107,37.28,42065
42,66,260,173,66.54,87,33.46,42066
