ward,precinct,total,"Jesse L. Jackson, Jr.","Jesse L. Jackson, Jr. Percent",Robert Belin,Robert Belin Percent,Anthony W. Williams,Anthony W. Williams Percent,precinct_id
9,33,192,186,96.88,1,0.52,5,2.6,09033
9,34,240,229,95.42,4,1.67,7,2.92,09034
9,35,333,320,96.1,2,0.6,11,3.3,09035
9,37,233,161,69.1,49,21.03,23,9.87,09037
9,38,308,300,97.4,3,0.97,5,1.62,09038
9,39,294,283,96.26,1,0.34,10,3.4,09039
9,40,320,303,94.69,4,1.25,13,4.06,09040
9,41,331,315,95.17,5,1.51,11,3.32,09041
9,42,171,168,98.25,0,0.0,3,1.75,09042
9,43,190,181,95.26,2,1.05,7,3.68,09043
9,44,202,196,97.03,1,0.5,5,2.48,09044
9,45,306,278,90.85,2,0.65,26,8.5,09045
9,46,256,248,96.88,3,1.17,5,1.95,09046
9,48,320,310,96.88,4,1.25,6,1.88,09048
9,49,241,236,97.93,1,0.41,4,1.66,09049
9,50,252,230,91.27,1,0.4,21,8.33,09050
9,51,155,144,92.9,7,4.52,4,2.58,09051
9,52,329,316,96.05,6,1.82,7,2.13,09052
9,53,127,126,99.21,1,0.79,0,0.0,09053
10,1,211,198,93.84,5,2.37,8,3.79,10001
10,2,154,103,66.88,45,29.22,6,3.9,10002
10,3,241,129,53.53,92,38.17,20,8.3,10003
10,4,179,153,85.47,18,10.06,8,4.47,10004
10,5,203,142,69.95,51,25.12,10,4.93,10005
10,6,232,223,96.12,1,0.43,8,3.45,10006
10,7,65,60,92.31,4,6.15,1,1.54,10007
10,8,193,118,61.14,60,31.09,15,7.77,10008
10,9,220,129,58.64,74,33.64,17,7.73,10009
10,10,229,136,59.39,86,37.55,7,3.06,10010
10,11,228,153,67.11,62,27.19,13,5.7,10011
10,12,181,135,74.59,38,20.99,8,4.42,10012
10,13,186,135,72.58,41,22.04,10,5.38,10013
10,14,228,139,60.96,71,31.14,18,7.89,10014
10,15,101,59,58.42,37,36.63,5,4.95,10015
10,16,226,127,56.19,81,35.84,18,7.96,10016
10,17,163,101,61.96,49,30.06,13,7.98,10017
10,18,204,189,92.65,7,3.43,8,3.92,10018
10,19,256,161,62.89,81,31.64,14,5.47,10019
10,20,175,120,68.57,52,29.71,3,1.71,10020
10,21,174,100,57.47,59,33.91,15,8.62,10021
10,22,42,25,59.52,13,30.95,4,9.52,10022
10,23,185,148,80.0,25,13.51,12,6.49,10023
10,24,215,110,51.16,99,46.05,6,2.79,10024
10,25,256,235,91.8,11,4.3,10,3.91,10025
10,26,182,134,73.63,40,21.98,8,4.4,10026
10,27,262,165,62.98,79,30.15,18,6.87,10027
10,28,155,150,96.77,2,1.29,3,1.94,10028
10,29,215,211,98.14,2,0.93,2,0.93,10029
10,30,240,193,80.42,33,13.75,14,5.83,10030
10,31,224,167,74.55,53,23.66,4,1.79,10031
10,32,237,154,64.98,66,27.85,17,7.17,10032
10,33,203,150,73.89,42,20.69,11,5.42,10033
10,34,187,154,82.35,22,11.76,11,5.88,10034
10,35,202,164,81.19,29,14.36,9,4.46,10035
10,36,238,209,87.82,18,7.56,11,4.62,10036
10,37,196,181,92.35,8,4.08,7,3.57,10037
10,38,247,173,70.04,59,23.89,15,6.07,10038
10,39,193,143,74.09,42,21.76,8,4.15,10039
10,40,163,144,88.34,15,9.2,4,2.45,10040
10,41,269,170,63.2,88,32.71,11,4.09,10041
10,42,213,114,53.52,81,38.03,18,8.45,10042
10,43,109,99,90.83,5,4.59,5,4.59,10043
10,44,199,156,78.39,30,15.08,13,6.53,10044
10,45,132,102,77.27,22,16.67,8,6.06,10045
10,46,234,177,75.64,47,20.09,10,4.27,10046
10,47,186,129,69.35,51,27.42,6,3.23,10047
10,48,181,173,95.58,5,2.76,3,1.66,10048
10,49,186,175,94.09,7,3.76,4,2.15,10049
34,1,456,443,97.15,5,1.1,8,1.75,34001
34,2,319,308,96.55,7,2.19,4,1.25,34002
34,3,340,331,97.35,1,0.29,8,2.35,34003
34,4,383,376,98.17,0,0.0,7,1.83,34004
34,5,290,286,98.62,0,0.0,4,1.38,34005
34,6,189,186,98.41,1,0.53,2,1.06,34006
34,7,398,387,97.24,2,0.5,9,2.26,34007
34,9,255,246,96.47,4,1.57,5,1.96,34009
34,10,301,291,96.68,5,1.66,5,1.66,34010
34,11,260,249,95.77,3,1.15,8,3.08,34011
34,12,387,379,97.93,7,1.81,1,0.26,34012
34,14,275,265,96.36,5,1.82,5,1.82,34014
34,15,260,258,99.23,1,0.38,1,0.38,34015
34,16,257,255,99.22,2,0.78,0,0.0,34016
34,17,262,251,95.8,4,1.53,7,2.67,34017
34,18,195,192,98.46,1,0.51,2,1.03,34018
34,20,428,417,97.43,3,0.7,8,1.87,34020
34,21,288,283,98.26,0,0.0,5,1.74,34021
34,22,363,355,97.8,2,0.55,6,1.65,34022
34,23,265,258,97.36,4,1.51,3,1.13,34023
34,24,270,268,99.26,1,0.37,1,0.37,34024
34,25,344,337,97.97,0,0.0,7,2.03,34025
34,26,217,212,97.7,1,0.46,4,1.84,34026
34,27,271,262,96.68,2,0.74,7,2.58,34027
34,28,201,195,97.01,3,1.49,3,1.49,34028
34,30,373,355,95.17,4,1.07,14,3.75,34030
34,31,170,162,95.29,3,1.76,5,2.94,34031
34,32,204,190,93.14,7,3.43,7,3.43,34032
34,34,400,388,97.0,3,0.75,9,2.25,34034
34,35,366,358,97.81,2,0.55,6,1.64,34035
34,36,327,310,94.8,6,1.83,11,3.36,34036
34,37,302,293,97.02,3,0.99,6,1.99,34037
34,38,252,244,96.83,3,1.19,5,1.98,34038
34,39,250,244,97.6,0,0.0,6,2.4,34039
34,40,338,335,99.11,1,0.3,2,0.59,34040
34,41,175,173,98.86,0,0.0,2,1.14,34041
34,42,386,371,96.11,4,1.04,11,2.85,34042
34,43,431,420,97.45,3,0.7,8,1.86,34043
34,44,365,355,97.26,5,1.37,5,1.37,34044
34,46,301,296,98.34,2,0.66,3,1.0,34046
34,48,386,376,97.41,2,0.52,8,2.07,34048
34,49,421,414,98.34,1,0.24,6,1.43,34049
34,50,288,282,97.92,1,0.35,5,1.74,34050
34,52,238,235,98.74,0,0.0,3,1.26,34052
34,53,246,242,98.37,0,0.0,4,1.63,34053
34,54,251,250,99.6,1,0.4,0,0.0,34054
34,56,152,148,97.37,1,0.66,3,1.97,34056
34,59,311,298,95.82,5,1.61,8,2.57,34059
34,60,314,300,95.54,7,2.23,7,2.23,34060
34,61,283,276,97.53,1,0.35,6,2.12,34061
