ward,precinct,total,Jodi L. Biancalana,Jodi L. Biancalana Percent,Peter N. Silvestri,Peter N. Silvestri Percent,precinct_id
45,2,301,172,57.14,129,42.86,45002
45,3,326,204,62.58,122,37.42,45003
45,4,275,128,46.55,147,53.45,45004
45,5,122,47,38.52,75,61.48,45005
45,6,283,174,61.48,109,38.52,45006
45,8,2,2,100.0,0,0.0,45008
45,9,311,171,54.98,140,45.02,45009
45,11,267,135,50.56,132,49.44,45011
45,13,300,182,60.67,118,39.33,45013
45,15,288,153,53.13,135,46.88,45015
45,17,249,138,55.42,111,44.58,45017
45,18,274,201,73.36,73,26.64,45018
45,19,297,156,52.53,141,47.47,45019
45,21,266,137,51.5,129,48.5,45021
45,22,257,146,56.81,111,43.19,45022
45,23,290,139,47.93,151,52.07,45023
45,24,369,189,51.22,180,48.78,45024
45,26,126,93,73.81,33,26.19,45026
45,27,253,153,60.47,100,39.53,45027
45,30,288,135,46.88,153,53.13,45030
45,32,179,100,55.87,79,44.13,45032
45,33,265,133,50.19,132,49.81,45033
45,34,208,120,57.69,88,42.31,45034
45,35,277,152,54.87,125,45.13,45035
45,36,270,140,51.85,130,48.15,45036
45,37,272,192,70.59,80,29.41,45037
45,38,8,4,50.0,4,50.0,45038
45,39,246,150,60.98,96,39.02,45039
45,40,266,191,71.8,75,28.2,45040
45,41,180,119,66.11,61,33.89,45041
45,42,257,170,66.15,87,33.85,45042
45,43,240,147,61.25,93,38.75,45043
45,44,292,164,56.16,128,43.84,45044
45,45,235,147,62.55,88,37.45,45045
45,49,287,163,56.79,124,43.21,45049
45,51,268,143,53.36,125,46.64,45051
45,52,292,163,55.82,129,44.18,45052
