ward,precinct,total,Carol M. Howard,Carol M. Howard Percent,precinct_id
28,24,115,115,100.0,28024
28,25,137,137,100.0,28025
28,26,177,177,100.0,28026
28,27,227,227,100.0,28027
28,28,126,126,100.0,28028
28,30,129,129,100.0,28030
28,31,156,156,100.0,28031
28,32,176,176,100.0,28032
28,33,198,198,100.0,28033
28,35,135,135,100.0,28035
28,36,139,139,100.0,28036
28,37,283,283,100.0,28037
28,39,155,155,100.0,28039
28,40,226,226,100.0,28040
28,41,166,166,100.0,28041
28,42,158,158,100.0,28042
28,43,217,217,100.0,28043
28,44,203,203,100.0,28044
28,45,192,192,100.0,28045
28,46,187,187,100.0,28046
28,47,199,199,100.0,28047
28,48,95,95,100.0,28048
28,49,91,91,100.0,28049
28,50,115,115,100.0,28050
28,51,149,149,100.0,28051
28,52,135,135,100.0,28052
28,54,135,135,100.0,28054
28,55,170,170,100.0,28055
28,56,170,170,100.0,28056
28,57,177,177,100.0,28057
28,58,163,163,100.0,28058
28,59,118,118,100.0,28059
28,60,123,123,100.0,28060
28,61,103,103,100.0,28061
29,1,237,237,100.0,29001
29,3,317,317,100.0,29003
29,4,243,243,100.0,29004
29,5,198,198,100.0,29005
29,8,180,180,100.0,29008
29,10,167,167,100.0,29010
29,11,243,243,100.0,29011
29,13,254,254,100.0,29013
29,14,299,299,100.0,29014
29,16,315,315,100.0,29016
29,18,279,279,100.0,29018
29,19,205,205,100.0,29019
29,20,241,241,100.0,29020
29,21,207,207,100.0,29021
29,22,207,207,100.0,29022
29,23,263,263,100.0,29023
29,26,278,278,100.0,29026
29,27,200,200,100.0,29027
29,28,282,282,100.0,29028
29,29,302,302,100.0,29029
29,31,217,217,100.0,29031
29,33,254,254,100.0,29033
29,34,152,152,100.0,29034
29,35,200,200,100.0,29035
29,37,244,244,100.0,29037
29,38,235,235,100.0,29038
29,40,330,330,100.0,29040
29,41,300,300,100.0,29041
29,42,273,273,100.0,29042
29,43,334,334,100.0,29043
29,44,284,284,100.0,29044
29,45,224,224,100.0,29045
29,46,215,215,100.0,29046
29,47,312,312,100.0,29047
29,50,220,220,100.0,29050
29,51,231,231,100.0,29051
37,4,254,254,100.0,37004
37,5,281,281,100.0,37005
37,6,267,267,100.0,37006
37,7,291,291,100.0,37007
37,8,190,190,100.0,37008
37,9,224,224,100.0,37009
37,13,216,216,100.0,37013
37,14,268,268,100.0,37014
37,15,255,255,100.0,37015
37,17,196,196,100.0,37017
37,18,244,244,100.0,37018
37,20,215,215,100.0,37020
37,21,254,254,100.0,37021
37,23,189,189,100.0,37023
37,25,266,266,100.0,37025
37,27,252,252,100.0,37027
37,28,225,225,100.0,37028
37,29,269,269,100.0,37029
37,30,170,170,100.0,37030
37,31,235,235,100.0,37031
37,32,222,222,100.0,37032
37,33,205,205,100.0,37033
37,34,254,254,100.0,37034
37,35,245,245,100.0,37035
37,36,211,211,100.0,37036
37,37,254,254,100.0,37037
37,38,278,278,100.0,37038
37,40,228,228,100.0,37040
37,41,270,270,100.0,37041
37,43,194,194,100.0,37043
42,18,314,314,100.0,42018
42,21,153,153,100.0,42021
42,69,232,232,100.0,42069
