ward,precinct,total,James Michael McGing,James Michael McGing Percent,precinct_id
47,35,363,363,100.0,47035
47,36,331,331,100.0,47036
47,37,298,298,100.0,47037
47,38,256,256,100.0,47038
47,39,240,240,100.0,47039
47,42,202,202,100.0,47042
47,43,162,162,100.0,47043
47,45,219,219,100.0,47045
47,46,196,196,100.0,47046
47,47,202,202,100.0,47047
47,48,36,36,100.0,47048
47,49,162,162,100.0,47049
47,50,188,188,100.0,47050
47,51,152,152,100.0,47051
47,52,82,82,100.0,47052
48,49,0,0,0.0,48049
50,8,147,147,100.0,50008
50,23,131,131,100.0,50023
50,29,232,232,100.0,50029
50,45,39,39,100.0,50045
