ward,precinct,total,Daniel William Lipinski,Daniel William Lipinski Percent,Raymond G. Wardingley,Raymond G. Wardingley Percent,precinct_id
16,39,165,146,88.48,19,11.52,16039
16,42,154,144,93.51,10,6.49,16042
18,3,240,193,80.42,47,19.58,18003
18,6,243,202,83.13,41,16.87,18006
18,15,185,160,86.49,25,13.51,18015
18,28,301,255,84.72,46,15.28,18028
18,41,291,238,81.79,53,18.21,18041
18,43,210,189,90.0,21,10.0,18043
18,48,165,148,89.7,17,10.3,18048
18,55,282,226,80.14,56,19.86,18055
18,56,227,209,92.07,18,7.93,18056
18,57,207,200,96.62,7,3.38,18057
18,62,224,207,92.41,17,7.59,18062
19,1,369,298,80.76,71,19.24,19001
19,2,327,290,88.69,37,11.31,19002
19,3,318,223,70.13,95,29.87,19003
19,4,318,258,81.13,60,18.87,19004
19,5,364,314,86.26,50,13.74,19005
19,6,317,254,80.13,63,19.87,19006
19,7,339,268,79.06,71,20.94,19007
19,8,283,225,79.51,58,20.49,19008
19,9,272,208,76.47,64,23.53,19009
19,10,469,383,81.66,86,18.34,19010
19,11,373,253,67.83,120,32.17,19011
19,12,370,280,75.68,90,24.32,19012
19,13,272,255,93.75,17,6.25,19013
19,14,215,163,75.81,52,24.19,19014
19,15,272,215,79.04,57,20.96,19015
19,16,419,328,78.28,91,21.72,19016
19,17,361,282,78.12,79,21.88,19017
19,18,413,331,80.15,82,19.85,19018
19,19,362,285,78.73,77,21.27,19019
19,20,320,274,85.63,46,14.38,19020
19,21,273,221,80.95,52,19.05,19021
19,22,413,313,75.79,100,24.21,19022
19,23,409,306,74.82,103,25.18,19023
19,24,286,216,75.52,70,24.48,19024
19,25,418,299,71.53,119,28.47,19025
19,26,392,290,73.98,102,26.02,19026
19,27,237,197,83.12,40,16.88,19027
19,29,280,219,78.21,61,21.79,19029
19,30,350,244,69.71,106,30.29,19030
19,31,336,248,73.81,88,26.19,19031
19,32,412,330,80.1,82,19.9,19032
19,33,382,280,73.3,102,26.7,19033
19,34,362,275,75.97,87,24.03,19034
19,35,314,259,82.48,55,17.52,19035
19,36,341,295,86.51,46,13.49,19036
19,37,371,315,84.91,56,15.09,19037
19,38,388,341,87.89,47,12.11,19038
19,39,180,174,96.67,6,3.33,19039
19,40,349,268,76.79,81,23.21,19040
19,41,317,228,71.92,89,28.08,19041
19,42,293,244,83.28,49,16.72,19042
19,44,298,216,72.48,82,27.52,19044
19,45,368,280,76.09,88,23.91,19045
19,46,443,354,79.91,89,20.09,19046
19,47,260,236,90.77,24,9.23,19047
19,49,382,324,84.82,58,15.18,19049
19,51,313,247,78.91,66,21.09,19051
19,52,284,210,73.94,74,26.06,19052
19,53,339,265,78.17,74,21.83,19053
19,54,280,222,79.29,58,20.71,19054
19,55,294,235,79.93,59,20.07,19055
19,56,467,386,82.66,81,17.34,19056
19,57,410,335,81.71,75,18.29,19057
19,58,355,261,73.52,94,26.48,19058
19,59,388,281,72.42,107,27.58,19059
19,61,445,361,81.12,84,18.88,19061
19,62,308,238,77.27,70,22.73,19062
19,63,259,233,89.96,26,10.04,19063
19,64,399,334,83.71,65,16.29,19064
19,65,264,220,83.33,44,16.67,19065
19,67,125,105,84.0,20,16.0,19067
20,41,71,66,92.96,5,7.04,20041
23,1,283,213,75.27,70,24.73,23001
23,2,353,281,79.6,72,20.4,23002
23,3,301,218,72.43,83,27.57,23003
23,4,303,237,78.22,66,21.78,23004
23,5,264,246,93.18,18,6.82,23005
23,6,307,268,87.3,39,12.7,23006
23,7,132,127,96.21,5,3.79,23007
23,8,291,257,88.32,34,11.68,23008
23,10,294,274,93.2,20,6.8,23010
23,11,341,276,80.94,65,19.06,23011
23,12,300,242,80.67,58,19.33,23012
23,13,347,277,79.83,70,20.17,23013
23,14,121,117,96.69,4,3.31,23014
23,15,299,232,77.59,67,22.41,23015
23,16,327,260,79.51,67,20.49,23016
23,17,361,271,75.07,90,24.93,23017
23,18,253,185,73.12,68,26.88,23018
23,19,287,233,81.18,54,18.82,23019
23,20,256,212,82.81,44,17.19,23020
23,21,223,217,97.31,6,2.69,23021
23,22,297,238,80.13,59,19.87,23022
23,23,267,221,82.77,46,17.23,23023
23,25,216,181,83.8,35,16.2,23025
23,26,331,261,78.85,70,21.15,23026
23,27,230,180,78.26,50,21.74,23027
23,28,297,246,82.83,51,17.17,23028
23,30,269,228,84.76,41,15.24,23030
23,31,302,265,87.75,37,12.25,23031
23,32,283,248,87.63,35,12.37,23032
23,33,293,255,87.03,38,12.97,23033
23,34,243,208,85.6,35,14.4,23034
23,35,196,194,98.98,2,1.02,23035
23,36,389,289,74.29,100,25.71,23036
23,37,183,175,95.63,8,4.37,23037
23,38,256,210,82.03,46,17.97,23038
23,39,286,219,76.57,67,23.43,23039
23,40,298,230,77.18,68,22.82,23040
23,41,262,219,83.59,43,16.41,23041
23,42,225,196,87.11,29,12.89,23042
23,43,337,253,75.07,84,24.93,23043
23,44,272,228,83.82,44,16.18,23044
23,45,341,265,77.71,76,22.29,23045
23,46,298,234,78.52,64,21.48,23046
23,47,359,271,75.49,88,24.51,23047
23,48,254,229,90.16,25,9.84,23048
23,49,353,276,78.19,77,21.81,23049
23,50,189,157,83.07,32,16.93,23050
23,51,228,192,84.21,36,15.79,23051
23,52,344,265,77.03,79,22.97,23052
23,53,178,153,85.96,25,14.04,23053
23,54,346,283,81.79,63,18.21,23054
23,55,286,232,81.12,54,18.88,23055
23,56,265,209,78.87,56,21.13,23056
