ward,precinct,total,Bobby L. Rush,Bobby L. Rush Percent,Jason E. Tabour,Jason E. Tabour Percent,precinct_id
5,15,274,255,93.07,19,6.93,05015
5,16,239,233,97.49,6,2.51,05016
5,17,325,318,97.85,7,2.15,05017
5,18,301,297,98.67,4,1.33,05018
5,19,146,143,97.95,3,2.05,05019
5,20,140,139,99.29,1,0.71,05020
5,22,281,279,99.29,2,0.71,05022
5,23,224,223,99.55,1,0.45,05023
5,25,287,285,99.3,2,0.7,05025
5,27,403,347,86.1,56,13.9,05027
5,30,286,241,84.27,45,15.73,05030
5,33,197,194,98.48,3,1.52,05033
5,35,246,225,91.46,21,8.54,05035
5,39,361,325,90.03,36,9.97,05039
5,41,266,233,87.59,33,12.41,05041
5,45,166,163,98.19,3,1.81,05045
5,48,163,146,89.57,17,10.43,05048
5,50,240,237,98.75,3,1.25,05050
5,51,196,192,97.96,4,2.04,05051
5,52,58,56,96.55,2,3.45,05052
5,53,300,278,92.67,22,7.33,05053
5,55,251,248,98.8,3,1.2,05055
6,1,330,321,97.27,9,2.73,06001
6,2,336,329,97.92,7,2.08,06002
6,3,335,330,98.51,5,1.49,06003
6,4,189,185,97.88,4,2.12,06004
6,5,171,171,100.0,0,0.0,06005
6,6,247,242,97.98,5,2.02,06006
6,7,307,303,98.7,4,1.3,06007
6,8,329,323,98.18,6,1.82,06008
6,9,294,290,98.64,4,1.36,06009
6,10,393,385,97.96,8,2.04,06010
6,11,268,262,97.76,6,2.24,06011
6,12,256,251,98.05,5,1.95,06012
6,13,272,268,98.53,4,1.47,06013
6,14,311,308,99.04,3,0.96,06014
6,15,205,203,99.02,2,0.98,06015
6,16,336,332,98.81,4,1.19,06016
6,17,336,334,99.4,2,0.6,06017
6,18,171,168,98.25,3,1.75,06018
6,19,352,348,98.86,4,1.14,06019
6,20,261,254,97.32,7,2.68,06020
6,23,251,247,98.41,4,1.59,06023
6,24,307,306,99.67,1,0.33,06024
6,25,215,214,99.53,1,0.47,06025
6,26,318,314,98.74,4,1.26,06026
6,27,382,373,97.64,9,2.36,06027
6,28,471,460,97.66,11,2.34,06028
6,29,331,327,98.79,4,1.21,06029
6,30,218,217,99.54,1,0.46,06030
6,31,339,330,97.35,9,2.65,06031
6,32,305,301,98.69,4,1.31,06032
6,33,358,355,99.16,3,0.84,06033
6,34,268,265,98.88,3,1.12,06034
6,35,271,265,97.79,6,2.21,06035
6,36,172,170,98.84,2,1.16,06036
6,37,352,343,97.44,9,2.56,06037
6,38,309,300,97.09,9,2.91,06038
6,39,270,268,99.26,2,0.74,06039
6,40,174,172,98.85,2,1.15,06040
6,41,308,302,98.05,6,1.95,06041
6,42,166,164,98.8,2,1.2,06042
6,43,336,326,97.02,10,2.98,06043
6,44,282,276,97.87,6,2.13,06044
6,45,224,218,97.32,6,2.68,06045
6,46,274,268,97.81,6,2.19,06046
6,47,355,341,96.06,14,3.94,06047
6,48,278,276,99.28,2,0.72,06048
6,49,303,300,99.01,3,0.99,06049
6,50,314,307,97.77,7,2.23,06050
6,51,216,212,98.15,4,1.85,06051
6,52,208,206,99.04,2,0.96,06052
6,53,264,260,98.48,4,1.52,06053
6,54,276,271,98.19,5,1.81,06054
6,55,280,277,98.93,3,1.07,06055
6,56,220,216,98.18,4,1.82,06056
6,57,194,192,98.97,2,1.03,06057
6,58,314,303,96.5,11,3.5,06058
6,59,275,269,97.82,6,2.18,06059
6,60,204,203,99.51,1,0.49,06060
6,61,193,190,98.45,3,1.55,06061
6,62,272,270,99.26,2,0.74,06062
6,63,256,251,98.05,5,1.95,06063
8,1,318,314,98.74,4,1.26,08001
8,2,158,157,99.37,1,0.63,08002
8,3,58,58,100.0,0,0.0,08003
8,6,309,305,98.71,4,1.29,08006
8,10,381,376,98.69,5,1.31,08010
8,11,269,263,97.77,6,2.23,08011
8,12,254,249,98.03,5,1.97,08012
8,13,236,234,99.15,2,0.85,08013
8,14,222,215,96.85,7,3.15,08014
8,16,293,288,98.29,5,1.71,08016
8,18,192,191,99.48,1,0.52,08018
8,20,212,208,98.11,4,1.89,08020
8,21,234,230,98.29,4,1.71,08021
8,22,243,239,98.35,4,1.65,08022
8,29,307,304,99.02,3,0.98,08029
8,30,244,239,97.95,5,2.05,08030
8,31,219,215,98.17,4,1.83,08031
8,33,255,252,98.82,3,1.18,08033
8,35,342,334,97.66,8,2.34,08035
8,37,292,289,98.97,3,1.03,08037
8,38,271,267,98.52,4,1.48,08038
8,40,273,270,98.9,3,1.1,08040
8,41,235,231,98.3,4,1.7,08041
8,43,233,228,97.85,5,2.15,08043
8,45,211,208,98.58,3,1.42,08045
8,48,224,218,97.32,6,2.68,08048
8,52,287,282,98.26,5,1.74,08052
8,53,345,334,96.81,11,3.19,08053
8,54,310,304,98.06,6,1.94,08054
8,55,259,257,99.23,2,0.77,08055
8,56,316,313,99.05,3,0.95,08056
8,58,295,293,99.32,2,0.68,08058
8,59,193,188,97.41,5,2.59,08059
8,61,240,237,98.75,3,1.25,08061
8,64,248,244,98.39,4,1.61,08064
8,67,148,147,99.32,1,0.68,08067
8,68,176,175,99.43,1,0.57,08068
8,69,215,214,99.53,1,0.47,08069
9,36,329,327,99.39,2,0.61,09036
9,47,344,337,97.97,7,2.03,09047
15,2,184,180,97.83,4,2.17,15002
15,3,187,184,98.4,3,1.6,15003
15,4,197,193,97.97,4,2.03,15004
15,5,202,201,99.5,1,0.5,15005
15,6,211,198,93.84,13,6.16,15006
15,7,155,155,100.0,0,0.0,15007
15,8,286,283,98.95,3,1.05,15008
15,9,220,208,94.55,12,5.45,15009
15,11,225,222,98.67,3,1.33,15011
15,12,129,129,100.0,0,0.0,15012
15,17,185,184,99.46,1,0.54,15017
15,18,146,146,100.0,0,0.0,15018
15,19,200,197,98.5,3,1.5,15019
15,20,175,172,98.29,3,1.71,15020
15,21,212,210,99.06,2,0.94,15021
15,22,246,234,95.12,12,4.88,15022
15,23,153,151,98.69,2,1.31,15023
15,24,254,239,94.09,15,5.91,15024
15,26,155,150,96.77,5,3.23,15026
15,27,157,154,98.09,3,1.91,15027
15,29,102,100,98.04,2,1.96,15029
15,30,201,196,97.51,5,2.49,15030
15,31,170,169,99.41,1,0.59,15031
15,33,131,127,96.95,4,3.05,15033
15,34,170,169,99.41,1,0.59,15034
15,35,198,196,98.99,2,1.01,15035
15,36,143,142,99.3,1,0.7,15036
15,37,164,163,99.39,1,0.61,15037
15,38,178,175,98.31,3,1.69,15038
15,39,215,212,98.6,3,1.4,15039
15,40,192,189,98.44,3,1.56,15040
15,41,272,260,95.59,12,4.41,15041
15,42,98,98,100.0,0,0.0,15042
15,43,172,169,98.26,3,1.74,15043
15,45,89,87,97.75,2,2.25,15045
15,46,147,146,99.32,1,0.68,15046
15,47,231,228,98.7,3,1.3,15047
15,48,149,148,99.33,1,0.67,15048
15,49,70,62,88.57,8,11.43,15049
15,50,190,187,98.42,3,1.58,15050
15,51,148,146,98.65,2,1.35,15051
15,52,132,130,98.48,2,1.52,15052
16,2,155,154,99.35,1,0.65,16002
16,3,197,193,97.97,4,2.03,16003
16,5,203,202,99.51,1,0.49,16005
16,8,241,233,96.68,8,3.32,16008
16,9,272,266,97.79,6,2.21,16009
16,10,146,145,99.32,1,0.68,16010
16,12,157,156,99.36,1,0.64,16012
16,14,205,203,99.02,2,0.98,16014
16,19,172,169,98.26,3,1.74,16019
16,25,158,154,97.47,4,2.53,16025
16,26,197,197,100.0,0,0.0,16026
16,27,252,248,98.41,4,1.59,16027
16,28,246,244,99.19,2,0.81,16028
16,31,246,243,98.78,3,1.22,16031
16,34,162,158,97.53,4,2.47,16034
16,36,202,200,99.01,2,0.99,16036
16,37,133,131,98.5,2,1.5,16037
16,38,192,187,97.4,5,2.6,16038
16,40,235,230,97.87,5,2.13,16040
16,41,116,114,98.28,2,1.72,16041
16,43,241,238,98.76,3,1.24,16043
16,44,196,181,92.35,15,7.65,16044
16,45,132,132,100.0,0,0.0,16045
16,46,68,68,100.0,0,0.0,16046
17,1,184,181,98.37,3,1.63,17001
17,2,196,188,95.92,8,4.08,17002
17,3,160,157,98.13,3,1.88,17003
17,4,328,326,99.39,2,0.61,17004
17,5,216,214,99.07,2,0.93,17005
17,6,184,179,97.28,5,2.72,17006
17,7,249,248,99.6,1,0.4,17007
17,8,220,218,99.09,2,0.91,17008
17,9,160,160,100.0,0,0.0,17009
17,10,217,214,98.62,3,1.38,17010
17,11,244,238,97.54,6,2.46,17011
17,12,270,267,98.89,3,1.11,17012
17,13,167,164,98.2,3,1.8,17013
17,14,211,205,97.16,6,2.84,17014
17,15,209,205,98.09,4,1.91,17015
17,16,191,190,99.48,1,0.52,17016
17,17,177,177,100.0,0,0.0,17017
17,18,264,262,99.24,2,0.76,17018
17,19,97,96,98.97,1,1.03,17019
17,20,225,222,98.67,3,1.33,17020
17,21,315,307,97.46,8,2.54,17021
17,22,236,235,99.58,1,0.42,17022
17,23,185,184,99.46,1,0.54,17023
17,24,234,230,98.29,4,1.71,17024
17,25,144,143,99.31,1,0.69,17025
17,26,294,290,98.64,4,1.36,17026
17,27,305,302,99.02,3,0.98,17027
17,28,196,192,97.96,4,2.04,17028
17,29,241,238,98.76,3,1.24,17029
17,30,233,231,99.14,2,0.86,17030
17,31,227,224,98.68,3,1.32,17031
17,32,259,255,98.46,4,1.54,17032
17,33,185,184,99.46,1,0.54,17033
17,34,195,193,98.97,2,1.03,17034
17,35,136,135,99.26,1,0.74,17035
17,36,131,129,98.47,2,1.53,17036
17,37,224,223,99.55,1,0.45,17037
17,38,214,211,98.6,3,1.4,17038
17,39,144,143,99.31,1,0.69,17039
17,40,176,173,98.3,3,1.7,17040
17,41,182,181,99.45,1,0.55,17041
17,42,189,186,98.41,3,1.59,17042
17,43,180,178,98.89,2,1.11,17043
17,44,175,172,98.29,3,1.71,17044
17,45,138,133,96.38,5,3.62,17045
17,46,216,213,98.61,3,1.39,17046
17,47,127,127,100.0,0,0.0,17047
17,48,245,245,100.0,0,0.0,17048
17,49,188,186,98.94,2,1.06,17049
17,50,222,219,98.65,3,1.35,17050
17,51,257,254,98.83,3,1.17,17051
17,52,294,285,96.94,9,3.06,17052
17,53,201,195,97.01,6,2.99,17053
17,54,257,253,98.44,4,1.56,17054
17,55,213,211,99.06,2,0.94,17055
17,56,244,243,99.59,1,0.41,17056
17,57,257,255,99.22,2,0.78,17057
17,58,178,175,98.31,3,1.69,17058
17,59,110,109,99.09,1,0.91,17059
17,60,303,301,99.34,2,0.66,17060
17,61,218,215,98.62,3,1.38,17061
17,62,178,175,98.31,3,1.69,17062
17,63,195,189,96.92,6,3.08,17063
17,64,153,152,99.35,1,0.65,17064
18,1,142,136,95.77,6,4.23,18001
18,2,286,268,93.71,18,6.29,18002
18,4,315,298,94.6,17,5.4,18004
18,5,311,308,99.04,3,0.96,18005
18,7,268,229,85.45,39,14.55,18007
18,8,115,109,94.78,6,5.22,18008
18,9,323,301,93.19,22,6.81,18009
18,10,412,400,97.09,12,2.91,18010
18,11,271,227,83.76,44,16.24,18011
18,12,367,335,91.28,32,8.72,18012
18,13,327,308,94.19,19,5.81,18013
18,14,346,334,96.53,12,3.47,18014
18,16,336,321,95.54,15,4.46,18016
18,17,247,226,91.5,21,8.5,18017
18,18,329,309,93.92,20,6.08,18018
18,19,369,362,98.1,7,1.9,18019
18,20,304,301,99.01,3,0.99,18020
18,21,410,382,93.17,28,6.83,18021
18,22,348,334,95.98,14,4.02,18022
18,23,245,232,94.69,13,5.31,18023
18,24,279,277,99.28,2,0.72,18024
18,25,301,296,98.34,5,1.66,18025
18,26,228,215,94.3,13,5.7,18026
18,27,260,243,93.46,17,6.54,18027
18,29,319,264,82.76,55,17.24,18029
18,30,255,254,99.61,1,0.39,18030
18,31,258,243,94.19,15,5.81,18031
18,32,379,374,98.68,5,1.32,18032
18,33,236,230,97.46,6,2.54,18033
18,34,376,341,90.69,35,9.31,18034
18,35,357,337,94.4,20,5.6,18035
18,36,232,216,93.1,16,6.9,18036
18,37,223,208,93.27,15,6.73,18037
18,38,340,337,99.12,3,0.88,18038
18,39,262,253,96.56,9,3.44,18039
18,40,359,344,95.82,15,4.18,18040
18,42,196,167,85.2,29,14.8,18042
18,44,173,154,89.02,19,10.98,18044
18,45,313,305,97.44,8,2.56,18045
18,46,297,293,98.65,4,1.35,18046
18,47,248,241,97.18,7,2.82,18047
18,49,209,205,98.09,4,1.91,18049
18,50,273,265,97.07,8,2.93,18050
18,51,386,381,98.7,5,1.3,18051
18,52,322,319,99.07,3,0.93,18052
18,53,212,210,99.06,2,0.94,18053
18,54,313,300,95.85,13,4.15,18054
18,58,278,274,98.56,4,1.44,18058
18,59,196,195,99.49,1,0.51,18059
18,60,333,330,99.1,3,0.9,18060
18,61,262,257,98.09,5,1.91,18061
19,28,379,352,92.88,27,7.12,19028
19,43,403,387,96.03,16,3.97,19043
19,48,278,272,97.84,6,2.16,19048
19,50,328,321,97.87,7,2.13,19050
19,60,308,297,96.43,11,3.57,19060
19,66,344,336,97.67,8,2.33,19066
20,1,208,207,99.52,1,0.48,20001
20,2,190,187,98.42,3,1.58,20002
20,3,194,193,99.48,1,0.52,20003
20,5,136,131,96.32,5,3.68,20005
20,6,306,302,98.69,4,1.31,20006
20,7,97,97,100.0,0,0.0,20007
20,9,243,242,99.59,1,0.41,20009
20,10,208,207,99.52,1,0.48,20010
20,11,170,170,100.0,0,0.0,20011
20,12,144,141,97.92,3,2.08,20012
20,13,175,169,96.57,6,3.43,20013
20,14,335,327,97.61,8,2.39,20014
20,16,298,289,96.98,9,3.02,20016
20,17,173,167,96.53,6,3.47,20017
20,18,195,195,100.0,0,0.0,20018
20,19,181,180,99.45,1,0.55,20019
20,20,164,159,96.95,5,3.05,20020
20,22,264,259,98.11,5,1.89,20022
20,23,290,287,98.97,3,1.03,20023
20,24,257,253,98.44,4,1.56,20024
20,25,163,159,97.55,4,2.45,20025
20,26,236,231,97.88,5,2.12,20026
20,28,244,240,98.36,4,1.64,20028
20,29,234,227,97.01,7,2.99,20029
20,30,244,242,99.18,2,0.82,20030
20,32,204,199,97.55,5,2.45,20032
20,33,248,238,95.97,10,4.03,20033
20,34,322,309,95.96,13,4.04,20034
20,35,122,121,99.18,1,0.82,20035
20,36,203,196,96.55,7,3.45,20036
20,37,255,251,98.43,4,1.57,20037
20,38,37,37,100.0,0,0.0,20038
20,39,202,199,98.51,3,1.49,20039
20,42,203,200,98.52,3,1.48,20042
20,43,59,59,100.0,0,0.0,20043
20,44,294,288,97.96,6,2.04,20044
20,46,184,176,95.65,8,4.35,20046
20,47,184,177,96.2,7,3.8,20047
20,49,192,189,98.44,3,1.56,20049
20,50,145,144,99.31,1,0.69,20050
21,1,401,393,98.0,8,2.0,21001
21,2,276,273,98.91,3,1.09,21002
21,3,199,199,100.0,0,0.0,21003
21,4,287,285,99.3,2,0.7,21004
21,5,269,264,98.14,5,1.86,21005
21,6,251,244,97.21,7,2.79,21006
21,7,307,304,99.02,3,0.98,21007
21,8,312,309,99.04,3,0.96,21008
21,9,306,302,98.69,4,1.31,21009
21,10,205,203,99.02,2,0.98,21010
21,11,287,281,97.91,6,2.09,21011
21,12,310,302,97.42,8,2.58,21012
21,13,156,153,98.08,3,1.92,21013
21,14,258,257,99.61,1,0.39,21014
21,15,249,247,99.2,2,0.8,21015
21,16,265,260,98.11,5,1.89,21016
21,17,270,268,99.26,2,0.74,21017
21,18,252,250,99.21,2,0.79,21018
21,19,231,229,99.13,2,0.87,21019
21,20,146,142,97.26,4,2.74,21020
21,21,320,313,97.81,7,2.19,21021
21,22,275,274,99.64,1,0.36,21022
21,23,240,235,97.92,5,2.08,21023
21,24,306,304,99.35,2,0.65,21024
21,25,224,219,97.77,5,2.23,21025
21,26,206,205,99.51,1,0.49,21026
21,27,310,305,98.39,5,1.61,21027
21,28,225,224,99.56,1,0.44,21028
21,29,133,133,100.0,0,0.0,21029
21,30,212,209,98.58,3,1.42,21030
21,31,366,359,98.09,7,1.91,21031
21,32,255,249,97.65,6,2.35,21032
21,33,245,242,98.78,3,1.22,21033
21,34,326,323,99.08,3,0.92,21034
21,35,164,159,96.95,5,3.05,21035
21,36,244,237,97.13,7,2.87,21036
21,37,236,235,99.58,1,0.42,21037
21,38,268,266,99.25,2,0.75,21038
21,39,238,235,98.74,3,1.26,21039
21,40,262,258,98.47,4,1.53,21040
21,41,223,219,98.21,4,1.79,21041
21,42,290,281,96.9,9,3.1,21042
21,43,251,246,98.01,5,1.99,21043
21,44,285,280,98.25,5,1.75,21044
21,45,238,235,98.74,3,1.26,21045
21,46,195,193,98.97,2,1.03,21046
21,47,351,346,98.58,5,1.42,21047
21,48,383,381,99.48,2,0.52,21048
21,49,357,353,98.88,4,1.12,21049
21,50,262,257,98.09,5,1.91,21050
21,51,329,326,99.09,3,0.91,21051
21,52,303,298,98.35,5,1.65,21052
21,53,233,225,96.57,8,3.43,21053
21,54,254,251,98.82,3,1.18,21054
21,55,305,298,97.7,7,2.3,21055
21,56,233,229,98.28,4,1.72,21056
21,57,257,254,98.83,3,1.17,21057
21,58,200,198,99.0,2,1.0,21058
21,59,351,347,98.86,4,1.14,21059
21,60,309,306,99.03,3,0.97,21060
21,61,305,300,98.36,5,1.64,21061
21,62,297,295,99.33,2,0.67,21062
21,63,252,252,100.0,0,0.0,21063
21,64,154,154,100.0,0,0.0,21064
21,65,365,356,97.53,9,2.47,21065
21,66,221,220,99.55,1,0.45,21066
21,67,290,288,99.31,2,0.69,21067
21,68,288,282,97.92,6,2.08,21068
21,69,236,235,99.58,1,0.42,21069
21,70,268,263,98.13,5,1.87,21070
21,71,213,207,97.18,6,2.82,21071
21,72,251,248,98.8,3,1.2,21072
21,73,361,356,98.61,5,1.39,21073
21,74,109,109,100.0,0,0.0,21074
34,8,321,318,99.07,3,0.93,34008
34,13,364,358,98.35,6,1.65,34013
34,19,69,67,97.1,2,2.9,34019
34,29,310,307,99.03,3,0.97,34029
34,33,152,152,100.0,0,0.0,34033
34,44,5,4,80.0,1,20.0,34044
34,45,307,304,99.02,3,0.98,34045
34,47,176,175,99.43,1,0.57,34047
34,51,446,438,98.21,8,1.79,34051
34,55,340,336,98.82,4,1.18,34055
34,57,286,281,98.25,5,1.75,34057
34,58,313,309,98.72,4,1.28,34058
