ward,precinct,total,Janice D Schakowsky,Janice D Schakowsky Percent,Michael P. Shannon,Michael P. Shannon Percent,precinct_id
41,56,430,253,58.84,177,41.16,41056
44,3,344,286,83.14,58,16.86,44003
44,4,334,271,81.14,63,18.86,44004
44,7,339,260,76.7,79,23.3,44007
44,18,19,13,68.42,6,31.58,44018
44,35,252,207,82.14,45,17.86,44035
44,48,246,200,81.3,46,18.7,44048
44,49,483,390,80.75,93,19.25,44049
46,1,479,391,81.63,88,18.37,46001
46,2,361,334,92.52,27,7.48,46002
46,4,299,262,87.63,37,12.37,46004
46,6,319,287,89.97,32,10.03,46006
46,7,225,194,86.22,31,13.78,46007
46,8,334,289,86.53,45,13.47,46008
46,9,311,256,82.32,55,17.68,46009
46,10,267,224,83.9,43,16.1,46010
46,11,367,314,85.56,53,14.44,46011
46,12,285,256,89.82,29,10.18,46012
46,14,257,241,93.77,16,6.23,46014
46,15,352,295,83.81,57,16.19,46015
46,16,290,243,83.79,47,16.21,46016
46,19,341,303,88.86,38,11.14,46019
46,20,247,228,92.31,19,7.69,46020
46,21,125,106,84.8,19,15.2,46021
46,22,241,180,74.69,61,25.31,46022
46,23,196,184,93.88,12,6.12,46023
46,25,361,277,76.73,84,23.27,46025
46,26,303,265,87.46,38,12.54,46026
46,27,314,250,79.62,64,20.38,46027
46,28,371,292,78.71,79,21.29,46028
46,30,340,276,81.18,64,18.82,46030
46,32,243,180,74.07,63,25.93,46032
46,33,388,315,81.19,73,18.81,46033
46,34,340,298,87.65,42,12.35,46034
46,35,341,286,83.87,55,16.13,46035
46,38,239,209,87.45,30,12.55,46038
46,39,343,269,78.43,74,21.57,46039
46,40,234,197,84.19,37,15.81,46040
46,41,272,237,87.13,35,12.87,46041
46,42,300,257,85.67,43,14.33,46042
46,45,342,289,84.5,53,15.5,46045
46,46,257,209,81.32,48,18.68,46046
46,47,121,98,80.99,23,19.01,46047
48,1,327,281,85.93,46,14.07,48001
48,2,274,226,82.48,48,17.52,48002
48,3,390,332,85.13,58,14.87,48003
48,4,389,314,80.72,75,19.28,48004
48,5,285,222,77.89,63,22.11,48005
48,6,324,275,84.88,49,15.12,48006
48,7,248,229,92.34,19,7.66,48007
48,8,217,176,81.11,41,18.89,48008
48,9,305,250,81.97,55,18.03,48009
48,10,188,169,89.89,19,10.11,48010
48,11,394,351,89.09,43,10.91,48011
48,12,283,250,88.34,33,11.66,48012
48,13,263,211,80.23,52,19.77,48013
48,14,337,267,79.23,70,20.77,48014
48,15,153,139,90.85,14,9.15,48015
48,16,275,240,87.27,35,12.73,48016
48,17,274,234,85.4,40,14.6,48017
48,18,248,218,87.9,30,12.1,48018
48,19,253,217,85.77,36,14.23,48019
48,20,146,125,85.62,21,14.38,48020
48,21,144,126,87.5,18,12.5,48021
48,22,395,331,83.8,64,16.2,48022
48,23,331,278,83.99,53,16.01,48023
48,24,369,337,91.33,32,8.67,48024
48,25,317,280,88.33,37,11.67,48025
48,26,334,279,83.53,55,16.47,48026
48,27,195,165,84.62,30,15.38,48027
48,28,261,226,86.59,35,13.41,48028
48,29,216,185,85.65,31,14.35,48029
48,30,288,249,86.46,39,13.54,48030
48,31,246,215,87.4,31,12.6,48031
48,32,271,248,91.51,23,8.49,48032
48,33,251,204,81.27,47,18.73,48033
48,34,202,172,85.15,30,14.85,48034
48,35,226,186,82.3,40,17.7,48035
48,36,265,231,87.17,34,12.83,48036
48,37,224,194,86.61,30,13.39,48037
48,38,364,309,84.89,55,15.11,48038
48,39,230,199,86.52,31,13.48,48039
48,40,208,187,89.9,21,10.1,48040
48,41,200,177,88.5,23,11.5,48041
48,42,235,221,94.04,14,5.96,48042
48,43,392,353,90.05,39,9.95,48043
48,44,299,268,89.63,31,10.37,48044
48,45,216,189,87.5,27,12.5,48045
48,46,225,191,84.89,34,15.11,48046
48,47,235,218,92.77,17,7.23,48047
48,48,251,210,83.67,41,16.33,48048
48,49,148,132,89.19,16,10.81,48049
48,50,332,307,92.47,25,7.53,48050
48,51,399,333,83.46,66,16.54,48051
48,52,215,188,87.44,27,12.56,48052
48,53,210,175,83.33,35,16.67,48053
48,54,194,175,90.21,19,9.79,48054
48,55,164,118,71.95,46,28.05,48055
48,56,164,143,87.2,21,12.8,48056
49,1,225,213,94.67,12,5.33,49001
49,2,385,310,80.52,75,19.48,49002
49,3,188,170,90.43,18,9.57,49003
49,4,148,139,93.92,9,6.08,49004
49,5,274,248,90.51,26,9.49,49005
49,6,279,247,88.53,32,11.47,49006
49,7,240,203,84.58,37,15.42,49007
49,8,272,244,89.71,28,10.29,49008
49,9,225,205,91.11,20,8.89,49009
49,10,225,189,84.0,36,16.0,49010
49,11,225,194,86.22,31,13.78,49011
49,12,286,259,90.56,27,9.44,49012
49,13,342,298,87.13,44,12.87,49013
49,14,277,233,84.12,44,15.88,49014
49,15,176,159,90.34,17,9.66,49015
49,16,230,190,82.61,40,17.39,49016
49,17,36,35,97.22,1,2.78,49017
49,18,187,157,83.96,30,16.04,49018
49,19,187,176,94.12,11,5.88,49019
49,20,297,258,86.87,39,13.13,49020
49,21,118,89,75.42,29,24.58,49021
49,22,248,219,88.31,29,11.69,49022
49,23,221,202,91.4,19,8.6,49023
49,24,297,274,92.26,23,7.74,49024
49,25,291,257,88.32,34,11.68,49025
49,26,265,208,78.49,57,21.51,49026
49,27,306,287,93.79,19,6.21,49027
49,28,223,202,90.58,21,9.42,49028
49,29,300,263,87.67,37,12.33,49029
49,30,273,237,86.81,36,13.19,49030
49,31,194,175,90.21,19,9.79,49031
49,32,206,172,83.5,34,16.5,49032
49,33,213,192,90.14,21,9.86,49033
49,34,261,224,85.82,37,14.18,49034
49,35,350,299,85.43,51,14.57,49035
49,36,358,317,88.55,41,11.45,49036
49,37,320,290,90.63,30,9.38,49037
49,38,195,183,93.85,12,6.15,49038
49,39,212,195,91.98,17,8.02,49039
49,40,219,184,84.02,35,15.98,49040
49,41,243,210,86.42,33,13.58,49041
49,42,265,242,91.32,23,8.68,49042
50,1,329,263,79.94,66,20.06,50001
50,2,325,250,76.92,75,23.08,50002
50,3,281,244,86.83,37,13.17,50003
50,4,288,245,85.07,43,14.93,50004
50,5,317,256,80.76,61,19.24,50005
50,6,238,205,86.13,33,13.87,50006
50,7,314,251,79.94,63,20.06,50007
50,8,193,162,83.94,31,16.06,50008
50,9,232,197,84.91,35,15.09,50009
50,10,181,147,81.22,34,18.78,50010
50,11,297,245,82.49,52,17.51,50011
50,12,204,168,82.35,36,17.65,50012
50,13,299,255,85.28,44,14.72,50013
50,14,150,125,83.33,25,16.67,50014
50,15,310,260,83.87,50,16.13,50015
50,16,164,138,84.15,26,15.85,50016
50,17,228,184,80.7,44,19.3,50017
50,18,271,234,86.35,37,13.65,50018
50,19,225,183,81.33,42,18.67,50019
50,20,259,202,77.99,57,22.01,50020
50,21,314,248,78.98,66,21.02,50021
50,22,270,226,83.7,44,16.3,50022
50,23,188,147,78.19,41,21.81,50023
50,24,272,223,81.99,49,18.01,50024
50,25,254,205,80.71,49,19.29,50025
50,26,192,170,88.54,22,11.46,50026
50,27,114,95,83.33,19,16.67,50027
50,28,286,232,81.12,54,18.88,50028
50,29,291,248,85.22,43,14.78,50029
50,30,264,217,82.2,47,17.8,50030
50,31,113,92,81.42,21,18.58,50031
50,32,243,212,87.24,31,12.76,50032
50,33,210,163,77.62,47,22.38,50033
50,34,215,176,81.86,39,18.14,50034
50,35,361,309,85.6,52,14.4,50035
50,36,303,239,78.88,64,21.12,50036
50,37,319,261,81.82,58,18.18,50037
50,38,194,173,89.18,21,10.82,50038
50,39,244,202,82.79,42,17.21,50039
50,40,318,251,78.93,67,21.07,50040
50,41,357,282,78.99,75,21.01,50041
50,42,267,223,83.52,44,16.48,50042
50,43,245,211,86.12,34,13.88,50043
