ward,precinct,total,Richard J. Durbin,Richard J. Durbin Percent,James D. ''Jim'' Oberweis,James D. ''Jim'' Oberweis Percent,Sharon Hansen,Sharon Hansen Percent,precinct_id
36,12,127,114,89.76,10,7.87,3,2.36,36012
36,13,163,141,86.5,18,11.04,4,2.45,36013
36,14,284,195,68.66,77,27.11,12,4.23,36014
36,15,286,193,67.48,81,28.32,12,4.2,36015
36,16,275,201,73.09,66,24.0,8,2.91,36016
36,17,285,209,73.33,63,22.11,13,4.56,36017
36,18,265,171,64.53,82,30.94,12,4.53,36018
36,19,287,213,74.22,59,20.56,15,5.23,36019
36,20,256,173,67.58,67,26.17,16,6.25,36020
36,21,192,151,78.65,33,17.19,8,4.17,36021
36,22,161,138,85.71,17,10.56,6,3.73,36022
36,23,182,136,74.73,37,20.33,9,4.95,36023
36,24,269,171,63.57,90,33.46,8,2.97,36024
36,25,185,155,83.78,19,10.27,11,5.95,36025
36,26,258,160,62.02,93,36.05,5,1.94,36026
36,27,240,171,71.25,58,24.17,11,4.58,36027
36,28,249,153,61.45,83,33.33,13,5.22,36028
36,29,311,196,63.02,99,31.83,16,5.14,36029
36,30,261,187,71.65,62,23.75,12,4.6,36030
37,1,327,299,91.44,17,5.2,11,3.36,37001
37,2,210,187,89.05,14,6.67,9,4.29,37002
37,3,233,217,93.13,6,2.58,10,4.29,37003
37,4,261,242,92.72,8,3.07,11,4.21,37004
37,5,378,359,94.97,14,3.7,5,1.32,37005
37,6,312,290,92.95,11,3.53,11,3.53,37006
37,7,223,210,94.17,10,4.48,3,1.35,37007
37,8,242,230,95.04,4,1.65,8,3.31,37008
37,9,326,310,95.09,6,1.84,10,3.07,37009
37,10,318,304,95.6,9,2.83,5,1.57,37010
37,11,246,239,97.15,4,1.63,3,1.22,37011
37,12,214,200,93.46,11,5.14,3,1.4,37012
37,13,244,233,95.49,4,1.64,7,2.87,37013
37,14,311,290,93.25,13,4.18,8,2.57,37014
37,15,350,332,94.86,8,2.29,10,2.86,37015
37,16,390,374,95.9,9,2.31,7,1.79,37016
37,17,305,286,93.77,5,1.64,14,4.59,37017
37,18,329,312,94.83,11,3.34,6,1.82,37018
37,19,224,214,95.54,5,2.23,5,2.23,37019
37,20,281,265,94.31,8,2.85,8,2.85,37020
37,21,261,236,90.42,14,5.36,11,4.21,37021
37,22,279,254,91.04,18,6.45,7,2.51,37022
37,23,347,339,97.69,4,1.15,4,1.15,37023
37,24,308,293,95.13,7,2.27,8,2.6,37024
37,25,325,311,95.69,6,1.85,8,2.46,37025
37,26,376,351,93.35,14,3.72,11,2.93,37026
37,27,321,306,95.33,12,3.74,3,0.93,37027
37,28,244,225,92.21,11,4.51,8,3.28,37028
37,29,316,297,93.99,8,2.53,11,3.48,37029
37,30,339,329,97.05,4,1.18,6,1.77,37030
37,31,345,319,92.46,14,4.06,12,3.48,37031
37,32,304,292,96.05,7,2.3,5,1.64,37032
37,33,349,341,97.71,5,1.43,3,0.86,37033
37,34,317,298,94.01,15,4.73,4,1.26,37034
37,35,338,325,96.15,5,1.48,8,2.37,37035
37,36,326,317,97.24,1,0.31,8,2.45,37036
37,37,381,354,92.91,13,3.41,14,3.67,37037
37,38,351,330,94.02,11,3.13,10,2.85,37038
37,39,327,308,94.19,9,2.75,10,3.06,37039
37,40,349,338,96.85,4,1.15,7,2.01,37040
37,41,308,284,92.21,15,4.87,9,2.92,37041
38,1,278,186,66.91,83,29.86,9,3.24,38001
38,2,400,197,49.25,190,47.5,13,3.25,38002
38,3,308,187,60.71,111,36.04,10,3.25,38003
38,4,329,193,58.66,122,37.08,14,4.26,38004
38,5,320,192,60.0,116,36.25,12,3.75,38005
38,6,291,180,61.86,103,35.4,8,2.75,38006
38,7,329,199,60.49,122,37.08,8,2.43,38007
38,8,282,183,64.89,86,30.5,13,4.61,38008
38,9,360,202,56.11,142,39.44,16,4.44,38009
38,10,254,169,66.54,70,27.56,15,5.91,38010
38,11,300,205,68.33,79,26.33,16,5.33,38011
38,12,352,192,54.55,150,42.61,10,2.84,38012
38,13,342,183,53.51,147,42.98,12,3.51,38013
38,14,340,219,64.41,102,30.0,19,5.59,38014
38,15,273,184,67.4,78,28.57,11,4.03,38015
38,16,336,211,62.8,111,33.04,14,4.17,38016
38,17,370,205,55.41,144,38.92,21,5.68,38017
38,18,344,198,57.56,133,38.66,13,3.78,38018
38,19,373,235,63.0,117,31.37,21,5.63,38019
38,20,331,172,51.96,150,45.32,9,2.72,38020
38,21,261,161,61.69,88,33.72,12,4.6,38021
38,22,299,194,64.88,87,29.1,18,6.02,38022
38,23,362,245,67.68,101,27.9,16,4.42,38023
38,24,376,239,63.56,125,33.24,12,3.19,38024
38,25,274,170,62.04,94,34.31,10,3.65,38025
38,26,345,229,66.38,108,31.3,8,2.32,38026
38,27,314,202,64.33,101,32.17,11,3.5,38027
38,28,419,234,55.85,174,41.53,11,2.63,38028
38,29,277,180,64.98,85,30.69,12,4.33,38029
38,30,319,195,61.13,115,36.05,9,2.82,38030
38,31,304,209,68.75,85,27.96,10,3.29,38031
38,32,269,179,66.54,79,29.37,11,4.09,38032
38,33,277,176,63.54,86,31.05,15,5.42,38033
38,34,278,189,67.99,70,25.18,19,6.83,38034
38,35,310,213,68.71,87,28.06,10,3.23,38035
38,36,289,189,65.4,89,30.8,11,3.81,38036
38,37,327,207,63.3,104,31.8,16,4.89,38037
38,38,281,170,60.5,98,34.88,13,4.63,38038
38,39,364,256,70.33,96,26.37,12,3.3,38039
38,40,329,206,62.61,110,33.43,13,3.95,38040
38,41,326,235,72.09,77,23.62,14,4.29,38041
39,1,371,193,52.02,157,42.32,21,5.66,39001
39,2,379,256,67.55,114,30.08,9,2.37,39002
39,3,368,256,69.57,93,25.27,19,5.16,39003
39,4,348,195,56.03,140,40.23,13,3.74,39004
39,5,350,235,67.14,105,30.0,10,2.86,39005
39,6,272,188,69.12,74,27.21,10,3.68,39006
39,7,271,205,75.65,57,21.03,9,3.32,39007
39,8,303,240,79.21,55,18.15,8,2.64,39008
39,9,311,209,67.2,82,26.37,20,6.43,39009
39,10,153,134,87.58,16,10.46,3,1.96,39010
39,11,307,214,69.71,87,28.34,6,1.95,39011
39,12,364,280,76.92,67,18.41,17,4.67,39012
39,13,307,227,73.94,75,24.43,5,1.63,39013
39,14,273,174,63.74,86,31.5,13,4.76,39014
39,15,384,192,50.0,183,47.66,9,2.34,39015
39,16,209,157,75.12,46,22.01,6,2.87,39016
39,17,377,265,70.29,104,27.59,8,2.12,39017
39,18,331,240,72.51,81,24.47,10,3.02,39018
39,19,302,223,73.84,61,20.2,18,5.96,39019
39,20,402,241,59.95,149,37.06,12,2.99,39020
39,21,336,182,54.17,144,42.86,10,2.98,39021
39,22,223,151,67.71,65,29.15,7,3.14,39022
39,23,386,249,64.51,118,30.57,19,4.92,39023
39,24,473,271,57.29,186,39.32,16,3.38,39024
39,25,225,164,72.89,50,22.22,11,4.89,39025
39,26,319,184,57.68,129,40.44,6,1.88,39026
39,27,74,44,59.46,26,35.14,4,5.41,39027
39,28,372,277,74.46,77,20.7,18,4.84,39028
39,29,149,129,86.58,13,8.72,7,4.7,39029
39,30,352,284,80.68,56,15.91,12,3.41,39030
39,31,268,202,75.37,52,19.4,14,5.22,39031
39,32,314,227,72.29,85,27.07,2,0.64,39032
39,33,333,261,78.38,63,18.92,9,2.7,39033
39,34,350,246,70.29,82,23.43,22,6.29,39034
39,35,291,220,75.6,63,21.65,8,2.75,39035
39,36,124,94,75.81,26,20.97,4,3.23,39036
39,37,394,240,60.91,131,33.25,23,5.84,39037
39,38,222,160,72.07,59,26.58,3,1.35,39038
39,39,214,138,64.49,67,31.31,9,4.21,39039
39,40,298,175,58.72,115,38.59,8,2.68,39040
39,41,408,251,61.52,138,33.82,19,4.66,39041
39,42,397,220,55.42,167,42.07,10,2.52,39042
39,43,416,235,56.49,166,39.9,15,3.61,39043
39,44,316,169,53.48,142,44.94,5,1.58,39044
39,45,371,224,60.38,133,35.85,14,3.77,39045
40,1,255,199,78.04,49,19.22,7,2.75,40001
40,2,308,239,77.6,51,16.56,18,5.84,40002
40,3,362,308,85.08,44,12.15,10,2.76,40003
40,4,210,172,81.9,31,14.76,7,3.33,40004
40,5,355,282,79.44,63,17.75,10,2.82,40005
40,6,363,310,85.4,40,11.02,13,3.58,40006
40,7,365,298,81.64,51,13.97,16,4.38,40007
40,8,411,354,86.13,46,11.19,11,2.68,40008
40,9,280,222,79.29,46,16.43,12,4.29,40009
40,10,329,257,78.12,61,18.54,11,3.34,40010
40,11,355,300,84.51,43,12.11,12,3.38,40011
40,12,249,186,74.7,52,20.88,11,4.42,40012
40,13,458,393,85.81,48,10.48,17,3.71,40013
40,14,238,188,78.99,41,17.23,9,3.78,40014
40,15,291,226,77.66,57,19.59,8,2.75,40015
40,16,411,356,86.62,41,9.98,14,3.41,40016
40,17,300,224,74.67,64,21.33,12,4.0,40017
40,18,250,206,82.4,40,16.0,4,1.6,40018
40,19,394,300,76.14,86,21.83,8,2.03,40019
40,20,293,229,78.16,47,16.04,17,5.8,40020
40,21,401,334,83.29,52,12.97,15,3.74,40021
40,22,338,278,82.25,47,13.91,13,3.85,40022
40,23,432,351,81.25,56,12.96,25,5.79,40023
40,24,231,172,74.46,50,21.65,9,3.9,40024
40,25,413,357,86.44,42,10.17,14,3.39,40025
40,26,400,339,84.75,48,12.0,13,3.25,40026
40,27,450,374,83.11,61,13.56,15,3.33,40027
40,28,373,336,90.08,26,6.97,11,2.95,40028
40,29,359,256,71.31,97,27.02,6,1.67,40029
40,30,361,251,69.53,104,28.81,6,1.66,40030
40,31,394,332,84.26,54,13.71,8,2.03,40031
40,32,391,317,81.07,59,15.09,15,3.84,40032
40,33,346,303,87.57,30,8.67,13,3.76,40033
40,34,284,222,78.17,53,18.66,9,3.17,40034
40,35,258,181,70.16,53,20.54,24,9.3,40035
40,36,337,263,78.04,57,16.91,17,5.04,40036
40,37,344,290,84.3,45,13.08,9,2.62,40037
40,38,419,341,81.38,69,16.47,9,2.15,40038
40,39,88,66,75.0,14,15.91,8,9.09,40039
41,1,366,182,49.73,171,46.72,13,3.55,41001
41,2,424,214,50.47,200,47.17,10,2.36,41002
41,3,361,208,57.62,137,37.95,16,4.43,41003
41,4,420,246,58.57,161,38.33,13,3.1,41004
41,5,432,242,56.02,168,38.89,22,5.09,41005
41,6,483,260,53.83,210,43.48,13,2.69,41006
41,7,436,242,55.5,184,42.2,10,2.29,41007
41,8,426,204,47.89,205,48.12,17,3.99,41008
41,9,392,216,55.1,161,41.07,15,3.83,41009
41,10,446,256,57.4,176,39.46,14,3.14,41010
41,11,413,222,53.75,165,39.95,26,6.3,41011
41,12,358,208,58.1,136,37.99,14,3.91,41012
41,13,441,214,48.53,212,48.07,15,3.4,41013
41,14,485,267,55.05,206,42.47,12,2.47,41014
41,15,468,270,57.69,177,37.82,21,4.49,41015
41,16,367,212,57.77,141,38.42,14,3.81,41016
