ward,precinct,total,John P. Daley,John P. Daley Percent,Carl Segvich,Carl Segvich Percent,precinct_id
18,29,274,233,85.04,41,14.96,18029
18,30,288,198,68.75,90,31.25,18030
18,36,135,115,85.19,20,14.81,18036
18,40,299,244,81.61,55,18.39,18040
18,43,201,145,72.14,56,27.86,18043
18,44,263,166,63.12,97,36.88,18044
18,45,238,205,86.13,33,13.87,18045
18,46,284,221,77.82,63,22.18,18046
19,1,358,233,65.08,125,34.92,19001
19,2,498,416,83.53,82,16.47,19002
19,3,291,151,51.89,140,48.11,19003
19,4,426,231,54.23,195,45.77,19004
19,5,432,336,77.78,96,22.22,19005
19,6,373,215,57.64,158,42.36,19006
19,7,364,264,72.53,100,27.47,19007
19,8,425,226,53.18,199,46.82,19008
19,9,262,155,59.16,107,40.84,19009
19,10,434,326,75.12,108,24.88,19010
19,11,371,179,48.25,192,51.75,19011
19,12,307,163,53.09,144,46.91,19012
19,13,446,404,90.58,42,9.42,19013
19,14,392,301,76.79,91,23.21,19014
19,15,474,258,54.43,216,45.57,19015
19,16,416,244,58.65,172,41.35,19016
19,17,320,193,60.31,127,39.69,19017
19,18,359,260,72.42,99,27.58,19018
19,19,456,333,73.03,123,26.97,19019
19,20,311,264,84.89,47,15.11,19020
19,21,358,209,58.38,149,41.62,19021
19,22,395,274,69.37,121,30.63,19022
19,23,381,246,64.57,135,35.43,19023
19,24,299,165,55.18,134,44.82,19024
19,25,380,251,66.05,129,33.95,19025
19,26,392,248,63.27,144,36.73,19026
19,27,374,299,79.95,75,20.05,19027
19,28,430,387,90.0,43,10.0,19028
19,29,372,182,48.92,190,51.08,19029
19,30,331,190,57.4,141,42.6,19030
19,31,334,208,62.28,126,37.72,19031
19,32,356,217,60.96,139,39.04,19032
19,33,378,214,56.61,164,43.39,19033
19,34,358,216,60.34,142,39.66,19034
19,35,332,232,69.88,100,30.12,19035
19,36,441,389,88.21,52,11.79,19036
19,37,356,290,81.46,66,18.54,19037
19,38,315,270,85.71,45,14.29,19038
19,39,130,119,91.54,11,8.46,19039
19,40,391,288,73.66,103,26.34,19040
19,41,341,203,59.53,138,40.47,19041
19,42,302,227,75.17,75,24.83,19042
19,43,471,428,90.87,43,9.13,19043
19,44,422,241,57.11,181,42.89,19044
19,45,380,239,62.89,141,37.11,19045
19,46,416,262,62.98,154,37.02,19046
19,47,517,436,84.33,81,15.67,19047
19,48,412,390,94.66,22,5.34,19048
19,49,444,384,86.49,60,13.51,19049
19,50,294,195,66.33,99,33.67,19050
19,51,426,309,72.54,117,27.46,19051
19,52,389,208,53.47,181,46.53,19052
19,53,342,233,68.13,109,31.87,19053
19,54,322,185,57.45,137,42.55,19054
19,55,333,169,50.75,164,49.25,19055
19,56,417,300,71.94,117,28.06,19056
19,57,315,248,78.73,67,21.27,19057
20,4,130,121,93.08,9,6.92,20004
20,17,71,66,92.96,5,7.04,20017
20,21,103,97,94.17,6,5.83,20021
20,25,10,10,100.0,0,0.0,20025
23,1,302,184,60.93,118,39.07,23001
23,2,301,194,64.45,107,35.55,23002
23,3,305,180,59.02,125,40.98,23003
23,4,314,199,63.38,115,36.62,23004
23,6,242,195,80.58,47,19.42,23006
23,8,276,216,78.26,60,21.74,23008
23,10,28,23,82.14,5,17.86,23010
23,12,297,170,57.24,127,42.76,23012
23,14,233,138,59.23,95,40.77,23014
23,16,276,174,63.04,102,36.96,23016
23,18,256,152,59.38,104,40.63,23018
23,21,305,168,55.08,137,44.92,23021
23,22,258,167,64.73,91,35.27,23022
23,23,275,162,58.91,113,41.09,23023
23,25,209,152,72.73,57,27.27,23025
23,26,83,59,71.08,24,28.92,23026
23,27,291,177,60.82,114,39.18,23027
23,28,309,195,63.11,114,36.89,23028
23,29,220,141,64.09,79,35.91,23029
23,35,216,119,55.09,97,44.91,23035
23,36,310,206,66.45,104,33.55,23036
23,37,285,151,52.98,134,47.02,23037
23,38,234,142,60.68,92,39.32,23038
34,49,12,12,100.0,0,0.0,34049
