ward,precinct,total,John J. Cullerton,John J. Cullerton Percent,Stefanie Linares,Stefanie Linares Percent,precinct_id
43,4,416,217,52.16,199,47.84,43004
43,6,254,137,53.94,117,46.06,43006
43,8,308,187,60.71,121,39.29,43008
43,9,440,262,59.55,178,40.45,43009
43,12,216,135,62.5,81,37.5,43012
43,13,316,208,65.82,108,34.18,43013
43,14,414,216,52.17,198,47.83,43014
43,15,380,217,57.11,163,42.89,43015
43,16,340,190,55.88,150,44.12,43016
43,17,298,152,51.01,146,48.99,43017
43,18,403,220,54.59,183,45.41,43018
43,19,397,226,56.93,171,43.07,43019
43,20,395,252,63.8,143,36.2,43020
43,21,345,182,52.75,163,47.25,43021
43,22,230,140,60.87,90,39.13,43022
43,24,269,154,57.25,115,42.75,43024
43,25,328,217,66.16,111,33.84,43025
43,26,283,174,61.48,109,38.52,43026
43,27,347,184,53.03,163,46.97,43027
43,28,487,261,53.59,226,46.41,43028
43,29,331,175,52.87,156,47.13,43029
43,30,371,214,57.68,157,42.32,43030
43,31,392,264,67.35,128,32.65,43031
43,32,397,254,63.98,143,36.02,43032
43,33,441,234,53.06,207,46.94,43033
43,34,298,183,61.41,115,38.59,43034
43,36,160,96,60.0,64,40.0,43036
43,37,309,199,64.4,110,35.6,43037
43,38,422,204,48.34,218,51.66,43038
43,39,265,145,54.72,120,45.28,43039
43,40,245,150,61.22,95,38.78,43040
43,41,457,279,61.05,178,38.95,43041
43,42,316,206,65.19,110,34.81,43042
43,43,513,268,52.24,245,47.76,43043
43,44,340,208,61.18,132,38.82,43044
43,46,179,99,55.31,80,44.69,43046
44,1,561,412,73.44,149,26.56,44001
44,2,349,211,60.46,138,39.54,44002
44,3,309,216,69.9,93,30.1,44003
44,4,411,279,67.88,132,32.12,44004
44,5,330,247,74.85,83,25.15,44005
44,6,393,293,74.55,100,25.45,44006
44,7,335,197,58.81,138,41.19,44007
44,8,431,313,72.62,118,27.38,44008
44,9,309,184,59.55,125,40.45,44009
44,10,327,209,63.91,118,36.09,44010
44,11,356,222,62.36,134,37.64,44011
44,12,417,319,76.5,98,23.5,44012
44,13,287,156,54.36,131,45.64,44013
44,14,324,198,61.11,126,38.89,44014
44,15,367,263,71.66,104,28.34,44015
44,16,353,212,60.06,141,39.94,44016
44,17,465,343,73.76,122,26.24,44017
44,18,341,213,62.46,128,37.54,44018
44,19,437,319,73.0,118,27.0,44019
44,20,294,219,74.49,75,25.51,44020
44,21,356,271,76.12,85,23.88,44021
44,22,414,290,70.05,124,29.95,44022
44,23,322,237,73.6,85,26.4,44023
44,24,376,273,72.61,103,27.39,44024
44,25,380,247,65.0,133,35.0,44025
44,26,358,258,72.07,100,27.93,44026
44,27,397,236,59.45,161,40.55,44027
44,28,344,261,75.87,83,24.13,44028
44,29,356,228,64.04,128,35.96,44029
44,30,379,235,62.01,144,37.99,44030
44,31,302,203,67.22,99,32.78,44031
44,32,358,213,59.5,145,40.5,44032
44,33,298,246,82.55,52,17.45,44033
44,34,405,312,77.04,93,22.96,44034
44,35,460,315,68.48,145,31.52,44035
44,36,311,228,73.31,83,26.69,44036
44,37,392,287,73.21,105,26.79,44037
44,38,347,212,61.1,135,38.9,44038
44,39,324,165,50.93,159,49.07,44039
44,40,348,215,61.78,133,38.22,44040
44,41,370,279,75.41,91,24.59,44041
46,3,453,335,73.95,118,26.05,46003
46,5,331,237,71.6,94,28.4,46005
46,7,473,358,75.69,115,24.31,46007
46,9,326,267,81.9,59,18.1,46009
46,10,382,271,70.94,111,29.06,46010
46,11,324,222,68.52,102,31.48,46011
46,13,326,253,77.61,73,22.39,46013
46,15,351,257,73.22,94,26.78,46015
46,17,420,329,78.33,91,21.67,46017
46,18,336,234,69.64,102,30.36,46018
46,19,273,197,72.16,76,27.84,46019
46,24,360,261,72.5,99,27.5,46024
46,26,157,129,82.17,28,17.83,46026
46,27,353,264,74.79,89,25.21,46027
46,28,421,300,71.26,121,28.74,46028
46,29,283,216,76.33,67,23.67,46029
46,30,334,279,83.53,55,16.47,46030
46,31,320,241,75.31,79,24.69,46031
46,33,424,318,75.0,106,25.0,46033
46,34,370,291,78.65,79,21.35,46034
46,35,418,337,80.62,81,19.38,46035
46,36,372,272,73.12,100,26.88,46036
46,38,344,276,80.23,68,19.77,46038
46,39,329,244,74.16,85,25.84,46039
47,1,224,154,68.75,70,31.25,47001
47,2,455,310,68.13,145,31.87,47002
47,3,421,306,72.68,115,27.32,47003
47,4,445,310,69.66,135,30.34,47004
47,5,88,71,80.68,17,19.32,47005
47,6,359,246,68.52,113,31.48,47006
47,7,326,244,74.85,82,25.15,47007
47,8,397,286,72.04,111,27.96,47008
47,9,284,196,69.01,88,30.99,47009
47,11,341,233,68.33,108,31.67,47011
47,12,399,306,76.69,93,23.31,47012
47,13,344,283,82.27,61,17.73,47013
47,14,317,216,68.14,101,31.86,47014
47,16,386,298,77.2,88,22.8,47016
47,17,334,242,72.46,92,27.54,47017
47,18,333,218,65.47,115,34.53,47018
47,21,314,242,77.07,72,22.93,47021
47,24,321,237,73.83,84,26.17,47024
47,25,356,266,74.72,90,25.28,47025
47,27,336,230,68.45,106,31.55,47027
47,28,25,17,68.0,8,32.0,47028
47,29,401,292,72.82,109,27.18,47029
47,33,349,239,68.48,110,31.52,47033
47,35,358,259,72.35,99,27.65,47035
47,39,377,287,76.13,90,23.87,47039
47,40,387,303,78.29,84,21.71,47040
47,41,75,45,60.0,30,40.0,47041
47,43,357,226,63.31,131,36.69,47043
47,44,331,230,69.49,101,30.51,47044
47,46,362,251,69.34,111,30.66,47046
47,47,405,272,67.16,133,32.84,47047
47,48,48,44,91.67,4,8.33,47048
