ward,precinct,total,Jerry ''Iceman'' Butler,Jerry ''Iceman'' Butler Percent,precinct_id
42,8,265,265,100.0,42008
42,11,206,206,100.0,42011
42,13,317,317,100.0,42013
42,19,114,114,100.0,42019
42,24,247,247,100.0,42024
42,26,253,253,100.0,42026
42,28,342,342,100.0,42028
42,29,227,227,100.0,42029
42,30,265,265,100.0,42030
42,31,235,235,100.0,42031
42,33,131,131,100.0,42033
42,34,285,285,100.0,42034
42,35,326,326,100.0,42035
42,40,163,163,100.0,42040
43,28,309,309,100.0,43028
43,33,259,259,100.0,43033
43,35,307,307,100.0,43035
43,38,248,248,100.0,43038
43,43,320,320,100.0,43043
