ward,precinct,total,Michael W. Frerichs,Michael W. Frerichs Percent,Tom Cross,Tom Cross Percent,Matthew Skopek,Matthew Skopek Percent,precinct_id
2,17,373,249,66.76,101,27.08,23,6.17,02017
2,18,304,162,53.29,133,43.75,9,2.96,02018
2,19,348,169,48.56,173,49.71,6,1.72,02019
2,20,338,173,51.18,153,45.27,12,3.55,02020
2,21,298,218,73.15,63,21.14,17,5.7,02021
2,22,393,179,45.55,204,51.91,10,2.54,02022
2,23,335,151,45.07,178,53.13,6,1.79,02023
2,24,310,191,61.61,106,34.19,13,4.19,02024
2,25,316,210,66.46,91,28.8,15,4.75,02025
2,26,332,209,62.95,109,32.83,14,4.22,02026
2,27,323,156,48.3,151,46.75,16,4.95,02027
2,28,390,203,52.05,173,44.36,14,3.59,02028
2,29,366,187,51.09,168,45.9,11,3.01,02029
2,30,320,146,45.63,163,50.94,11,3.44,02030
2,31,516,267,51.74,230,44.57,19,3.68,02031
2,32,277,133,48.01,131,47.29,13,4.69,02032
2,33,563,314,55.77,233,41.39,16,2.84,02033
2,34,351,168,47.86,175,49.86,8,2.28,02034
2,35,337,173,51.34,150,44.51,14,4.15,02035
2,36,309,163,52.75,134,43.37,12,3.88,02036
2,37,382,213,55.76,157,41.1,12,3.14,02037
2,38,405,172,42.47,219,54.07,14,3.46,02038
2,39,270,122,45.19,136,50.37,12,4.44,02039
2,40,308,168,54.55,124,40.26,16,5.19,02040
2,41,257,127,49.42,118,45.91,12,4.67,02041
2,42,330,200,60.61,121,36.67,9,2.73,02042
2,43,404,182,45.05,207,51.24,15,3.71,02043
2,44,252,124,49.21,127,50.4,1,0.4,02044
2,45,395,237,60.0,132,33.42,26,6.58,02045
2,46,226,106,46.9,109,48.23,11,4.87,02046
3,1,442,416,94.12,17,3.85,9,2.04,03001
3,2,510,482,94.51,18,3.53,10,1.96,03002
3,3,373,323,86.6,41,10.99,9,2.41,03003
3,4,436,408,93.58,15,3.44,13,2.98,03004
3,5,284,272,95.77,10,3.52,2,0.7,03005
3,6,397,228,57.43,150,37.78,19,4.79,03006
3,7,364,337,92.58,17,4.67,10,2.75,03007
3,8,318,299,94.03,7,2.2,12,3.77,03008
3,9,392,361,92.09,20,5.1,11,2.81,03009
3,10,255,248,97.25,6,2.35,1,0.39,03010
3,11,394,370,93.91,17,4.31,7,1.78,03011
3,12,419,392,93.56,18,4.3,9,2.15,03012
3,13,466,312,66.95,142,30.47,12,2.58,03013
3,14,337,264,78.34,61,18.1,12,3.56,03014
3,15,355,333,93.8,10,2.82,12,3.38,03015
3,16,364,344,94.51,12,3.3,8,2.2,03016
3,17,360,290,80.56,57,15.83,13,3.61,03017
3,18,559,512,91.59,37,6.62,10,1.79,03018
3,19,413,262,63.44,142,34.38,9,2.18,03019
3,20,403,381,94.54,14,3.47,8,1.99,03020
3,21,459,322,70.15,126,27.45,11,2.4,03021
3,22,371,238,64.15,111,29.92,22,5.93,03022
3,23,357,339,94.96,8,2.24,10,2.8,03023
3,24,332,316,95.18,13,3.92,3,0.9,03024
3,25,474,288,60.76,165,34.81,21,4.43,03025
3,26,480,320,66.67,148,30.83,12,2.5,03026
3,27,388,234,60.31,135,34.79,19,4.9,03027
3,28,301,282,93.69,14,4.65,5,1.66,03028
3,29,398,380,95.48,15,3.77,3,0.75,03029
3,30,396,375,94.7,16,4.04,5,1.26,03030
3,31,442,418,94.57,11,2.49,13,2.94,03031
3,32,394,296,75.13,81,20.56,17,4.31,03032
3,33,359,220,61.28,122,33.98,17,4.74,03033
3,34,427,308,72.13,93,21.78,26,6.09,03034
3,35,204,187,91.67,11,5.39,6,2.94,03035
3,36,237,229,96.62,4,1.69,4,1.69,03036
3,37,324,307,94.75,10,3.09,7,2.16,03037
3,38,381,360,94.49,14,3.67,7,1.84,03038
3,39,337,204,60.53,118,35.01,15,4.45,03039
3,40,426,367,86.15,47,11.03,12,2.82,03040
3,41,301,242,80.4,45,14.95,14,4.65,03041
4,1,423,368,87.0,46,10.87,9,2.13,04001
4,2,427,279,65.34,127,29.74,21,4.92,04002
4,3,393,367,93.38,17,4.33,9,2.29,04003
4,4,534,494,92.51,29,5.43,11,2.06,04004
4,5,409,378,92.42,16,3.91,15,3.67,04005
4,6,533,483,90.62,33,6.19,17,3.19,04006
4,7,495,462,93.33,23,4.65,10,2.02,04007
4,8,473,444,93.87,14,2.96,15,3.17,04008
4,9,533,514,96.44,9,1.69,10,1.88,04009
4,10,460,426,92.61,23,5.0,11,2.39,04010
4,11,439,412,93.85,19,4.33,8,1.82,04011
4,12,425,400,94.12,12,2.82,13,3.06,04012
4,13,261,176,67.43,70,26.82,15,5.75,04013
4,14,400,377,94.25,15,3.75,8,2.0,04014
4,15,484,458,94.63,16,3.31,10,2.07,04015
4,16,377,237,62.86,123,32.63,17,4.51,04016
4,17,411,296,72.02,90,21.9,25,6.08,04017
4,18,417,385,92.33,19,4.56,13,3.12,04018
4,19,425,400,94.12,14,3.29,11,2.59,04019
4,20,412,296,71.84,99,24.03,17,4.13,04020
4,21,390,271,69.49,85,21.79,34,8.72,04021
4,22,413,358,86.68,46,11.14,9,2.18,04022
4,23,498,445,89.36,31,6.22,22,4.42,04023
4,24,380,332,87.37,35,9.21,13,3.42,04024
4,25,409,266,65.04,125,30.56,18,4.4,04025
4,26,429,403,93.94,21,4.9,5,1.17,04026
4,27,391,342,87.47,31,7.93,18,4.6,04027
4,28,373,338,90.62,25,6.7,10,2.68,04028
4,29,367,346,94.28,14,3.81,7,1.91,04029
4,30,543,515,94.84,19,3.5,9,1.66,04030
4,31,474,438,92.41,20,4.22,16,3.38,04031
4,32,406,377,92.86,16,3.94,13,3.2,04032
4,33,459,415,90.41,33,7.19,11,2.4,04033
4,34,366,347,94.81,11,3.01,8,2.19,04034
4,35,534,497,93.07,26,4.87,11,2.06,04035
4,36,448,422,94.2,20,4.46,6,1.34,04036
4,37,393,263,66.92,112,28.5,18,4.58,04037
4,38,485,455,93.81,22,4.54,8,1.65,04038
5,1,343,322,93.88,12,3.5,9,2.62,05001
5,2,352,333,94.6,13,3.69,6,1.7,05002
5,3,365,319,87.4,31,8.49,15,4.11,05003
5,4,401,362,90.27,30,7.48,9,2.24,05004
5,5,398,377,94.72,12,3.02,9,2.26,05005
5,6,344,330,95.93,9,2.62,5,1.45,05006
5,7,362,327,90.33,30,8.29,5,1.38,05007
5,8,415,343,82.65,60,14.46,12,2.89,05008
5,9,421,377,89.55,29,6.89,15,3.56,05009
5,10,332,321,96.69,4,1.2,7,2.11,05010
5,11,416,361,86.78,44,10.58,11,2.64,05011
5,12,325,304,93.54,16,4.92,5,1.54,05012
5,13,284,271,95.42,5,1.76,8,2.82,05013
5,14,350,331,94.57,11,3.14,8,2.29,05014
5,15,353,317,89.8,25,7.08,11,3.12,05015
5,16,385,363,94.29,17,4.42,5,1.3,05016
5,17,345,330,95.65,9,2.61,6,1.74,05017
5,18,326,291,89.26,23,7.06,12,3.68,05018
5,19,375,297,79.2,62,16.53,16,4.27,05019
5,20,434,396,91.24,25,5.76,13,3.0,05020
5,21,350,302,86.29,31,8.86,17,4.86,05021
5,22,447,368,82.33,63,14.09,16,3.58,05022
5,23,577,484,83.88,72,12.48,21,3.64,05023
5,24,372,323,86.83,33,8.87,16,4.3,05024
5,25,383,357,93.21,16,4.18,10,2.61,05025
5,26,364,343,94.23,17,4.67,4,1.1,05026
5,27,307,231,75.24,66,21.5,10,3.26,05027
5,28,438,405,92.47,18,4.11,15,3.42,05028
5,29,510,484,94.9,21,4.12,5,0.98,05029
5,30,312,293,93.91,11,3.53,8,2.56,05030
5,31,328,313,95.43,10,3.05,5,1.52,05031
5,32,400,370,92.5,25,6.25,5,1.25,05032
5,33,442,430,97.29,9,2.04,3,0.68,05033
5,34,425,341,80.24,74,17.41,10,2.35,05034
5,35,361,310,85.87,44,12.19,7,1.94,05035
5,36,348,322,92.53,19,5.46,7,2.01,05036
5,37,425,366,86.12,48,11.29,11,2.59,05037
5,38,371,345,92.99,17,4.58,9,2.43,05038
5,39,348,295,84.77,47,13.51,6,1.72,05039
5,40,361,344,95.29,13,3.6,4,1.11,05040
5,41,237,212,89.45,21,8.86,4,1.69,05041
6,1,392,369,94.13,17,4.34,6,1.53,06001
6,2,377,360,95.49,13,3.45,4,1.06,06002
6,3,394,379,96.19,11,2.79,4,1.02,06003
6,4,303,292,96.37,7,2.31,4,1.32,06004
6,5,300,287,95.67,6,2.0,7,2.33,06005
6,6,385,354,91.95,22,5.71,9,2.34,06006
6,7,340,328,96.47,7,2.06,5,1.47,06007
6,8,368,351,95.38,11,2.99,6,1.63,06008
6,9,340,322,94.71,12,3.53,6,1.76,06009
6,10,250,238,95.2,7,2.8,5,2.0,06010
6,11,359,344,95.82,14,3.9,1,0.28,06011
6,12,258,249,96.51,6,2.33,3,1.16,06012
6,13,289,274,94.81,11,3.81,4,1.38,06013
6,14,350,336,96.0,7,2.0,7,2.0,06014
6,15,345,324,93.91,14,4.06,7,2.03,06015
6,16,386,364,94.3,13,3.37,9,2.33,06016
6,17,290,270,93.1,12,4.14,8,2.76,06017
6,18,274,234,85.4,20,7.3,20,7.3,06018
6,19,348,329,94.54,7,2.01,12,3.45,06019
6,20,217,204,94.01,8,3.69,5,2.3,06020
6,21,255,245,96.08,4,1.57,6,2.35,06021
6,22,252,243,96.43,5,1.98,4,1.59,06022
6,23,248,238,95.97,5,2.02,5,2.02,06023
6,24,216,203,93.98,9,4.17,4,1.85,06024
6,25,227,212,93.39,9,3.96,6,2.64,06025
6,26,289,273,94.46,11,3.81,5,1.73,06026
6,27,209,203,97.13,4,1.91,2,0.96,06027
6,28,206,198,96.12,5,2.43,3,1.46,06028
6,29,395,378,95.7,7,1.77,10,2.53,06029
6,30,323,305,94.43,12,3.72,6,1.86,06030
6,31,348,332,95.4,9,2.59,7,2.01,06031
6,32,334,316,94.61,8,2.4,10,2.99,06032
6,33,358,329,91.9,17,4.75,12,3.35,06033
6,34,355,338,95.21,11,3.1,6,1.69,06034
6,35,337,313,92.88,14,4.15,10,2.97,06035
6,36,392,382,97.45,5,1.28,5,1.28,06036
6,37,404,380,94.06,13,3.22,11,2.72,06037
6,38,357,343,96.08,9,2.52,5,1.4,06038
6,39,341,323,94.72,9,2.64,9,2.64,06039
6,40,309,294,95.15,7,2.27,8,2.59,06040
6,41,367,351,95.64,11,3.0,5,1.36,06041
6,42,381,359,94.23,11,2.89,11,2.89,06042
6,43,323,296,91.64,23,7.12,4,1.24,06043
6,44,387,347,89.66,32,8.27,8,2.07,06044
6,45,371,344,92.72,17,4.58,10,2.7,06045
6,46,282,266,94.33,10,3.55,6,2.13,06046
6,47,287,269,93.73,9,3.14,9,3.14,06047
6,48,351,337,96.01,10,2.85,4,1.14,06048
7,1,316,293,92.72,15,4.75,8,2.53,07001
7,2,329,311,94.53,9,2.74,9,2.74,07002
7,3,333,314,94.29,15,4.5,4,1.2,07003
7,4,317,306,96.53,7,2.21,4,1.26,07004
7,5,307,283,92.18,15,4.89,9,2.93,07005
7,6,407,375,92.14,25,6.14,7,1.72,07006
7,7,356,333,93.54,13,3.65,10,2.81,07007
7,8,292,261,89.38,25,8.56,6,2.05,07008
7,9,569,534,93.85,22,3.87,13,2.28,07009
7,10,344,330,95.93,6,1.74,8,2.33,07010
7,11,355,332,93.52,14,3.94,9,2.54,07011
7,12,334,316,94.61,8,2.4,10,2.99,07012
7,13,246,230,93.5,13,5.28,3,1.22,07013
7,14,333,318,95.5,10,3.0,5,1.5,07014
7,15,368,349,94.84,13,3.53,6,1.63,07015
7,16,250,238,95.2,8,3.2,4,1.6,07016
7,17,300,284,94.67,11,3.67,5,1.67,07017
7,18,296,270,91.22,19,6.42,7,2.36,07018
7,19,323,303,93.81,14,4.33,6,1.86,07019
7,20,251,246,98.01,3,1.2,2,0.8,07020
7,21,294,278,94.56,7,2.38,9,3.06,07021
7,22,264,233,88.26,17,6.44,14,5.3,07022
7,23,349,332,95.13,13,3.72,4,1.15,07023
7,24,334,314,94.01,12,3.59,8,2.4,07024
7,25,296,274,92.57,16,5.41,6,2.03,07025
7,26,275,258,93.82,11,4.0,6,2.18,07026
7,27,301,288,95.68,6,1.99,7,2.33,07027
7,28,239,225,94.14,6,2.51,8,3.35,07028
7,29,290,269,92.76,15,5.17,6,2.07,07029
7,30,269,247,91.82,13,4.83,9,3.35,07030
7,31,206,192,93.2,10,4.85,4,1.94,07031
7,32,463,429,92.66,22,4.75,12,2.59,07032
7,33,436,415,95.18,15,3.44,6,1.38,07033
7,34,418,392,93.78,14,3.35,12,2.87,07034
7,35,343,324,94.46,15,4.37,4,1.17,07035
7,36,397,380,95.72,11,2.77,6,1.51,07036
7,37,382,357,93.46,18,4.71,7,1.83,07037
7,38,284,264,92.96,10,3.52,10,3.52,07038
7,39,317,305,96.21,7,2.21,5,1.58,07039
7,40,336,319,94.94,11,3.27,6,1.79,07040
7,41,321,302,94.08,12,3.74,7,2.18,07041
7,42,310,299,96.45,8,2.58,3,0.97,07042
7,43,326,314,96.32,8,2.45,4,1.23,07043
7,44,313,300,95.85,5,1.6,8,2.56,07044
7,45,346,323,93.35,11,3.18,12,3.47,07045
7,46,121,117,96.69,3,2.48,1,0.83,07046
8,1,291,276,94.85,10,3.44,5,1.72,08001
8,2,351,335,95.44,13,3.7,3,0.85,08002
8,3,423,403,95.27,14,3.31,6,1.42,08003
8,4,394,386,97.97,5,1.27,3,0.76,08004
8,5,427,401,93.91,16,3.75,10,2.34,08005
8,6,361,349,96.68,7,1.94,5,1.39,08006
8,7,418,396,94.74,14,3.35,8,1.91,08007
8,8,334,313,93.71,15,4.49,6,1.8,08008
8,9,248,238,95.97,6,2.42,4,1.61,08009
8,10,443,430,97.07,7,1.58,6,1.35,08010
8,11,347,332,95.68,8,2.31,7,2.02,08011
8,12,321,300,93.46,11,3.43,10,3.12,08012
8,13,418,402,96.17,10,2.39,6,1.44,08013
8,14,234,223,95.3,4,1.71,7,2.99,08014
8,15,331,315,95.17,8,2.42,8,2.42,08015
8,16,139,131,94.24,8,5.76,0,0.0,08016
8,17,310,299,96.45,10,3.23,1,0.32,08017
8,18,345,325,94.2,10,2.9,10,2.9,08018
8,19,416,391,93.99,15,3.61,10,2.4,08019
8,20,402,377,93.78,13,3.23,12,2.99,08020
8,21,426,404,94.84,9,2.11,13,3.05,08021
8,22,329,314,95.44,7,2.13,8,2.43,08022
8,23,301,289,96.01,5,1.66,7,2.33,08023
8,24,232,219,94.4,6,2.59,7,3.02,08024
8,25,335,323,96.42,4,1.19,8,2.39,08025
8,26,371,350,94.34,13,3.5,8,2.16,08026
8,27,386,359,93.01,19,4.92,8,2.07,08027
8,28,383,360,93.99,13,3.39,10,2.61,08028
8,29,421,395,93.82,19,4.51,7,1.66,08029
8,30,381,360,94.49,15,3.94,6,1.57,08030
8,31,339,318,93.81,12,3.54,9,2.65,08031
8,32,293,283,96.59,8,2.73,2,0.68,08032
8,33,337,316,93.77,15,4.45,6,1.78,08033
8,34,339,331,97.64,4,1.18,4,1.18,08034
8,35,377,365,96.82,5,1.33,7,1.86,08035
8,36,385,370,96.1,10,2.6,5,1.3,08036
8,37,309,288,93.2,17,5.5,4,1.29,08037
8,38,256,242,94.53,8,3.13,6,2.34,08038
8,39,380,372,97.89,6,1.58,2,0.53,08039
8,40,266,254,95.49,6,2.26,6,2.26,08040
8,41,383,359,93.73,16,4.18,8,2.09,08041
8,42,422,405,95.97,11,2.61,6,1.42,08042
8,43,197,188,95.43,9,4.57,0,0.0,08043
8,44,242,228,94.21,7,2.89,7,2.89,08044
8,45,344,329,95.64,8,2.33,7,2.03,08045
8,46,298,285,95.64,6,2.01,7,2.35,08046
8,47,299,285,95.32,10,3.34,4,1.34,08047
8,48,248,238,95.97,7,2.82,3,1.21,08048
8,49,364,354,97.25,6,1.65,4,1.1,08049
8,50,368,351,95.38,13,3.53,4,1.09,08050
8,51,475,456,96.0,12,2.53,7,1.47,08051
8,52,432,410,94.91,13,3.01,9,2.08,08052
8,53,221,211,95.48,6,2.71,4,1.81,08053
8,54,272,253,93.01,11,4.04,8,2.94,08054
8,55,223,213,95.52,6,2.69,4,1.79,08055
8,56,381,362,95.01,12,3.15,7,1.84,08056
9,1,367,352,95.91,10,2.72,5,1.36,09001
9,2,313,301,96.17,10,3.19,2,0.64,09002
9,3,307,299,97.39,6,1.95,2,0.65,09003
9,4,286,282,98.6,3,1.05,1,0.35,09004
9,5,333,321,96.4,9,2.7,3,0.9,09005
9,6,354,338,95.48,9,2.54,7,1.98,09006
9,7,238,225,94.54,9,3.78,4,1.68,09007
9,8,339,326,96.17,8,2.36,5,1.47,09008
9,9,380,366,96.32,12,3.16,2,0.53,09009
9,10,354,341,96.33,10,2.82,3,0.85,09010
9,11,266,252,94.74,8,3.01,6,2.26,09011
9,12,376,358,95.21,7,1.86,11,2.93,09012
9,13,397,385,96.98,10,2.52,2,0.5,09013
9,14,432,418,96.76,5,1.16,9,2.08,09014
9,15,348,327,93.97,16,4.6,5,1.44,09015
9,16,307,298,97.07,5,1.63,4,1.3,09016
9,17,301,289,96.01,8,2.66,4,1.33,09017
9,18,261,252,96.55,5,1.92,4,1.53,09018
9,19,333,323,97.0,5,1.5,5,1.5,09019
9,20,373,359,96.25,11,2.95,3,0.8,09020
9,21,325,303,93.23,15,4.62,7,2.15,09021
9,22,354,339,95.76,9,2.54,6,1.69,09022
9,23,363,351,96.69,8,2.2,4,1.1,09023
9,24,374,360,96.26,7,1.87,7,1.87,09024
9,25,341,327,95.89,7,2.05,7,2.05,09025
9,26,334,321,96.11,9,2.69,4,1.2,09026
9,27,325,311,95.69,9,2.77,5,1.54,09027
9,28,182,171,93.96,7,3.85,4,2.2,09028
9,29,305,283,92.79,19,6.23,3,0.98,09029
9,30,281,264,93.95,12,4.27,5,1.78,09030
9,31,263,245,93.16,12,4.56,6,2.28,09031
9,32,335,318,94.93,11,3.28,6,1.79,09032
9,33,266,251,94.36,13,4.89,2,0.75,09033
9,34,288,278,96.53,6,2.08,4,1.39,09034
9,35,347,334,96.25,10,2.88,3,0.86,09035
9,36,313,298,95.21,8,2.56,7,2.24,09036
9,37,399,324,81.2,62,15.54,13,3.26,09037
9,38,349,330,94.56,10,2.87,9,2.58,09038
9,39,352,344,97.73,4,1.14,4,1.14,09039
9,40,374,357,95.45,10,2.67,7,1.87,09040
9,41,295,278,94.24,9,3.05,8,2.71,09041
9,42,373,357,95.71,9,2.41,7,1.88,09042
9,43,411,386,93.92,17,4.14,8,1.95,09043
9,44,327,313,95.72,8,2.45,6,1.83,09044
9,45,286,276,96.5,9,3.15,1,0.35,09045
9,46,314,289,92.04,15,4.78,10,3.18,09046
9,47,383,363,94.78,12,3.13,8,2.09,09047
9,48,373,358,95.98,10,2.68,5,1.34,09048
9,49,364,349,95.88,10,2.75,5,1.37,09049
9,50,442,424,95.93,10,2.26,8,1.81,09050
9,51,329,310,94.22,15,4.56,4,1.22,09051
10,1,265,248,93.58,13,4.91,4,1.51,10001
10,2,298,181,60.74,100,33.56,17,5.7,10002
10,3,288,159,55.21,116,40.28,13,4.51,10003
10,4,206,180,87.38,14,6.8,12,5.83,10004
10,5,245,149,60.82,85,34.69,11,4.49,10005
10,6,210,161,76.67,43,20.48,6,2.86,10006
10,7,165,123,74.55,30,18.18,12,7.27,10007
10,8,226,210,92.92,9,3.98,7,3.1,10008
10,9,298,187,62.75,105,35.23,6,2.01,10009
10,10,283,206,72.79,69,24.38,8,2.83,10010
10,11,285,217,76.14,61,21.4,7,2.46,10011
10,12,175,122,69.71,47,26.86,6,3.43,10012
10,13,282,250,88.65,29,10.28,3,1.06,10013
10,14,360,264,73.33,85,23.61,11,3.06,10014
10,15,633,606,95.73,18,2.84,9,1.42,10015
10,16,209,152,72.73,47,22.49,10,4.78,10016
10,17,398,242,60.8,130,32.66,26,6.53,10017
10,18,184,164,89.13,15,8.15,5,2.72,10018
10,19,288,187,64.93,84,29.17,17,5.9,10019
10,20,287,204,71.08,71,24.74,12,4.18,10020
10,21,263,191,72.62,60,22.81,12,4.56,10021
10,22,139,113,81.29,24,17.27,2,1.44,10022
10,23,227,179,78.85,37,16.3,11,4.85,10023
10,24,327,181,55.35,132,40.37,14,4.28,10024
10,25,98,85,86.73,12,12.24,1,1.02,10025
10,26,183,141,77.05,31,16.94,11,6.01,10026
10,27,302,268,88.74,27,8.94,7,2.32,10027
10,28,246,183,74.39,49,19.92,14,5.69,10028
10,29,218,161,73.85,47,21.56,10,4.59,10029
10,30,219,167,76.26,43,19.63,9,4.11,10030
10,31,166,143,86.14,21,12.65,2,1.2,10031
10,32,245,171,69.8,64,26.12,10,4.08,10032
10,33,190,156,82.11,25,13.16,9,4.74,10033
10,34,211,189,89.57,16,7.58,6,2.84,10034
10,35,317,190,59.94,118,37.22,9,2.84,10035
10,36,80,66,82.5,11,13.75,3,3.75,10036
11,1,310,223,71.94,70,22.58,17,5.48,11001
11,2,58,38,65.52,18,31.03,2,3.45,11002
11,3,205,162,79.02,29,14.15,14,6.83,11003
11,4,255,185,72.55,54,21.18,16,6.27,11004
11,5,325,251,77.23,50,15.38,24,7.38,11005
11,6,357,235,65.83,105,29.41,17,4.76,11006
11,7,300,231,77.0,57,19.0,12,4.0,11007
11,8,270,182,67.41,71,26.3,17,6.3,11008
11,9,292,199,68.15,78,26.71,15,5.14,11009
11,10,276,204,73.91,62,22.46,10,3.62,11010
11,11,340,214,62.94,103,30.29,23,6.76,11011
11,12,484,333,68.8,130,26.86,21,4.34,11012
11,13,436,291,66.74,122,27.98,23,5.28,11013
11,14,177,107,60.45,59,33.33,11,6.21,11014
11,15,138,106,76.81,27,19.57,5,3.62,11015
11,16,228,140,61.4,75,32.89,13,5.7,11016
11,17,324,211,65.12,87,26.85,26,8.02,11017
11,18,261,201,77.01,50,19.16,10,3.83,11018
11,19,338,242,71.6,71,21.01,25,7.4,11019
11,20,233,173,74.25,53,22.75,7,3.0,11020
11,21,445,319,71.69,94,21.12,32,7.19,11021
11,22,368,247,67.12,100,27.17,21,5.71,11022
11,23,206,138,66.99,62,30.1,6,2.91,11023
11,24,422,317,75.12,93,22.04,12,2.84,11024
11,25,309,214,69.26,88,28.48,7,2.27,11025
11,26,387,270,69.77,100,25.84,17,4.39,11026
11,27,102,75,73.53,22,21.57,5,4.9,11027
11,28,165,119,72.12,38,23.03,8,4.85,11028
11,29,377,256,67.9,103,27.32,18,4.77,11029
11,30,173,117,67.63,52,30.06,4,2.31,11030
11,31,325,223,68.62,85,26.15,17,5.23,11031
11,32,155,101,65.16,49,31.61,5,3.23,11032
11,33,312,193,61.86,105,33.65,14,4.49,11033
11,34,129,91,70.54,29,22.48,9,6.98,11034
11,35,115,86,74.78,25,21.74,4,3.48,11035
11,36,145,106,73.1,29,20.0,10,6.9,11036
11,37,101,74,73.27,23,22.77,4,3.96,11037
11,38,107,78,72.9,12,11.21,17,15.89,11038
12,1,265,196,73.96,44,16.6,25,9.43,12001
12,2,213,155,72.77,50,23.47,8,3.76,12002
12,3,309,228,73.79,61,19.74,20,6.47,12003
12,4,249,181,72.69,49,19.68,19,7.63,12004
12,5,244,166,68.03,56,22.95,22,9.02,12005
12,6,225,182,80.89,33,14.67,10,4.44,12006
12,7,197,159,80.71,24,12.18,14,7.11,12007
12,8,295,233,78.98,49,16.61,13,4.41,12008
12,9,214,154,71.96,42,19.63,18,8.41,12009
12,10,210,176,83.81,25,11.9,9,4.29,12010
12,11,218,182,83.49,28,12.84,8,3.67,12011
12,12,209,161,77.03,38,18.18,10,4.78,12012
12,13,232,171,73.71,41,17.67,20,8.62,12013
12,14,160,122,76.25,35,21.88,3,1.88,12014
12,15,191,144,75.39,28,14.66,19,9.95,12015
12,16,156,121,77.56,25,16.03,10,6.41,12016
12,17,246,173,70.33,57,23.17,16,6.5,12017
12,18,205,158,77.07,33,16.1,14,6.83,12018
12,19,251,188,74.9,48,19.12,15,5.98,12019
12,20,255,203,79.61,42,16.47,10,3.92,12020
12,21,252,180,71.43,55,21.83,17,6.75,12021
12,22,171,145,84.8,12,7.02,14,8.19,12022
12,23,270,191,70.74,63,23.33,16,5.93,12023
13,1,261,175,67.05,75,28.74,11,4.21,13001
13,2,276,187,67.75,74,26.81,15,5.43,13002
13,3,176,134,76.14,37,21.02,5,2.84,13003
13,4,332,212,63.86,97,29.22,23,6.93,13004
