ward,precinct,total,Luis V. Gutierrez,Luis V. Gutierrez Percent,Hector Concepcion,Hector Concepcion Percent,precinct_id
26,41,200,169,84.5,31,15.5,26041
26,42,148,123,83.11,25,16.89,26042
26,43,108,96,88.89,12,11.11,26043
26,44,113,95,84.07,18,15.93,26044
26,45,80,66,82.5,14,17.5,26045
26,47,146,120,82.19,26,17.81,26047
26,48,187,165,88.24,22,11.76,26048
26,49,118,100,84.75,18,15.25,26049
28,19,1,0,0.0,1,100.0,28019
29,1,24,21,87.5,3,12.5,29001
29,9,399,304,76.19,95,23.81,29009
29,23,250,187,74.8,63,25.2,29023
29,30,390,327,83.85,63,16.15,29030
29,38,272,198,72.79,74,27.21,29038
29,39,144,106,73.61,38,26.39,29039
29,43,161,140,86.96,21,13.04,29043
30,1,268,199,74.25,69,25.75,30001
30,2,270,206,76.3,64,23.7,30002
30,3,214,168,78.5,46,21.5,30003
30,4,258,188,72.87,70,27.13,30004
30,5,169,148,87.57,21,12.43,30005
30,6,207,159,76.81,48,23.19,30006
30,7,260,194,74.62,66,25.38,30007
30,8,307,234,76.22,73,23.78,30008
30,9,219,157,71.69,62,28.31,30009
30,10,271,194,71.59,77,28.41,30010
30,11,219,189,86.3,30,13.7,30011
30,12,219,157,71.69,62,28.31,30012
30,13,227,166,73.13,61,26.87,30013
30,14,163,130,79.75,33,20.25,30014
30,15,65,55,84.62,10,15.38,30015
30,16,128,87,67.97,41,32.03,30016
30,17,135,107,79.26,28,20.74,30017
30,18,222,190,85.59,32,14.41,30018
30,19,203,175,86.21,28,13.79,30019
30,20,295,225,76.27,70,23.73,30020
30,22,254,199,78.35,55,21.65,30022
30,23,201,157,78.11,44,21.89,30023
30,24,224,175,78.13,49,21.88,30024
30,25,278,211,75.9,67,24.1,30025
30,26,165,125,75.76,40,24.24,30026
30,27,153,118,77.12,35,22.88,30027
30,28,270,222,82.22,48,17.78,30028
30,29,145,123,84.83,22,15.17,30029
30,30,78,65,83.33,13,16.67,30030
30,31,194,145,74.74,49,25.26,30031
30,32,190,146,76.84,44,23.16,30032
31,1,166,133,80.12,33,19.88,31001
31,2,144,132,91.67,12,8.33,31002
31,3,180,138,76.67,42,23.33,31003
31,4,231,203,87.88,28,12.12,31004
31,5,188,154,81.91,34,18.09,31005
31,6,165,142,86.06,23,13.94,31006
31,7,213,185,86.85,28,13.15,31007
31,8,115,94,81.74,21,18.26,31008
31,9,165,136,82.42,29,17.58,31009
31,10,151,117,77.48,34,22.52,31010
31,11,134,107,79.85,27,20.15,31011
31,12,158,115,72.78,43,27.22,31012
31,13,160,138,86.25,22,13.75,31013
31,14,138,111,80.43,27,19.57,31014
31,15,141,101,71.63,40,28.37,31015
31,16,198,178,89.9,20,10.1,31016
31,17,180,123,68.33,57,31.67,31017
31,18,168,134,79.76,34,20.24,31018
31,19,137,115,83.94,22,16.06,31019
31,20,148,125,84.46,23,15.54,31020
31,21,154,126,81.82,28,18.18,31021
31,22,139,112,80.58,27,19.42,31022
31,23,164,133,81.1,31,18.9,31023
31,24,185,145,78.38,40,21.62,31024
31,25,157,119,75.8,38,24.2,31025
31,26,186,156,83.87,30,16.13,31026
31,27,155,123,79.35,32,20.65,31027
31,28,117,97,82.91,20,17.09,31028
31,29,195,153,78.46,42,21.54,31029
31,30,125,89,71.2,36,28.8,31030
31,31,176,133,75.57,43,24.43,31031
31,32,144,121,84.03,23,15.97,31032
31,33,159,119,74.84,40,25.16,31033
31,34,149,111,74.5,38,25.5,31034
31,35,193,156,80.83,37,19.17,31035
31,36,188,142,75.53,46,24.47,31036
31,37,156,125,80.13,31,19.87,31037
31,38,160,135,84.38,25,15.63,31038
31,39,147,130,88.44,17,11.56,31039
31,40,173,145,83.82,28,16.18,31040
31,41,159,130,81.76,29,18.24,31041
32,1,1,1,100.0,0,0.0,32001
32,3,381,308,80.84,73,19.16,32003
32,11,316,279,88.29,37,11.71,32011
32,12,277,242,87.36,35,12.64,32012
32,14,301,258,85.71,43,14.29,32014
32,16,51,29,56.86,22,43.14,32016
32,17,314,255,81.21,59,18.79,32017
32,20,319,280,87.77,39,12.23,32020
32,22,359,304,84.68,55,15.32,32022
32,26,381,307,80.58,74,19.42,32026
32,28,349,300,85.96,49,14.04,32028
32,43,320,275,85.94,45,14.06,32043
33,1,346,295,85.26,51,14.74,33001
33,3,379,317,83.64,62,16.36,33003
33,4,379,290,76.52,89,23.48,33004
33,6,289,239,82.7,50,17.3,33006
33,7,109,97,88.99,12,11.01,33007
33,8,171,136,79.53,35,20.47,33008
33,9,381,283,74.28,98,25.72,33009
33,10,333,260,78.08,73,21.92,33010
33,11,339,266,78.47,73,21.53,33011
33,12,361,292,80.89,69,19.11,33012
33,13,300,248,82.67,52,17.33,33013
33,14,146,129,88.36,17,11.64,33014
33,15,364,312,85.71,52,14.29,33015
33,16,471,371,78.77,100,21.23,33016
33,17,342,270,78.95,72,21.05,33017
33,19,153,107,69.93,46,30.07,33019
33,20,404,340,84.16,64,15.84,33020
33,21,339,273,80.53,66,19.47,33021
33,22,354,282,79.66,72,20.34,33022
33,23,344,282,81.98,62,18.02,33023
33,25,430,357,83.02,73,16.98,33025
33,26,231,195,84.42,36,15.58,33026
33,27,283,234,82.69,49,17.31,33027
33,28,260,230,88.46,30,11.54,33028
35,1,267,219,82.02,48,17.98,35001
35,2,306,246,80.39,60,19.61,35002
35,3,250,222,88.8,28,11.2,35003
35,4,314,243,77.39,71,22.61,35004
35,5,238,195,81.93,43,18.07,35005
35,6,237,186,78.48,51,21.52,35006
35,7,272,239,87.87,33,12.13,35007
35,8,252,219,86.9,33,13.1,35008
35,9,326,288,88.34,38,11.66,35009
35,10,363,332,91.46,31,8.54,35010
35,11,264,211,79.92,53,20.08,35011
35,12,172,145,84.3,27,15.7,35012
35,13,157,129,82.17,28,17.83,35013
35,14,197,171,86.8,26,13.2,35014
35,15,266,231,86.84,35,13.16,35015
35,16,150,121,80.67,29,19.33,35016
35,17,280,234,83.57,46,16.43,35017
35,18,202,176,87.13,26,12.87,35018
35,19,152,125,82.24,27,17.76,35019
35,20,234,203,86.75,31,13.25,35020
35,21,236,195,82.63,41,17.37,35021
35,22,304,258,84.87,46,15.13,35022
35,23,315,260,82.54,55,17.46,35023
35,24,239,192,80.33,47,19.67,35024
35,25,304,248,81.58,56,18.42,35025
35,26,223,169,75.78,54,24.22,35026
35,27,241,192,79.67,49,20.33,35027
35,28,257,210,81.71,47,18.29,35028
35,29,241,211,87.55,30,12.45,35029
35,30,271,230,84.87,41,15.13,35030
35,31,294,225,76.53,69,23.47,35031
36,1,255,191,74.9,64,25.1,36001
36,2,207,176,85.02,31,14.98,36002
36,3,232,182,78.45,50,21.55,36003
36,4,217,184,84.79,33,15.21,36004
36,6,196,163,83.16,33,16.84,36006
36,8,164,148,90.24,16,9.76,36008
36,9,176,144,81.82,32,18.18,36009
36,10,274,212,77.37,62,22.63,36010
36,11,175,142,81.14,33,18.86,36011
36,12,124,107,86.29,17,13.71,36012
36,13,171,153,89.47,18,10.53,36013
36,16,71,46,64.79,25,35.21,36016
36,19,279,218,78.14,61,21.86,36019
36,20,146,114,78.08,32,21.92,36020
36,21,141,114,80.85,27,19.15,36021
36,22,164,139,84.76,25,15.24,36022
36,23,186,140,75.27,46,24.73,36023
36,24,30,16,53.33,14,46.67,36024
36,25,181,157,86.74,24,13.26,36025
36,27,228,163,71.49,65,28.51,36027
36,29,137,96,70.07,41,29.93,36029
37,26,64,60,93.75,4,6.25,37026
38,1,270,175,64.81,95,35.19,38001
38,35,169,113,66.86,56,33.14,38035
38,41,310,223,71.94,87,28.06,38041
39,6,1,0,0.0,1,100.0,39006
39,12,86,74,86.05,12,13.95,39012
39,25,4,4,100.0,0,0.0,39025
39,28,177,142,80.23,35,19.77,39028
39,31,265,208,78.49,57,21.51,39031
45,1,258,195,75.58,63,24.42,45001
45,2,239,190,79.5,49,20.5,45002
45,8,305,224,73.44,81,26.56,45008
45,9,318,230,72.33,88,27.67,45009
45,10,334,242,72.46,92,27.54,45010
