ward,precinct,total,Robin Kelly,Robin Kelly Percent,Eric M. Wallace,Eric M. Wallace Percent,precinct_id
9,16,301,297,98.67,4,1.33,09016
9,17,289,284,98.27,5,1.73,09017
9,18,254,253,99.61,1,0.39,09018
9,19,330,327,99.09,3,0.91,09019
9,20,366,363,99.18,3,0.82,09020
9,21,326,312,95.71,14,4.29,09021
9,22,355,351,98.87,4,1.13,09022
9,26,327,322,98.47,5,1.53,09026
9,27,318,311,97.8,7,2.2,09027
9,28,181,177,97.79,4,2.21,09028
9,29,295,291,98.64,4,1.36,09029
9,30,268,260,97.01,8,2.99,09030
9,31,258,253,98.06,5,1.94,09031
9,32,329,324,98.48,5,1.52,09032
9,33,273,267,97.8,6,2.2,09033
9,34,293,282,96.25,11,3.75,09034
9,35,339,333,98.23,6,1.77,09035
9,37,404,356,88.12,48,11.88,09037
9,38,352,343,97.44,9,2.56,09038
9,39,347,343,98.85,4,1.15,09039
9,40,371,368,99.19,3,0.81,09040
9,41,289,282,97.58,7,2.42,09041
9,43,413,405,98.06,8,1.94,09043
9,44,316,310,98.1,6,1.9,09044
9,45,282,277,98.23,5,1.77,09045
9,46,318,304,95.6,14,4.4,09046
10,1,264,253,95.83,11,4.17,10001
10,2,291,189,64.95,102,35.05,10002
10,3,282,188,66.67,94,33.33,10003
10,4,207,190,91.79,17,8.21,10004
10,5,243,161,66.26,82,33.74,10005
10,6,201,159,79.1,42,20.9,10006
10,7,168,144,85.71,24,14.29,10007
10,8,228,225,98.68,3,1.32,10008
10,9,293,195,66.55,98,33.45,10009
10,10,278,208,74.82,70,25.18,10010
10,11,286,222,77.62,64,22.38,10011
10,12,170,126,74.12,44,25.88,10012
10,13,278,255,91.73,23,8.27,10013
10,14,349,268,76.79,81,23.21,10014
10,15,630,622,98.73,8,1.27,10015
10,16,198,157,79.29,41,20.71,10016
10,17,393,264,67.18,129,32.82,10017
10,18,183,167,91.26,16,8.74,10018
10,19,285,201,70.53,84,29.47,10019
10,20,285,221,77.54,64,22.46,10020
10,21,255,198,77.65,57,22.35,10021
10,22,131,111,84.73,20,15.27,10022
10,23,218,184,84.4,34,15.6,10023
10,24,322,198,61.49,124,38.51,10024
10,25,98,89,90.82,9,9.18,10025
10,26,180,149,82.78,31,17.22,10026
10,27,297,275,92.59,22,7.41,10027
10,28,247,205,83.0,42,17.0,10028
10,29,220,172,78.18,48,21.82,10029
10,30,212,175,82.55,37,17.45,10030
10,31,165,144,87.27,21,12.73,10031
10,32,239,188,78.66,51,21.34,10032
10,33,187,163,87.17,24,12.83,10033
10,34,213,197,92.49,16,7.51,10034
10,35,309,201,65.05,108,34.95,10035
10,36,80,74,92.5,6,7.5,10036
34,2,55,54,98.18,1,1.82,34002
34,4,310,302,97.42,8,2.58,34004
34,18,327,322,98.47,5,1.53,34018
34,22,256,250,97.66,6,2.34,34022
34,23,289,283,97.92,6,2.08,34023
34,24,334,327,97.9,7,2.1,34024
34,27,311,309,99.36,2,0.64,34027
34,28,244,242,99.18,2,0.82,34028
34,30,228,227,99.56,1,0.44,34030
34,36,335,329,98.21,6,1.79,34036
34,37,224,214,95.54,10,4.46,34037
34,38,232,227,97.84,5,2.16,34038
34,39,281,274,97.51,7,2.49,34039
34,41,149,147,98.66,2,1.34,34041
34,42,0,0,0.0,0,0.0,34042
34,53,271,267,98.52,4,1.48,34053
