ward,precinct,total,Pat Quinn & Paul Vallas,Pat Quinn & Paul Vallas Percent,Bruce Rauner & Evelyn Sanguinetti,Bruce Rauner & Evelyn Sanguinetti Percent,Chad Grimm & Alexander Cummings,Chad Grimm & Alexander Cummings Percent,precinct_id
4,8,496,475,95.77,11,2.22,10,2.02,04008
4,9,556,531,95.5,18,3.24,7,1.26,04009
4,10,477,446,93.5,26,5.45,5,1.05,04010
4,11,460,439,95.43,18,3.91,3,0.65,04011
4,12,437,409,93.59,16,3.66,12,2.75,04012
4,13,273,190,69.6,77,28.21,6,2.2,04013
4,14,416,394,94.71,13,3.13,9,2.16,04014
4,15,503,475,94.43,21,4.17,7,1.39,04015
4,16,386,246,63.73,133,34.46,7,1.81,04016
4,17,428,317,74.07,99,23.13,12,2.8,04017
4,18,437,415,94.97,12,2.75,10,2.29,04018
4,19,441,426,96.6,10,2.27,5,1.13,04019
4,20,423,300,70.92,107,25.3,16,3.78,04020
4,21,408,299,73.28,93,22.79,16,3.92,04021
4,22,442,387,87.56,51,11.54,4,0.9,04022
4,23,523,481,91.97,35,6.69,7,1.34,04023
4,24,398,344,86.43,49,12.31,5,1.26,04024
4,25,423,273,64.54,145,34.28,5,1.18,04025
4,26,449,422,93.99,21,4.68,6,1.34,04026
4,27,408,366,89.71,34,8.33,8,1.96,04027
4,28,376,344,91.49,26,6.91,6,1.6,04028
4,29,386,368,95.34,11,2.85,7,1.81,04029
4,30,572,548,95.8,17,2.97,7,1.22,04030
4,31,480,440,91.67,31,6.46,9,1.88,04031
4,32,420,385,91.67,24,5.71,11,2.62,04032
4,33,473,428,90.49,38,8.03,7,1.48,04033
4,34,382,359,93.98,18,4.71,5,1.31,04034
4,35,546,509,93.22,29,5.31,8,1.47,04035
4,36,465,438,94.19,22,4.73,5,1.08,04036
4,37,411,280,68.13,120,29.2,11,2.68,04037
4,38,504,474,94.05,25,4.96,5,0.99,04038
5,1,352,333,94.6,13,3.69,6,1.7,05001
5,2,363,348,95.87,12,3.31,3,0.83,05002
5,3,385,347,90.13,33,8.57,5,1.3,05003
5,4,411,387,94.16,21,5.11,3,0.73,05004
5,5,420,400,95.24,14,3.33,6,1.43,05005
5,6,358,342,95.53,13,3.63,3,0.84,05006
5,7,373,338,90.62,30,8.04,5,1.34,05007
5,8,436,374,85.78,54,12.39,8,1.83,05008
5,9,437,390,89.24,33,7.55,14,3.2,05009
5,10,337,326,96.74,7,2.08,4,1.19,05010
5,11,426,379,88.97,40,9.39,7,1.64,05011
5,12,337,317,94.07,14,4.15,6,1.78,05012
5,13,295,282,95.59,8,2.71,5,1.69,05013
5,14,357,339,94.96,13,3.64,5,1.4,05014
5,15,371,334,90.03,29,7.82,8,2.16,05015
5,16,402,379,94.28,17,4.23,6,1.49,05016
5,17,362,347,95.86,10,2.76,5,1.38,05017
5,18,339,305,89.97,27,7.96,7,2.06,05018
5,19,405,345,85.19,57,14.07,3,0.74,05019
5,20,453,424,93.6,26,5.74,3,0.66,05020
5,21,363,327,90.08,30,8.26,6,1.65,05021
5,22,464,393,84.7,66,14.22,5,1.08,05022
5,23,603,518,85.9,76,12.6,9,1.49,05023
5,24,389,352,90.49,30,7.71,7,1.8,05024
5,25,394,370,93.91,18,4.57,6,1.52,05025
5,26,370,349,94.32,15,4.05,6,1.62,05026
5,27,325,251,77.23,69,21.23,5,1.54,05027
5,28,453,425,93.82,20,4.42,8,1.77,05028
5,29,531,505,95.1,21,3.95,5,0.94,05029
5,30,315,291,92.38,17,5.4,7,2.22,05030
5,31,339,323,95.28,11,3.24,5,1.47,05031
5,32,413,383,92.74,26,6.3,4,0.97,05032
5,33,453,439,96.91,9,1.99,5,1.1,05033
5,34,456,362,79.39,89,19.52,5,1.1,05034
5,35,374,330,88.24,43,11.5,1,0.27,05035
5,36,362,337,93.09,15,4.14,10,2.76,05036
5,37,446,396,88.79,43,9.64,7,1.57,05037
5,38,379,356,93.93,15,3.96,8,2.11,05038
5,39,370,315,85.14,50,13.51,5,1.35,05039
5,40,369,355,96.21,9,2.44,5,1.36,05040
5,41,253,226,89.33,25,9.88,2,0.79,05041
6,1,407,386,94.84,20,4.91,1,0.25,06001
6,2,381,360,94.49,16,4.2,5,1.31,06002
6,3,401,383,95.51,15,3.74,3,0.75,06003
6,4,308,296,96.1,9,2.92,3,0.97,06004
6,5,307,302,98.37,2,0.65,3,0.98,06005
6,6,393,368,93.64,20,5.09,5,1.27,06006
6,7,343,330,96.21,9,2.62,4,1.17,06007
6,8,382,369,96.6,9,2.36,4,1.05,06008
6,9,349,333,95.42,11,3.15,5,1.43,06009
6,10,260,254,97.69,5,1.92,1,0.38,06010
6,11,365,346,94.79,11,3.01,8,2.19,06011
6,12,263,253,96.2,8,3.04,2,0.76,06012
6,13,298,277,92.95,15,5.03,6,2.01,06013
6,14,357,342,95.8,8,2.24,7,1.96,06014
6,15,360,339,94.17,14,3.89,7,1.94,06015
6,16,398,378,94.97,15,3.77,5,1.26,06016
6,17,291,276,94.85,10,3.44,5,1.72,06017
6,18,279,259,92.83,10,3.58,10,3.58,06018
6,19,354,333,94.07,8,2.26,13,3.67,06019
6,20,225,213,94.67,9,4.0,3,1.33,06020
6,21,266,261,98.12,3,1.13,2,0.75,06021
6,22,257,246,95.72,6,2.33,5,1.95,06022
6,23,261,244,93.49,13,4.98,4,1.53,06023
6,24,228,221,96.93,3,1.32,4,1.75,06024
6,25,237,225,94.94,9,3.8,3,1.27,06025
6,26,298,286,95.97,8,2.68,4,1.34,06026
6,27,220,212,96.36,4,1.82,4,1.82,06027
6,28,212,202,95.28,7,3.3,3,1.42,06028
6,29,403,385,95.53,12,2.98,6,1.49,06029
6,30,329,316,96.05,9,2.74,4,1.22,06030
6,31,361,335,92.8,19,5.26,7,1.94,06031
6,32,343,332,96.79,7,2.04,4,1.17,06032
6,33,375,351,93.6,16,4.27,8,2.13,06033
6,34,367,344,93.73,16,4.36,7,1.91,06034
6,35,345,325,94.2,15,4.35,5,1.45,06035
6,36,407,398,97.79,7,1.72,2,0.49,06036
6,37,405,374,92.35,18,4.44,13,3.21,06037
6,38,369,357,96.75,9,2.44,3,0.81,06038
6,39,357,347,97.2,4,1.12,6,1.68,06039
6,40,311,295,94.86,10,3.22,6,1.93,06040
6,41,382,364,95.29,17,4.45,1,0.26,06041
6,42,390,366,93.85,21,5.38,3,0.77,06042
6,43,332,315,94.88,13,3.92,4,1.2,06043
6,44,409,366,89.49,41,10.02,2,0.49,06044
6,45,378,351,92.86,22,5.82,5,1.32,06045
6,46,285,268,94.04,15,5.26,2,0.7,06046
6,47,297,282,94.95,8,2.69,7,2.36,06047
6,48,365,349,95.62,11,3.01,5,1.37,06048
7,1,332,310,93.37,16,4.82,6,1.81,07001
7,2,336,327,97.32,8,2.38,1,0.3,07002
7,3,344,325,94.48,12,3.49,7,2.03,07003
7,4,326,309,94.79,11,3.37,6,1.84,07004
7,5,312,288,92.31,18,5.77,6,1.92,07005
7,6,418,382,91.39,23,5.5,13,3.11,07006
7,7,371,350,94.34,14,3.77,7,1.89,07007
7,8,297,271,91.25,19,6.4,7,2.36,07008
7,9,582,549,94.33,25,4.3,8,1.37,07009
7,10,347,336,96.83,11,3.17,0,0.0,07010
7,11,364,351,96.43,6,1.65,7,1.92,07011
7,12,344,327,95.06,12,3.49,5,1.45,07012
7,13,257,241,93.77,14,5.45,2,0.78,07013
7,14,343,324,94.46,11,3.21,8,2.33,07014
7,15,375,357,95.2,11,2.93,7,1.87,07015
7,16,259,252,97.3,5,1.93,2,0.77,07016
7,17,303,285,94.06,18,5.94,0,0.0,07017
7,18,309,284,91.91,20,6.47,5,1.62,07018
7,19,330,316,95.76,9,2.73,5,1.52,07019
7,20,260,256,98.46,2,0.77,2,0.77,07020
7,21,301,283,94.02,12,3.99,6,1.99,07021
7,22,266,245,92.11,13,4.89,8,3.01,07022
7,23,362,348,96.13,10,2.76,4,1.1,07023
7,24,337,323,95.85,5,1.48,9,2.67,07024
7,25,302,278,92.05,15,4.97,9,2.98,07025
7,26,283,267,94.35,11,3.89,5,1.77,07026
7,27,308,294,95.45,10,3.25,4,1.3,07027
7,28,238,227,95.38,7,2.94,4,1.68,07028
7,29,294,271,92.18,16,5.44,7,2.38,07029
7,30,273,250,91.58,15,5.49,8,2.93,07030
7,31,214,197,92.06,14,6.54,3,1.4,07031
7,32,478,443,92.68,28,5.86,7,1.46,07032
7,33,441,417,94.56,17,3.85,7,1.59,07033
7,34,423,400,94.56,12,2.84,11,2.6,07034
7,35,349,327,93.7,15,4.3,7,2.01,07035
7,36,407,394,96.81,9,2.21,4,0.98,07036
7,37,390,366,93.85,16,4.1,8,2.05,07037
7,38,293,283,96.59,9,3.07,1,0.34,07038
7,39,328,313,95.43,10,3.05,5,1.52,07039
7,40,344,324,94.19,17,4.94,3,0.87,07040
7,41,331,318,96.07,5,1.51,8,2.42,07041
7,42,316,309,97.78,5,1.58,2,0.63,07042
7,43,332,316,95.18,10,3.01,6,1.81,07043
7,44,325,311,95.69,8,2.46,6,1.85,07044
7,45,359,344,95.82,9,2.51,6,1.67,07045
7,46,122,116,95.08,4,3.28,2,1.64,07046
8,1,302,293,97.02,5,1.66,4,1.32,08001
8,2,351,323,92.02,17,4.84,11,3.13,08002
8,3,429,415,96.74,9,2.1,5,1.17,08003
8,4,400,389,97.25,11,2.75,0,0.0,08004
8,5,434,406,93.55,22,5.07,6,1.38,08005
8,6,363,353,97.25,8,2.2,2,0.55,08006
8,7,422,411,97.39,9,2.13,2,0.47,08007
8,8,344,329,95.64,12,3.49,3,0.87,08008
8,9,247,238,96.36,7,2.83,2,0.81,08009
8,10,453,437,96.47,10,2.21,6,1.32,08010
8,11,353,337,95.47,8,2.27,8,2.27,08011
8,12,336,322,95.83,9,2.68,5,1.49,08012
8,13,441,423,95.92,15,3.4,3,0.68,08013
8,14,241,225,93.36,10,4.15,6,2.49,08014
8,15,341,324,95.01,9,2.64,8,2.35,08015
8,16,140,132,94.29,7,5.0,1,0.71,08016
8,17,313,305,97.44,7,2.24,1,0.32,08017
8,18,361,337,93.35,21,5.82,3,0.83,08018
8,19,432,413,95.6,13,3.01,6,1.39,08019
8,20,418,402,96.17,11,2.63,5,1.2,08020
8,21,441,421,95.46,10,2.27,10,2.27,08021
8,22,334,321,96.11,8,2.4,5,1.5,08022
8,23,311,295,94.86,10,3.22,6,1.93,08023
8,24,240,230,95.83,6,2.5,4,1.67,08024
8,25,342,324,94.74,13,3.8,5,1.46,08025
8,26,375,356,94.93,15,4.0,4,1.07,08026
8,27,392,367,93.62,21,5.36,4,1.02,08027
8,28,388,367,94.59,12,3.09,9,2.32,08028
8,29,430,406,94.42,19,4.42,5,1.16,08029
8,30,393,377,95.93,10,2.54,6,1.53,08030
8,31,347,329,94.81,15,4.32,3,0.86,08031
8,32,306,292,95.42,10,3.27,4,1.31,08032
8,33,347,328,94.52,13,3.75,6,1.73,08033
8,34,345,334,96.81,5,1.45,6,1.74,08034
8,35,388,374,96.39,7,1.8,7,1.8,08035
8,36,394,378,95.94,11,2.79,5,1.27,08036
8,37,313,292,93.29,16,5.11,5,1.6,08037
8,38,262,254,96.95,6,2.29,2,0.76,08038
8,39,384,373,97.14,9,2.34,2,0.52,08039
8,40,271,261,96.31,4,1.48,6,2.21,08040
8,41,390,373,95.64,16,4.1,1,0.26,08041
8,42,443,433,97.74,7,1.58,3,0.68,08042
8,43,204,192,94.12,8,3.92,4,1.96,08043
8,44,246,238,96.75,6,2.44,2,0.81,08044
8,45,348,340,97.7,6,1.72,2,0.57,08045
8,46,302,282,93.38,13,4.3,7,2.32,08046
8,47,309,293,94.82,12,3.88,4,1.29,08047
8,48,255,243,95.29,8,3.14,4,1.57,08048
8,49,372,358,96.24,10,2.69,4,1.08,08049
8,50,388,373,96.13,12,3.09,3,0.77,08050
8,51,485,456,94.02,22,4.54,7,1.44,08051
8,52,434,416,95.85,13,3.0,5,1.15,08052
8,53,222,210,94.59,8,3.6,4,1.8,08053
8,54,273,257,94.14,12,4.4,4,1.47,08054
8,55,225,215,95.56,6,2.67,4,1.78,08055
8,56,395,373,94.43,19,4.81,3,0.76,08056
9,1,378,363,96.03,11,2.91,4,1.06,09001
9,2,322,308,95.65,7,2.17,7,2.17,09002
9,3,326,323,99.08,2,0.61,1,0.31,09003
9,4,298,289,96.98,8,2.68,1,0.34,09004
9,5,338,333,98.52,4,1.18,1,0.3,09005
9,6,364,351,96.43,9,2.47,4,1.1,09006
9,7,252,241,95.63,7,2.78,4,1.59,09007
9,8,349,338,96.85,4,1.15,7,2.01,09008
9,9,387,368,95.09,15,3.88,4,1.03,09009
9,10,357,340,95.24,9,2.52,8,2.24,09010
9,11,271,252,92.99,10,3.69,9,3.32,09011
9,12,384,365,95.05,11,2.86,8,2.08,09012
9,13,401,387,96.51,12,2.99,2,0.5,09013
9,14,442,418,94.57,18,4.07,6,1.36,09014
9,15,360,348,96.67,10,2.78,2,0.56,09015
9,16,314,297,94.59,13,4.14,4,1.27,09016
9,17,303,296,97.69,5,1.65,2,0.66,09017
9,18,273,262,95.97,10,3.66,1,0.37,09018
9,19,342,327,95.61,10,2.92,5,1.46,09019
9,20,381,371,97.38,6,1.57,4,1.05,09020
9,21,335,315,94.03,18,5.37,2,0.6,09021
9,22,364,347,95.33,10,2.75,7,1.92,09022
9,23,373,358,95.98,9,2.41,6,1.61,09023
9,24,379,360,94.99,16,4.22,3,0.79,09024
9,25,341,331,97.07,5,1.47,5,1.47,09025
9,26,345,334,96.81,7,2.03,4,1.16,09026
9,27,336,326,97.02,10,2.98,0,0.0,09027
9,28,185,178,96.22,3,1.62,4,2.16,09028
9,29,319,305,95.61,9,2.82,5,1.57,09029
9,30,294,279,94.9,14,4.76,1,0.34,09030
9,31,269,257,95.54,10,3.72,2,0.74,09031
9,32,342,331,96.78,6,1.75,5,1.46,09032
9,33,283,270,95.41,11,3.89,2,0.71,09033
9,34,301,283,94.02,13,4.32,5,1.66,09034
9,35,354,345,97.46,5,1.41,4,1.13,09035
9,36,324,314,96.91,6,1.85,4,1.23,09036
9,37,408,332,81.37,61,14.95,15,3.68,09037
9,38,354,335,94.63,14,3.95,5,1.41,09038
9,39,356,341,95.79,8,2.25,7,1.97,09039
9,40,386,367,95.08,10,2.59,9,2.33,09040
9,41,301,286,95.02,13,4.32,2,0.66,09041
9,42,383,371,96.87,9,2.35,3,0.78,09042
9,43,429,413,96.27,9,2.1,7,1.63,09043
9,44,332,314,94.58,11,3.31,7,2.11,09044
9,45,290,280,96.55,6,2.07,4,1.38,09045
9,46,326,303,92.94,16,4.91,7,2.15,09046
9,47,400,384,96.0,12,3.0,4,1.0,09047
9,48,386,369,95.6,13,3.37,4,1.04,09048
9,49,371,363,97.84,6,1.62,2,0.54,09049
9,50,450,436,96.89,13,2.89,1,0.22,09050
9,51,339,328,96.76,8,2.36,3,0.88,09051
10,1,275,262,95.27,12,4.36,1,0.36,10001
10,2,305,184,60.33,116,38.03,5,1.64,10002
10,3,298,178,59.73,111,37.25,9,3.02,10003
10,4,218,190,87.16,19,8.72,9,4.13,10004
10,5,257,155,60.31,96,37.35,6,2.33,10005
10,6,219,164,74.89,52,23.74,3,1.37,10006
10,7,170,132,77.65,34,20.0,4,2.35,10007
10,8,236,226,95.76,7,2.97,3,1.27,10008
10,9,315,196,62.22,113,35.87,6,1.9,10009
10,10,296,212,71.62,75,25.34,9,3.04,10010
10,11,298,222,74.5,72,24.16,4,1.34,10011
10,12,183,129,70.49,51,27.87,3,1.64,10012
10,13,290,256,88.28,27,9.31,7,2.41,10013
10,14,372,266,71.51,102,27.42,4,1.08,10014
10,15,648,620,95.68,19,2.93,9,1.39,10015
10,16,215,147,68.37,59,27.44,9,4.19,10016
10,17,418,263,62.92,141,33.73,14,3.35,10017
10,18,191,173,90.58,15,7.85,3,1.57,10018
10,19,304,189,62.17,105,34.54,10,3.29,10019
10,20,300,220,73.33,72,24.0,8,2.67,10020
10,21,276,201,72.83,69,25.0,6,2.17,10021
10,22,139,117,84.17,19,13.67,3,2.16,10022
10,23,231,191,82.68,34,14.72,6,2.6,10023
10,24,340,173,50.88,160,47.06,7,2.06,10024
10,25,99,88,88.89,11,11.11,0,0.0,10025
10,26,195,160,82.05,31,15.9,4,2.05,10026
10,27,312,286,91.67,24,7.69,2,0.64,10027
10,28,263,201,76.43,52,19.77,10,3.8,10028
10,29,230,165,71.74,57,24.78,8,3.48,10029
10,30,227,165,72.69,56,24.67,6,2.64,10030
10,31,174,154,88.51,18,10.34,2,1.15,10031
10,32,253,184,72.73,65,25.69,4,1.58,10032
10,33,196,161,82.14,24,12.24,11,5.61,10033
10,34,224,195,87.05,27,12.05,2,0.89,10034
10,35,333,195,58.56,131,39.34,7,2.1,10035
10,36,85,73,85.88,9,10.59,3,3.53,10036
11,1,326,214,65.64,96,29.45,16,4.91,11001
11,2,61,44,72.13,14,22.95,3,4.92,11002
11,3,216,179,82.87,30,13.89,7,3.24,11003
11,4,278,215,77.34,54,19.42,9,3.24,11004
11,5,338,268,79.29,61,18.05,9,2.66,11005
11,6,370,240,64.86,122,32.97,8,2.16,11006
11,7,308,249,80.84,55,17.86,4,1.3,11007
11,8,281,195,69.4,77,27.4,9,3.2,11008
11,9,299,197,65.89,92,30.77,10,3.34,11009
11,10,291,218,74.91,69,23.71,4,1.37,11010
11,11,344,200,58.14,131,38.08,13,3.78,11011
11,12,513,348,67.84,157,30.6,8,1.56,11012
11,13,454,304,66.96,139,30.62,11,2.42,11013
11,14,195,124,63.59,69,35.38,2,1.03,11014
11,15,148,115,77.7,26,17.57,7,4.73,11015
11,16,252,162,64.29,79,31.35,11,4.37,11016
11,17,332,224,67.47,99,29.82,9,2.71,11017
11,18,276,208,75.36,62,22.46,6,2.17,11018
11,19,358,262,73.18,76,21.23,20,5.59,11019
11,20,241,167,69.29,68,28.22,6,2.49,11020
11,21,461,313,67.9,132,28.63,16,3.47,11021
11,22,389,263,67.61,118,30.33,8,2.06,11022
11,23,223,147,65.92,71,31.84,5,2.24,11023
11,24,434,308,70.97,111,25.58,15,3.46,11024
11,25,316,215,68.04,93,29.43,8,2.53,11025
11,26,403,275,68.24,120,29.78,8,1.99,11026
11,27,115,85,73.91,28,24.35,2,1.74,11027
11,28,168,125,74.4,41,24.4,2,1.19,11028
11,29,403,253,62.78,136,33.75,14,3.47,11029
11,30,180,122,67.78,58,32.22,0,0.0,11030
11,31,333,221,66.37,104,31.23,8,2.4,11031
11,32,161,99,61.49,59,36.65,3,1.86,11032
11,33,323,193,59.75,125,38.7,5,1.55,11033
11,34,144,106,73.61,35,24.31,3,2.08,11034
11,35,129,93,72.09,33,25.58,3,2.33,11035
11,36,149,113,75.84,33,22.15,3,2.01,11036
11,37,106,75,70.75,30,28.3,1,0.94,11037
11,38,115,94,81.74,15,13.04,6,5.22,11038
12,1,273,197,72.16,57,20.88,19,6.96,12001
12,2,221,164,74.21,55,24.89,2,0.9,12002
12,3,322,239,74.22,72,22.36,11,3.42,12003
12,4,261,195,74.71,58,22.22,8,3.07,12004
12,5,260,178,68.46,65,25.0,17,6.54,12005
12,6,237,186,78.48,42,17.72,9,3.8,12006
12,7,212,174,82.08,29,13.68,9,4.25,12007
12,8,309,237,76.7,65,21.04,7,2.27,12008
12,9,221,170,76.92,39,17.65,12,5.43,12009
12,10,226,201,88.94,22,9.73,3,1.33,12010
12,11,228,182,79.82,41,17.98,5,2.19,12011
12,12,227,171,75.33,51,22.47,5,2.2,12012
12,13,242,182,75.21,49,20.25,11,4.55,12013
12,14,166,140,84.34,23,13.86,3,1.81,12014
12,15,208,172,82.69,31,14.9,5,2.4,12015
12,16,184,147,79.89,33,17.93,4,2.17,12016
12,17,253,199,78.66,46,18.18,8,3.16,12017
12,18,213,176,82.63,33,15.49,4,1.88,12018
12,19,261,195,74.71,55,21.07,11,4.21,12019
12,20,263,212,80.61,49,18.63,2,0.76,12020
12,21,266,204,76.69,53,19.92,9,3.38,12021
12,22,174,160,91.95,10,5.75,4,2.3,12022
12,23,277,209,75.45,60,21.66,8,2.89,12023
