ward,precinct,total,John Fritchey,John Fritchey Percent,precinct_id
42,5,178,178,100.0,42005
42,14,123,123,100.0,42014
42,15,164,164,100.0,42015
42,17,14,14,100.0,42017
42,19,173,173,100.0,42019
42,20,195,195,100.0,42020
42,22,129,129,100.0,42022
42,23,247,247,100.0,42023
42,25,4,4,100.0,42025
42,27,205,205,100.0,42027
42,32,187,187,100.0,42032
42,37,161,161,100.0,42037
42,38,218,218,100.0,42038
42,39,207,207,100.0,42039
43,2,225,225,100.0,43002
43,5,221,221,100.0,43005
43,6,170,170,100.0,43006
43,7,82,82,100.0,43007
43,10,296,296,100.0,43010
43,11,194,194,100.0,43011
43,16,238,238,100.0,43016
43,18,295,295,100.0,43018
43,23,177,177,100.0,43023
43,30,265,265,100.0,43030
43,31,287,287,100.0,43031
43,39,179,179,100.0,43039
43,41,339,339,100.0,43041
43,46,130,130,100.0,43046
45,3,2,2,100.0,45003
45,4,310,310,100.0,45004
45,5,287,287,100.0,45005
45,6,302,302,100.0,45006
45,7,360,360,100.0,45007
45,8,268,268,100.0,45008
45,9,248,248,100.0,45009
45,10,255,255,100.0,45010
45,11,177,177,100.0,45011
45,12,227,227,100.0,45012
45,13,206,206,100.0,45013
45,14,289,289,100.0,45014
45,15,328,328,100.0,45015
45,16,218,218,100.0,45016
45,17,263,263,100.0,45017
45,18,202,202,100.0,45018
45,19,113,113,100.0,45019
45,20,150,150,100.0,45020
45,21,212,212,100.0,45021
45,22,222,222,100.0,45022
45,23,226,226,100.0,45023
45,24,198,198,100.0,45024
45,25,150,150,100.0,45025
45,26,80,80,100.0,45026
45,27,107,107,100.0,45027
45,28,187,187,100.0,45028
45,29,149,149,100.0,45029
45,30,199,199,100.0,45030
45,31,190,190,100.0,45031
45,32,178,178,100.0,45032
45,33,161,161,100.0,45033
45,34,253,253,100.0,45034
47,1,177,177,100.0,47001
47,2,332,332,100.0,47002
47,3,346,346,100.0,47003
47,4,326,326,100.0,47004
47,5,75,75,100.0,47005
47,6,283,283,100.0,47006
47,7,265,265,100.0,47007
47,8,316,316,100.0,47008
47,9,224,224,100.0,47009
47,10,56,56,100.0,47010
47,11,259,259,100.0,47011
47,12,320,320,100.0,47012
47,13,292,292,100.0,47013
47,14,243,243,100.0,47014
47,16,305,305,100.0,47016
47,17,261,261,100.0,47017
47,21,246,246,100.0,47021
47,25,271,271,100.0,47025
47,27,259,259,100.0,47027
47,28,213,213,100.0,47028
47,29,324,324,100.0,47029
47,33,191,191,100.0,47033
47,35,265,265,100.0,47035
47,37,306,306,100.0,47037
47,39,315,315,100.0,47039
47,40,314,314,100.0,47040
47,42,208,208,100.0,47042
47,43,273,273,100.0,47043
47,46,285,285,100.0,47046
47,47,293,293,100.0,47047
47,48,42,42,100.0,47048
