ward,precinct,total,Bobby L. Rush,Bobby L. Rush Percent,Jimmy Lee Tillman,Jimmy Lee Tillman Percent,precinct_id
5,34,421,354,84.09,67,15.91,05034
5,35,300,254,84.67,46,15.33,05035
5,39,351,302,86.04,49,13.96,05039
6,1,402,391,97.26,11,2.74,06001
6,2,379,366,96.57,13,3.43,06002
6,3,394,390,98.98,4,1.02,06003
6,4,300,294,98.0,6,2.0,06004
6,5,304,300,98.68,4,1.32,06005
6,6,388,368,94.85,20,5.15,06006
6,7,342,335,97.95,7,2.05,06007
6,8,374,368,98.4,6,1.6,06008
6,9,346,335,96.82,11,3.18,06009
6,10,255,250,98.04,5,1.96,06010
6,11,360,350,97.22,10,2.78,06011
6,12,265,260,98.11,5,1.89,06012
6,13,298,287,96.31,11,3.69,06013
6,14,358,344,96.09,14,3.91,06014
6,15,355,347,97.75,8,2.25,06015
6,16,394,387,98.22,7,1.78,06016
6,17,292,282,96.58,10,3.42,06017
6,18,276,262,94.93,14,5.07,06018
6,19,349,341,97.71,8,2.29,06019
6,20,216,211,97.69,5,2.31,06020
6,21,1,1,100.0,0,0.0,06021
6,22,253,247,97.63,6,2.37,06022
6,23,256,251,98.05,5,1.95,06023
6,24,222,218,98.2,4,1.8,06024
6,25,234,225,96.15,9,3.85,06025
6,26,296,289,97.64,7,2.36,06026
6,27,217,213,98.16,4,1.84,06027
6,28,207,204,98.55,3,1.45,06028
6,29,397,383,96.47,14,3.53,06029
6,30,328,319,97.26,9,2.74,06030
6,31,353,338,95.75,15,4.25,06031
6,32,341,336,98.53,5,1.47,06032
6,33,376,359,95.48,17,4.52,06033
6,34,355,346,97.46,9,2.54,06034
6,35,338,323,95.56,15,4.44,06035
6,36,401,396,98.75,5,1.25,06036
6,37,400,385,96.25,15,3.75,06037
6,38,360,354,98.33,6,1.67,06038
6,39,353,345,97.73,8,2.27,06039
6,40,308,301,97.73,7,2.27,06040
6,41,377,365,96.82,12,3.18,06041
6,42,386,375,97.15,11,2.85,06042
6,43,324,309,95.37,15,4.63,06043
6,44,402,366,91.04,36,8.96,06044
6,45,378,359,94.97,19,5.03,06045
6,46,277,265,95.67,12,4.33,06046
6,47,296,289,97.64,7,2.36,06047
6,48,359,355,98.89,4,1.11,06048
7,1,199,196,98.49,3,1.51,07001
8,1,300,295,98.33,5,1.67,08001
8,2,350,341,97.43,9,2.57,08002
8,3,421,414,98.34,7,1.66,08003
8,4,134,132,98.51,2,1.49,08004
8,5,409,394,96.33,15,3.67,08005
8,6,360,353,98.06,7,1.94,08006
8,8,345,337,97.68,8,2.32,08008
8,10,443,436,98.42,7,1.58,08010
8,11,352,344,97.73,8,2.27,08011
8,12,325,317,97.54,8,2.46,08012
8,13,431,419,97.22,12,2.78,08013
8,14,241,236,97.93,5,2.07,08014
8,15,334,325,97.31,9,2.69,08015
8,16,137,134,97.81,3,2.19,08016
8,18,351,339,96.58,12,3.42,08018
8,19,422,412,97.63,10,2.37,08019
8,20,411,401,97.57,10,2.43,08020
8,21,437,427,97.71,10,2.29,08021
8,22,332,325,97.89,7,2.11,08022
8,23,308,303,98.38,5,1.62,08023
8,24,233,224,96.14,9,3.86,08024
8,25,340,332,97.65,8,2.35,08025
8,26,371,360,97.04,11,2.96,08026
8,27,83,79,95.18,4,4.82,08027
8,29,419,405,96.66,14,3.34,08029
8,30,385,375,97.4,10,2.6,08030
8,31,342,329,96.2,13,3.8,08031
8,33,343,332,96.79,11,3.21,08033
8,34,340,330,97.06,10,2.94,08034
8,35,384,374,97.4,10,2.6,08035
8,37,309,297,96.12,12,3.88,08037
8,38,261,255,97.7,6,2.3,08038
8,40,273,267,97.8,6,2.2,08040
8,41,388,378,97.42,10,2.58,08041
8,43,202,197,97.52,5,2.48,08043
8,44,246,241,97.97,5,2.03,08044
8,45,339,332,97.94,7,2.06,08045
8,47,306,300,98.04,6,1.96,08047
8,48,250,246,98.4,4,1.6,08048
8,49,341,338,99.12,3,0.88,08049
8,50,334,329,98.5,5,1.5,08050
8,51,482,470,97.51,12,2.49,08051
8,52,427,418,97.89,9,2.11,08052
8,54,274,269,98.18,5,1.82,08054
8,55,223,218,97.76,5,2.24,08055
8,56,389,380,97.69,9,2.31,08056
9,12,388,374,96.39,14,3.61,09012
9,23,376,368,97.87,8,2.13,09023
9,24,375,372,99.2,3,0.8,09024
9,25,336,327,97.32,9,2.68,09025
9,36,322,318,98.76,4,1.24,09036
9,42,378,371,98.15,7,1.85,09042
9,47,389,376,96.66,13,3.34,09047
9,48,382,372,97.38,10,2.62,09048
9,49,372,359,96.51,13,3.49,09049
9,50,443,435,98.19,8,1.81,09050
9,51,340,331,97.35,9,2.65,09051
13,19,250,207,82.8,43,17.2,13019
13,41,43,42,97.67,1,2.33,13041
16,6,2,2,100.0,0,0.0,16006
16,9,317,307,96.85,10,3.15,16009
16,27,15,15,100.0,0,0.0,16027
16,28,292,287,98.29,5,1.71,16028
16,30,279,270,96.77,9,3.23,16030
16,31,71,71,100.0,0,0.0,16031
16,34,57,55,96.49,2,3.51,16034
17,1,263,238,90.49,25,9.51,17001
17,2,325,317,97.54,8,2.46,17002
17,3,349,342,97.99,7,2.01,17003
17,4,411,404,98.3,7,1.7,17004
17,5,327,315,96.33,12,3.67,17005
17,6,228,221,96.93,7,3.07,17006
17,8,302,296,98.01,6,1.99,17008
17,9,328,318,96.95,10,3.05,17009
17,10,370,364,98.38,6,1.62,17010
17,11,282,272,96.45,10,3.55,17011
17,12,40,39,97.5,1,2.5,17012
17,13,1,1,100.0,0,0.0,17013
17,15,366,359,98.09,7,1.91,17015
17,16,251,237,94.42,14,5.58,17016
17,17,287,278,96.86,9,3.14,17017
17,18,368,364,98.91,4,1.09,17018
17,20,421,416,98.81,5,1.19,17020
17,21,400,392,98.0,8,2.0,17021
17,22,302,298,98.68,4,1.32,17022
17,23,245,244,99.59,1,0.41,17023
17,24,399,388,97.24,11,2.76,17024
17,25,239,228,95.4,11,4.6,17025
17,26,399,387,96.99,12,3.01,17026
17,27,363,356,98.07,7,1.93,17027
17,28,297,294,98.99,3,1.01,17028
17,29,350,342,97.71,8,2.29,17029
17,30,226,190,84.07,36,15.93,17030
17,32,270,267,98.89,3,1.11,17032
17,33,91,90,98.9,1,1.1,17033
17,34,269,267,99.26,2,0.74,17034
17,35,242,238,98.35,4,1.65,17035
17,36,320,318,99.38,2,0.63,17036
17,37,289,287,99.31,2,0.69,17037
17,38,350,343,98.0,7,2.0,17038
17,39,357,355,99.44,2,0.56,17039
17,40,332,325,97.89,7,2.11,17040
17,41,380,371,97.63,9,2.37,17041
18,1,276,257,93.12,19,6.88,18001
18,2,231,180,77.92,51,22.08,18002
18,3,274,182,66.42,92,33.58,18003
18,4,355,342,96.34,13,3.66,18004
18,5,248,245,98.79,3,1.21,18005
18,6,274,174,63.5,100,36.5,18006
18,7,334,286,85.63,48,14.37,18007
18,8,363,348,95.87,15,4.13,18008
18,9,350,330,94.29,20,5.71,18009
18,10,428,401,93.69,27,6.31,18010
18,11,259,222,85.71,37,14.29,18011
18,12,311,292,93.89,19,6.11,18012
18,13,331,320,96.68,11,3.32,18013
18,14,339,326,96.17,13,3.83,18014
18,15,14,7,50.0,7,50.0,18015
18,16,338,319,94.38,19,5.62,18016
18,17,317,286,90.22,31,9.78,18017
18,18,314,302,96.18,12,3.82,18018
18,19,353,342,96.88,11,3.12,18019
18,20,313,306,97.76,7,2.24,18020
18,21,411,387,94.16,24,5.84,18021
18,22,416,405,97.36,11,2.64,18022
18,23,314,292,92.99,22,7.01,18023
18,26,395,377,95.44,18,4.56,18026
18,27,265,251,94.72,14,5.28,18027
18,28,276,160,57.97,116,42.03,18028
18,29,309,267,86.41,42,13.59,18029
18,31,314,287,91.4,27,8.6,18031
18,32,383,374,97.65,9,2.35,18032
18,33,273,266,97.44,7,2.56,18033
18,34,444,414,93.24,30,6.76,18034
18,35,375,346,92.27,29,7.73,18035
18,36,309,267,86.41,42,13.59,18036
18,37,350,330,94.29,20,5.71,18037
18,38,361,351,97.23,10,2.77,18038
18,39,238,222,93.28,16,6.72,18039
18,41,383,361,94.26,22,5.74,18041
18,42,277,263,94.95,14,5.05,18042
18,44,273,151,55.31,122,44.69,18044
18,45,252,214,84.92,38,15.08,18045
18,47,246,234,95.12,12,4.88,18047
18,48,274,266,97.08,8,2.92,18048
18,49,252,239,94.84,13,5.16,18049
18,50,288,279,96.88,9,3.13,18050
19,2,438,373,85.16,65,14.84,19002
19,5,309,222,71.84,87,28.16,19005
19,10,39,27,69.23,12,30.77,19010
19,11,24,12,50.0,12,50.0,19011
19,13,475,446,93.89,29,6.11,19013
19,14,405,291,71.85,114,28.15,19014
19,20,319,266,83.39,53,16.61,19020
19,25,92,70,76.09,22,23.91,19025
19,27,392,331,84.44,61,15.56,19027
19,28,450,424,94.22,26,5.78,19028
19,31,327,195,59.63,132,40.37,19031
19,36,473,412,87.1,61,12.9,19036
19,37,364,291,79.95,73,20.05,19037
19,38,339,282,83.19,57,16.81,19038
19,39,133,123,92.48,10,7.52,19039
19,40,399,273,68.42,126,31.58,19040
19,42,314,230,73.25,84,26.75,19042
19,43,512,497,97.07,15,2.93,19043
19,47,531,443,83.43,88,16.57,19047
19,48,455,440,96.7,15,3.3,19048
19,49,468,407,86.97,61,13.03,19049
19,57,45,34,75.56,11,24.44,19057
20,1,306,298,97.39,8,2.61,20001
20,3,290,279,96.21,11,3.79,20003
20,5,323,312,96.59,11,3.41,20005
20,7,299,284,94.98,15,5.02,20007
20,8,337,334,99.11,3,0.89,20008
20,9,421,410,97.39,11,2.61,20009
20,10,271,264,97.42,7,2.58,20010
20,11,223,217,97.31,6,2.69,20011
20,12,252,246,97.62,6,2.38,20012
20,13,384,377,98.18,7,1.82,20013
20,14,200,197,98.5,3,1.5,20014
20,16,351,329,93.73,22,6.27,20016
20,18,263,260,98.86,3,1.14,20018
20,19,360,355,98.61,5,1.39,20019
20,22,404,390,96.53,14,3.47,20022
20,23,397,377,94.96,20,5.04,20023
20,24,336,314,93.45,22,6.55,20024
20,26,334,319,95.51,15,4.49,20026
20,27,195,191,97.95,4,2.05,20027
20,28,212,208,98.11,4,1.89,20028
20,29,450,437,97.11,13,2.89,20029
20,30,45,44,97.78,1,2.22,20030
20,31,100,98,98.0,2,2.0,20031
20,33,212,209,98.58,3,1.42,20033
20,34,343,324,94.46,19,5.54,20034
20,35,297,291,97.98,6,2.02,20035
20,37,118,118,100.0,0,0.0,20037
21,1,376,365,97.07,11,2.93,21001
21,2,273,268,98.17,5,1.83,21002
21,3,360,353,98.06,7,1.94,21003
21,4,380,373,98.16,7,1.84,21004
21,5,404,393,97.28,11,2.72,21005
21,6,308,304,98.7,4,1.3,21006
21,7,371,364,98.11,7,1.89,21007
21,8,358,355,99.16,3,0.84,21008
21,9,400,392,98.0,8,2.0,21009
21,10,343,339,98.83,4,1.17,21010
21,11,366,359,98.09,7,1.91,21011
21,12,358,348,97.21,10,2.79,21012
21,13,352,342,97.16,10,2.84,21013
21,14,438,428,97.72,10,2.28,21014
21,15,321,314,97.82,7,2.18,21015
21,16,345,338,97.97,7,2.03,21016
21,17,324,315,97.22,9,2.78,21017
21,18,401,392,97.76,9,2.24,21018
21,19,383,375,97.91,8,2.09,21019
21,20,331,323,97.58,8,2.42,21020
21,21,312,305,97.76,7,2.24,21021
21,22,325,316,97.23,9,2.77,21022
21,23,333,326,97.9,7,2.1,21023
21,24,340,335,98.53,5,1.47,21024
21,25,329,322,97.87,7,2.13,21025
21,26,368,362,98.37,6,1.63,21026
21,27,356,349,98.03,7,1.97,21027
21,28,440,431,97.95,9,2.05,21028
21,29,374,369,98.66,5,1.34,21029
21,30,291,285,97.94,6,2.06,21030
21,31,273,261,95.6,12,4.4,21031
21,32,327,317,96.94,10,3.06,21032
21,33,355,350,98.59,5,1.41,21033
21,34,368,364,98.91,4,1.09,21034
21,35,369,359,97.29,10,2.71,21035
21,36,356,346,97.19,10,2.81,21036
21,37,311,300,96.46,11,3.54,21037
21,38,347,339,97.69,8,2.31,21038
21,39,287,283,98.61,4,1.39,21039
21,40,316,304,96.2,12,3.8,21040
21,41,374,364,97.33,10,2.67,21041
21,42,388,379,97.68,9,2.32,21042
21,43,361,357,98.89,4,1.11,21043
21,44,358,347,96.93,11,3.07,21044
21,45,349,332,95.13,17,4.87,21045
21,46,364,358,98.35,6,1.65,21046
21,47,340,333,97.94,7,2.06,21047
21,48,324,316,97.53,8,2.47,21048
21,49,382,371,97.12,11,2.88,21049
21,50,325,311,95.69,14,4.31,21050
21,51,387,377,97.42,10,2.58,21051
21,52,380,372,97.89,8,2.11,21052
21,53,271,259,95.57,12,4.43,21053
21,54,298,295,98.99,3,1.01,21054
34,1,398,389,97.74,9,2.26,34001
34,2,270,266,98.52,4,1.48,34002
34,3,376,368,97.87,8,2.13,34003
34,5,332,327,98.49,5,1.51,34005
34,6,436,420,96.33,16,3.67,34006
34,7,400,396,99.0,4,1.0,34007
34,8,294,289,98.3,5,1.7,34008
34,9,314,306,97.45,8,2.55,34009
34,10,363,359,98.9,4,1.1,34010
34,11,302,298,98.68,4,1.32,34011
34,12,408,397,97.3,11,2.7,34012
34,13,376,370,98.4,6,1.6,34013
34,14,293,285,97.27,8,2.73,34014
34,15,293,287,97.95,6,2.05,34015
34,16,297,293,98.65,4,1.35,34016
34,17,445,441,99.1,4,0.9,34017
34,19,379,373,98.42,6,1.58,34019
34,20,415,411,99.04,4,0.96,34020
34,21,438,429,97.95,9,2.05,34021
34,22,94,93,98.94,1,1.06,34022
34,25,405,399,98.52,6,1.48,34025
34,26,387,383,98.97,4,1.03,34026
34,29,281,278,98.93,3,1.07,34029
34,30,119,115,96.64,4,3.36,34030
34,31,310,309,99.68,1,0.32,34031
34,32,350,346,98.86,4,1.14,34032
34,33,328,323,98.48,5,1.52,34033
34,34,380,375,98.68,5,1.32,34034
34,35,379,366,96.57,13,3.43,34035
34,40,416,410,98.56,6,1.44,34040
34,41,103,102,99.03,1,0.97,34041
34,42,346,339,97.98,7,2.02,34042
34,43,339,333,98.23,6,1.77,34043
34,44,362,351,96.96,11,3.04,34044
34,45,372,365,98.12,7,1.88,34045
34,46,233,226,97.0,7,3.0,34046
34,47,334,332,99.4,2,0.6,34047
34,48,376,370,98.4,6,1.6,34048
34,49,436,422,96.79,14,3.21,34049
34,50,348,342,98.28,6,1.72,34050
34,51,376,362,96.28,14,3.72,34051
34,52,294,289,98.3,5,1.7,34052
