ward,precinct,total,Danny K. Davis,Danny K. Davis Percent,Robert L. Bumpers,Robert L. Bumpers Percent,precinct_id
15,13,20,16,80.0,4,20.0,15013
15,14,16,16,100.0,0,0.0,15014
15,16,6,6,100.0,0,0.0,15016
15,17,267,262,98.13,5,1.87,15017
15,18,234,228,97.44,6,2.56,15018
15,20,218,214,98.17,4,1.83,15020
15,21,229,223,97.38,6,2.62,15021
15,22,273,267,97.8,6,2.2,15022
15,23,286,284,99.3,2,0.7,15023
15,24,236,232,98.31,4,1.69,15024
16,2,241,233,96.68,8,3.32,16002
16,3,271,267,98.52,4,1.48,16003
16,4,274,266,97.08,8,2.92,16004
16,5,272,268,98.53,4,1.47,16005
16,6,289,281,97.23,8,2.77,16006
16,7,257,250,97.28,7,2.72,16007
16,8,179,175,97.77,4,2.23,16008
16,9,26,26,100.0,0,0.0,16009
16,10,265,260,98.11,5,1.89,16010
16,11,262,252,96.18,10,3.82,16011
16,12,206,200,97.09,6,2.91,16012
16,13,222,201,90.54,21,9.46,16013
16,14,232,225,96.98,7,3.02,16014
16,15,333,329,98.8,4,1.2,16015
16,16,293,290,98.98,3,1.02,16016
16,17,257,242,94.16,15,5.84,16017
16,18,276,264,95.65,12,4.35,16018
16,19,271,259,95.57,12,4.43,16019
16,20,261,257,98.47,4,1.53,16020
16,21,272,263,96.69,9,3.31,16021
16,22,257,251,97.67,6,2.33,16022
16,23,20,16,80.0,4,20.0,16023
16,24,193,189,97.93,4,2.07,16024
16,25,293,293,100.0,0,0.0,16025
16,26,255,252,98.82,3,1.18,16026
16,27,232,223,96.12,9,3.88,16027
16,29,259,253,97.68,6,2.32,16029
16,31,242,240,99.17,2,0.83,16031
16,33,312,308,98.72,4,1.28,16033
16,34,203,198,97.54,5,2.46,16034
16,35,170,159,93.53,11,6.47,16035
16,36,220,216,98.18,4,1.82,16036
17,6,48,48,100.0,0,0.0,17006
17,7,203,193,95.07,10,4.93,17007
17,8,13,13,100.0,0,0.0,17008
17,12,263,240,91.25,23,8.75,17012
17,13,301,299,99.34,2,0.66,17013
17,14,262,247,94.27,15,5.73,17014
17,16,55,52,94.55,3,5.45,17016
17,19,212,208,98.11,4,1.89,17019
17,25,12,12,100.0,0,0.0,17025
17,31,266,264,99.25,2,0.75,17031
17,33,145,143,98.62,2,1.38,17033
17,35,48,45,93.75,3,6.25,17035
17,36,65,64,98.46,1,1.54,17036
20,2,156,151,96.79,5,3.21,20002
20,4,137,133,97.08,4,2.92,20004
20,6,173,169,97.69,4,2.31,20006
20,11,212,207,97.64,5,2.36,20011
20,15,63,59,93.65,4,6.35,20015
20,17,175,159,90.86,16,9.14,20017
20,20,164,141,85.98,23,14.02,20020
20,21,258,253,98.06,5,1.94,20021
20,25,295,291,98.64,4,1.36,20025
20,27,13,12,92.31,1,7.69,20027
20,30,140,135,96.43,5,3.57,20030
20,31,237,236,99.58,1,0.42,20031
20,32,331,323,97.58,8,2.42,20032
20,36,150,148,98.67,2,1.33,20036
20,37,8,8,100.0,0,0.0,20037
20,38,143,143,100.0,0,0.0,20038
20,39,67,65,97.01,2,2.99,20039
22,14,114,99,86.84,15,13.16,22014
22,15,6,5,83.33,1,16.67,22015
22,19,135,133,98.52,2,1.48,22019
22,21,352,347,98.58,5,1.42,22021
23,17,56,43,76.79,13,23.21,23017
23,19,13,10,76.92,3,23.08,23019
23,31,36,28,77.78,8,22.22,23031
24,1,287,283,98.61,4,1.39,24001
24,2,317,310,97.79,7,2.21,24002
24,3,355,348,98.03,7,1.97,24003
24,4,233,230,98.71,3,1.29,24004
24,5,180,178,98.89,2,1.11,24005
24,6,316,309,97.78,7,2.22,24006
24,7,131,120,91.6,11,8.4,24007
24,8,184,182,98.91,2,1.09,24008
24,9,268,264,98.51,4,1.49,24009
24,10,157,154,98.09,3,1.91,24010
24,11,332,327,98.49,5,1.51,24011
24,12,207,203,98.07,4,1.93,24012
24,13,181,180,99.45,1,0.55,24013
24,14,294,287,97.62,7,2.38,24014
24,15,180,176,97.78,4,2.22,24015
24,16,44,44,100.0,0,0.0,24016
24,17,233,232,99.57,1,0.43,24017
24,18,322,316,98.14,6,1.86,24018
24,19,354,348,98.31,6,1.69,24019
24,20,273,268,98.17,5,1.83,24020
24,21,154,153,99.35,1,0.65,24021
24,22,369,361,97.83,8,2.17,24022
24,23,271,261,96.31,10,3.69,24023
24,24,429,418,97.44,11,2.56,24024
24,25,259,254,98.07,5,1.93,24025
24,26,410,404,98.54,6,1.46,24026
24,27,321,313,97.51,8,2.49,24027
24,28,236,235,99.58,1,0.42,24028
24,29,233,227,97.42,6,2.58,24029
24,30,163,163,100.0,0,0.0,24030
24,31,315,306,97.14,9,2.86,24031
24,32,176,172,97.73,4,2.27,24032
24,33,163,162,99.39,1,0.61,24033
24,34,275,267,97.09,8,2.91,24034
24,35,291,287,98.63,4,1.37,24035
24,36,406,394,97.04,12,2.96,24036
24,37,176,172,97.73,4,2.27,24037
24,38,227,220,96.92,7,3.08,24038
24,39,306,288,94.12,18,5.88,24039
24,40,290,283,97.59,7,2.41,24040
24,41,202,201,99.5,1,0.5,24041
25,3,355,227,63.94,128,36.06,25003
25,4,309,288,93.2,21,6.8,25004
25,6,117,92,78.63,25,21.37,25006
25,10,357,202,56.58,155,43.42,25010
25,14,118,95,80.51,23,19.49,25014
25,16,365,222,60.82,143,39.18,25016
25,18,230,194,84.35,36,15.65,25018
25,20,307,297,96.74,10,3.26,25020
25,21,440,328,74.55,112,25.45,25021
25,25,321,217,67.6,104,32.4,25025
25,27,288,198,68.75,90,31.25,25027
25,29,330,311,94.24,19,5.76,25029
25,31,378,227,60.05,151,39.95,25031
26,1,99,82,82.83,17,17.17,26001
26,3,224,186,83.04,38,16.96,26003
26,4,160,149,93.13,11,6.88,26004
26,10,154,129,83.77,25,16.23,26010
26,17,183,108,59.02,75,40.98,26017
26,19,143,131,91.61,12,8.39,26019
26,21,242,218,90.08,24,9.92,26021
26,27,61,53,86.89,8,13.11,26027
26,28,128,97,75.78,31,24.22,26028
26,33,144,128,88.89,16,11.11,26033
26,36,160,137,85.63,23,14.38,26036
26,39,110,92,83.64,18,16.36,26039
26,45,2,2,100.0,0,0.0,26045
26,46,148,94,63.51,54,36.49,26046
27,1,312,209,66.99,103,33.01,27001
27,2,370,294,79.46,76,20.54,27002
27,3,187,181,96.79,6,3.21,27003
27,4,199,183,91.96,16,8.04,27004
27,5,201,193,96.02,8,3.98,27005
27,6,224,186,83.04,38,16.96,27006
27,8,259,254,98.07,5,1.93,27008
27,9,146,94,64.38,52,35.62,27009
27,10,321,308,95.95,13,4.05,27010
27,11,273,183,67.03,90,32.97,27011
27,13,359,347,96.66,12,3.34,27013
27,14,207,204,98.55,3,1.45,27014
27,15,256,256,100.0,0,0.0,27015
27,16,265,170,64.15,95,35.85,27016
27,17,279,268,96.06,11,3.94,27017
27,18,290,281,96.9,9,3.1,27018
27,19,199,185,92.96,14,7.04,27019
27,20,267,262,98.13,5,1.87,27020
27,21,269,188,69.89,81,30.11,27021
27,22,220,213,96.82,7,3.18,27022
27,23,248,241,97.18,7,2.82,27023
27,24,214,206,96.26,8,3.74,27024
27,25,249,226,90.76,23,9.24,27025
27,26,264,249,94.32,15,5.68,27026
27,27,309,287,92.88,22,7.12,27027
27,28,141,113,80.14,28,19.86,27028
27,29,240,231,96.25,9,3.75,27029
27,30,185,181,97.84,4,2.16,27030
27,31,277,273,98.56,4,1.44,27031
27,32,236,225,95.34,11,4.66,27032
27,33,300,237,79.0,63,21.0,27033
27,34,308,304,98.7,4,1.3,27034
27,35,297,194,65.32,103,34.68,27035
27,36,222,209,94.14,13,5.86,27036
27,37,334,289,86.53,45,13.47,27037
27,38,454,370,81.5,84,18.5,27038
27,39,231,222,96.1,9,3.9,27039
27,40,263,202,76.81,61,23.19,27040
27,41,311,304,97.75,7,2.25,27041
27,42,118,115,97.46,3,2.54,27042
27,43,245,237,96.73,8,3.27,27043
27,44,275,271,98.55,4,1.45,27044
27,45,312,209,66.99,103,33.01,27045
27,47,246,230,93.5,16,6.5,27047
27,48,407,349,85.75,58,14.25,27048
27,49,207,204,98.55,3,1.45,27049
27,50,278,273,98.2,5,1.8,27050
28,1,276,270,97.83,6,2.17,28001
28,2,247,238,96.36,9,3.64,28002
28,3,246,240,97.56,6,2.44,28003
28,4,218,168,77.06,50,22.94,28004
28,5,182,174,95.6,8,4.4,28005
28,6,161,145,90.06,16,9.94,28006
28,7,314,313,99.68,1,0.32,28007
28,8,197,144,73.1,53,26.9,28008
28,9,314,311,99.04,3,0.96,28009
28,10,277,218,78.7,59,21.3,28010
28,11,423,370,87.47,53,12.53,28011
28,12,326,324,99.39,2,0.61,28012
28,13,291,287,98.63,4,1.37,28013
28,14,213,213,100.0,0,0.0,28014
28,15,119,114,95.8,5,4.2,28015
28,16,169,167,98.82,2,1.18,28016
28,17,266,262,98.5,4,1.5,28017
28,18,220,220,100.0,0,0.0,28018
28,19,205,173,84.39,32,15.61,28019
28,20,252,244,96.83,8,3.17,28020
28,21,269,266,98.88,3,1.12,28021
28,22,258,250,96.9,8,3.1,28022
28,23,354,347,98.02,7,1.98,28023
28,24,279,274,98.21,5,1.79,28024
28,25,389,381,97.94,8,2.06,28025
28,26,351,347,98.86,4,1.14,28026
28,27,243,164,67.49,79,32.51,28027
28,28,285,209,73.33,76,26.67,28028
28,29,145,139,95.86,6,4.14,28029
28,30,52,51,98.08,1,1.92,28030
28,31,419,405,96.66,14,3.34,28031
28,32,295,288,97.63,7,2.37,28032
28,33,340,330,97.06,10,2.94,28033
28,34,408,392,96.08,16,3.92,28034
28,35,364,356,97.8,8,2.2,28035
28,36,180,177,98.33,3,1.67,28036
28,37,427,427,100.0,0,0.0,28037
28,38,169,164,97.04,5,2.96,28038
28,39,236,231,97.88,5,2.12,28039
28,40,400,395,98.75,5,1.25,28040
28,41,236,234,99.15,2,0.85,28041
28,42,337,324,96.14,13,3.86,28042
28,43,403,399,99.01,4,0.99,28043
28,44,247,245,99.19,2,0.81,28044
28,45,223,176,78.92,47,21.08,28045
28,46,395,315,79.75,80,20.25,28046
29,1,384,300,78.13,84,21.88,29001
29,2,538,526,97.77,12,2.23,29002
29,3,415,409,98.55,6,1.45,29003
29,4,430,425,98.84,5,1.16,29004
29,5,337,323,95.85,14,4.15,29005
29,6,326,319,97.85,7,2.15,29006
29,7,324,290,89.51,34,10.49,29007
29,8,298,292,97.99,6,2.01,29008
29,9,8,6,75.0,2,25.0,29009
29,10,430,340,79.07,90,20.93,29010
29,11,255,247,96.86,8,3.14,29011
29,12,420,402,95.71,18,4.29,29012
29,13,403,390,96.77,13,3.23,29013
29,14,378,364,96.3,14,3.7,29014
29,15,415,407,98.07,8,1.93,29015
29,16,391,388,99.23,3,0.77,29016
29,17,318,311,97.8,7,2.2,29017
29,18,348,339,97.41,9,2.59,29018
29,19,390,378,96.92,12,3.08,29019
29,20,449,436,97.1,13,2.9,29020
29,21,410,403,98.29,7,1.71,29021
29,22,317,290,91.48,27,8.52,29022
29,24,330,324,98.18,6,1.82,29024
29,25,417,408,97.84,9,2.16,29025
29,26,368,353,95.92,15,4.08,29026
29,27,285,280,98.25,5,1.75,29027
29,28,486,478,98.35,8,1.65,29028
29,33,290,282,97.24,8,2.76,29033
29,34,229,197,86.03,32,13.97,29034
29,35,275,270,98.18,5,1.82,29035
29,36,333,327,98.2,6,1.8,29036
29,37,357,341,95.52,16,4.48,29037
29,40,414,402,97.1,12,2.9,29040
29,41,330,326,98.79,4,1.21,29041
29,42,380,376,98.95,4,1.05,29042
29,43,266,235,88.35,31,11.65,29043
29,44,448,433,96.65,15,3.35,29044
36,5,252,210,83.33,42,16.67,36005
36,21,51,43,84.31,8,15.69,36021
37,1,330,314,95.15,16,4.85,37001
37,2,212,194,91.51,18,8.49,37002
37,3,233,228,97.85,5,2.15,37003
37,4,257,248,96.5,9,3.5,37004
37,5,372,366,98.39,6,1.61,37005
37,6,311,304,97.75,7,2.25,37006
37,7,224,215,95.98,9,4.02,37007
37,8,242,237,97.93,5,2.07,37008
37,9,336,330,98.21,6,1.79,37009
37,10,316,305,96.52,11,3.48,37010
37,11,251,246,98.01,5,1.99,37011
37,12,217,206,94.93,11,5.07,37012
37,13,240,237,98.75,3,1.25,37013
37,14,308,301,97.73,7,2.27,37014
37,15,354,342,96.61,12,3.39,37015
37,16,395,385,97.47,10,2.53,37016
37,17,306,305,99.67,1,0.33,37017
37,18,324,313,96.6,11,3.4,37018
37,19,222,218,98.2,4,1.8,37019
37,20,289,286,98.96,3,1.04,37020
37,21,259,243,93.82,16,6.18,37021
37,22,282,264,93.62,18,6.38,37022
37,23,344,339,98.55,5,1.45,37023
37,24,310,301,97.1,9,2.9,37024
37,25,319,310,97.18,9,2.82,37025
37,26,309,295,95.47,14,4.53,37026
37,27,325,320,98.46,5,1.54,37027
37,28,247,232,93.93,15,6.07,37028
37,29,320,308,96.25,12,3.75,37029
37,30,330,327,99.09,3,0.91,37030
37,31,350,340,97.14,10,2.86,37031
37,32,306,296,96.73,10,3.27,37032
37,33,353,347,98.3,6,1.7,37033
37,34,322,308,95.65,14,4.35,37034
37,35,337,326,96.74,11,3.26,37035
37,36,329,326,99.09,3,0.91,37036
37,37,384,374,97.4,10,2.6,37037
37,38,349,339,97.13,10,2.87,37038
37,39,326,322,98.77,4,1.23,37039
37,40,352,348,98.86,4,1.14,37040
37,41,304,292,96.05,12,3.95,37041
42,1,444,267,60.14,177,39.86,42001
42,2,357,220,61.62,137,38.38,42002
42,3,302,206,68.21,96,31.79,42003
42,4,490,318,64.9,172,35.1,42004
42,5,270,158,58.52,112,41.48,42005
42,6,456,316,69.3,140,30.7,42006
42,7,489,281,57.46,208,42.54,42007
42,8,385,271,70.39,114,29.61,42008
42,9,356,238,66.85,118,33.15,42009
42,10,319,184,57.68,135,42.32,42010
42,11,326,184,56.44,142,43.56,42011
42,12,344,192,55.81,152,44.19,42012
42,13,451,292,64.75,159,35.25,42013
42,14,341,204,59.82,137,40.18,42014
42,15,273,136,49.82,137,50.18,42015
42,16,349,235,67.34,114,32.66,42016
42,17,404,204,50.5,200,49.5,42017
42,18,327,194,59.33,133,40.67,42018
42,19,486,277,57.0,209,43.0,42019
42,20,318,161,50.63,157,49.37,42020
42,21,266,166,62.41,100,37.59,42021
42,22,200,108,54.0,92,46.0,42022
42,23,355,180,50.7,175,49.3,42023
42,24,404,238,58.91,166,41.09,42024
42,25,401,212,52.87,189,47.13,42025
42,26,377,223,59.15,154,40.85,42026
42,27,294,191,64.97,103,35.03,42027
42,28,471,312,66.24,159,33.76,42028
42,29,353,196,55.52,157,44.48,42029
42,30,423,242,57.21,181,42.79,42030
42,31,399,205,51.38,194,48.62,42031
42,32,294,143,48.64,151,51.36,42032
42,33,350,227,64.86,123,35.14,42033
42,34,423,223,52.72,200,47.28,42034
42,35,473,308,65.12,165,34.88,42035
42,36,438,260,59.36,178,40.64,42036
42,37,250,134,53.6,116,46.4,42037
42,38,341,201,58.94,140,41.06,42038
42,39,304,181,59.54,123,40.46,42039
42,40,353,198,56.09,155,43.91,42040
42,41,361,226,62.6,135,37.4,42041
42,42,377,238,63.13,139,36.87,42042
43,1,229,163,71.18,66,28.82,43001
43,5,58,33,56.9,25,43.1,43005
43,9,66,39,59.09,27,40.91,43009
43,33,450,257,57.11,193,42.89,43033
43,35,500,280,56.0,220,44.0,43035
43,45,253,171,67.59,82,32.41,43045
