ward,precinct,total,Mike Quigley,Mike Quigley Percent,Dan Schmitt,Dan Schmitt Percent,Nancy Wade,Nancy Wade Percent,precinct_id
27,13,110,87,79.09,13,11.82,10,9.09,27013
27,21,35,28,80.0,7,20.0,0,0.0,27021
27,27,30,21,70.0,4,13.33,5,16.67,27027
27,35,34,26,76.47,2,5.88,6,17.65,27035
27,37,6,6,100.0,0,0.0,0,0.0,27037
27,40,57,44,77.19,10,17.54,3,5.26,27040
27,42,319,199,62.38,104,32.6,16,5.02,27042
27,43,6,4,66.67,1,16.67,1,16.67,27043
29,23,38,25,65.79,11,28.95,2,5.26,29023
29,29,407,281,69.04,106,26.04,20,4.91,29029
29,31,405,270,66.67,116,28.64,19,4.69,29031
29,32,428,290,67.76,118,27.57,20,4.67,29032
29,38,0,0,0.0,0,0.0,0,0.0,29038
29,39,188,138,73.4,37,19.68,13,6.91,29039
30,15,290,209,72.07,62,21.38,19,6.55,30015
30,17,210,165,78.57,29,13.81,16,7.62,30017
30,21,311,228,73.31,65,20.9,18,5.79,30021
32,1,596,425,71.31,133,22.32,38,6.38,32001
32,2,574,381,66.38,153,26.66,40,6.97,32002
32,4,526,378,71.86,108,20.53,40,7.6,32004
32,5,545,406,74.5,88,16.15,51,9.36,32005
32,6,524,351,66.98,142,27.1,31,5.92,32006
32,7,611,410,67.1,161,26.35,40,6.55,32007
32,8,639,403,63.07,200,31.3,36,5.63,32008
32,9,516,382,74.03,106,20.54,28,5.43,32009
32,10,581,386,66.44,164,28.23,31,5.34,32010
32,13,562,375,66.73,167,29.72,20,3.56,32013
32,15,547,392,71.66,115,21.02,40,7.31,32015
32,16,497,358,72.03,94,18.91,45,9.05,32016
32,18,540,378,70.0,145,26.85,17,3.15,32018
32,19,516,374,72.48,112,21.71,30,5.81,32019
32,21,582,423,72.68,129,22.16,30,5.15,32021
32,23,556,377,67.81,143,25.72,36,6.47,32023
32,24,447,258,57.72,169,37.81,20,4.47,32024
32,25,540,370,68.52,142,26.3,28,5.19,32025
32,27,547,328,59.96,197,36.01,22,4.02,32027
32,29,537,401,74.67,86,16.01,50,9.31,32029
32,30,555,346,62.34,196,35.32,13,2.34,32030
32,31,516,349,67.64,131,25.39,36,6.98,32031
32,32,551,386,70.05,126,22.87,39,7.08,32032
32,33,559,381,68.16,140,25.04,38,6.8,32033
32,34,544,384,70.59,124,22.79,36,6.62,32034
32,35,554,381,68.77,128,23.1,45,8.12,32035
32,36,558,395,70.79,127,22.76,36,6.45,32036
32,37,513,353,68.81,112,21.83,48,9.36,32037
32,38,521,370,71.02,124,23.8,27,5.18,32038
32,39,624,392,62.82,209,33.49,23,3.69,32039
32,40,589,418,70.97,135,22.92,36,6.11,32040
32,41,572,366,63.99,162,28.32,44,7.69,32041
32,42,527,353,66.98,138,26.19,36,6.83,32042
33,2,575,455,79.13,74,12.87,46,8.0,33002
33,3,38,30,78.95,3,7.89,5,13.16,33003
33,5,440,340,77.27,65,14.77,35,7.95,33005
33,7,348,276,79.31,39,11.21,33,9.48,33007
33,8,416,336,80.77,59,14.18,21,5.05,33008
33,10,70,54,77.14,13,18.57,3,4.29,33010
33,18,631,488,77.34,80,12.68,63,9.98,33018
33,19,250,181,72.4,43,17.2,26,10.4,33019
33,23,48,38,79.17,7,14.58,3,6.25,33023
33,24,713,532,74.61,104,14.59,77,10.8,33024
33,27,14,13,92.86,1,7.14,0,0.0,33027
36,7,464,306,65.95,134,28.88,24,5.17,36007
36,14,413,293,70.94,85,20.58,35,8.47,36014
36,15,417,311,74.58,86,20.62,20,4.8,36015
36,16,277,212,76.53,49,17.69,16,5.78,36016
36,17,451,341,75.61,78,17.29,32,7.1,36017
36,18,399,279,69.92,94,23.56,26,6.52,36018
36,20,186,141,75.81,33,17.74,12,6.45,36020
36,24,363,256,70.52,86,23.69,21,5.79,36024
36,26,389,253,65.04,114,29.31,22,5.66,36026
36,28,319,219,68.65,78,24.45,22,6.9,36028
36,29,239,165,69.04,61,25.52,13,5.44,36029
36,30,420,322,76.67,74,17.62,24,5.71,36030
38,2,478,259,54.18,202,42.26,17,3.56,38002
38,3,401,272,67.83,113,28.18,16,3.99,38003
38,4,393,264,67.18,112,28.5,17,4.33,38004
38,5,435,293,67.36,121,27.82,21,4.83,38005
38,6,443,305,68.85,115,25.96,23,5.19,38006
38,7,461,298,64.64,150,32.54,13,2.82,38007
38,8,421,292,69.36,114,27.08,15,3.56,38008
38,9,483,313,64.8,158,32.71,12,2.48,38009
38,10,379,260,68.6,97,25.59,22,5.8,38010
38,11,408,287,70.34,89,21.81,32,7.84,38011
38,12,439,263,59.91,166,37.81,10,2.28,38012
38,13,461,279,60.52,166,36.01,16,3.47,38013
38,14,462,319,69.05,108,23.38,35,7.58,38014
38,15,399,280,70.18,103,25.81,16,4.01,38015
38,16,430,297,69.07,113,26.28,20,4.65,38016
38,17,517,322,62.28,168,32.5,27,5.22,38017
38,18,478,309,64.64,139,29.08,30,6.28,38018
38,19,487,325,66.74,128,26.28,34,6.98,38019
38,20,454,285,62.78,143,31.5,26,5.73,38020
38,21,379,271,71.5,84,22.16,24,6.33,38021
38,22,428,306,71.5,96,22.43,26,6.07,38022
38,23,444,337,75.9,87,19.59,20,4.5,38023
38,24,461,313,67.9,134,29.07,14,3.04,38024
38,25,371,256,69.0,95,25.61,20,5.39,38025
38,26,447,312,69.8,114,25.5,21,4.7,38026
38,27,445,298,66.97,132,29.66,15,3.37,38027
38,28,555,350,63.06,179,32.25,26,4.68,38028
38,29,430,307,71.4,100,23.26,23,5.35,38029
38,30,444,286,64.41,136,30.63,22,4.95,38030
38,31,446,320,71.75,104,23.32,22,4.93,38031
38,32,441,312,70.75,92,20.86,37,8.39,38032
38,33,386,281,72.8,86,22.28,19,4.92,38033
38,34,386,287,74.35,71,18.39,28,7.25,38034
38,35,179,133,74.3,43,24.02,3,1.68,38035
38,36,386,285,73.83,85,22.02,16,4.15,38036
38,37,423,301,71.16,94,22.22,28,6.62,38037
38,38,396,258,65.15,109,27.53,29,7.32,38038
38,39,482,363,75.31,94,19.5,25,5.19,38039
38,40,399,275,68.92,100,25.06,24,6.02,38040
39,1,468,334,71.37,97,20.73,37,7.91,39001
39,2,485,298,61.44,172,35.46,15,3.09,39002
39,3,346,204,58.96,132,38.15,10,2.89,39003
39,4,436,271,62.16,149,34.17,16,3.67,39004
39,5,488,349,71.52,112,22.95,27,5.53,39005
39,6,429,323,75.29,76,17.72,30,6.99,39006
39,7,399,294,73.68,79,19.8,26,6.52,39007
39,8,405,319,78.77,66,16.3,20,4.94,39008
39,9,420,304,72.38,83,19.76,33,7.86,39009
39,10,199,159,79.9,24,12.06,16,8.04,39010
39,11,427,325,76.11,87,20.37,15,3.51,39011
39,12,504,303,60.12,174,34.52,27,5.36,39012
39,13,380,277,72.89,85,22.37,18,4.74,39013
39,14,434,289,66.59,112,25.81,33,7.6,39014
39,15,677,378,55.83,283,41.8,16,2.36,39015
39,16,372,287,77.15,59,15.86,26,6.99,39016
39,17,551,341,61.89,184,33.39,26,4.72,39017
39,18,445,343,77.08,79,17.75,23,5.17,39018
39,19,455,324,71.21,101,22.2,30,6.59,39019
39,20,460,274,59.57,165,35.87,21,4.57,39020
39,21,413,256,61.99,137,33.17,20,4.84,39021
39,22,351,248,70.66,77,21.94,26,7.41,39022
39,23,474,309,65.19,139,29.32,26,5.49,39023
39,24,466,332,71.24,101,21.67,33,7.08,39024
39,25,345,255,73.91,58,16.81,32,9.28,39025
39,26,375,237,63.2,122,32.53,16,4.27,39026
39,27,80,56,70.0,22,27.5,2,2.5,39027
39,28,238,175,73.53,44,18.49,19,7.98,39028
39,29,217,173,79.72,28,12.9,16,7.37,39029
39,30,487,385,79.06,63,12.94,39,8.01,39030
39,32,423,247,58.39,155,36.64,21,4.96,39032
39,33,606,432,71.29,120,19.8,54,8.91,39033
39,34,493,375,76.06,84,17.04,34,6.9,39034
39,35,427,323,75.64,77,18.03,27,6.32,39035
39,36,442,310,70.14,110,24.89,22,4.98,39036
39,37,468,298,63.68,145,30.98,25,5.34,39037
39,38,254,187,73.62,60,23.62,7,2.76,39038
39,39,448,317,70.76,121,27.01,10,2.23,39039
39,40,498,315,63.25,154,30.92,29,5.82,39040
39,41,555,340,61.26,187,33.69,28,5.05,39041
39,42,394,220,55.84,162,41.12,12,3.05,39042
39,43,155,126,81.29,25,16.13,4,2.58,39043
39,44,397,297,74.81,59,14.86,41,10.33,39044
39,45,286,187,65.38,86,30.07,13,4.55,39045
40,1,402,299,74.38,71,17.66,32,7.96,40001
40,2,431,325,75.41,75,17.4,31,7.19,40002
40,3,573,466,81.33,67,11.69,40,6.98,40003
40,5,497,392,78.87,74,14.89,31,6.24,40005
40,6,498,402,80.72,51,10.24,45,9.04,40006
40,7,407,314,77.15,54,13.27,39,9.58,40007
40,8,619,508,82.07,57,9.21,54,8.72,40008
40,10,149,114,76.51,28,18.79,7,4.7,40010
40,11,608,494,81.25,72,11.84,42,6.91,40011
40,12,363,264,72.73,77,21.21,22,6.06,40012
40,13,687,558,81.22,63,9.17,66,9.61,40013
40,14,420,319,75.95,67,15.95,34,8.1,40014
40,15,430,343,79.77,64,14.88,23,5.35,40015
40,16,628,490,78.03,71,11.31,67,10.67,40016
40,17,400,319,79.75,51,12.75,30,7.5,40017
40,19,568,431,75.88,100,17.61,37,6.51,40019
40,20,475,372,78.32,69,14.53,34,7.16,40020
40,21,557,443,79.53,73,13.11,41,7.36,40021
40,23,564,449,79.61,62,10.99,53,9.4,40023
40,24,389,292,75.06,73,18.77,24,6.17,40024
40,25,486,405,83.33,38,7.82,43,8.85,40025
40,29,459,349,76.03,84,18.3,26,5.66,40029
40,30,466,338,72.53,111,23.82,17,3.65,40030
40,31,67,57,85.07,9,13.43,1,1.49,40031
40,32,567,439,77.43,79,13.93,49,8.64,40032
40,34,396,314,79.29,58,14.65,24,6.06,40034
40,38,592,440,74.32,99,16.72,53,8.95,40038
41,3,407,246,60.44,139,34.15,22,5.41,41003
41,6,559,307,54.92,225,40.25,27,4.83,41006
41,9,506,298,58.89,182,35.97,26,5.14,41009
41,12,452,292,64.6,138,30.53,22,4.87,41012
41,14,580,330,56.9,224,38.62,26,4.48,41014
41,16,511,320,62.62,157,30.72,34,6.65,41016
41,17,439,244,55.58,164,37.36,31,7.06,41017
41,19,589,340,57.72,229,38.88,20,3.4,41019
41,21,488,319,65.37,152,31.15,17,3.48,41021
41,22,519,305,58.77,201,38.73,13,2.5,41022
41,23,209,124,59.33,77,36.84,8,3.83,41023
41,24,454,251,55.29,190,41.85,13,2.86,41024
41,26,478,274,57.32,180,37.66,24,5.02,41026
41,27,406,234,57.64,153,37.68,19,4.68,41027
41,29,41,28,68.29,10,24.39,3,7.32,41029
41,30,497,316,63.58,163,32.8,18,3.62,41030
41,32,541,331,61.18,192,35.49,18,3.33,41032
41,33,381,209,54.86,157,41.21,15,3.94,41033
41,35,521,301,57.77,208,39.92,12,2.3,41035
41,38,467,296,63.38,148,31.69,23,4.93,41038
41,39,511,285,55.77,207,40.51,19,3.72,41039
41,45,181,118,65.19,55,30.39,8,4.42,41045
41,46,512,300,58.59,176,34.38,36,7.03,41046
41,47,503,294,58.45,181,35.98,28,5.57,41047
43,2,582,367,63.06,195,33.51,20,3.44,43002
43,3,449,276,61.47,161,35.86,12,2.67,43003
43,4,703,427,60.74,250,35.56,26,3.7,43004
43,5,637,417,65.46,199,31.24,21,3.3,43005
43,6,601,372,61.9,198,32.95,31,5.16,43006
43,7,386,273,70.73,95,24.61,18,4.66,43007
43,8,492,333,67.68,135,27.44,24,4.88,43008
43,9,580,376,64.83,182,31.38,22,3.79,43009
43,10,698,409,58.6,262,37.54,27,3.87,43010
43,11,510,299,58.63,187,36.67,24,4.71,43011
43,12,390,272,69.74,95,24.36,23,5.9,43012
43,13,545,390,71.56,126,23.12,29,5.32,43013
43,14,624,377,60.42,216,34.62,31,4.97,43014
43,15,600,377,62.83,196,32.67,27,4.5,43015
43,16,627,397,63.32,203,32.38,27,4.31,43016
43,17,515,326,63.3,169,32.82,20,3.88,43017
43,18,617,394,63.86,201,32.58,22,3.57,43018
43,19,627,431,68.74,169,26.95,27,4.31,43019
43,20,598,410,68.56,170,28.43,18,3.01,43020
43,21,616,399,64.77,187,30.36,30,4.87,43021
43,22,549,365,66.48,161,29.33,23,4.19,43022
43,23,374,243,64.97,115,30.75,16,4.28,43023
43,24,497,340,68.41,140,28.17,17,3.42,43024
43,25,483,342,70.81,120,24.84,21,4.35,43025
43,26,377,285,75.6,79,20.95,13,3.45,43026
43,27,385,262,68.05,105,27.27,18,4.68,43027
43,28,750,466,62.13,251,33.47,33,4.4,43028
43,29,510,334,65.49,147,28.82,29,5.69,43029
43,30,635,410,64.57,179,28.19,46,7.24,43030
43,31,597,396,66.33,168,28.14,33,5.53,43031
43,32,610,415,68.03,167,27.38,28,4.59,43032
43,34,450,319,70.89,111,24.67,20,4.44,43034
43,36,325,206,63.38,99,30.46,20,6.15,43036
43,37,621,422,67.95,167,26.89,32,5.15,43037
43,38,539,314,58.26,205,38.03,20,3.71,43038
43,39,505,322,63.76,157,31.09,26,5.15,43039
43,40,451,293,64.97,128,28.38,30,6.65,43040
43,41,725,470,64.83,227,31.31,28,3.86,43041
43,42,559,380,67.98,153,27.37,26,4.65,43042
43,43,650,396,60.92,230,35.38,24,3.69,43043
43,44,579,383,66.15,170,29.36,26,4.49,43044
44,1,652,491,75.31,119,18.25,42,6.44,44001
44,2,652,435,66.72,185,28.37,32,4.91,44002
44,5,605,466,77.02,104,17.19,35,5.79,44005
44,6,747,564,75.5,143,19.14,40,5.35,44006
44,8,693,519,74.89,132,19.05,42,6.06,44008
44,9,581,399,68.67,149,25.65,33,5.68,44009
44,10,630,426,67.62,178,28.25,26,4.13,44010
44,11,629,468,74.4,139,22.1,22,3.5,44011
44,12,651,523,80.34,101,15.51,27,4.15,44012
44,13,464,313,67.46,132,28.45,19,4.09,44013
44,14,528,359,67.99,139,26.33,30,5.68,44014
44,15,578,432,74.74,109,18.86,37,6.4,44015
44,16,653,461,70.6,160,24.5,32,4.9,44016
44,17,752,590,78.46,125,16.62,37,4.92,44017
44,18,640,453,70.78,163,25.47,24,3.75,44018
44,19,660,509,77.12,118,17.88,33,5.0,44019
44,20,569,405,71.18,125,21.97,39,6.85,44020
44,21,709,552,77.86,107,15.09,50,7.05,44021
44,22,626,494,78.91,110,17.57,22,3.51,44022
44,23,599,443,73.96,127,21.2,29,4.84,44023
44,25,598,415,69.4,144,24.08,39,6.52,44025
44,26,584,443,75.86,108,18.49,33,5.65,44026
44,27,667,470,70.46,169,25.34,28,4.2,44027
44,28,611,480,78.56,105,17.18,26,4.26,44028
44,29,685,466,68.03,180,26.28,39,5.69,44029
44,30,678,483,71.24,161,23.75,34,5.01,44030
44,31,541,375,69.32,146,26.99,20,3.7,44031
44,32,676,469,69.38,174,25.74,33,4.88,44032
44,33,590,484,82.03,71,12.03,35,5.93,44033
44,34,649,516,79.51,115,17.72,18,2.77,44034
44,36,653,465,71.21,151,23.12,37,5.67,44036
44,37,648,491,75.77,118,18.21,39,6.02,44037
44,38,613,408,66.56,173,28.22,32,5.22,44038
44,39,566,350,61.84,191,33.75,25,4.42,44039
44,40,568,361,63.56,172,30.28,35,6.16,44040
44,41,656,500,76.22,111,16.92,45,6.86,44041
45,3,403,315,78.16,58,14.39,30,7.44,45003
45,4,537,402,74.86,102,18.99,33,6.15,45004
45,5,489,364,74.44,96,19.63,29,5.93,45005
45,6,545,408,74.86,102,18.72,35,6.42,45006
45,7,591,432,73.1,126,21.32,33,5.58,45007
45,8,36,21,58.33,14,38.89,1,2.78,45008
45,11,338,262,77.51,59,17.46,17,5.03,45011
45,12,395,293,74.18,71,17.97,31,7.85,45012
45,13,400,287,71.75,96,24.0,17,4.25,45013
45,14,561,426,75.94,111,19.79,24,4.28,45014
45,15,581,454,78.14,93,16.01,34,5.85,45015
45,16,434,306,70.51,96,22.12,32,7.37,45016
45,17,484,332,68.6,122,25.21,30,6.2,45017
45,18,472,322,68.22,124,26.27,26,5.51,45018
45,19,474,330,69.62,118,24.89,26,5.49,45019
45,20,472,312,66.1,133,28.18,27,5.72,45020
45,21,530,355,66.98,143,26.98,32,6.04,45021
45,22,480,326,67.92,129,26.88,25,5.21,45022
45,23,466,308,66.09,140,30.04,18,3.86,45023
45,24,478,350,73.22,109,22.8,19,3.97,45024
45,25,429,269,62.7,135,31.47,25,5.83,45025
45,26,445,274,61.57,145,32.58,26,5.84,45026
45,27,434,262,60.37,148,34.1,24,5.53,45027
45,28,469,276,58.85,172,36.67,21,4.48,45028
45,29,455,280,61.54,155,34.07,20,4.4,45029
45,30,380,273,71.84,83,21.84,24,6.32,45030
45,31,357,260,72.83,74,20.73,23,6.44,45031
45,32,396,290,73.23,87,21.97,19,4.8,45032
45,33,303,216,71.29,73,24.09,14,4.62,45033
45,34,445,327,73.48,96,21.57,22,4.94,45034
45,35,483,316,65.42,145,30.02,22,4.55,45035
45,36,465,329,70.75,118,25.38,18,3.87,45036
45,37,419,279,66.59,110,26.25,30,7.16,45037
45,38,414,287,69.32,105,25.36,22,5.31,45038
45,39,419,290,69.21,111,26.49,18,4.3,45039
45,40,438,295,67.35,118,26.94,25,5.71,45040
45,41,400,276,69.0,103,25.75,21,5.25,45041
45,42,434,276,63.59,131,30.18,27,6.22,45042
45,43,451,288,63.86,141,31.26,22,4.88,45043
45,44,457,286,62.58,148,32.39,23,5.03,45044
46,3,664,507,76.36,125,18.83,32,4.82,46003
46,5,629,463,73.61,126,20.03,40,6.36,46005
46,10,678,505,74.48,133,19.62,40,5.9,46010
46,12,83,70,84.34,9,10.84,4,4.82,46012
46,16,236,176,74.58,30,12.71,30,12.71,46016
46,19,380,297,78.16,64,16.84,19,5.0,46019
46,24,155,118,76.13,31,20.0,6,3.87,46024
46,28,563,448,79.57,95,16.87,20,3.55,46028
46,30,573,467,81.5,67,11.69,39,6.81,46030
46,31,622,497,79.9,89,14.31,36,5.79,46031
46,33,687,544,79.18,116,16.89,27,3.93,46033
46,36,535,406,75.89,102,19.07,27,5.05,46036
46,38,568,454,79.93,82,14.44,32,5.63,46038
46,39,526,391,74.33,109,20.72,26,4.94,46039
47,1,385,268,69.61,85,22.08,32,8.31,47001
47,2,602,454,75.42,105,17.44,43,7.14,47002
47,3,550,407,74.0,111,20.18,32,5.82,47003
47,4,649,467,71.96,141,21.73,41,6.32,47004
47,5,595,486,81.68,77,12.94,32,5.38,47005
47,6,592,440,74.32,122,20.61,30,5.07,47006
47,7,519,382,73.6,100,19.27,37,7.13,47007
47,8,608,440,72.37,109,17.93,59,9.7,47008
47,9,496,358,72.18,99,19.96,39,7.86,47009
47,10,645,517,80.16,76,11.78,52,8.06,47010
47,11,527,381,72.3,107,20.3,39,7.4,47011
47,12,557,412,73.97,94,16.88,51,9.16,47012
47,13,533,406,76.17,65,12.2,62,11.63,47013
47,14,519,360,69.36,112,21.58,47,9.06,47014
47,16,515,384,74.56,78,15.15,53,10.29,47016
47,17,500,371,74.2,101,20.2,28,5.6,47017
47,18,517,379,73.31,98,18.96,40,7.74,47018
47,20,535,404,75.51,64,11.96,67,12.52,47020
47,21,534,418,78.28,68,12.73,48,8.99,47021
47,22,568,427,75.18,70,12.32,71,12.5,47022
47,24,564,395,70.04,142,25.18,27,4.79,47024
47,25,521,405,77.74,75,14.4,41,7.87,47025
47,26,577,477,82.67,65,11.27,35,6.07,47026
47,27,535,395,73.83,111,20.75,29,5.42,47027
47,28,520,386,74.23,87,16.73,47,9.04,47028
47,29,577,410,71.06,123,21.32,44,7.63,47029
47,30,340,267,78.53,47,13.82,26,7.65,47030
47,31,532,419,78.76,67,12.59,46,8.65,47031
47,32,588,459,78.06,70,11.9,59,10.03,47032
47,33,565,397,70.27,130,23.01,38,6.73,47033
47,34,564,456,80.85,62,10.99,46,8.16,47034
47,35,523,386,73.8,99,18.93,38,7.27,47035
47,36,591,432,73.1,76,12.86,83,14.04,47036
47,37,594,462,77.78,88,14.81,44,7.41,47037
47,38,529,401,75.8,78,14.74,50,9.45,47038
47,39,564,434,76.95,92,16.31,38,6.74,47039
47,40,563,447,79.4,63,11.19,53,9.41,47040
47,41,600,463,77.17,73,12.17,64,10.67,47041
47,42,529,416,78.64,46,8.7,67,12.67,47042
47,43,529,386,72.97,106,20.04,37,6.99,47043
47,44,545,397,72.84,119,21.83,29,5.32,47044
47,45,575,445,77.39,68,11.83,62,10.78,47045
47,46,551,384,69.69,131,23.77,36,6.53,47046
47,47,596,436,73.15,120,20.13,40,6.71,47047
47,48,36,34,94.44,1,2.78,1,2.78,47048
50,24,412,258,62.62,142,34.47,12,2.91,50024
50,25,29,23,79.31,3,10.34,3,10.34,50025
