ward,precinct,total,Tommy Brewer,Tommy Brewer Percent,precinct_id
28,45,251,251,100.0,28045
28,46,449,449,100.0,28046
29,2,370,370,100.0,29002
29,3,301,301,100.0,29003
29,4,349,349,100.0,29004
29,5,391,391,100.0,29005
29,6,345,345,100.0,29006
29,8,459,459,100.0,29008
29,11,418,418,100.0,29011
29,13,365,365,100.0,29013
29,14,445,445,100.0,29014
29,16,402,402,100.0,29016
29,18,465,465,100.0,29018
29,19,470,470,100.0,29019
29,20,334,334,100.0,29020
29,21,392,392,100.0,29021
29,22,407,407,100.0,29022
29,24,108,108,100.0,29024
29,25,405,405,100.0,29025
29,26,411,411,100.0,29026
29,27,321,321,100.0,29027
29,28,373,373,100.0,29028
29,33,355,355,100.0,29033
29,34,300,300,100.0,29034
29,35,441,441,100.0,29035
29,37,394,394,100.0,29037
29,40,435,435,100.0,29040
29,41,356,356,100.0,29041
29,42,317,317,100.0,29042
29,44,394,394,100.0,29044
37,1,269,269,100.0,37001
37,3,288,288,100.0,37003
37,4,276,276,100.0,37004
37,5,416,416,100.0,37005
37,6,357,357,100.0,37006
37,7,212,212,100.0,37007
37,8,235,235,100.0,37008
37,9,385,385,100.0,37009
37,11,264,264,100.0,37011
37,13,264,264,100.0,37013
37,14,348,348,100.0,37014
37,15,348,348,100.0,37015
37,17,328,328,100.0,37017
37,18,337,337,100.0,37018
37,19,258,258,100.0,37019
37,20,326,326,100.0,37020
37,21,276,276,100.0,37021
37,22,80,80,100.0,37022
37,23,361,361,100.0,37023
37,24,85,85,100.0,37024
37,25,353,353,100.0,37025
37,27,358,358,100.0,37027
37,28,241,241,100.0,37028
37,29,344,344,100.0,37029
37,30,370,370,100.0,37030
37,31,376,376,100.0,37031
37,32,352,352,100.0,37032
37,33,309,309,100.0,37033
37,34,289,289,100.0,37034
37,35,341,341,100.0,37035
37,36,328,328,100.0,37036
37,37,361,361,100.0,37037
37,38,322,322,100.0,37038
37,39,347,347,100.0,37039
37,40,370,370,100.0,37040
37,41,224,224,100.0,37041
42,3,335,335,100.0,42003
42,12,57,57,100.0,42012
42,16,311,311,100.0,42016
42,18,363,363,100.0,42018
42,21,253,253,100.0,42021
42,36,452,452,100.0,42036
42,41,391,391,100.0,42041
