ward,precinct,total,Janice D. Schakowsky,Janice D. Schakowsky Percent,Timothy C Wolfe,Timothy C Wolfe Percent,precinct_id
48,31,684,612,89.47,72,10.53,48031
48,32,489,439,89.78,50,10.22,48032
48,33,310,261,84.19,49,15.81,48033
48,34,478,426,89.12,52,10.88,48034
48,35,425,345,81.18,80,18.82,48035
48,36,333,277,83.18,56,16.82,48036
48,37,493,431,87.42,62,12.58,48037
48,38,514,438,85.21,76,14.79,48038
48,39,470,377,80.21,93,19.79,48039
48,40,462,405,87.66,57,12.34,48040
48,41,611,541,88.54,70,11.46,48041
48,42,592,532,89.86,60,10.14,48042
48,43,585,514,87.86,71,12.14,48043
48,44,609,558,91.63,51,8.37,48044
48,45,398,363,91.21,35,8.79,48045
48,46,357,301,84.31,56,15.69,48046
49,1,473,455,96.19,18,3.81,49001
49,2,365,327,89.59,38,10.41,49002
49,3,570,522,91.58,48,8.42,49003
49,4,621,566,91.14,55,8.86,49004
49,5,515,476,92.43,39,7.57,49005
49,6,543,464,85.45,79,14.55,49006
49,7,440,353,80.23,87,19.77,49007
49,8,444,389,87.61,55,12.39,49008
49,9,585,514,87.86,71,12.14,49009
49,10,535,478,89.35,57,10.65,49010
49,11,648,594,91.67,54,8.33,49011
49,12,643,571,88.8,72,11.2,49012
49,13,619,537,86.75,82,13.25,49013
49,14,478,417,87.24,61,12.76,49014
49,15,409,368,89.98,41,10.02,49015
49,16,460,395,85.87,65,14.13,49016
49,17,455,383,84.18,72,15.82,49017
49,18,661,611,92.44,50,7.56,49018
49,19,480,442,92.08,38,7.92,49019
49,20,736,679,92.26,57,7.74,49020
49,21,336,300,89.29,36,10.71,49021
49,22,561,494,88.06,67,11.94,49022
49,23,568,517,91.02,51,8.98,49023
49,24,513,463,90.25,50,9.75,49024
49,25,688,622,90.41,66,9.59,49025
49,26,604,504,83.44,100,16.56,49026
49,27,620,579,93.39,41,6.61,49027
49,28,595,534,89.75,61,10.25,49028
49,29,628,572,91.08,56,8.92,49029
49,30,577,496,85.96,81,14.04,49030
49,31,439,390,88.84,49,11.16,49031
49,32,526,490,93.16,36,6.84,49032
49,33,472,428,90.68,44,9.32,49033
50,1,446,290,65.02,156,34.98,50001
50,2,299,201,67.22,98,32.78,50002
50,3,422,288,68.25,134,31.75,50003
50,4,494,400,80.97,94,19.03,50004
50,5,395,236,59.75,159,40.25,50005
50,6,484,388,80.17,96,19.83,50006
50,7,514,410,79.77,104,20.23,50007
50,8,426,374,87.79,52,12.21,50008
50,9,354,278,78.53,76,21.47,50009
50,10,429,290,67.6,139,32.4,50010
50,11,348,179,51.44,169,48.56,50011
50,12,204,125,61.27,79,38.73,50012
50,13,484,426,88.02,58,11.98,50013
50,14,160,96,60.0,64,40.0,50014
50,15,520,431,82.88,89,17.12,50015
50,16,175,114,65.14,61,34.86,50016
50,17,413,296,71.67,117,28.33,50017
50,18,105,60,57.14,45,42.86,50018
50,19,291,233,80.07,58,19.93,50019
50,20,431,336,77.96,95,22.04,50020
50,21,386,287,74.35,99,25.65,50021
50,22,387,265,68.48,122,31.52,50022
50,23,325,228,70.15,97,29.85,50023
50,25,385,256,66.49,129,33.51,50025
50,26,436,361,82.8,75,17.2,50026
50,27,142,97,68.31,45,31.69,50027
50,28,538,452,84.01,86,15.99,50028
50,29,389,331,85.09,58,14.91,50029
50,30,318,262,82.39,56,17.61,50030
50,31,454,406,89.43,48,10.57,50031
50,32,485,442,91.13,43,8.87,50032
50,33,381,214,56.17,167,43.83,50033
50,34,532,402,75.56,130,24.44,50034
50,35,509,426,83.69,83,16.31,50035
50,36,408,307,75.25,101,24.75,50036
50,37,419,347,82.82,72,17.18,50037
50,38,203,147,72.41,56,27.59,50038
50,39,330,245,74.24,85,25.76,50039
50,40,448,227,50.67,221,49.33,50040
