ward,precinct,total,John H. Ehrlich,John H. Ehrlich Percent,precinct_id
42,32,256,256,100.0,42032
42,33,343,343,100.0,42033
42,34,279,279,100.0,42034
42,35,439,439,100.0,42035
42,36,0,0,0.0,42036
42,37,258,258,100.0,42037
42,38,312,312,100.0,42038
42,39,336,336,100.0,42039
42,40,344,344,100.0,42040
42,42,390,390,100.0,42042
43,1,353,353,100.0,43001
43,2,344,344,100.0,43002
43,3,279,279,100.0,43003
43,4,368,368,100.0,43004
43,5,385,385,100.0,43005
43,6,323,323,100.0,43006
43,7,231,231,100.0,43007
43,8,284,284,100.0,43008
43,9,392,392,100.0,43009
43,10,383,383,100.0,43010
43,11,277,277,100.0,43011
43,12,243,243,100.0,43012
43,13,344,344,100.0,43013
43,14,344,344,100.0,43014
43,15,309,309,100.0,43015
43,16,398,398,100.0,43016
43,17,294,294,100.0,43017
43,18,376,376,100.0,43018
43,19,375,375,100.0,43019
43,20,366,366,100.0,43020
43,21,343,343,100.0,43021
43,22,335,335,100.0,43022
43,23,277,277,100.0,43023
43,24,266,266,100.0,43024
43,25,291,291,100.0,43025
43,26,215,215,100.0,43026
43,27,218,218,100.0,43027
43,28,421,421,100.0,43028
43,29,288,288,100.0,43029
43,30,342,342,100.0,43030
43,31,332,332,100.0,43031
43,32,355,355,100.0,43032
43,33,327,327,100.0,43033
43,34,257,257,100.0,43034
43,35,358,358,100.0,43035
43,36,218,218,100.0,43036
43,37,382,382,100.0,43037
43,38,289,289,100.0,43038
43,39,276,276,100.0,43039
43,40,257,257,100.0,43040
43,41,428,428,100.0,43041
43,42,322,322,100.0,43042
43,43,331,331,100.0,43043
43,44,358,358,100.0,43044
44,1,439,439,100.0,44001
44,2,370,370,100.0,44002
44,3,387,387,100.0,44003
44,4,317,317,100.0,44004
44,5,406,406,100.0,44005
44,6,483,483,100.0,44006
44,7,258,258,100.0,44007
44,8,438,438,100.0,44008
44,9,352,352,100.0,44009
44,10,369,369,100.0,44010
44,11,377,377,100.0,44011
44,12,435,435,100.0,44012
44,13,281,281,100.0,44013
44,14,322,322,100.0,44014
44,15,394,394,100.0,44015
44,16,389,389,100.0,44016
44,17,458,458,100.0,44017
44,18,377,377,100.0,44018
44,19,419,419,100.0,44019
44,20,369,369,100.0,44020
44,21,464,464,100.0,44021
44,22,387,387,100.0,44022
44,23,397,397,100.0,44023
44,24,287,287,100.0,44024
44,25,374,374,100.0,44025
44,26,392,392,100.0,44026
44,27,393,393,100.0,44027
44,28,427,427,100.0,44028
44,29,355,355,100.0,44029
44,30,403,403,100.0,44030
44,31,307,307,100.0,44031
44,32,400,400,100.0,44032
44,33,392,392,100.0,44033
44,34,435,435,100.0,44034
44,35,396,396,100.0,44035
44,36,390,390,100.0,44036
44,37,449,449,100.0,44037
44,38,357,357,100.0,44038
44,39,329,329,100.0,44039
44,40,307,307,100.0,44040
44,41,433,433,100.0,44041
46,1,263,263,100.0,46001
46,2,324,324,100.0,46002
46,3,410,410,100.0,46003
46,4,334,334,100.0,46004
46,5,385,385,100.0,46005
46,6,272,272,100.0,46006
46,7,390,390,100.0,46007
46,8,229,229,100.0,46008
46,9,371,371,100.0,46009
46,10,436,436,100.0,46010
46,11,306,306,100.0,46011
46,12,359,359,100.0,46012
46,13,375,375,100.0,46013
46,14,364,364,100.0,46014
46,15,389,389,100.0,46015
46,16,386,386,100.0,46016
46,17,444,444,100.0,46017
46,18,377,377,100.0,46018
46,19,250,250,100.0,46019
46,20,314,314,100.0,46020
46,21,250,250,100.0,46021
46,22,234,234,100.0,46022
46,23,310,310,100.0,46023
46,24,386,386,100.0,46024
46,25,330,330,100.0,46025
46,26,351,351,100.0,46026
46,27,401,401,100.0,46027
46,28,341,341,100.0,46028
46,29,279,279,100.0,46029
46,30,350,350,100.0,46030
46,31,420,420,100.0,46031
46,32,319,319,100.0,46032
46,33,450,450,100.0,46033
46,34,409,409,100.0,46034
46,35,448,448,100.0,46035
46,36,311,311,100.0,46036
46,37,270,270,100.0,46037
46,38,371,371,100.0,46038
46,39,316,316,100.0,46039
46,40,297,297,100.0,46040
47,9,93,93,100.0,47009
47,11,333,333,100.0,47011
47,15,439,439,100.0,47015
47,18,318,318,100.0,47018
47,19,423,423,100.0,47019
47,23,390,390,100.0,47023
47,24,353,353,100.0,47024
47,33,105,105,100.0,47033
47,41,384,384,100.0,47041
47,44,303,303,100.0,47044
48,1,328,328,100.0,48001
48,2,149,149,100.0,48002
48,3,413,413,100.0,48003
48,4,302,302,100.0,48004
48,5,199,199,100.0,48005
48,6,423,423,100.0,48006
48,7,379,379,100.0,48007
48,8,171,171,100.0,48008
48,9,247,247,100.0,48009
48,10,463,463,100.0,48010
48,11,297,297,100.0,48011
48,12,423,423,100.0,48012
48,14,201,201,100.0,48014
48,16,367,367,100.0,48016
48,17,307,307,100.0,48017
48,18,287,287,100.0,48018
48,19,224,224,100.0,48019
48,20,399,399,100.0,48020
48,21,421,421,100.0,48021
48,23,264,264,100.0,48023
48,24,347,347,100.0,48024
48,25,315,315,100.0,48025
48,26,195,195,100.0,48026
48,27,100,100,100.0,48027
48,28,452,452,100.0,48028
48,29,160,160,100.0,48029
48,30,331,331,100.0,48030
48,31,267,267,100.0,48031
48,32,125,125,100.0,48032
48,34,316,316,100.0,48034
48,35,279,279,100.0,48035
48,36,212,212,100.0,48036
48,37,344,344,100.0,48037
48,38,360,360,100.0,48038
48,39,268,268,100.0,48039
48,40,318,318,100.0,48040
48,41,428,428,100.0,48041
48,42,418,418,100.0,48042
48,43,413,413,100.0,48043
48,44,439,439,100.0,48044
48,45,280,280,100.0,48045
49,2,254,254,100.0,49002
49,17,308,308,100.0,49017
