ward,precinct,total,Karen A. Yarbrough,Karen A. Yarbrough Percent,Sherri Griffith,Sherri Griffith Percent,precinct_id
8,8,457,442,96.72,15,3.28,08008
8,9,339,333,98.23,6,1.77,08009
8,10,556,546,98.2,10,1.8,08010
8,11,455,431,94.73,24,5.27,08011
8,12,440,427,97.05,13,2.95,08012
8,13,607,583,96.05,24,3.95,08013
8,14,407,397,97.54,10,2.46,08014
8,15,496,484,97.58,12,2.42,08015
8,16,213,206,96.71,7,3.29,08016
8,17,389,383,98.46,6,1.54,08017
8,18,481,462,96.05,19,3.95,08018
8,19,519,502,96.72,17,3.28,08019
8,20,519,507,97.69,12,2.31,08020
8,21,652,639,98.01,13,1.99,08021
8,22,476,461,96.85,15,3.15,08022
8,23,474,463,97.68,11,2.32,08023
8,24,280,271,96.79,9,3.21,08024
8,25,496,475,95.77,21,4.23,08025
8,26,463,450,97.19,13,2.81,08026
8,27,504,491,97.42,13,2.58,08027
8,28,537,522,97.21,15,2.79,08028
8,29,591,573,96.95,18,3.05,08029
8,30,515,498,96.7,17,3.3,08030
8,31,396,377,95.2,19,4.8,08031
8,32,415,403,97.11,12,2.89,08032
8,33,479,456,95.2,23,4.8,08033
8,34,451,443,98.23,8,1.77,08034
8,35,556,539,96.94,17,3.06,08035
8,36,511,499,97.65,12,2.35,08036
8,37,400,382,95.5,18,4.5,08037
8,38,362,349,96.41,13,3.59,08038
8,39,468,457,97.65,11,2.35,08039
8,40,386,377,97.67,9,2.33,08040
8,41,528,516,97.73,12,2.27,08041
8,42,640,625,97.66,15,2.34,08042
8,43,297,288,96.97,9,3.03,08043
8,44,373,364,97.59,9,2.41,08044
8,45,556,534,96.04,22,3.96,08045
8,46,401,387,96.51,14,3.49,08046
8,47,406,398,98.03,8,1.97,08047
8,48,558,541,96.95,17,3.05,08048
8,49,497,488,98.19,9,1.81,08049
8,50,516,504,97.67,12,2.33,08050
8,51,489,476,97.34,13,2.66,08051
8,52,581,568,97.76,13,2.24,08052
8,53,327,319,97.55,8,2.45,08053
8,54,436,429,98.39,7,1.61,08054
8,55,301,296,98.34,5,1.66,08055
8,56,496,482,97.18,14,2.82,08056
9,1,515,501,97.28,14,2.72,09001
9,2,438,424,96.8,14,3.2,09002
9,3,528,506,95.83,22,4.17,09003
9,4,394,381,96.7,13,3.3,09004
9,5,456,445,97.59,11,2.41,09005
9,6,451,439,97.34,12,2.66,09006
9,7,445,418,93.93,27,6.07,09007
9,8,569,557,97.89,12,2.11,09008
9,9,551,529,96.01,22,3.99,09009
9,10,442,428,96.83,14,3.17,09010
9,11,405,386,95.31,19,4.69,09011
9,12,539,523,97.03,16,2.97,09012
9,13,507,492,97.04,15,2.96,09013
9,14,548,528,96.35,20,3.65,09014
9,15,570,553,97.02,17,2.98,09015
9,16,436,424,97.25,12,2.75,09016
9,17,470,456,97.02,14,2.98,09017
9,18,404,387,95.79,17,4.21,09018
9,19,480,467,97.29,13,2.71,09019
9,20,501,491,98.0,10,2.0,09020
9,21,469,450,95.95,19,4.05,09021
9,22,482,469,97.3,13,2.7,09022
9,23,500,482,96.4,18,3.6,09023
9,24,513,501,97.66,12,2.34,09024
9,25,476,465,97.69,11,2.31,09025
9,26,581,561,96.56,20,3.44,09026
9,27,455,443,97.36,12,2.64,09027
9,28,290,282,97.24,8,2.76,09028
9,29,455,431,94.73,24,5.27,09029
9,30,418,404,96.65,14,3.35,09030
9,31,397,383,96.47,14,3.53,09031
9,32,450,435,96.67,15,3.33,09032
9,33,468,458,97.86,10,2.14,09033
9,34,382,368,96.34,14,3.66,09034
9,35,473,461,97.46,12,2.54,09035
9,36,432,422,97.69,10,2.31,09036
9,37,507,437,86.19,70,13.81,09037
9,38,488,473,96.93,15,3.07,09038
9,39,474,462,97.47,12,2.53,09039
9,40,510,494,96.86,16,3.14,09040
9,41,410,394,96.1,16,3.9,09041
9,42,513,496,96.69,17,3.31,09042
9,43,427,418,97.89,9,2.11,09043
9,44,373,354,94.91,19,5.09,09044
9,45,407,399,98.03,8,1.97,09045
9,46,542,512,94.46,30,5.54,09046
9,47,473,462,97.67,11,2.33,09047
9,48,490,474,96.73,16,3.27,09048
9,49,475,470,98.95,5,1.05,09049
9,50,604,592,98.01,12,1.99,09050
9,51,467,454,97.22,13,2.78,09051
10,1,358,341,95.25,17,4.75,10001
10,2,417,280,67.15,137,32.85,10002
10,3,325,236,72.62,89,27.38,10003
10,4,375,346,92.27,29,7.73,10004
10,5,326,226,69.33,100,30.67,10005
10,6,308,246,79.87,62,20.13,10006
10,7,296,256,86.49,40,13.51,10007
10,8,412,392,95.15,20,4.85,10008
10,9,404,262,64.85,142,35.15,10009
10,10,379,290,76.52,89,23.48,10010
10,11,455,373,81.98,82,18.02,10011
10,12,199,142,71.36,57,28.64,10012
10,13,377,346,91.78,31,8.22,10013
10,14,466,369,79.18,97,20.82,10014
10,15,817,792,96.94,25,3.06,10015
10,16,309,247,79.94,62,20.06,10016
10,17,489,335,68.51,154,31.49,10017
10,18,300,278,92.67,22,7.33,10018
10,19,363,254,69.97,109,30.03,10019
10,20,401,324,80.8,77,19.2,10020
10,21,362,283,78.18,79,21.82,10021
10,22,240,211,87.92,29,12.08,10022
10,23,384,337,87.76,47,12.24,10023
10,24,408,251,61.52,157,38.48,10024
10,25,127,115,90.55,12,9.45,10025
10,26,291,264,90.72,27,9.28,10026
10,27,520,494,95.0,26,5.0,10027
10,28,359,293,81.62,66,18.38,10028
10,29,327,259,79.2,68,20.8,10029
10,30,349,298,85.39,51,14.61,10030
10,31,322,295,91.61,27,8.39,10031
10,32,328,250,76.22,78,23.78,10032
10,33,245,215,87.76,30,12.24,10033
10,34,332,303,91.27,29,8.73,10034
10,35,404,253,62.62,151,37.38,10035
10,36,110,95,86.36,15,13.64,10036
11,1,387,301,77.78,86,22.22,11001
11,2,112,82,73.21,30,26.79,11002
11,3,398,358,89.95,40,10.05,11003
11,4,368,313,85.05,55,14.95,11004
11,5,357,309,86.55,48,13.45,11005
11,6,575,434,75.48,141,24.52,11006
11,7,569,468,82.25,101,17.75,11007
11,8,355,296,83.38,59,16.62,11008
11,9,395,320,81.01,75,18.99,11009
11,10,232,192,82.76,40,17.24,11010
11,11,446,335,75.11,111,24.89,11011
11,12,479,376,78.5,103,21.5,11012
11,13,414,311,75.12,103,24.88,11013
11,14,346,265,76.59,81,23.41,11014
11,15,296,239,80.74,57,19.26,11015
11,16,294,200,68.03,94,31.97,11016
11,17,447,343,76.73,104,23.27,11017
11,18,333,271,81.38,62,18.62,11018
11,19,518,426,82.24,92,17.76,11019
11,20,401,312,77.81,89,22.19,11020
11,21,546,445,81.5,101,18.5,11021
11,22,387,313,80.88,74,19.12,11022
11,23,409,329,80.44,80,19.56,11023
11,24,485,401,82.68,84,17.32,11024
11,25,403,324,80.4,79,19.6,11025
11,26,356,280,78.65,76,21.35,11026
11,27,273,222,81.32,51,18.68,11027
11,28,368,278,75.54,90,24.46,11028
11,29,493,362,73.43,131,26.57,11029
11,30,262,201,76.72,61,23.28,11030
11,31,468,359,76.71,109,23.29,11031
11,32,245,197,80.41,48,19.59,11032
11,33,491,378,76.99,113,23.01,11033
11,34,168,132,78.57,36,21.43,11034
12,1,346,290,83.82,56,16.18,12001
12,2,305,253,82.95,52,17.05,12002
12,3,419,350,83.53,69,16.47,12003
12,4,406,328,80.79,78,19.21,12004
12,5,306,233,76.14,73,23.86,12005
12,6,359,289,80.5,70,19.5,12006
12,7,317,286,90.22,31,9.78,12007
12,8,381,313,82.15,68,17.85,12008
12,9,308,262,85.06,46,14.94,12009
12,10,351,316,90.03,35,9.97,12010
12,11,338,297,87.87,41,12.13,12011
12,12,355,301,84.79,54,15.21,12012
12,13,379,315,83.11,64,16.89,12013
12,14,288,258,89.58,30,10.42,12014
12,15,291,260,89.35,31,10.65,12015
12,16,314,283,90.13,31,9.87,12016
12,17,343,287,83.67,56,16.33,12017
12,18,303,268,88.45,35,11.55,12018
12,19,322,269,83.54,53,16.46,12019
12,20,405,340,83.95,65,16.05,12020
12,21,373,326,87.4,47,12.6,12021
12,22,255,225,88.24,30,11.76,12022
12,23,357,314,87.96,43,12.04,12023
13,1,300,216,72.0,84,28.0,13001
13,2,275,187,68.0,88,32.0,13002
13,3,246,212,86.18,34,13.82,13003
13,4,391,276,70.59,115,29.41,13004
13,5,374,312,83.42,62,16.58,13005
13,6,317,195,61.51,122,38.49,13006
13,7,278,239,85.97,39,14.03,13007
13,8,281,190,67.62,91,32.38,13008
13,9,365,291,79.73,74,20.27,13009
13,10,331,189,57.1,142,42.9,13010
13,11,353,266,75.35,87,24.65,13011
13,12,290,238,82.07,52,17.93,13012
13,13,368,322,87.5,46,12.5,13013
13,14,310,246,79.35,64,20.65,13014
13,15,468,398,85.04,70,14.96,13015
13,16,258,226,87.6,32,12.4,13016
13,17,313,226,72.2,87,27.8,13017
13,18,280,200,71.43,80,28.57,13018
13,19,367,333,90.74,34,9.26,13019
13,20,220,134,60.91,86,39.09,13020
13,21,400,241,60.25,159,39.75,13021
13,22,360,237,65.83,123,34.17,13022
13,23,276,241,87.32,35,12.68,13023
13,24,297,239,80.47,58,19.53,13024
13,25,324,233,71.91,91,28.09,13025
13,26,310,244,78.71,66,21.29,13026
13,27,325,247,76.0,78,24.0,13027
13,28,248,205,82.66,43,17.34,13028
13,29,287,240,83.62,47,16.38,13029
13,30,197,171,86.8,26,13.2,13030
13,31,361,234,64.82,127,35.18,13031
13,32,280,175,62.5,105,37.5,13032
13,33,310,206,66.45,104,33.55,13033
13,34,371,326,87.87,45,12.13,13034
13,35,288,241,83.68,47,16.32,13035
13,36,208,173,83.17,35,16.83,13036
13,37,346,305,88.15,41,11.85,13037
13,38,280,185,66.07,95,33.93,13038
13,39,334,290,86.83,44,13.17,13039
13,40,283,231,81.63,52,18.37,13040
13,41,341,294,86.22,47,13.78,13041
13,42,319,206,64.58,113,35.42,13042
13,43,338,271,80.18,67,19.82,13043
13,44,411,377,91.73,34,8.27,13044
13,45,369,276,74.8,93,25.2,13045
13,46,370,313,84.59,57,15.41,13046
13,47,352,304,86.36,48,13.64,13047
13,48,254,177,69.69,77,30.31,13048
14,1,451,297,65.85,154,34.15,14001
14,2,470,370,78.72,100,21.28,14002
14,3,333,301,90.39,32,9.61,14003
14,4,373,233,62.47,140,37.53,14004
14,5,473,434,91.75,39,8.25,14005
14,6,141,129,91.49,12,8.51,14006
14,7,407,330,81.08,77,18.92,14007
14,8,351,297,84.62,54,15.38,14008
14,9,433,311,71.82,122,28.18,14009
14,10,261,216,82.76,45,17.24,14010
14,11,218,195,89.45,23,10.55,14011
14,12,346,281,81.21,65,18.79,14012
14,13,255,222,87.06,33,12.94,14013
14,14,324,280,86.42,44,13.58,14014
14,15,360,326,90.56,34,9.44,14015
14,16,271,228,84.13,43,15.87,14016
14,17,294,266,90.48,28,9.52,14017
14,18,142,111,78.17,31,21.83,14018
14,19,313,275,87.86,38,12.14,14019
14,20,229,184,80.35,45,19.65,14020
14,21,302,277,91.72,25,8.28,14021
14,22,401,310,77.31,91,22.69,14022
14,23,288,215,74.65,73,25.35,14023
14,24,443,305,68.85,138,31.15,14024
14,25,215,193,89.77,22,10.23,14025
14,26,226,195,86.28,31,13.72,14026
14,27,357,283,79.27,74,20.73,14027
14,28,268,222,82.84,46,17.16,14028
14,29,322,289,89.75,33,10.25,14029
14,30,188,169,89.89,19,10.11,14030
14,31,198,168,84.85,30,15.15,14031
15,1,312,272,87.18,40,12.82,15001
15,2,389,378,97.17,11,2.83,15002
15,3,388,378,97.42,10,2.58,15003
15,4,312,269,86.22,43,13.78,15004
15,5,312,280,89.74,32,10.26,15005
15,6,343,281,81.92,62,18.08,15006
15,7,395,383,96.96,12,3.04,15007
15,8,304,260,85.53,44,14.47,15008
15,9,382,328,85.86,54,14.14,15009
15,10,433,366,84.53,67,15.47,15010
15,11,387,341,88.11,46,11.89,15011
15,12,351,300,85.47,51,14.53,15012
15,13,318,270,84.91,48,15.09,15013
15,14,247,220,89.07,27,10.93,15014
15,15,290,263,90.69,27,9.31,15015
15,16,308,277,89.94,31,10.06,15016
15,17,350,332,94.86,18,5.14,15017
15,18,387,371,95.87,16,4.13,15018
15,19,319,278,87.15,41,12.85,15019
15,20,389,377,96.92,12,3.08,15020
15,21,364,350,96.15,14,3.85,15021
15,22,440,429,97.5,11,2.5,15022
15,23,448,440,98.21,8,1.79,15023
15,24,403,392,97.27,11,2.73,15024
16,1,403,349,86.6,54,13.4,16001
16,2,400,373,93.25,27,6.75,16002
16,3,421,401,95.25,20,4.75,16003
16,4,425,408,96.0,17,4.0,16004
16,5,467,456,97.64,11,2.36,16005
16,6,415,401,96.63,14,3.37,16006
16,7,434,412,94.93,22,5.07,16007
16,8,360,344,95.56,16,4.44,16008
16,9,498,485,97.39,13,2.61,16009
16,10,415,397,95.66,18,4.34,16010
16,11,438,419,95.66,19,4.34,16011
16,12,375,353,94.13,22,5.87,16012
16,13,379,351,92.61,28,7.39,16013
16,14,457,435,95.19,22,4.81,16014
16,15,440,433,98.41,7,1.59,16015
16,16,410,394,96.1,16,3.9,16016
16,17,414,382,92.27,32,7.73,16017
16,18,414,391,94.44,23,5.56,16018
16,19,411,391,95.13,20,4.87,16019
16,20,362,353,97.51,9,2.49,16020
16,21,420,406,96.67,14,3.33,16021
16,22,439,420,95.67,19,4.33,16022
16,23,299,272,90.97,27,9.03,16023
16,24,317,299,94.32,18,5.68,16024
16,25,417,403,96.64,14,3.36,16025
16,26,398,389,97.74,9,2.26,16026
16,27,412,396,96.12,16,3.88,16027
16,28,402,387,96.27,15,3.73,16028
16,29,398,393,98.74,5,1.26,16029
16,30,459,449,97.82,10,2.18,16030
16,31,415,407,98.07,8,1.93,16031
16,32,359,325,90.53,34,9.47,16032
16,33,428,413,96.5,15,3.5,16033
16,34,448,428,95.54,20,4.46,16034
16,35,379,349,92.08,30,7.92,16035
16,36,370,356,96.22,14,3.78,16036
17,1,375,327,87.2,48,12.8,17001
17,2,545,536,98.35,9,1.65,17002
17,3,526,511,97.15,15,2.85,17003
17,4,567,555,97.88,12,2.12,17004
17,5,387,359,92.76,28,7.24,17005
17,6,397,382,96.22,15,3.78,17006
17,7,339,315,92.92,24,7.08,17007
17,8,468,460,98.29,8,1.71,17008
17,9,518,495,95.56,23,4.44,17009
17,10,518,495,95.56,23,4.44,17010
17,11,428,409,95.56,19,4.44,17011
17,12,502,469,93.43,33,6.57,17012
17,13,457,440,96.28,17,3.72,17013
17,14,463,432,93.3,31,6.7,17014
17,15,518,499,96.33,19,3.67,17015
17,16,461,428,92.84,33,7.16,17016
17,17,447,416,93.06,31,6.94,17017
17,18,480,468,97.5,12,2.5,17018
17,19,391,377,96.42,14,3.58,17019
17,20,528,519,98.3,9,1.7,17020
17,21,576,551,95.66,25,4.34,17021
17,22,449,435,96.88,14,3.12,17022
17,23,423,407,96.22,16,3.78,17023
