ward,precinct,total,Daniel William Lipinski,Daniel William Lipinski Percent,Richard L. Grabowski,Richard L. Grabowski Percent,precinct_id
19,25,372,262,70.43,110,29.57,19025
19,26,489,371,75.87,118,24.13,19026
19,29,412,272,66.02,140,33.98,19029
19,30,476,325,68.28,151,31.72,19030
19,32,455,368,80.88,87,19.12,19032
19,33,486,331,68.11,155,31.89,19033
19,34,429,318,74.13,111,25.87,19034
19,35,409,317,77.51,92,22.49,19035
19,41,493,358,72.62,135,27.38,19041
19,44,550,383,69.64,167,30.36,19044
19,45,443,332,74.94,111,25.06,19045
19,46,524,383,73.09,141,26.91,19046
19,50,406,313,77.09,93,22.91,19050
19,51,530,422,79.62,108,20.38,19051
19,52,359,242,67.41,117,32.59,19052
19,53,424,332,78.3,92,21.7,19053
19,54,410,279,68.05,131,31.95,19054
19,55,480,322,67.08,158,32.92,19055
19,56,506,401,79.25,105,20.75,19056
19,57,486,403,82.92,83,17.08,19057
19,58,436,315,72.25,121,27.75,19058
20,4,86,75,87.21,11,12.79,20004
20,15,109,95,87.16,14,12.84,20015
20,20,0,0,0.0,0,0.0,20020
22,1,501,494,98.6,7,1.4,22001
22,2,487,404,82.96,83,17.04,22002
22,8,500,435,87.0,65,13.0,22008
22,12,361,317,87.81,44,12.19,22012
22,23,439,427,97.27,12,2.73,22023
23,1,394,315,79.95,79,20.05,23001
23,2,409,320,78.24,89,21.76,23002
23,3,380,285,75.0,95,25.0,23003
23,4,405,329,81.23,76,18.77,23004
23,5,308,275,89.29,33,10.71,23005
23,6,367,320,87.19,47,12.81,23006
23,7,344,304,88.37,40,11.63,23007
23,8,411,337,82.0,74,18.0,23008
23,9,147,122,82.99,25,17.01,23009
23,10,401,354,88.28,47,11.72,23010
23,11,414,363,87.68,51,12.32,23011
23,12,380,313,82.37,67,17.63,23012
23,14,326,265,81.29,61,18.71,23014
23,15,246,226,91.87,20,8.13,23015
23,16,376,312,82.98,64,17.02,23016
23,17,144,129,89.58,15,10.42,23017
23,18,392,277,70.66,115,29.34,23018
23,19,241,217,90.04,24,9.96,23019
23,20,235,198,84.26,37,15.74,23020
23,21,403,305,75.68,98,24.32,23021
23,22,373,310,83.11,63,16.89,23022
23,23,372,268,72.04,104,27.96,23023
23,25,350,301,86.0,49,14.0,23025
23,26,244,209,85.66,35,14.34,23026
23,27,366,278,75.96,88,24.04,23027
23,28,404,325,80.45,79,19.55,23028
23,29,319,252,79.0,67,21.0,23029
23,30,365,320,87.67,45,12.33,23030
23,31,212,178,83.96,34,16.04,23031
23,32,362,315,87.02,47,12.98,23032
23,33,374,328,87.7,46,12.3,23033
23,34,192,168,87.5,24,12.5,23034
23,35,289,223,77.16,66,22.84,23035
23,36,375,293,78.13,82,21.87,23036
23,37,361,279,77.29,82,22.71,23037
23,38,356,281,78.93,75,21.07,23038
23,39,51,50,98.04,1,1.96,23039
25,32,0,0,0.0,0,0.0,25032
