ward,precinct,total,Laura Liu,Laura Liu Percent,precinct_id
40,28,82,82,100.0,40028
40,31,379,379,100.0,40031
40,32,390,390,100.0,40032
40,33,365,365,100.0,40033
40,36,308,308,100.0,40036
42,1,309,309,100.0,42001
42,2,469,469,100.0,42002
42,4,439,439,100.0,42004
42,5,277,277,100.0,42005
42,6,334,334,100.0,42006
42,7,412,412,100.0,42007
42,8,281,281,100.0,42008
42,9,399,399,100.0,42009
42,10,311,311,100.0,42010
42,11,208,208,100.0,42011
42,12,229,229,100.0,42012
42,13,290,290,100.0,42013
42,14,374,374,100.0,42014
42,15,286,286,100.0,42015
42,17,281,281,100.0,42017
42,19,336,336,100.0,42019
42,20,340,340,100.0,42020
42,22,162,162,100.0,42022
42,23,317,317,100.0,42023
42,24,307,307,100.0,42024
42,25,332,332,100.0,42025
42,26,349,349,100.0,42026
42,27,266,266,100.0,42027
42,28,393,393,100.0,42028
42,29,327,327,100.0,42029
42,30,245,245,100.0,42030
42,31,302,302,100.0,42031
42,32,261,261,100.0,42032
42,33,350,350,100.0,42033
42,34,288,288,100.0,42034
42,35,438,438,100.0,42035
42,36,0,0,0.0,42036
42,37,263,263,100.0,42037
42,38,315,315,100.0,42038
42,39,337,337,100.0,42039
42,40,349,349,100.0,42040
42,42,391,391,100.0,42042
43,1,351,351,100.0,43001
43,2,345,345,100.0,43002
43,3,285,285,100.0,43003
43,4,364,364,100.0,43004
43,5,386,386,100.0,43005
43,6,327,327,100.0,43006
43,7,232,232,100.0,43007
43,8,278,278,100.0,43008
43,9,396,396,100.0,43009
43,10,386,386,100.0,43010
43,11,271,271,100.0,43011
43,12,240,240,100.0,43012
43,13,343,343,100.0,43013
43,14,351,351,100.0,43014
43,15,320,320,100.0,43015
43,16,401,401,100.0,43016
43,17,292,292,100.0,43017
43,18,380,380,100.0,43018
43,19,385,385,100.0,43019
43,20,364,364,100.0,43020
43,21,347,347,100.0,43021
43,22,334,334,100.0,43022
43,23,282,282,100.0,43023
43,24,271,271,100.0,43024
43,25,289,289,100.0,43025
43,26,214,214,100.0,43026
43,27,220,220,100.0,43027
43,28,418,418,100.0,43028
43,29,289,289,100.0,43029
43,30,346,346,100.0,43030
43,31,328,328,100.0,43031
43,32,354,354,100.0,43032
43,33,331,331,100.0,43033
43,34,255,255,100.0,43034
43,35,360,360,100.0,43035
43,36,218,218,100.0,43036
43,37,383,383,100.0,43037
43,38,301,301,100.0,43038
43,39,284,284,100.0,43039
43,40,259,259,100.0,43040
43,41,439,439,100.0,43041
43,42,330,330,100.0,43042
43,43,338,338,100.0,43043
43,44,365,365,100.0,43044
44,1,443,443,100.0,44001
44,2,371,371,100.0,44002
44,3,396,396,100.0,44003
44,4,316,316,100.0,44004
44,5,401,401,100.0,44005
44,6,480,480,100.0,44006
44,7,252,252,100.0,44007
44,8,439,439,100.0,44008
44,9,352,352,100.0,44009
44,10,368,368,100.0,44010
44,11,379,379,100.0,44011
44,12,436,436,100.0,44012
44,13,277,277,100.0,44013
44,14,320,320,100.0,44014
44,15,394,394,100.0,44015
44,16,388,388,100.0,44016
44,17,464,464,100.0,44017
44,18,377,377,100.0,44018
44,19,417,417,100.0,44019
44,20,364,364,100.0,44020
44,21,475,475,100.0,44021
44,22,387,387,100.0,44022
44,23,404,404,100.0,44023
44,24,282,282,100.0,44024
44,25,368,368,100.0,44025
44,26,394,394,100.0,44026
44,27,394,394,100.0,44027
44,28,426,426,100.0,44028
44,29,354,354,100.0,44029
44,30,410,410,100.0,44030
44,31,308,308,100.0,44031
44,32,401,401,100.0,44032
44,33,393,393,100.0,44033
44,34,423,423,100.0,44034
44,35,395,395,100.0,44035
44,36,393,393,100.0,44036
44,37,451,451,100.0,44037
44,38,361,361,100.0,44038
44,39,332,332,100.0,44039
44,40,307,307,100.0,44040
44,41,433,433,100.0,44041
46,1,266,266,100.0,46001
46,2,318,318,100.0,46002
46,3,405,405,100.0,46003
46,4,327,327,100.0,46004
46,5,388,388,100.0,46005
46,6,259,259,100.0,46006
46,7,391,391,100.0,46007
46,8,233,233,100.0,46008
46,9,372,372,100.0,46009
46,10,441,441,100.0,46010
46,11,299,299,100.0,46011
46,12,362,362,100.0,46012
46,13,371,371,100.0,46013
46,14,357,357,100.0,46014
46,15,382,382,100.0,46015
46,16,390,390,100.0,46016
46,17,438,438,100.0,46017
46,18,384,384,100.0,46018
46,19,245,245,100.0,46019
46,20,316,316,100.0,46020
46,21,249,249,100.0,46021
46,22,237,237,100.0,46022
46,23,314,314,100.0,46023
46,24,390,390,100.0,46024
46,25,332,332,100.0,46025
46,26,363,363,100.0,46026
46,27,397,397,100.0,46027
46,28,341,341,100.0,46028
46,29,275,275,100.0,46029
46,30,359,359,100.0,46030
46,31,416,416,100.0,46031
46,32,317,317,100.0,46032
46,33,446,446,100.0,46033
46,34,407,407,100.0,46034
46,35,452,452,100.0,46035
46,36,304,304,100.0,46036
46,37,269,269,100.0,46037
46,38,369,369,100.0,46038
46,39,313,313,100.0,46039
46,40,295,295,100.0,46040
47,9,95,95,100.0,47009
47,11,336,336,100.0,47011
47,15,441,441,100.0,47015
47,18,325,325,100.0,47018
47,19,434,434,100.0,47019
47,23,396,396,100.0,47023
47,24,355,355,100.0,47024
47,33,105,105,100.0,47033
47,41,379,379,100.0,47041
47,44,302,302,100.0,47044
48,1,334,334,100.0,48001
48,2,149,149,100.0,48002
48,3,413,413,100.0,48003
48,4,307,307,100.0,48004
48,5,202,202,100.0,48005
48,6,422,422,100.0,48006
48,7,386,386,100.0,48007
48,8,180,180,100.0,48008
48,9,252,252,100.0,48009
48,10,472,472,100.0,48010
48,11,298,298,100.0,48011
48,12,431,431,100.0,48012
48,14,199,199,100.0,48014
48,16,361,361,100.0,48016
48,17,317,317,100.0,48017
48,18,287,287,100.0,48018
48,19,225,225,100.0,48019
48,20,404,404,100.0,48020
48,21,419,419,100.0,48021
48,23,268,268,100.0,48023
48,24,356,356,100.0,48024
48,25,319,319,100.0,48025
48,26,196,196,100.0,48026
48,27,97,97,100.0,48027
48,28,450,450,100.0,48028
48,29,157,157,100.0,48029
48,30,333,333,100.0,48030
48,31,261,261,100.0,48031
48,32,124,124,100.0,48032
48,34,314,314,100.0,48034
48,35,279,279,100.0,48035
48,36,213,213,100.0,48036
48,37,339,339,100.0,48037
48,38,363,363,100.0,48038
48,39,262,262,100.0,48039
48,40,311,311,100.0,48040
48,41,417,417,100.0,48041
48,42,409,409,100.0,48042
48,43,406,406,100.0,48043
48,44,445,445,100.0,48044
48,45,279,279,100.0,48045
49,2,252,252,100.0,49002
49,17,310,310,100.0,49017
