ward,precinct,total,Patricia Van Pelt Watkins,Patricia Van Pelt Watkins Percent,precinct_id
27,42,181,181,100.0,27042
27,43,372,372,100.0,27043
27,44,402,402,100.0,27044
27,45,398,398,100.0,27045
28,1,26,26,100.0,28001
28,2,375,375,100.0,28002
28,3,369,369,100.0,28003
28,4,283,283,100.0,28004
28,5,218,218,100.0,28005
28,6,174,174,100.0,28006
28,7,495,495,100.0,28007
28,8,282,282,100.0,28008
28,9,495,495,100.0,28009
28,10,390,390,100.0,28010
28,11,678,678,100.0,28011
28,13,376,376,100.0,28013
28,15,120,120,100.0,28015
28,16,305,305,100.0,28016
28,17,405,405,100.0,28017
28,18,331,331,100.0,28018
28,19,316,316,100.0,28019
28,20,405,405,100.0,28020
28,21,383,383,100.0,28021
28,22,355,355,100.0,28022
28,23,532,532,100.0,28023
28,24,432,432,100.0,28024
28,25,586,586,100.0,28025
28,26,483,483,100.0,28026
28,27,310,310,100.0,28027
28,28,321,321,100.0,28028
28,29,203,203,100.0,28029
28,30,62,62,100.0,28030
28,32,434,434,100.0,28032
28,33,449,449,100.0,28033
28,34,650,650,100.0,28034
28,35,578,578,100.0,28035
28,36,227,227,100.0,28036
28,37,608,608,100.0,28037
28,38,227,227,100.0,28038
28,40,564,564,100.0,28040
28,42,281,281,100.0,28042
28,44,344,344,100.0,28044
28,45,295,295,100.0,28045
28,46,577,577,100.0,28046
29,6,14,14,100.0,29006
32,2,431,431,100.0,32002
32,4,388,388,100.0,32004
32,5,415,415,100.0,32005
32,6,398,398,100.0,32006
32,29,334,334,100.0,32029
32,31,369,369,100.0,32031
32,32,407,407,100.0,32032
32,33,226,226,100.0,32033
32,34,355,355,100.0,32034
32,35,412,412,100.0,32035
32,36,395,395,100.0,32036
32,37,161,161,100.0,32037
37,2,339,339,100.0,37002
37,3,388,388,100.0,37003
37,4,399,399,100.0,37004
37,7,318,318,100.0,37007
37,8,352,352,100.0,37008
37,12,281,281,100.0,37012
37,13,338,338,100.0,37013
37,14,21,21,100.0,37014
37,19,376,376,100.0,37019
37,20,30,30,100.0,37020
37,21,355,355,100.0,37021
37,22,99,99,100.0,37022
37,27,58,58,100.0,37027
37,28,339,339,100.0,37028
37,30,58,58,100.0,37030
42,3,434,434,100.0,42003
42,9,7,7,100.0,42009
42,12,277,277,100.0,42012
42,16,397,397,100.0,42016
42,21,124,124,100.0,42021
42,36,147,147,100.0,42036
42,41,150,150,100.0,42041
43,1,434,434,100.0,43001
43,3,352,352,100.0,43003
43,5,463,463,100.0,43005
43,7,297,297,100.0,43007
43,10,469,469,100.0,43010
43,11,351,351,100.0,43011
43,23,359,359,100.0,43023
