ward,precinct,total,Deborah Jean Gubin,Deborah Jean Gubin Percent,precinct_id
44,13,280,280,100.0,44013
44,14,320,320,100.0,44014
44,15,395,395,100.0,44015
44,16,381,381,100.0,44016
44,17,464,464,100.0,44017
44,18,377,377,100.0,44018
44,19,418,418,100.0,44019
44,20,362,362,100.0,44020
44,21,469,469,100.0,44021
44,22,388,388,100.0,44022
44,23,398,398,100.0,44023
44,24,291,291,100.0,44024
44,25,370,370,100.0,44025
44,26,391,391,100.0,44026
44,27,391,391,100.0,44027
44,28,421,421,100.0,44028
44,29,357,357,100.0,44029
44,30,399,399,100.0,44030
44,31,303,303,100.0,44031
44,32,401,401,100.0,44032
44,33,387,387,100.0,44033
44,34,427,427,100.0,44034
44,35,400,400,100.0,44035
44,36,389,389,100.0,44036
44,37,444,444,100.0,44037
44,38,356,356,100.0,44038
44,39,329,329,100.0,44039
44,40,310,310,100.0,44040
44,41,429,429,100.0,44041
46,1,261,261,100.0,46001
46,2,324,324,100.0,46002
46,3,404,404,100.0,46003
46,4,330,330,100.0,46004
46,5,389,389,100.0,46005
46,6,261,261,100.0,46006
46,7,387,387,100.0,46007
46,8,237,237,100.0,46008
46,9,374,374,100.0,46009
46,10,436,436,100.0,46010
46,11,309,309,100.0,46011
46,12,360,360,100.0,46012
46,13,371,371,100.0,46013
46,14,364,364,100.0,46014
46,15,383,383,100.0,46015
46,16,381,381,100.0,46016
46,17,433,433,100.0,46017
46,18,379,379,100.0,46018
46,19,245,245,100.0,46019
46,20,322,322,100.0,46020
46,21,248,248,100.0,46021
46,22,236,236,100.0,46022
46,23,321,321,100.0,46023
46,24,389,389,100.0,46024
46,25,333,333,100.0,46025
46,26,358,358,100.0,46026
46,27,397,397,100.0,46027
46,28,344,344,100.0,46028
46,29,281,281,100.0,46029
46,30,355,355,100.0,46030
46,31,415,415,100.0,46031
46,32,318,318,100.0,46032
46,33,448,448,100.0,46033
46,34,411,411,100.0,46034
46,35,447,447,100.0,46035
46,36,307,307,100.0,46036
46,37,273,273,100.0,46037
46,38,364,364,100.0,46038
46,39,310,310,100.0,46039
46,40,298,298,100.0,46040
47,9,93,93,100.0,47009
47,11,333,333,100.0,47011
47,15,443,443,100.0,47015
47,18,319,319,100.0,47018
47,19,428,428,100.0,47019
47,23,389,389,100.0,47023
47,24,350,350,100.0,47024
47,33,105,105,100.0,47033
47,41,377,377,100.0,47041
47,44,301,301,100.0,47044
48,1,327,327,100.0,48001
48,2,148,148,100.0,48002
48,3,422,422,100.0,48003
48,4,300,300,100.0,48004
48,5,202,202,100.0,48005
48,6,418,418,100.0,48006
48,7,384,384,100.0,48007
48,8,172,172,100.0,48008
48,9,248,248,100.0,48009
48,10,465,465,100.0,48010
48,11,296,296,100.0,48011
48,12,430,430,100.0,48012
48,14,195,195,100.0,48014
48,16,359,359,100.0,48016
48,17,309,309,100.0,48017
48,18,291,291,100.0,48018
48,19,223,223,100.0,48019
48,20,403,403,100.0,48020
48,21,422,422,100.0,48021
48,23,272,272,100.0,48023
48,24,347,347,100.0,48024
48,25,318,318,100.0,48025
48,26,192,192,100.0,48026
48,27,95,95,100.0,48027
48,28,452,452,100.0,48028
48,29,155,155,100.0,48029
48,30,328,328,100.0,48030
48,31,265,265,100.0,48031
48,32,126,126,100.0,48032
48,34,314,314,100.0,48034
48,35,280,280,100.0,48035
48,36,207,207,100.0,48036
48,37,347,347,100.0,48037
48,38,360,360,100.0,48038
48,39,258,258,100.0,48039
48,40,310,310,100.0,48040
48,41,423,423,100.0,48041
48,42,411,411,100.0,48042
48,43,408,408,100.0,48043
48,44,440,440,100.0,48044
48,45,280,280,100.0,48045
49,2,251,251,100.0,49002
49,17,306,306,100.0,49017
