ward,precinct,total,Mitt Romney & Paul Ryan,Mitt Romney & Paul Ryan Percent,Gary Johnson & James P. Gray,Gary Johnson & James P. Gray Percent,Jill Stein & Howie Hawkins,Jill Stein & Howie Hawkins Percent,precinct_id
6,12,600,2,0.33,0,0.0,0,0.0,06012
6,13,418,3,0.72,0,0.0,1,0.24,06013
6,14,567,4,0.71,0,0.0,0,0.0,06014
6,15,661,2,0.3,1,0.15,2,0.3,06015
6,16,549,2,0.36,1,0.18,2,0.36,06016
6,17,524,4,0.76,0,0.0,0,0.0,06017
6,18,502,6,1.2,0,0.0,1,0.2,06018
6,19,550,2,0.36,1,0.18,0,0.0,06019
6,20,463,2,0.43,0,0.0,1,0.22,06020
6,21,467,1,0.21,0,0.0,0,0.0,06021
6,22,466,5,1.07,0,0.0,0,0.0,06022
6,23,461,0,0.0,0,0.0,0,0.0,06023
6,24,454,1,0.22,0,0.0,0,0.0,06024
6,25,414,5,1.21,0,0.0,0,0.0,06025
6,26,487,0,0.0,0,0.0,0,0.0,06026
6,27,418,5,1.2,0,0.0,0,0.0,06027
6,28,426,1,0.23,1,0.23,0,0.0,06028
6,29,563,1,0.18,0,0.0,0,0.0,06029
6,30,581,4,0.69,1,0.17,0,0.0,06030
6,31,516,4,0.78,1,0.19,1,0.19,06031
6,32,543,3,0.55,1,0.18,0,0.0,06032
6,33,549,2,0.36,0,0.0,1,0.18,06033
6,34,548,2,0.36,0,0.0,0,0.0,06034
6,35,488,3,0.61,0,0.0,0,0.0,06035
6,36,548,2,0.36,1,0.18,4,0.73,06036
6,37,521,5,0.96,1,0.19,3,0.58,06037
6,38,538,7,1.3,0,0.0,0,0.0,06038
6,39,578,3,0.52,0,0.0,0,0.0,06039
6,40,533,1,0.19,1,0.19,0,0.0,06040
6,41,580,4,0.69,0,0.0,0,0.0,06041
6,42,566,4,0.71,0,0.0,0,0.0,06042
6,43,522,2,0.38,0,0.0,2,0.38,06043
6,44,563,4,0.71,1,0.18,0,0.0,06044
6,45,562,5,0.89,0,0.0,0,0.0,06045
6,46,517,3,0.58,0,0.0,1,0.19,06046
6,47,507,2,0.39,1,0.2,0,0.0,06047
6,48,547,3,0.55,0,0.0,0,0.0,06048
7,1,500,4,0.8,1,0.2,0,0.0,07001
7,2,575,3,0.52,1,0.17,0,0.0,07002
7,3,525,3,0.57,0,0.0,0,0.0,07003
7,4,571,6,1.05,5,0.88,1,0.18,07004
7,5,499,9,1.8,2,0.4,0,0.0,07005
7,6,719,20,2.78,3,0.42,1,0.14,07006
7,7,581,5,0.86,2,0.34,0,0.0,07007
7,8,503,12,2.39,1,0.2,0,0.0,07008
7,9,866,6,0.69,0,0.0,1,0.12,07009
7,10,506,5,0.99,0,0.0,0,0.0,07010
7,11,610,6,0.98,0,0.0,0,0.0,07011
7,12,629,5,0.79,1,0.16,0,0.0,07012
7,13,425,1,0.24,0,0.0,1,0.24,07013
7,14,574,10,1.74,0,0.0,1,0.17,07014
7,15,537,0,0.0,0,0.0,0,0.0,07015
7,16,634,7,1.1,0,0.0,0,0.0,07016
7,17,549,4,0.73,1,0.18,2,0.36,07017
7,18,547,12,2.19,1,0.18,1,0.18,07018
7,19,528,5,0.95,0,0.0,1,0.19,07019
7,20,500,5,1.0,1,0.2,0,0.0,07020
7,21,560,7,1.25,1,0.18,0,0.0,07021
7,22,437,18,4.12,0,0.0,2,0.46,07022
7,23,516,3,0.58,1,0.19,0,0.0,07023
7,24,541,2,0.37,0,0.0,0,0.0,07024
7,25,447,10,2.24,1,0.22,0,0.0,07025
7,26,422,2,0.47,0,0.0,0,0.0,07026
7,27,476,2,0.42,0,0.0,0,0.0,07027
7,28,426,6,1.41,1,0.23,0,0.0,07028
7,29,450,7,1.56,2,0.44,0,0.0,07029
7,30,432,14,3.24,2,0.46,2,0.46,07030
7,31,572,11,1.92,3,0.52,1,0.17,07031
7,32,623,6,0.96,0,0.0,1,0.16,07032
7,33,602,4,0.66,1,0.17,0,0.0,07033
7,34,566,8,1.41,0,0.0,1,0.18,07034
7,35,526,9,1.71,2,0.38,0,0.0,07035
7,36,582,2,0.34,1,0.17,1,0.17,07036
7,37,578,8,1.38,1,0.17,0,0.0,07037
7,38,470,2,0.43,2,0.43,0,0.0,07038
7,39,490,1,0.2,0,0.0,0,0.0,07039
7,40,483,6,1.24,1,0.21,1,0.21,07040
7,41,535,4,0.75,1,0.19,0,0.0,07041
7,42,495,2,0.4,0,0.0,1,0.2,07042
7,43,503,3,0.6,0,0.0,0,0.0,07043
7,44,498,3,0.6,0,0.0,1,0.2,07044
7,45,566,6,1.06,1,0.18,0,0.0,07045
8,1,511,4,0.78,1,0.2,0,0.0,08001
8,2,616,3,0.49,2,0.32,0,0.0,08002
8,3,534,5,0.94,0,0.0,0,0.0,08003
8,4,514,4,0.78,0,0.0,1,0.19,08004
8,5,541,6,1.11,0,0.0,1,0.18,08005
8,6,554,4,0.72,0,0.0,0,0.0,08006
8,7,606,6,0.99,0,0.0,0,0.0,08007
8,8,495,4,0.81,0,0.0,0,0.0,08008
8,9,358,3,0.84,0,0.0,0,0.0,08009
8,10,585,4,0.68,1,0.17,0,0.0,08010
8,11,490,5,1.02,1,0.2,0,0.0,08011
8,12,488,2,0.41,0,0.0,0,0.0,08012
8,13,671,6,0.89,2,0.3,0,0.0,08013
8,14,455,2,0.44,0,0.0,0,0.0,08014
8,15,532,1,0.19,0,0.0,1,0.19,08015
8,16,240,1,0.42,0,0.0,0,0.0,08016
8,17,419,3,0.72,0,0.0,1,0.24,08017
8,18,546,3,0.55,0,0.0,0,0.0,08018
8,19,556,7,1.26,0,0.0,3,0.54,08019
8,20,559,1,0.18,0,0.0,1,0.18,08020
8,21,717,1,0.14,2,0.28,0,0.0,08021
8,22,520,2,0.38,0,0.0,0,0.0,08022
8,23,516,2,0.39,2,0.39,1,0.19,08023
8,24,304,0,0.0,0,0.0,0,0.0,08024
8,25,550,3,0.55,1,0.18,0,0.0,08025
8,26,517,5,0.97,0,0.0,0,0.0,08026
8,27,538,13,2.42,0,0.0,0,0.0,08027
8,28,582,5,0.86,0,0.0,0,0.0,08028
8,29,638,6,0.94,0,0.0,1,0.16,08029
8,30,565,6,1.06,0,0.0,2,0.35,08030
8,31,424,3,0.71,0,0.0,0,0.0,08031
8,32,449,1,0.22,0,0.0,1,0.22,08032
8,33,536,3,0.56,0,0.0,0,0.0,08033
8,34,501,1,0.2,0,0.0,0,0.0,08034
8,35,591,3,0.51,2,0.34,2,0.34,08035
8,36,560,1,0.18,1,0.18,2,0.36,08036
8,37,439,5,1.14,1,0.23,0,0.0,08037
8,38,386,3,0.78,0,0.0,0,0.0,08038
8,39,499,4,0.8,2,0.4,1,0.2,08039
8,40,420,3,0.71,1,0.24,0,0.0,08040
8,41,572,2,0.35,0,0.0,2,0.35,08041
8,42,694,4,0.58,0,0.0,0,0.0,08042
8,43,344,2,0.58,1,0.29,1,0.29,08043
8,44,414,4,0.97,1,0.24,1,0.24,08044
8,45,635,3,0.47,1,0.16,0,0.0,08045
8,46,439,1,0.23,3,0.68,0,0.0,08046
8,47,449,3,0.67,0,0.0,0,0.0,08047
8,48,603,3,0.5,0,0.0,0,0.0,08048
8,49,529,6,1.13,0,0.0,1,0.19,08049
8,50,558,2,0.36,1,0.18,2,0.36,08050
8,51,514,4,0.78,0,0.0,0,0.0,08051
8,52,627,4,0.64,1,0.16,1,0.16,08052
8,53,345,2,0.58,0,0.0,0,0.0,08053
8,54,485,2,0.41,0,0.0,1,0.21,08054
8,55,330,1,0.3,0,0.0,0,0.0,08055
8,56,542,4,0.74,2,0.37,0,0.0,08056
9,1,570,2,0.35,0,0.0,0,0.0,09001
9,2,487,1,0.21,1,0.21,0,0.0,09002
9,3,659,1,0.15,0,0.0,0,0.0,09003
9,4,432,1,0.23,0,0.0,0,0.0,09004
9,5,509,0,0.0,0,0.0,1,0.2,09005
9,6,503,1,0.2,0,0.0,0,0.0,09006
9,7,505,5,0.99,2,0.4,0,0.0,09007
9,8,643,1,0.16,1,0.16,0,0.0,09008
9,9,599,5,0.83,0,0.0,0,0.0,09009
9,10,494,1,0.2,2,0.4,0,0.0,09010
9,11,444,3,0.68,0,0.0,0,0.0,09011
9,12,576,3,0.52,0,0.0,1,0.17,09012
9,13,557,3,0.54,0,0.0,0,0.0,09013
9,14,597,2,0.34,1,0.17,0,0.0,09014
9,15,689,1,0.15,0,0.0,0,0.0,09015
9,16,474,2,0.42,2,0.42,0,0.0,09016
9,17,533,3,0.56,0,0.0,3,0.56,09017
9,18,451,1,0.22,0,0.0,1,0.22,09018
9,19,525,3,0.57,0,0.0,0,0.0,09019
9,20,544,1,0.18,0,0.0,1,0.18,09020
9,21,542,7,1.29,0,0.0,1,0.18,09021
9,22,523,6,1.15,0,0.0,0,0.0,09022
9,23,540,6,1.11,0,0.0,0,0.0,09023
9,24,564,1,0.18,0,0.0,0,0.0,09024
9,25,519,2,0.39,0,0.0,1,0.19,09025
9,26,656,1,0.15,0,0.0,0,0.0,09026
9,27,507,3,0.59,0,0.0,0,0.0,09027
9,28,325,4,1.23,1,0.31,1,0.31,09028
9,29,580,5,0.86,0,0.0,1,0.17,09029
9,30,469,6,1.28,0,0.0,1,0.21,09030
9,31,451,1,0.22,1,0.22,1,0.22,09031
9,32,525,6,1.14,1,0.19,2,0.38,09032
9,33,541,4,0.74,0,0.0,1,0.18,09033
9,34,488,4,0.82,0,0.0,1,0.2,09034
9,35,518,1,0.19,0,0.0,1,0.19,09035
9,36,486,0,0.0,0,0.0,0,0.0,09036
9,37,553,65,11.75,5,0.9,6,1.08,09037
9,38,521,1,0.19,0,0.0,0,0.0,09038
9,39,509,2,0.39,0,0.0,0,0.0,09039
9,40,569,1,0.18,0,0.0,0,0.0,09040
9,41,450,3,0.67,0,0.0,0,0.0,09041
9,42,542,6,1.11,2,0.37,0,0.0,09042
9,43,504,1,0.2,3,0.6,0,0.0,09043
9,44,409,4,0.98,0,0.0,0,0.0,09044
9,45,491,2,0.41,0,0.0,0,0.0,09045
9,46,592,14,2.36,0,0.0,3,0.51,09046
9,47,521,1,0.19,0,0.0,0,0.0,09047
9,48,529,5,0.95,0,0.0,0,0.0,09048
9,49,527,0,0.0,0,0.0,0,0.0,09049
9,50,630,2,0.32,2,0.32,0,0.0,09050
9,51,508,4,0.79,0,0.0,1,0.2,09051
10,1,437,14,3.2,0,0.0,1,0.23,10001
10,2,457,167,36.54,4,0.88,4,0.88,10002
10,3,374,125,33.42,3,0.8,1,0.27,10003
10,4,455,21,4.62,2,0.44,2,0.44,10004
10,5,382,129,33.77,3,0.79,0,0.0,10005
10,6,348,66,18.97,0,0.0,2,0.57,10006
10,7,340,31,9.12,2,0.59,1,0.29,10007
10,8,475,9,1.89,0,0.0,0,0.0,10008
10,9,453,168,37.09,1,0.22,1,0.22,10009
10,10,431,101,23.43,6,1.39,3,0.7,10010
10,11,517,89,17.21,1,0.19,1,0.19,10011
10,12,222,75,33.78,1,0.45,1,0.45,10012
10,13,428,48,11.21,0,0.0,0,0.0,10013
10,14,536,117,21.83,5,0.93,3,0.56,10014
10,15,929,3,0.32,1,0.11,1,0.11,10015
10,16,352,63,17.9,3,0.85,6,1.7,10016
10,17,556,181,32.55,5,0.9,3,0.54,10017
10,18,331,13,3.93,1,0.3,2,0.6,10018
10,19,405,107,26.42,6,1.48,2,0.49,10019
10,20,442,95,21.49,1,0.23,0,0.0,10020
10,21,435,81,18.62,1,0.23,1,0.23,10021
10,22,267,31,11.61,2,0.75,3,1.12,10022
10,23,425,55,12.94,4,0.94,2,0.47,10023
10,24,445,170,38.2,2,0.45,1,0.22,10024
10,25,148,7,4.73,0,0.0,1,0.68,10025
10,26,345,27,7.83,0,0.0,0,0.0,10026
10,27,598,15,2.51,1,0.17,0,0.0,10027
10,28,411,69,16.79,2,0.49,1,0.24,10028
10,29,376,76,20.21,4,1.06,1,0.27,10029
10,30,394,63,15.99,3,0.76,2,0.51,10030
10,31,366,34,9.29,1,0.27,2,0.55,10031
10,32,368,89,24.18,1,0.27,2,0.54,10032
10,33,283,38,13.43,1,0.35,2,0.71,10033
10,34,376,22,5.85,0,0.0,0,0.0,10034
10,35,480,180,37.5,2,0.42,0,0.0,10035
10,36,129,6,4.65,1,0.78,0,0.0,10036
11,1,462,114,24.68,6,1.3,1,0.22,11001
11,2,133,30,22.56,2,1.5,0,0.0,11002
11,3,477,35,7.34,4,0.84,9,1.89,11003
11,4,441,73,16.55,1,0.23,2,0.45,11004
11,5,428,52,12.15,2,0.47,9,2.1,11005
11,6,638,135,21.16,7,1.1,3,0.47,11006
11,7,631,96,15.21,9,1.43,4,0.63,11007
11,8,442,83,18.78,4,0.9,2,0.45,11008
11,9,448,98,21.88,2,0.45,4,0.89,11009
11,10,301,46,15.28,1,0.33,4,1.33,11010
11,11,503,121,24.06,6,1.19,2,0.4,11011
11,12,532,163,30.64,0,0.0,2,0.38,11012
11,13,470,145,30.85,4,0.85,5,1.06,11013
11,14,457,125,27.35,5,1.09,2,0.44,11014
11,15,366,84,22.95,5,1.37,5,1.37,11015
11,16,379,130,34.3,3,0.79,1,0.26,11016
11,17,496,111,22.38,13,2.62,13,2.62,11017
11,18,425,113,26.59,2,0.47,3,0.71,11018
11,19,578,99,17.13,10,1.73,15,2.6,11019
11,20,456,137,30.04,5,1.1,0,0.0,11020
11,21,615,185,30.08,8,1.3,7,1.14,11021
11,22,448,121,27.01,6,1.34,2,0.45,11022
11,23,485,133,27.42,8,1.65,5,1.03,11023
11,24,537,192,35.75,4,0.74,2,0.37,11024
11,25,449,112,24.94,4,0.89,4,0.89,11025
11,26,410,115,28.05,9,2.2,2,0.49,11026
11,27,332,62,18.67,1,0.3,3,0.9,11027
11,28,412,133,32.28,5,1.21,3,0.73,11028
11,29,543,171,31.49,14,2.58,4,0.74,11029
11,30,408,107,26.23,3,0.74,1,0.25,11030
11,31,508,174,34.25,3,0.59,3,0.59,11031
11,32,330,92,27.88,2,0.61,2,0.61,11032
11,33,556,115,20.68,8,1.44,1,0.18,11033
11,34,226,72,31.86,1,0.44,1,0.44,11034
12,1,390,66,16.92,6,1.54,6,1.54,12001
12,2,368,49,13.32,1,0.27,0,0.0,12002
12,3,490,69,14.08,9,1.84,13,2.65,12003
12,4,442,75,16.97,4,0.9,5,1.13,12004
12,5,387,80,20.67,5,1.29,6,1.55,12005
12,6,418,56,13.4,1,0.24,4,0.96,12006
12,7,361,21,5.82,4,1.11,9,2.49,12007
12,8,435,65,14.94,4,0.92,1,0.23,12008
12,9,334,51,15.27,1,0.3,2,0.6,12009
12,10,390,25,6.41,3,0.77,7,1.79,12010
12,11,374,24,6.42,6,1.6,1,0.27,12011
12,12,397,56,14.11,4,1.01,1,0.25,12012
12,13,423,63,14.89,2,0.47,5,1.18,12013
12,14,324,17,5.25,1,0.31,4,1.23,12014
12,15,342,34,9.94,2,0.58,0,0.0,12015
12,16,367,26,7.08,2,0.54,5,1.36,12016
12,17,400,48,12.0,3,0.75,3,0.75,12017
12,18,364,33,9.07,2,0.55,4,1.1,12018
12,19,368,60,16.3,0,0.0,5,1.36,12019
12,20,430,54,12.56,3,0.7,2,0.47,12020
12,21,432,51,11.81,3,0.69,3,0.69,12021
12,22,301,15,4.98,3,1.0,11,3.65,12022
12,23,386,46,11.92,5,1.3,5,1.3,12023
13,1,335,107,31.94,1,0.3,2,0.6,13001
13,2,312,121,38.78,0,0.0,2,0.64,13002
13,3,269,49,18.22,1,0.37,0,0.0,13003
13,4,426,168,39.44,4,0.94,4,0.94,13004
13,5,409,79,19.32,0,0.0,0,0.0,13005
13,6,363,178,49.04,3,0.83,3,0.83,13006
13,7,299,50,16.72,3,1.0,1,0.33,13007
13,8,298,118,39.6,1,0.34,2,0.67,13008
13,9,392,90,22.96,3,0.77,5,1.28,13009
13,10,361,179,49.58,1,0.28,3,0.83,13010
13,11,391,136,34.78,2,0.51,5,1.28,13011
