ward,precinct,total,Danny K. Davis,Danny K. Davis Percent,Rita Zak,Rita Zak Percent,John H. Monaghan,John H. Monaghan Percent,precinct_id
3,18,535,508,94.95,18,3.36,9,1.68,03018
3,19,546,354,64.84,145,26.56,47,8.61,03019
3,20,527,515,97.72,4,0.76,8,1.52,03020
3,21,649,487,75.04,118,18.18,44,6.78,03021
3,22,625,439,70.24,140,22.4,46,7.36,03022
3,23,495,475,95.96,11,2.22,9,1.82,03023
3,24,613,591,96.41,9,1.47,13,2.12,03024
3,25,682,429,62.9,194,28.45,59,8.65,03025
3,26,636,471,74.06,131,20.6,34,5.35,03026
3,27,532,342,64.29,139,26.13,51,9.59,03027
3,28,433,422,97.46,7,1.62,4,0.92,03028
3,29,586,565,96.42,9,1.54,12,2.05,03029
3,30,322,314,97.52,3,0.93,5,1.55,03030
3,31,615,592,96.26,9,1.46,14,2.28,03031
3,32,603,467,77.45,94,15.59,42,6.97,03032
3,33,636,477,75.0,114,17.92,45,7.08,03033
3,34,640,492,76.88,95,14.84,53,8.28,03034
3,35,89,86,96.63,0,0.0,3,3.37,03035
3,36,413,405,98.06,3,0.73,5,1.21,03036
3,37,573,558,97.38,7,1.22,8,1.4,03037
3,39,564,390,69.15,128,22.7,46,8.16,03039
3,40,652,579,88.8,58,8.9,15,2.3,03040
4,2,651,456,70.05,141,21.66,54,8.29,04002
4,4,543,530,97.61,3,0.55,10,1.84,04004
4,5,569,548,96.31,11,1.93,10,1.76,04005
4,6,706,653,92.49,26,3.68,27,3.82,04006
4,7,616,590,95.78,11,1.79,15,2.44,04007
4,8,174,173,99.43,1,0.57,0,0.0,04008
4,10,665,641,96.39,9,1.35,15,2.26,04010
4,11,421,407,96.67,7,1.66,7,1.66,04011
4,13,482,373,77.39,78,16.18,31,6.43,04013
4,14,120,116,96.67,2,1.67,2,1.67,04014
4,15,169,152,89.94,9,5.33,8,4.73,04015
4,16,623,447,71.75,121,19.42,55,8.83,04016
4,17,660,493,74.7,96,14.55,71,10.76,04017
4,20,540,416,77.04,72,13.33,52,9.63,04020
4,21,725,567,78.21,96,13.24,62,8.55,04021
4,22,42,42,100.0,0,0.0,0,0.0,04022
4,25,588,398,67.69,131,22.28,59,10.03,04025
4,28,470,442,94.04,17,3.62,11,2.34,04028
4,29,232,225,96.98,1,0.43,6,2.59,04029
4,30,205,197,96.1,3,1.46,5,2.44,04030
4,34,632,593,93.83,16,2.53,23,3.64,04034
4,35,795,762,95.85,16,2.01,17,2.14,04035
4,36,401,390,97.26,3,0.75,8,2.0,04036
4,37,575,418,72.7,110,19.13,47,8.17,04037
6,21,415,405,97.59,2,0.48,8,1.93,06021
7,11,3,3,100.0,0,0.0,0,0.0,07011
11,2,118,84,71.19,21,17.8,13,11.02,11002
11,6,607,430,70.84,107,17.63,70,11.53,11006
11,7,603,492,81.59,78,12.94,33,5.47,11007
11,10,122,103,84.43,11,9.02,8,6.56,11010
11,14,388,274,70.62,87,22.42,27,6.96,11014
11,30,302,224,74.17,52,17.22,26,8.61,11030
11,32,161,136,84.47,21,13.04,4,2.48,11032
11,33,332,225,67.77,71,21.39,36,10.84,11033
11,34,173,130,75.14,30,17.34,13,7.51,11034
12,10,55,50,90.91,3,5.45,2,3.64,12010
12,15,173,141,81.5,21,12.14,11,6.36,12015
12,18,157,132,84.08,14,8.92,11,7.01,12018
15,2,423,412,97.4,3,0.71,8,1.89,15002
15,3,412,402,97.57,5,1.21,5,1.21,15003
15,7,443,435,98.19,4,0.9,4,0.9,15007
15,13,31,22,70.97,6,19.35,3,9.68,15013
15,14,4,4,100.0,0,0.0,0,0.0,15014
15,16,44,41,93.18,2,4.55,1,2.27,15016
15,17,383,374,97.65,5,1.31,4,1.04,15017
15,18,449,437,97.33,8,1.78,4,0.89,15018
15,20,411,402,97.81,2,0.49,7,1.7,15020
15,21,383,374,97.65,7,1.83,2,0.52,15021
15,22,477,466,97.69,7,1.47,4,0.84,15022
15,23,475,466,98.11,4,0.84,5,1.05,15023
15,24,449,439,97.77,6,1.34,4,0.89,15024
16,2,420,400,95.24,11,2.62,9,2.14,16002
16,3,455,441,96.92,8,1.76,6,1.32,16003
16,4,460,442,96.09,9,1.96,9,1.96,16004
16,5,486,477,98.15,3,0.62,6,1.23,16005
16,6,444,432,97.3,3,0.68,9,2.03,16006
16,7,441,418,94.78,12,2.72,11,2.49,16007
16,8,393,378,96.18,5,1.27,10,2.54,16008
16,9,107,106,99.07,0,0.0,1,0.93,16009
16,10,455,442,97.14,5,1.1,8,1.76,16010
16,11,479,454,94.78,13,2.71,12,2.51,16011
16,12,392,380,96.94,5,1.28,7,1.79,16012
16,13,405,372,91.85,24,5.93,9,2.22,16013
16,14,483,464,96.07,10,2.07,9,1.86,16014
16,15,478,465,97.28,5,1.05,8,1.67,16015
16,16,455,447,98.24,2,0.44,6,1.32,16016
16,17,436,392,89.91,32,7.34,12,2.75,16017
16,18,454,432,95.15,17,3.74,5,1.1,16018
16,19,444,430,96.85,5,1.13,9,2.03,16019
16,20,412,404,98.06,4,0.97,4,0.97,16020
16,21,454,441,97.14,2,0.44,11,2.42,16021
16,22,462,447,96.75,8,1.73,7,1.52,16022
16,23,25,23,92.0,0,0.0,2,8.0,16023
16,24,341,331,97.07,4,1.17,6,1.76,16024
16,25,447,431,96.42,9,2.01,7,1.57,16025
16,26,431,422,97.91,3,0.7,6,1.39,16026
16,27,443,431,97.29,6,1.35,6,1.35,16027
16,29,429,419,97.67,3,0.7,7,1.63,16029
16,31,422,413,97.87,3,0.71,6,1.42,16031
16,33,477,464,97.27,3,0.63,10,2.1,16033
16,34,468,455,97.22,8,1.71,5,1.07,16034
16,35,274,255,93.07,9,3.28,10,3.65,16035
16,36,394,389,98.73,1,0.25,4,1.02,16036
17,6,238,231,97.06,4,1.68,3,1.26,17006
17,7,343,313,91.25,17,4.96,13,3.79,17007
17,8,23,23,100.0,0,0.0,0,0.0,17008
17,12,474,425,89.66,31,6.54,18,3.8,17012
17,13,503,486,96.62,9,1.79,8,1.59,17013
17,14,489,456,93.25,21,4.29,12,2.45,17014
17,16,112,107,95.54,5,4.46,0,0.0,17016
17,19,414,403,97.34,3,0.72,8,1.93,17019
17,25,30,28,93.33,1,3.33,1,3.33,17025
17,31,447,439,98.21,2,0.45,6,1.34,17031
17,33,265,262,98.87,1,0.38,2,0.75,17033
17,35,392,383,97.7,4,1.02,5,1.28,17035
17,36,48,48,100.0,0,0.0,0,0.0,17036
20,2,445,429,96.4,8,1.8,8,1.8,20002
20,4,219,216,98.63,2,0.91,1,0.46,20004
20,6,521,507,97.31,8,1.54,6,1.15,20006
20,11,318,313,98.43,3,0.94,2,0.63,20011
20,15,150,129,86.0,14,9.33,7,4.67,20015
20,17,314,288,91.72,15,4.78,11,3.5,20017
20,20,287,243,84.67,24,8.36,20,6.97,20020
20,21,534,522,97.75,11,2.06,1,0.19,20021
20,25,475,459,96.63,10,2.11,6,1.26,20025
20,27,320,315,98.44,4,1.25,1,0.31,20027
20,30,283,279,98.59,2,0.71,2,0.71,20030
20,31,435,422,97.01,7,1.61,6,1.38,20031
20,32,585,575,98.29,5,0.85,5,0.85,20032
20,36,312,300,96.15,6,1.92,6,1.92,20036
20,37,21,21,100.0,0,0.0,0,0.0,20037
21,27,0,0,0.0,0,0.0,0,0.0,21027
22,10,0,0,0.0,0,0.0,0,0.0,22010
22,14,208,184,88.46,21,10.1,3,1.44,22014
22,15,13,12,92.31,0,0.0,1,7.69,22015
22,19,260,254,97.69,4,1.54,2,0.77,22019
22,21,611,602,98.53,5,0.82,4,0.65,22021
23,17,111,90,81.08,11,9.91,10,9.01,23017
23,19,100,83,83.0,13,13.0,4,4.0,23019
23,31,51,37,72.55,7,13.73,7,13.73,23031
24,1,470,463,98.51,3,0.64,4,0.85,24001
24,2,531,508,95.67,8,1.51,15,2.82,24002
24,3,540,524,97.04,8,1.48,8,1.48,24003
24,4,395,393,99.49,2,0.51,0,0.0,24004
24,5,303,292,96.37,7,2.31,4,1.32,24005
24,6,497,482,96.98,3,0.6,12,2.41,24006
24,7,230,211,91.74,9,3.91,10,4.35,24007
24,8,287,279,97.21,2,0.7,6,2.09,24008
24,9,526,510,96.96,7,1.33,9,1.71,24009
24,10,282,277,98.23,3,1.06,2,0.71,24010
24,11,551,538,97.64,8,1.45,5,0.91,24011
24,12,375,367,97.87,7,1.87,1,0.27,24012
24,13,339,329,97.05,4,1.18,6,1.77,24013
24,14,489,477,97.55,4,0.82,8,1.64,24014
24,15,328,320,97.56,3,0.91,5,1.52,24015
24,16,101,96,95.05,1,0.99,4,3.96,24016
24,17,429,417,97.2,3,0.7,9,2.1,24017
24,18,575,562,97.74,5,0.87,8,1.39,24018
24,19,569,562,98.77,3,0.53,4,0.7,24019
24,20,417,415,99.52,1,0.24,1,0.24,24020
24,21,243,239,98.35,0,0.0,4,1.65,24021
24,22,653,641,98.16,3,0.46,9,1.38,24022
24,23,474,458,96.62,7,1.48,9,1.9,24023
24,24,676,663,98.08,7,1.04,6,0.89,24024
24,25,464,449,96.77,5,1.08,10,2.16,24025
24,26,589,583,98.98,0,0.0,6,1.02,24026
24,27,515,504,97.86,2,0.39,9,1.75,24027
24,28,403,397,98.51,1,0.25,5,1.24,24028
24,29,348,342,98.28,1,0.29,5,1.44,24029
24,30,305,300,98.36,2,0.66,3,0.98,24030
24,31,563,545,96.8,4,0.71,14,2.49,24031
24,32,307,298,97.07,2,0.65,7,2.28,24032
24,33,320,314,98.13,1,0.31,5,1.56,24033
24,34,422,411,97.39,5,1.18,6,1.42,24034
24,35,511,497,97.26,5,0.98,9,1.76,24035
24,36,610,595,97.54,4,0.66,11,1.8,24036
24,37,311,303,97.43,5,1.61,3,0.96,24037
24,38,393,386,98.22,3,0.76,4,1.02,24038
24,39,498,472,94.78,8,1.61,18,3.61,24039
24,40,480,475,98.96,3,0.63,2,0.42,24040
24,41,375,364,97.07,4,1.07,7,1.87,24041
25,3,600,385,64.17,164,27.33,51,8.5,25003
25,4,504,452,89.68,39,7.74,13,2.58,25004
25,6,184,146,79.35,28,15.22,10,5.43,25006
25,10,547,320,58.5,174,31.81,53,9.69,25010
25,14,232,196,84.48,22,9.48,14,6.03,25014
25,16,590,359,60.85,186,31.53,45,7.63,25016
25,18,268,222,82.84,32,11.94,14,5.22,25018
25,20,505,484,95.84,12,2.38,9,1.78,25020
25,21,772,550,71.24,153,19.82,69,8.94,25021
25,25,434,292,67.28,98,22.58,44,10.14,25025
25,27,472,304,64.41,118,25.0,50,10.59,25027
25,29,508,455,89.57,35,6.89,18,3.54,25029
25,31,554,335,60.47,171,30.87,48,8.66,25031
26,1,146,123,84.25,17,11.64,6,4.11,26001
26,3,365,282,77.26,52,14.25,31,8.49,26003
26,4,389,359,92.29,19,4.88,11,2.83,26004
26,10,156,134,85.9,10,6.41,12,7.69,26010
26,17,426,252,59.15,127,29.81,47,11.03,26017
26,19,292,263,90.07,19,6.51,10,3.42,26019
26,21,563,489,86.86,42,7.46,32,5.68,26021
26,27,197,169,85.79,15,7.61,13,6.6,26027
26,28,321,249,77.57,43,13.4,29,9.03,26028
26,33,480,414,86.25,30,6.25,36,7.5,26033
26,36,407,314,77.15,45,11.06,48,11.79,26036
27,1,531,329,61.96,139,26.18,63,11.86,27001
27,2,544,428,78.68,85,15.63,31,5.7,27002
27,3,372,364,97.85,4,1.08,4,1.08,27003
27,4,474,444,93.67,18,3.8,12,2.53,27004
27,5,368,358,97.28,7,1.9,3,0.82,27005
27,6,685,577,84.23,78,11.39,30,4.38,27006
27,8,442,429,97.06,8,1.81,5,1.13,27008
27,9,545,486,89.17,46,8.44,13,2.39,27009
27,10,469,453,96.59,8,1.71,8,1.71,27010
27,11,487,323,66.32,126,25.87,38,7.8,27011
27,13,491,476,96.95,8,1.63,7,1.43,27013
27,14,493,482,97.77,3,0.61,8,1.62,27014
27,15,524,513,97.9,6,1.15,5,0.95,27015
27,16,432,283,65.51,122,28.24,27,6.25,27016
27,17,539,502,93.14,20,3.71,17,3.15,27017
27,18,387,373,96.38,6,1.55,8,2.07,27018
27,19,404,394,97.52,2,0.5,8,1.98,27019
27,20,662,587,88.67,54,8.16,21,3.17,27020
27,21,615,414,67.32,171,27.8,30,4.88,27021
27,22,352,343,97.44,4,1.14,5,1.42,27022
27,23,452,445,98.45,1,0.22,6,1.33,27023
27,24,443,427,96.39,10,2.26,6,1.35,27024
27,25,463,413,89.2,30,6.48,20,4.32,27025
27,26,403,376,93.3,13,3.23,14,3.47,27026
27,27,507,464,91.52,23,4.54,20,3.94,27027
27,28,456,365,80.04,61,13.38,30,6.58,27028
27,29,447,430,96.2,6,1.34,11,2.46,27029
27,30,543,531,97.79,4,0.74,8,1.47,27030
27,31,430,417,96.98,4,0.93,9,2.09,27031
27,32,389,357,91.77,18,4.63,14,3.6,27032
27,33,487,372,76.39,69,14.17,46,9.45,27033
27,34,487,482,98.97,2,0.41,3,0.62,27034
27,35,472,322,68.22,111,23.52,39,8.26,27035
27,36,409,380,92.91,12,2.93,17,4.16,27036
27,37,542,449,82.84,73,13.47,20,3.69,27037
27,38,457,353,77.24,72,15.75,32,7.0,27038
27,39,523,498,95.22,10,1.91,15,2.87,27039
27,40,483,364,75.36,74,15.32,45,9.32,27040
27,41,493,478,96.96,8,1.62,7,1.42,27041
27,42,191,148,77.49,31,16.23,12,6.28,27042
27,43,432,411,95.14,11,2.55,10,2.31,27043
27,44,496,482,97.18,6,1.21,8,1.61,27044
27,45,527,335,63.57,145,27.51,47,8.92,27045
28,1,480,467,97.29,0,0.0,13,2.71,28001
28,2,440,424,96.36,5,1.14,11,2.5,28002
28,3,444,437,98.42,2,0.45,5,1.13,28003
28,4,343,249,72.59,62,18.08,32,9.33,28004
28,5,259,253,97.68,5,1.93,1,0.39,28005
28,6,212,177,83.49,22,10.38,13,6.13,28006
28,7,603,598,99.17,2,0.33,3,0.5,28007
28,8,357,241,67.51,85,23.81,31,8.68,28008
28,9,581,573,98.62,3,0.52,5,0.86,28009
28,10,481,374,77.75,64,13.31,43,8.94,28010
28,11,798,702,87.97,55,6.89,41,5.14,28011
28,12,491,484,98.57,3,0.61,4,0.81,28012
28,13,443,431,97.29,4,0.9,8,1.81,28013
28,14,469,462,98.51,3,0.64,4,0.85,28014
28,15,149,148,99.33,0,0.0,1,0.67,28015
28,16,368,362,98.37,2,0.54,4,1.09,28016
28,17,470,457,97.23,5,1.06,8,1.7,28017
28,18,358,354,98.88,3,0.84,1,0.28,28018
28,19,365,304,83.29,35,9.59,26,7.12,28019
28,20,471,458,97.24,7,1.49,6,1.27,28020
28,21,434,426,98.16,4,0.92,4,0.92,28021
28,22,421,407,96.67,4,0.95,10,2.38,28022
28,23,616,595,96.59,8,1.3,13,2.11,28023
28,24,524,508,96.95,7,1.34,9,1.72,28024
28,25,682,668,97.95,7,1.03,7,1.03,28025
28,26,593,584,98.48,2,0.34,7,1.18,28026
28,27,406,280,68.97,92,22.66,34,8.37,28027
28,28,417,283,67.87,88,21.1,46,11.03,28028
28,29,278,272,97.84,6,2.16,0,0.0,28029
28,30,72,71,98.61,1,1.39,0,0.0,28030
28,31,587,572,97.44,4,0.68,11,1.87,28031
28,32,525,512,97.52,4,0.76,9,1.71,28032
28,33,540,531,98.33,4,0.74,5,0.93,28033
28,34,744,719,96.64,10,1.34,15,2.02,28034
28,35,653,639,97.86,6,0.92,8,1.23,28035
28,36,274,268,97.81,3,1.09,3,1.09,28036
28,37,723,706,97.65,6,0.83,11,1.52,28037
28,38,273,264,96.7,5,1.83,4,1.47,28038
28,39,417,405,97.12,4,0.96,8,1.92,28039
28,40,646,632,97.83,3,0.46,11,1.7,28040
28,41,441,437,99.09,1,0.23,3,0.68,28041
28,42,599,589,98.33,4,0.67,6,1.0,28042
28,43,642,636,99.07,3,0.47,3,0.47,28043
28,44,393,384,97.71,4,1.02,5,1.27,28044
28,45,365,275,75.34,65,17.81,25,6.85,28045
28,46,679,522,76.88,104,15.32,53,7.81,28046
29,1,519,391,75.34,76,14.64,52,10.02,29001
29,2,598,583,97.49,6,1.0,9,1.51,29002
29,3,516,509,98.64,0,0.0,7,1.36,29003
29,4,499,493,98.8,3,0.6,3,0.6,29004
29,5,564,548,97.16,5,0.89,11,1.95,29005
29,6,523,508,97.13,5,0.96,10,1.91,29006
29,7,560,505,90.18,36,6.43,19,3.39,29007
29,8,605,595,98.35,4,0.66,6,0.99,29008
29,10,571,434,76.01,89,15.59,48,8.41,29010
29,11,605,590,97.52,3,0.5,12,1.98,29011
29,12,610,581,95.25,11,1.8,18,2.95,29012
29,13,622,608,97.75,5,0.8,9,1.45,29013
29,14,648,641,98.92,2,0.31,5,0.77,29014
29,15,576,562,97.57,7,1.22,7,1.22,29015
29,16,544,528,97.06,5,0.92,11,2.02,29016
29,17,567,557,98.24,4,0.71,6,1.06,29017
29,18,669,650,97.16,2,0.3,17,2.54,29018
29,19,618,602,97.41,7,1.13,9,1.46,29019
29,20,540,527,97.59,6,1.11,7,1.3,29020
29,21,555,542,97.66,5,0.9,8,1.44,29021
29,22,706,631,89.38,44,6.23,31,4.39,29022
29,24,542,531,97.97,3,0.55,8,1.48,29024
29,25,597,579,96.98,8,1.34,10,1.68,29025
29,26,591,571,96.62,9,1.52,11,1.86,29026
29,27,477,467,97.9,4,0.84,6,1.26,29027
29,28,566,556,98.23,3,0.53,7,1.24,29028
29,33,575,553,96.17,5,0.87,17,2.96,29033
29,34,416,405,97.36,3,0.72,8,1.92,29034
29,35,640,620,96.88,4,0.63,16,2.5,29035
29,36,568,556,97.89,3,0.53,9,1.58,29036
29,37,631,608,96.35,11,1.74,12,1.9,29037
29,40,647,631,97.53,1,0.15,15,2.32,29040
29,41,538,527,97.96,5,0.93,6,1.12,29041
29,42,466,459,98.5,2,0.43,5,1.07,29042
29,43,356,305,85.67,30,8.43,21,5.9,29043
29,44,565,548,96.99,9,1.59,8,1.42,29044
36,5,403,344,85.36,35,8.68,24,5.96,36005
36,21,94,79,84.04,11,11.7,4,4.26,36021
37,1,514,498,96.89,8,1.56,8,1.56,37001
37,2,397,373,93.95,13,3.27,11,2.77,37002
37,3,451,441,97.78,5,1.11,5,1.11,37003
37,4,469,454,96.8,7,1.49,8,1.71,37004
37,5,579,564,97.41,5,0.86,10,1.73,37005
37,6,561,550,98.04,4,0.71,7,1.25,37006
37,7,371,356,95.96,9,2.43,6,1.62,37007
37,8,423,406,95.98,10,2.36,7,1.65,37008
37,9,574,558,97.21,7,1.22,9,1.57,37009
37,10,526,502,95.44,16,3.04,8,1.52,37010
37,11,428,423,98.83,3,0.7,2,0.47,37011
37,12,413,394,95.4,10,2.42,9,2.18,37012
37,13,423,411,97.16,3,0.71,9,2.13,37013
37,14,533,514,96.44,9,1.69,10,1.88,37014
37,15,579,566,97.75,5,0.86,8,1.38,37015
37,16,529,508,96.03,12,2.27,9,1.7,37016
37,17,500,490,98.0,1,0.2,9,1.8,37017
37,18,519,507,97.69,3,0.58,9,1.73,37018
37,19,444,434,97.75,2,0.45,8,1.8,37019
37,20,504,495,98.21,7,1.39,2,0.4,37020
37,21,423,403,95.27,12,2.84,8,1.89,37021
37,22,477,456,95.6,12,2.52,9,1.89,37022
37,23,528,523,99.05,1,0.19,4,0.76,37023
37,24,541,526,97.23,9,1.66,6,1.11,37024
37,25,529,517,97.73,6,1.13,6,1.13,37025
37,26,591,571,96.62,9,1.52,11,1.86,37026
37,27,546,534,97.8,6,1.1,6,1.1,37027
37,28,405,390,96.3,7,1.73,8,1.98,37028
37,29,553,542,98.01,3,0.54,8,1.45,37029
37,30,574,569,99.13,1,0.17,4,0.7,37030
37,31,563,547,97.16,6,1.07,10,1.78,37031
37,32,529,515,97.35,5,0.95,9,1.7,37032
37,33,522,513,98.28,3,0.57,6,1.15,37033
37,34,484,472,97.52,3,0.62,9,1.86,37034
37,35,490,480,97.96,2,0.41,8,1.63,37035
37,36,546,540,98.9,2,0.37,4,0.73,37036
37,37,535,518,96.82,5,0.93,12,2.24,37037
37,38,506,497,98.22,4,0.79,5,0.99,37038
37,39,544,535,98.35,4,0.74,5,0.92,37039
37,40,574,567,98.78,3,0.52,4,0.7,37040
37,41,514,502,97.67,4,0.78,8,1.56,37041
42,1,562,323,57.47,218,38.79,21,3.74,42001
42,2,715,449,62.8,225,31.47,41,5.73,42002
42,3,562,376,66.9,132,23.49,54,9.61,42003
42,4,744,476,63.98,217,29.17,51,6.85,42004
42,5,479,289,60.33,152,31.73,38,7.93,42005
42,6,575,351,61.04,160,27.83,64,11.13,42006
42,7,685,410,59.85,230,33.58,45,6.57,42007
42,8,541,358,66.17,143,26.43,40,7.39,42008
42,9,599,403,67.28,163,27.21,33,5.51,42009
42,10,494,294,59.51,148,29.96,52,10.53,42010
42,11,451,233,51.66,191,42.35,27,5.99,42011
42,12,528,287,54.36,207,39.2,34,6.44,42012
42,13,512,315,61.52,159,31.05,38,7.42,42013
42,14,616,366,59.42,200,32.47,50,8.12,42014
42,15,525,278,52.95,202,38.48,45,8.57,42015
42,16,564,343,60.82,177,31.38,44,7.8,42016
42,17,501,254,50.7,213,42.51,34,6.79,42017
42,18,574,326,56.79,211,36.76,37,6.45,42018
42,19,654,366,55.96,242,37.0,46,7.03,42019
42,20,618,322,52.1,255,41.26,41,6.63,42020
42,21,414,267,64.49,113,27.29,34,8.21,42021
42,22,309,168,54.37,123,39.81,18,5.83,42022
42,23,587,306,52.13,255,43.44,26,4.43,42023
42,24,602,354,58.8,211,35.05,37,6.15,42024
42,25,596,334,56.04,217,36.41,45,7.55,42025
42,26,606,358,59.08,212,34.98,36,5.94,42026
42,27,473,302,63.85,130,27.48,41,8.67,42027
42,28,641,412,64.27,174,27.15,55,8.58,42028
42,29,568,320,56.34,209,36.8,39,6.87,42029
42,30,461,265,57.48,160,34.71,36,7.81,42030
42,31,558,300,53.76,222,39.78,36,6.45,42031
42,32,470,232,49.36,200,42.55,38,8.09,42032
42,33,529,336,63.52,148,27.98,45,8.51,42033
42,34,580,307,52.93,237,40.86,36,6.21,42034
42,35,720,460,63.89,214,29.72,46,6.39,42035
42,36,744,471,63.31,227,30.51,46,6.18,42036
42,37,436,245,56.19,153,35.09,38,8.72,42037
42,38,538,324,60.22,178,33.09,36,6.69,42038
42,39,571,337,59.02,191,33.45,43,7.53,42039
42,40,568,330,58.1,195,34.33,43,7.57,42040
42,41,608,392,64.47,153,25.16,63,10.36,42041
42,42,605,399,65.95,166,27.44,40,6.61,42042
43,1,564,391,69.33,128,22.7,45,7.98,43001
43,3,90,47,52.22,34,37.78,9,10.0,43003
43,9,91,52,57.14,31,34.07,8,8.79,43009
43,23,123,81,65.85,34,27.64,8,6.5,43023
43,33,640,341,53.28,245,38.28,54,8.44,43033
43,35,675,388,57.48,247,36.59,40,5.93,43035
