ward,precinct,total,William G. Gamboney,William G. Gamboney Percent,precinct_id
37,23,348,348,100.0,37023
37,24,79,79,100.0,37024
37,25,334,334,100.0,37025
37,27,346,346,100.0,37027
37,28,219,219,100.0,37028
37,29,334,334,100.0,37029
37,30,360,360,100.0,37030
37,31,371,371,100.0,37031
37,32,343,343,100.0,37032
37,33,298,298,100.0,37033
37,34,287,287,100.0,37034
37,35,336,336,100.0,37035
37,36,315,315,100.0,37036
37,37,344,344,100.0,37037
37,38,308,308,100.0,37038
37,39,330,330,100.0,37039
37,40,357,357,100.0,37040
37,41,221,221,100.0,37041
42,3,341,341,100.0,42003
42,12,57,57,100.0,42012
42,16,323,323,100.0,42016
42,18,367,367,100.0,42018
42,21,260,260,100.0,42021
42,36,449,449,100.0,42036
42,41,398,398,100.0,42041
