ward,precinct,total,JIM HINKAMP,JIM HINKAMP Percent,TIM EGAN,TIM EGAN Percent,RAFAEL A. VARGAS,RAFAEL A. VARGAS Percent,BITA BUENROSTRO,BITA BUENROSTRO Percent,CHARLES E. EASTWOOD,CHARLES E. EASTWOOD Percent,MICHAEL ''MIKE'' JANKOVICH,MICHAEL ''MIKE'' JANKOVICH Percent,MICHELE SMITH,MICHELE SMITH Percent,CARMEN OLMETTI,CARMEN OLMETTI Percent,MITCHELL A. NEWMAN,MITCHELL A. NEWMAN Percent,precinct_id
43,14,234,0,0.0,51,21.79,10,4.27,4,1.71,14,5.98,2,0.85,146,62.39,1,0.43,6,2.56,43014
43,15,234,4,1.71,71,30.34,28,11.97,1,0.43,32,13.68,2,0.85,86,36.75,1,0.43,9,3.85,43015
43,16,269,6,2.23,83,30.86,20,7.43,9,3.35,41,15.24,2,0.74,95,35.32,0,0.0,13,4.83,43016
43,17,313,8,2.56,78,24.92,13,4.15,7,2.24,55,17.57,0,0.0,142,45.37,2,0.64,8,2.56,43017
43,18,311,13,4.18,93,29.9,19,6.11,12,3.86,20,6.43,10,3.22,122,39.23,5,1.61,17,5.47,43018
43,19,207,9,4.35,55,26.57,8,3.86,4,1.93,12,5.8,64,30.92,47,22.71,1,0.48,7,3.38,43019
43,20,269,1,0.37,54,20.07,19,7.06,7,2.6,34,12.64,7,2.6,132,49.07,4,1.49,11,4.09,43020
43,21,251,4,1.59,45,17.93,13,5.18,3,1.2,34,13.55,3,1.2,137,54.58,4,1.59,8,3.19,43021
43,22,214,6,2.8,42,19.63,11,5.14,28,13.08,34,15.89,5,2.34,70,32.71,9,4.21,9,4.21,43022
43,23,234,6,2.56,76,32.48,20,8.55,3,1.28,47,20.09,4,1.71,67,28.63,1,0.43,10,4.27,43023
43,24,278,2,0.72,76,27.34,55,19.78,16,5.76,29,10.43,7,2.52,80,28.78,3,1.08,10,3.6,43024
43,25,274,13,4.74,69,25.18,21,7.66,6,2.19,18,6.57,5,1.82,114,41.61,0,0.0,28,10.22,43025
43,26,234,6,2.56,89,38.03,19,8.12,9,3.85,16,6.84,9,3.85,72,30.77,3,1.28,11,4.7,43026
43,27,212,3,1.42,71,33.49,17,8.02,0,0.0,21,9.91,3,1.42,83,39.15,2,0.94,12,5.66,43027
43,28,380,23,6.05,139,36.58,23,6.05,16,4.21,20,5.26,10,2.63,137,36.05,2,0.53,10,2.63,43028
43,29,222,1,0.45,83,37.39,14,6.31,11,4.95,37,16.67,1,0.45,70,31.53,2,0.9,3,1.35,43029
43,30,183,33,18.03,40,21.86,15,8.2,0,0.0,11,6.01,13,7.1,62,33.88,3,1.64,6,3.28,43030
43,31,315,7,2.22,67,21.27,17,5.4,8,2.54,46,14.6,3,0.95,157,49.84,2,0.63,8,2.54,43031
43,32,282,0,0.0,66,23.4,18,6.38,11,3.9,35,12.41,1,0.35,147,52.13,1,0.35,3,1.06,43032
43,33,159,1,0.63,48,30.19,17,10.69,3,1.89,16,10.06,6,3.77,58,36.48,1,0.63,9,5.66,43033
43,34,125,4,3.2,48,38.4,13,10.4,4,3.2,14,11.2,4,3.2,31,24.8,2,1.6,5,4.0,43034
43,35,317,15,4.73,149,47.0,19,5.99,7,2.21,13,4.1,4,1.26,101,31.86,0,0.0,9,2.84,43035
43,36,213,8,3.76,66,30.99,13,6.1,8,3.76,8,3.76,12,5.63,88,41.31,3,1.41,7,3.29,43036
43,37,213,4,1.88,60,28.17,22,10.33,9,4.23,16,7.51,5,2.35,55,25.82,2,0.94,40,18.78,43037
43,38,195,7,3.59,58,29.74,16,8.21,11,5.64,19,9.74,2,1.03,73,37.44,3,1.54,6,3.08,43038
43,39,218,18,8.26,89,40.83,9,4.13,10,4.59,5,2.29,3,1.38,83,38.07,0,0.0,1,0.46,43039
43,40,117,6,5.13,65,55.56,6,5.13,2,1.71,12,10.26,4,3.42,18,15.38,1,0.85,3,2.56,43040
43,41,141,3,2.13,37,26.24,11,7.8,4,2.84,28,19.86,0,0.0,56,39.72,0,0.0,2,1.42,43041
43,42,218,4,1.83,91,41.74,8,3.67,4,1.83,12,5.5,0,0.0,93,42.66,0,0.0,6,2.75,43042
43,43,206,4,1.94,70,33.98,27,13.11,6,2.91,14,6.8,2,0.97,68,33.01,2,0.97,13,6.31,43043
43,44,257,10,3.89,67,26.07,14,5.45,8,3.11,27,10.51,5,1.95,116,45.14,5,1.95,5,1.95,43044
43,45,93,4,4.3,28,30.11,1,1.08,1,1.08,15,16.13,2,2.15,40,43.01,2,2.15,0,0.0,43045
43,46,323,12,3.72,108,33.44,25,7.74,3,0.93,22,6.81,2,0.62,141,43.65,0,0.0,10,3.1,43046
43,47,251,4,1.59,67,26.69,36,14.34,3,1.2,23,9.16,4,1.59,95,37.85,0,0.0,19,7.57,43047
43,48,231,5,2.16,52,22.51,11,4.76,14,6.06,17,7.36,9,3.9,111,48.05,4,1.73,8,3.46,43048
43,49,231,3,1.3,89,38.53,13,5.63,4,1.73,37,16.02,6,2.6,63,27.27,2,0.87,14,6.06,43049
43,50,203,4,1.97,46,22.66,12,5.91,7,3.45,30,14.78,2,0.99,97,47.78,0,0.0,5,2.46,43050
43,51,285,4,1.4,55,19.3,33,11.58,13,4.56,30,10.53,27,9.47,104,36.49,5,1.75,14,4.91,43051
43,52,220,9,4.09,67,30.45,34,15.45,5,2.27,15,6.82,9,4.09,62,28.18,1,0.45,18,8.18,43052
43,53,246,9,3.66,54,21.95,29,11.79,11,4.47,22,8.94,4,1.63,100,40.65,11,4.47,6,2.44,43053
43,54,202,4,1.98,49,24.26,11,5.45,11,5.45,21,10.4,23,11.39,68,33.66,4,1.98,11,5.45,43054
43,55,276,2,0.72,38,13.77,128,46.38,8,2.9,6,2.17,0,0.0,81,29.35,2,0.72,11,3.99,43055
43,56,185,4,2.16,40,21.62,17,9.19,5,2.7,17,9.19,3,1.62,86,46.49,0,0.0,13,7.03,43056
43,57,187,2,1.07,65,34.76,15,8.02,2,1.07,33,17.65,4,2.14,60,32.09,2,1.07,4,2.14,43057
43,58,183,1,0.55,45,24.59,13,7.1,4,2.19,39,21.31,0,0.0,73,39.89,3,1.64,5,2.73,43058
43,59,272,1,0.37,70,25.74,7,2.57,4,1.47,14,5.15,1,0.37,166,61.03,2,0.74,7,2.57,43059
