ward,precinct,total,BEFEKADU T. RETTA,BEFEKADU T. RETTA Percent,MARY ANNE ''MOLLY'' PHELAN,MARY ANNE ''MOLLY'' PHELAN Percent,MICHAEL CARROLL,MICHAEL CARROLL Percent,DON NOWOTNY,DON NOWOTNY Percent,JAMES CAPPLEMAN,JAMES CAPPLEMAN Percent,DIANE SHAPIRO,DIANE SHAPIRO Percent,ANDY W. LAM,ANDY W. LAM Percent,EMILY STEWART,EMILY STEWART Percent,MARC KAPLAN,MARC KAPLAN Percent,CAITLIN MCINTYRE,CAITLIN MCINTYRE Percent,SCOTT BASKIN,SCOTT BASKIN Percent,precinct_id
46,14,233,4,1.72,56,24.03,7,3.0,35,15.02,40,17.17,6,2.58,13,5.58,54,23.18,13,5.58,1,0.43,4,1.72,46014
46,15,330,8,2.42,79,23.94,31,9.39,33,10.0,68,20.61,25,7.58,2,0.61,40,12.12,9,2.73,7,2.12,28,8.48,46015
46,16,307,5,1.63,74,24.1,22,7.17,28,9.12,96,31.27,8,2.61,1,0.33,29,9.45,39,12.7,0,0.0,5,1.63,46016
46,17,390,7,1.79,94,24.1,18,4.62,63,16.15,54,13.85,19,4.87,4,1.03,79,20.26,7,1.79,2,0.51,43,11.03,46017
46,18,299,10,3.34,65,21.74,5,1.67,64,21.4,27,9.03,16,5.35,2,0.67,61,20.4,12,4.01,6,2.01,31,10.37,46018
46,19,323,11,3.41,84,26.01,11,3.41,41,12.69,66,20.43,6,1.86,9,2.79,58,17.96,27,8.36,1,0.31,9,2.79,46019
46,20,248,30,12.1,46,18.55,15,6.05,12,4.84,52,20.97,1,0.4,6,2.42,18,7.26,51,20.56,2,0.81,15,6.05,46020
46,21,131,4,3.05,39,29.77,6,4.58,19,14.5,28,21.37,0,0.0,2,1.53,19,14.5,13,9.92,0,0.0,1,0.76,46021
46,22,326,9,2.76,22,6.75,21,6.44,13,3.99,35,10.74,10,3.07,1,0.31,97,29.75,112,34.36,1,0.31,5,1.53,46022
46,23,244,49,20.08,18,7.38,16,6.56,9,3.69,15,6.15,5,2.05,2,0.82,72,29.51,46,18.85,1,0.41,11,4.51,46023
46,24,200,5,2.5,55,27.5,6,3.0,28,14.0,31,15.5,7,3.5,4,2.0,42,21.0,7,3.5,3,1.5,12,6.0,46024
46,25,390,5,1.28,82,21.03,46,11.79,20,5.13,94,24.1,15,3.85,2,0.51,26,6.67,67,17.18,4,1.03,29,7.44,46025
46,26,317,13,4.1,50,15.77,37,11.67,39,12.3,81,25.55,6,1.89,6,1.89,32,10.09,47,14.83,0,0.0,6,1.89,46026
46,27,367,7,1.91,95,25.89,52,14.17,29,7.9,90,24.52,11,3.0,8,2.18,36,9.81,13,3.54,7,1.91,19,5.18,46027
46,28,309,3,0.97,58,18.77,29,9.39,39,12.62,54,17.48,25,8.09,4,1.29,44,14.24,9,2.91,17,5.5,27,8.74,46028
46,29,254,2,0.79,72,28.35,9,3.54,38,14.96,29,11.42,15,5.91,2,0.79,56,22.05,4,1.57,4,1.57,23,9.06,46029
46,30,312,5,1.6,50,16.03,63,20.19,49,15.71,32,10.26,16,5.13,3,0.96,53,16.99,10,3.21,11,3.53,20,6.41,46030
46,31,334,5,1.5,63,18.86,7,2.1,99,29.64,39,11.68,7,2.1,1,0.3,60,17.96,5,1.5,2,0.6,46,13.77,46031
46,32,275,14,5.09,50,18.18,21,7.64,12,4.36,46,16.73,11,4.0,0,0.0,22,8.0,95,34.55,0,0.0,4,1.45,46032
46,33,334,7,2.1,57,17.07,16,4.79,88,26.35,67,20.06,12,3.59,4,1.2,31,9.28,13,3.89,3,0.9,36,10.78,46033
46,34,264,49,18.56,36,13.64,14,5.3,26,9.85,43,16.29,7,2.65,3,1.14,52,19.7,12,4.55,2,0.76,20,7.58,46034
46,35,428,4,0.93,104,24.3,42,9.81,35,8.18,153,35.75,12,2.8,3,0.7,34,7.94,35,8.18,0,0.0,6,1.4,46035
46,36,269,4,1.49,75,27.88,13,4.83,31,11.52,41,15.24,14,5.2,0,0.0,43,15.99,9,3.35,7,2.6,32,11.9,46036
46,37,224,6,2.68,51,22.77,11,4.91,21,9.38,24,10.71,12,5.36,4,1.79,53,23.66,9,4.02,6,2.68,27,12.05,46037
46,38,302,13,4.3,30,9.93,38,12.58,9,2.98,66,21.85,6,1.99,3,0.99,20,6.62,113,37.42,0,0.0,4,1.32,46038
46,39,351,1,0.28,93,26.5,38,10.83,52,14.81,60,17.09,22,6.27,0,0.0,52,14.81,2,0.57,0,0.0,31,8.83,46039
46,40,218,33,15.14,26,11.93,11,5.05,31,14.22,31,14.22,17,7.8,17,7.8,11,5.05,36,16.51,1,0.46,4,1.83,46040
46,41,317,41,12.93,30,9.46,35,11.04,20,6.31,47,14.83,5,1.58,10,3.15,22,6.94,96,30.28,0,0.0,11,3.47,46041
46,42,321,12,3.74,63,19.63,25,7.79,38,11.84,61,19.0,5,1.56,1,0.31,37,11.53,69,21.5,2,0.62,8,2.49,46042
46,43,329,4,1.22,69,20.97,17,5.17,83,25.23,54,16.41,8,2.43,1,0.3,53,16.11,11,3.34,4,1.22,25,7.6,46043
46,44,232,40,17.24,42,18.1,11,4.74,8,3.45,31,13.36,7,3.02,2,0.86,66,28.45,10,4.31,4,1.72,11,4.74,46044
46,45,316,6,1.9,64,20.25,41,12.97,35,11.08,63,19.94,8,2.53,2,0.63,53,16.77,4,1.27,0,0.0,40,12.66,46045
46,46,298,9,3.02,73,24.5,34,11.41,24,8.05,78,26.17,0,0.0,1,0.34,34,11.41,39,13.09,2,0.67,4,1.34,46046
46,47,125,6,4.8,22,17.6,11,8.8,11,8.8,30,24.0,7,5.6,5,4.0,7,5.6,19,15.2,2,1.6,5,4.0,46047
