ward,precinct,total,SAMMY CLIFFORD PACK JR.,SAMMY CLIFFORD PACK JR. Percent,SANDRA L. MALLORY,SANDRA L. MALLORY Percent,SYRON M. SMITH,SYRON M. SMITH Percent,TONI L. FOULKES,TONI L. FOULKES Percent,RAYMOND A. LOPEZ,RAYMOND A. LOPEZ Percent,HAROLD L. BAILEY,HAROLD L. BAILEY Percent,FELICIA H. SIMMONS-STOVALL,FELICIA H. SIMMONS-STOVALL Percent,precinct_id
15,43,115,19,16.52,3,2.61,10,8.7,48,41.74,3,2.61,6,5.22,26,22.61,15043
15,44,176,4,2.27,6,3.41,14,7.95,62,35.23,62,35.23,17,9.66,11,6.25,15044
15,45,74,3,4.05,3,4.05,2,2.7,29,39.19,23,31.08,9,12.16,5,6.76,15045
15,46,90,2,2.22,8,8.89,3,3.33,62,68.89,2,2.22,5,5.56,8,8.89,15046
15,47,186,12,6.45,16,8.6,21,11.29,83,44.62,2,1.08,30,16.13,22,11.83,15047
15,48,111,8,7.21,2,1.8,5,4.5,40,36.04,12,10.81,35,31.53,9,8.11,15048
15,49,108,7,6.48,11,10.19,3,2.78,35,32.41,28,25.93,20,18.52,4,3.7,15049
15,50,141,16,11.35,5,3.55,13,9.22,42,29.79,11,7.8,37,26.24,17,12.06,15050
15,51,101,10,9.9,16,15.84,2,1.98,53,52.48,2,1.98,11,10.89,7,6.93,15051
15,52,114,24,21.05,10,8.77,10,8.77,52,45.61,2,1.75,6,5.26,10,8.77,15052
