ward,precinct,total,THOMAS PATRICK MURPHEY,THOMAS PATRICK MURPHEY Percent,DANIEL T. LAPINSKI,DANIEL T. LAPINSKI Percent,JAMES J. SCHAMNE,JAMES J. SCHAMNE Percent,JOHN JOSEPH QUINN,JOHN JOSEPH QUINN Percent,MARY O'CONNOR,MARY O'CONNOR Percent,RICHARD GONZALEZ,RICHARD GONZALEZ Percent,MAURITA E. GAVIN,MAURITA E. GAVIN Percent,GEORGE BANNA,GEORGE BANNA Percent,BARBARA ATECA,BARBARA ATECA Percent,JIM MULLEN,JIM MULLEN Percent,BROCK MERCK,BROCK MERCK Percent,precinct_id
41,20,395,35,8.86,48,12.15,0,0.0,9,2.28,94,23.8,31,7.85,137,34.68,0,0.0,10,2.53,21,5.32,10,2.53,41020
41,21,387,46,11.89,26,6.72,1,0.26,12,3.1,114,29.46,38,9.82,114,29.46,1,0.26,5,1.29,20,5.17,10,2.58,41021
41,22,307,28,9.12,25,8.14,0,0.0,12,3.91,76,24.76,34,11.07,85,27.69,0,0.0,4,1.3,33,10.75,10,3.26,41022
41,23,309,26,8.41,41,13.27,2,0.65,7,2.27,111,35.92,16,5.18,60,19.42,0,0.0,2,0.65,23,7.44,21,6.8,41023
41,24,369,39,10.57,39,10.57,0,0.0,8,2.17,55,14.91,66,17.89,105,28.46,0,0.0,4,1.08,49,13.28,4,1.08,41024
41,25,125,7,5.6,29,23.2,1,0.8,8,6.4,27,21.6,11,8.8,17,13.6,2,1.6,8,6.4,11,8.8,4,3.2,41025
41,26,156,10,6.41,13,8.33,4,2.56,4,2.56,37,23.72,16,10.26,39,25.0,4,2.56,9,5.77,19,12.18,1,0.64,41026
41,27,107,10,9.35,40,37.38,2,1.87,6,5.61,16,14.95,11,10.28,11,10.28,1,0.93,2,1.87,7,6.54,1,0.93,41027
41,28,260,28,10.77,37,14.23,7,2.69,19,7.31,54,20.77,32,12.31,22,8.46,2,0.77,19,7.31,37,14.23,3,1.15,41028
41,29,162,12,7.41,21,12.96,5,3.09,6,3.7,37,22.84,29,17.9,22,13.58,2,1.23,7,4.32,14,8.64,7,4.32,41029
41,30,428,31,7.24,41,9.58,1,0.23,8,1.87,131,30.61,46,10.75,132,30.84,0,0.0,11,2.57,14,3.27,13,3.04,41030
41,31,413,27,6.54,13,3.15,1,0.24,10,2.42,171,41.4,23,5.57,132,31.96,0,0.0,11,2.66,18,4.36,7,1.69,41031
41,32,264,9,3.41,18,6.82,7,2.65,2,0.76,77,29.17,18,6.82,102,38.64,1,0.38,8,3.03,20,7.58,2,0.76,41032
41,33,281,9,3.2,30,10.68,10,3.56,10,3.56,50,17.79,35,12.46,95,33.81,1,0.36,6,2.14,29,10.32,6,2.14,41033
41,34,306,19,6.21,16,5.23,21,6.86,5,1.63,58,18.95,31,10.13,119,38.89,0,0.0,7,2.29,26,8.5,4,1.31,41034
41,35,429,32,7.46,46,10.72,2,0.47,8,1.86,131,30.54,23,5.36,108,25.17,0,0.0,7,1.63,38,8.86,34,7.93,41035
41,36,419,27,6.44,28,6.68,6,1.43,5,1.19,114,27.21,48,11.46,134,31.98,0,0.0,4,0.95,46,10.98,7,1.67,41036
41,37,425,23,5.41,29,6.82,0,0.0,12,2.82,169,39.76,36,8.47,134,31.53,0,0.0,4,0.94,12,2.82,6,1.41,41037
41,38,386,30,7.77,36,9.33,1,0.26,6,1.55,91,23.58,35,9.07,149,38.6,0,0.0,4,1.04,30,7.77,4,1.04,41038
41,39,256,23,8.98,18,7.03,0,0.0,7,2.73,57,22.27,25,9.77,50,19.53,3,1.17,1,0.39,42,16.41,30,11.72,41039
41,40,438,23,5.25,46,10.5,0,0.0,8,1.83,169,38.58,24,5.48,93,21.23,0,0.0,3,0.68,62,14.16,10,2.28,41040
41,41,421,33,7.84,29,6.89,5,1.19,4,0.95,118,28.03,84,19.95,106,25.18,1,0.24,8,1.9,23,5.46,10,2.38,41041
41,42,472,31,6.57,22,4.66,2,0.42,11,2.33,217,45.97,20,4.24,107,22.67,0,0.0,4,0.85,43,9.11,15,3.18,41042
41,43,387,31,8.01,28,7.24,3,0.78,3,0.78,110,28.42,40,10.34,132,34.11,2,0.52,6,1.55,28,7.24,4,1.03,41043
41,44,356,54,15.17,16,4.49,0,0.0,12,3.37,79,22.19,39,10.96,76,21.35,17,4.78,1,0.28,31,8.71,31,8.71,41044
41,45,363,44,12.12,35,9.64,5,1.38,7,1.93,79,21.76,59,16.25,96,26.45,0,0.0,7,1.93,28,7.71,3,0.83,41045
41,46,292,16,5.48,13,4.45,1,0.34,3,1.03,97,33.22,20,6.85,76,26.03,1,0.34,37,12.67,22,7.53,6,2.05,41046
41,47,312,50,16.03,10,3.21,0,0.0,4,1.28,92,29.49,12,3.85,37,11.86,1,0.32,0,0.0,31,9.94,75,24.04,41047
41,48,177,20,11.3,29,16.38,2,1.13,11,6.21,44,24.86,22,12.43,22,12.43,4,2.26,5,2.82,14,7.91,4,2.26,41048
41,49,457,37,8.1,29,6.35,0,0.0,15,3.28,194,42.45,20,4.38,108,23.63,0,0.0,4,0.88,35,7.66,15,3.28,41049
41,50,405,17,4.2,56,13.83,1,0.25,8,1.98,72,17.78,45,11.11,153,37.78,0,0.0,7,1.73,37,9.14,9,2.22,41050
41,51,265,9,3.4,36,13.58,1,0.38,0,0.0,121,45.66,14,5.28,57,21.51,0,0.0,1,0.38,18,6.79,8,3.02,41051
41,52,494,45,9.11,38,7.69,5,1.01,9,1.82,186,37.65,44,8.91,105,21.26,3,0.61,12,2.43,33,6.68,14,2.83,41052
41,53,386,23,5.96,28,7.25,1,0.26,5,1.3,97,25.13,45,11.66,132,34.2,0,0.0,7,1.81,39,10.1,9,2.33,41053
41,54,274,40,14.6,7,2.55,0,0.0,5,1.82,86,31.39,14,5.11,32,11.68,2,0.73,3,1.09,41,14.96,44,16.06,41054
41,55,351,22,6.27,28,7.98,20,5.7,3,0.85,65,18.52,31,8.83,142,40.46,0,0.0,3,0.85,32,9.12,5,1.42,41055
41,56,478,50,10.46,29,6.07,1,0.21,60,12.55,175,36.61,18,3.77,102,21.34,0,0.0,3,0.63,30,6.28,10,2.09,41056
41,57,325,27,8.31,22,6.77,0,0.0,3,0.92,92,28.31,55,16.92,25,7.69,64,19.69,0,0.0,26,8.0,11,3.38,41057
