ward,precinct,total,WALLACE E. ''MICKEY'' JOHNSON,WALLACE E. ''MICKEY'' JOHNSON Percent,WILBERT E. COOK III,WILBERT E. COOK III Percent,CHAUNCEY L. STROUD,CHAUNCEY L. STROUD Percent,SONDRA R. (SAM) SPELLMAN,SONDRA R. (SAM) SPELLMAN Percent,MELISSA L. WILLIAMS,MELISSA L. WILLIAMS Percent,VALERIE F. LEONARD,VALERIE F. LEONARD Percent,VETRESS BOYCE,VETRESS BOYCE Percent,MICHAEL D. CHANDLER,MICHAEL D. CHANDLER Percent,JULIUS ANDERSON,JULIUS ANDERSON Percent,SHAVONDA FIELDS,SHAVONDA FIELDS Percent,JIMMY LEE LARD,JIMMY LEE LARD Percent,REGINA D. LEWIS,REGINA D. LEWIS Percent,JEFFERY D. TURNER,JEFFERY D. TURNER Percent,MARTAVIUS ''MARK'' CARTER,MARTAVIUS ''MARK'' CARTER Percent,LARRY G. NELSON,LARRY G. NELSON Percent,DONIELLE C. LAWSON,DONIELLE C. LAWSON Percent,FRANK M. BASS,FRANK M. BASS Percent,SHARON DENISE DIXON,SHARON DENISE DIXON Percent,precinct_id
24,12,158,9,5.7,14,8.86,6,3.8,7,4.43,9,5.7,5,3.16,17,10.76,10,6.33,13,8.23,17,10.76,0,0.0,11,6.96,0,0.0,8,5.06,2,1.27,3,1.9,3,1.9,24,15.19,24012
24,13,136,2,1.47,7,5.15,8,5.88,9,6.62,4,2.94,12,8.82,9,6.62,13,9.56,6,4.41,12,8.82,0,0.0,2,1.47,4,2.94,2,1.47,1,0.74,1,0.74,4,2.94,40,29.41,24013
24,14,206,10,4.85,16,7.77,10,4.85,10,4.85,10,4.85,13,6.31,50,24.27,16,7.77,5,2.43,7,3.4,0,0.0,18,8.74,1,0.49,0,0.0,1,0.49,1,0.49,6,2.91,32,15.53,24014
24,15,131,6,4.58,0,0.0,24,18.32,5,3.82,6,4.58,4,3.05,9,6.87,24,18.32,1,0.76,9,6.87,1,0.76,2,1.53,6,4.58,1,0.76,2,1.53,2,1.53,12,9.16,17,12.98,24015
24,16,101,16,15.84,4,3.96,6,5.94,1,0.99,4,3.96,3,2.97,5,4.95,15,14.85,0,0.0,2,1.98,0,0.0,7,6.93,9,8.91,0,0.0,2,1.98,3,2.97,0,0.0,24,23.76,24016
24,17,138,8,5.8,5,3.62,2,1.45,9,6.52,1,0.72,5,3.62,14,10.14,36,26.09,2,1.45,4,2.9,0,0.0,12,8.7,4,2.9,0,0.0,1,0.72,2,1.45,3,2.17,30,21.74,24017
24,18,114,6,5.26,11,9.65,3,2.63,12,10.53,4,3.51,2,1.75,13,11.4,20,17.54,2,1.75,6,5.26,1,0.88,4,3.51,4,3.51,0,0.0,2,1.75,1,0.88,4,3.51,19,16.67,24018
24,19,99,2,2.02,4,4.04,6,6.06,1,1.01,3,3.03,4,4.04,5,5.05,7,7.07,8,8.08,11,11.11,1,1.01,1,1.01,1,1.01,0,0.0,2,2.02,0,0.0,5,5.05,38,38.38,24019
24,20,124,1,0.81,4,3.23,1,0.81,5,4.03,1,0.81,8,6.45,7,5.65,42,33.87,1,0.81,2,1.61,0,0.0,13,10.48,7,5.65,1,0.81,1,0.81,1,0.81,7,5.65,22,17.74,24020
24,21,101,3,2.97,6,5.94,5,4.95,10,9.9,4,3.96,16,15.84,20,19.8,9,8.91,2,1.98,5,4.95,0,0.0,1,0.99,1,0.99,0,0.0,1,0.99,1,0.99,3,2.97,14,13.86,24021
24,22,187,10,5.35,6,3.21,1,0.53,6,3.21,3,1.6,5,2.67,43,22.99,22,11.76,9,4.81,20,10.7,1,0.53,3,1.6,7,3.74,0,0.0,3,1.6,1,0.53,6,3.21,41,21.93,24022
24,23,97,4,4.12,9,9.28,2,2.06,4,4.12,2,2.06,11,11.34,10,10.31,10,10.31,8,8.25,2,2.06,1,1.03,5,5.15,1,1.03,1,1.03,1,1.03,0,0.0,1,1.03,25,25.77,24023
24,24,95,4,4.21,7,7.37,6,6.32,28,29.47,2,2.11,5,5.26,17,17.89,6,6.32,0,0.0,9,9.47,0,0.0,2,2.11,0,0.0,0,0.0,2,2.11,1,1.05,0,0.0,6,6.32,24024
24,25,198,4,2.02,5,2.53,11,5.56,4,2.02,6,3.03,10,5.05,27,13.64,23,11.62,34,17.17,18,9.09,1,0.51,5,2.53,11,5.56,0,0.0,15,7.58,0,0.0,3,1.52,21,10.61,24025
24,26,181,5,2.76,16,8.84,9,4.97,9,4.97,4,2.21,27,14.92,15,8.29,20,11.05,3,1.66,11,6.08,0,0.0,7,3.87,3,1.66,0,0.0,0,0.0,4,2.21,3,1.66,45,24.86,24026
24,27,100,10,10.0,9,9.0,3,3.0,6,6.0,5,5.0,10,10.0,8,8.0,10,10.0,6,6.0,4,4.0,1,1.0,4,4.0,8,8.0,0,0.0,1,1.0,0,0.0,2,2.0,13,13.0,24027
24,28,207,8,3.86,3,1.45,8,3.86,16,7.73,7,3.38,7,3.38,8,3.86,18,8.7,48,23.19,11,5.31,0,0.0,15,7.25,4,1.93,1,0.48,3,1.45,0,0.0,9,4.35,41,19.81,24028
24,29,184,18,9.78,8,4.35,4,2.17,6,3.26,8,4.35,14,7.61,9,4.89,19,10.33,3,1.63,4,2.17,0,0.0,3,1.63,8,4.35,0,0.0,3,1.63,7,3.8,8,4.35,62,33.7,24029
24,30,188,19,10.11,3,1.6,8,4.26,12,6.38,6,3.19,13,6.91,35,18.62,15,7.98,16,8.51,10,5.32,1,0.53,1,0.53,1,0.53,2,1.06,0,0.0,1,0.53,4,2.13,41,21.81,24030
24,31,163,7,4.29,9,5.52,18,11.04,4,2.45,8,4.91,17,10.43,17,10.43,11,6.75,17,10.43,3,1.84,1,0.61,9,5.52,3,1.84,4,2.45,2,1.23,6,3.68,4,2.45,23,14.11,24031
24,32,168,8,4.76,11,6.55,15,8.93,6,3.57,5,2.98,8,4.76,13,7.74,58,34.52,1,0.6,7,4.17,0,0.0,7,4.17,2,1.19,0,0.0,1,0.6,1,0.6,5,2.98,20,11.9,24032
24,33,116,3,2.59,21,18.1,0,0.0,5,4.31,5,4.31,3,2.59,10,8.62,23,19.83,0,0.0,5,4.31,0,0.0,4,3.45,6,5.17,0,0.0,6,5.17,0,0.0,0,0.0,25,21.55,24033
24,34,167,9,5.39,6,3.59,20,11.98,3,1.8,9,5.39,15,8.98,25,14.97,22,13.17,4,2.4,8,4.79,1,0.6,3,1.8,1,0.6,0,0.0,0,0.0,2,1.2,7,4.19,32,19.16,24034
24,35,242,9,3.72,14,5.79,13,5.37,10,4.13,13,5.37,9,3.72,44,18.18,27,11.16,10,4.13,18,7.44,0,0.0,10,4.13,4,1.65,2,0.83,4,1.65,4,1.65,10,4.13,41,16.94,24035
24,36,154,4,2.6,5,3.25,4,2.6,3,1.95,2,1.3,7,4.55,4,2.6,14,9.09,5,3.25,51,33.12,1,0.65,6,3.9,17,11.04,0,0.0,0,0.0,1,0.65,3,1.95,27,17.53,24036
24,37,179,8,4.47,12,6.7,15,8.38,7,3.91,8,4.47,17,9.5,11,6.15,23,12.85,3,1.68,6,3.35,2,1.12,5,2.79,5,2.79,3,1.68,3,1.68,1,0.56,7,3.91,43,24.02,24037
24,38,198,11,5.56,4,2.02,8,4.04,4,2.02,18,9.09,28,14.14,20,10.1,29,14.65,3,1.52,11,5.56,1,0.51,8,4.04,0,0.0,3,1.52,2,1.01,0,0.0,5,2.53,43,21.72,24038
24,39,168,1,0.6,4,2.38,7,4.17,2,1.19,9,5.36,13,7.74,11,6.55,56,33.33,3,1.79,9,5.36,1,0.6,13,7.74,1,0.6,0,0.0,4,2.38,0,0.0,5,2.98,29,17.26,24039
24,40,199,4,2.01,8,4.02,9,4.52,5,2.51,15,7.54,43,21.61,14,7.04,21,10.55,6,3.02,18,9.05,0,0.0,6,3.02,7,3.52,1,0.5,1,0.5,0,0.0,14,7.04,27,13.57,24040
24,41,164,10,6.1,6,3.66,11,6.71,6,3.66,6,3.66,9,5.49,3,1.83,24,14.63,5,3.05,8,4.88,1,0.61,3,1.83,0,0.0,1,0.61,2,1.22,6,3.66,14,8.54,49,29.88,24041
24,42,119,3,2.52,13,10.92,0,0.0,2,1.68,2,1.68,7,5.88,4,3.36,52,43.7,1,0.84,8,6.72,0,0.0,4,3.36,1,0.84,0,0.0,0,0.0,1,0.84,6,5.04,15,12.61,24042
24,43,216,13,6.02,9,4.17,15,6.94,9,4.17,20,9.26,9,4.17,17,7.87,29,13.43,19,8.8,9,4.17,2,0.93,4,1.85,2,0.93,1,0.46,2,0.93,0,0.0,6,2.78,50,23.15,24043
24,44,249,8,3.21,9,3.61,5,2.01,11,4.42,17,6.83,18,7.23,36,14.46,36,14.46,18,7.23,6,2.41,0,0.0,7,2.81,2,0.8,0,0.0,10,4.02,1,0.4,13,5.22,52,20.88,24044
24,45,132,4,3.03,6,4.55,10,7.58,1,0.76,6,4.55,13,9.85,9,6.82,16,12.12,2,1.52,11,8.33,1,0.76,2,1.52,5,3.79,1,0.76,1,0.76,2,1.52,8,6.06,34,25.76,24045
24,46,187,16,8.56,23,12.3,15,8.02,6,3.21,2,1.07,2,1.07,18,9.63,15,8.02,0,0.0,17,9.09,0,0.0,9,4.81,1,0.53,0,0.0,2,1.07,11,5.88,3,1.6,47,25.13,24046
24,47,135,4,2.96,9,6.67,15,11.11,4,2.96,6,4.44,12,8.89,10,7.41,10,7.41,4,2.96,17,12.59,0,0.0,9,6.67,0,0.0,0,0.0,1,0.74,2,1.48,9,6.67,23,17.04,24047
24,48,112,2,1.79,2,1.79,5,4.46,4,3.57,0,0.0,0,0.0,38,33.93,26,23.21,6,5.36,9,8.04,0,0.0,0,0.0,1,0.89,0,0.0,2,1.79,2,1.79,5,4.46,10,8.93,24048
24,49,307,47,15.31,12,3.91,10,3.26,34,11.07,7,2.28,17,5.54,20,6.51,40,13.03,15,4.89,17,5.54,0,0.0,3,0.98,5,1.63,0,0.0,1,0.33,5,1.63,9,2.93,65,21.17,24049
24,50,297,27,9.09,8,2.69,18,6.06,11,3.7,9,3.03,15,5.05,12,4.04,31,10.44,27,9.09,54,18.18,3,1.01,10,3.37,3,1.01,1,0.34,3,1.01,0,0.0,4,1.35,61,20.54,24050
24,51,245,17,6.94,11,4.49,6,2.45,15,6.12,12,4.9,13,5.31,12,4.9,38,15.51,34,13.88,13,5.31,0,0.0,2,0.82,4,1.63,0,0.0,1,0.41,2,0.82,4,1.63,61,24.9,24051
24,52,143,10,6.99,3,2.1,12,8.39,6,4.2,6,4.2,5,3.5,21,14.69,38,26.57,0,0.0,4,2.8,2,1.4,1,0.7,11,7.69,2,1.4,1,0.7,1,0.7,1,0.7,19,13.29,24052
24,53,162,7,4.32,2,1.23,3,1.85,5,3.09,20,12.35,6,3.7,0,0.0,13,8.02,11,6.79,2,1.23,0,0.0,11,6.79,1,0.62,0,0.0,0,0.0,0,0.0,3,1.85,78,48.15,24053
24,54,212,7,3.3,17,8.02,55,25.94,1,0.47,4,1.89,37,17.45,3,1.42,9,4.25,5,2.36,3,1.42,0,0.0,3,1.42,4,1.89,1,0.47,0,0.0,9,4.25,26,12.26,28,13.21,24054
24,55,148,9,6.08,18,12.16,12,8.11,9,6.08,2,1.35,4,2.7,15,10.14,15,10.14,1,0.68,6,4.05,1,0.68,3,2.03,2,1.35,1,0.68,1,0.68,5,3.38,1,0.68,43,29.05,24055
24,56,208,5,2.4,14,6.73,8,3.85,3,1.44,7,3.37,68,32.69,6,2.88,14,6.73,7,3.37,8,3.85,0,0.0,11,5.29,3,1.44,0,0.0,1,0.48,7,3.37,24,11.54,22,10.58,24056
