ward,precinct,total,TIMOTHY M. CULLERTON,TIMOTHY M. CULLERTON Percent,TOM CARAVETTE,TOM CARAVETTE Percent,CARMEN HERNANDEZ,CARMEN HERNANDEZ Percent,EDMUND ''ED'' J. QUARTULLO,EDMUND ''ED'' J. QUARTULLO Percent,MAHMOUD BAMBOUYANI,MAHMOUD BAMBOUYANI Percent,BART GOLDBERG,BART GOLDBERG Percent,SHERYL M. MORABITO,SHERYL M. MORABITO Percent,precinct_id
38,42,288,155,53.82,68,23.61,5,1.74,2,0.69,28,9.72,14,4.86,14,4.86,38042
38,43,261,81,31.03,74,28.35,15,5.75,8,3.07,42,16.09,6,2.3,12,4.6,38043
38,44,248,120,48.39,68,27.42,12,4.84,6,2.42,17,6.85,7,2.82,12,4.84,38044
38,45,282,122,43.26,116,41.13,15,5.32,3,1.06,5,1.77,8,2.84,11,3.9,38045
38,46,210,99,47.14,41,19.52,16,7.62,5,2.38,8,3.81,19,9.05,5,2.38,38046
38,47,248,131,52.82,62,25.0,11,4.44,3,1.21,21,8.47,8,3.23,6,2.42,38047
38,48,230,74,32.17,57,24.78,14,6.09,1,0.43,50,21.74,6,2.61,17,7.39,38048
38,49,236,125,52.97,50,21.19,14,5.93,4,1.69,9,3.81,16,6.78,16,6.78,38049
38,50,249,69,27.71,67,26.91,12,4.82,43,17.27,23,9.24,7,2.81,7,2.81,38050
38,51,172,84,48.84,44,25.58,8,4.65,3,1.74,10,5.81,7,4.07,8,4.65,38051
38,52,220,105,47.73,54,24.55,17,7.73,4,1.82,13,5.91,11,5.0,9,4.09,38052
38,53,60,35,58.33,4,6.67,5,8.33,2,3.33,2,3.33,1,1.67,7,11.67,38053
