ward,precinct,total,JOANN THOMPSON,JOANN THOMPSON Percent,ERIC HERMOSILLO,ERIC HERMOSILLO Percent,EDDIE JOHNSON III,EDDIE JOHNSON III Percent,HAL E. BASKIN,HAL E. BASKIN Percent,JAVIER DIAZ,JAVIER DIAZ Percent,TAMEKA GAVIN,TAMEKA GAVIN Percent,JEFFREY L. LEWIS,JEFFREY L. LEWIS Percent,RONALD MITCHELL,RONALD MITCHELL Percent,JONATHAN T. STAMPS,JONATHAN T. STAMPS Percent,precinct_id
16,15,151,97,64.24,4,2.65,9,5.96,22,14.57,2,1.32,5,3.31,0,0.0,8,5.3,4,2.65,16015
16,16,151,74,49.01,7,4.64,3,1.99,34,22.52,7,4.64,5,3.31,2,1.32,18,11.92,1,0.66,16016
16,17,155,27,17.42,120,77.42,0,0.0,2,1.29,3,1.94,0,0.0,2,1.29,1,0.65,0,0.0,16017
16,18,147,77,52.38,6,4.08,10,6.8,36,24.49,0,0.0,5,3.4,2,1.36,10,6.8,1,0.68,16018
16,19,171,85,49.71,4,2.34,7,4.09,35,20.47,8,4.68,24,14.04,0,0.0,1,0.58,7,4.09,16019
16,20,100,49,49.0,1,1.0,1,1.0,44,44.0,0,0.0,3,3.0,1,1.0,1,1.0,0,0.0,16020
16,21,176,46,26.14,113,64.2,0,0.0,4,2.27,13,7.39,0,0.0,0,0.0,0,0.0,0,0.0,16021
16,22,109,65,59.63,1,0.92,3,2.75,28,25.69,0,0.0,0,0.0,5,4.59,6,5.5,1,0.92,16022
16,23,132,35,26.52,46,34.85,3,2.27,8,6.06,35,26.52,2,1.52,0,0.0,3,2.27,0,0.0,16023
16,24,77,39,50.65,1,1.3,5,6.49,16,20.78,1,1.3,10,12.99,4,5.19,0,0.0,1,1.3,16024
16,25,108,55,50.93,0,0.0,11,10.19,31,28.7,2,1.85,1,0.93,4,3.7,2,1.85,2,1.85,16025
16,26,148,66,44.59,0,0.0,13,8.78,53,35.81,1,0.68,4,2.7,1,0.68,10,6.76,0,0.0,16026
16,27,244,116,47.54,2,0.82,7,2.87,103,42.21,0,0.0,3,1.23,7,2.87,5,2.05,1,0.41,16027
16,28,170,84,49.41,2,1.18,13,7.65,58,34.12,2,1.18,4,2.35,5,2.94,2,1.18,0,0.0,16028
16,29,101,37,36.63,1,0.99,9,8.91,26,25.74,6,5.94,7,6.93,0,0.0,11,10.89,4,3.96,16029
16,30,110,46,41.82,1,0.91,5,4.55,29,26.36,2,1.82,7,6.36,2,1.82,11,10.0,7,6.36,16030
16,31,175,102,58.29,3,1.71,3,1.71,55,31.43,1,0.57,2,1.14,3,1.71,6,3.43,0,0.0,16031
16,32,172,48,27.91,96,55.81,0,0.0,3,1.74,24,13.95,0,0.0,0,0.0,1,0.58,0,0.0,16032
16,33,98,54,55.1,1,1.02,2,2.04,33,33.67,3,3.06,2,2.04,0,0.0,1,1.02,2,2.04,16033
16,34,122,62,50.82,0,0.0,5,4.1,48,39.34,0,0.0,1,0.82,1,0.82,2,1.64,3,2.46,16034
16,35,163,43,26.38,87,53.37,3,1.84,10,6.13,14,8.59,2,1.23,1,0.61,0,0.0,3,1.84,16035
16,36,143,83,58.04,3,2.1,5,3.5,44,30.77,1,0.7,1,0.7,1,0.7,5,3.5,0,0.0,16036
16,37,75,35,46.67,1,1.33,11,14.67,21,28.0,0,0.0,0,0.0,2,2.67,5,6.67,0,0.0,16037
16,38,110,32,29.09,3,2.73,6,5.45,56,50.91,0,0.0,3,2.73,6,5.45,4,3.64,0,0.0,16038
16,39,192,59,30.73,118,61.46,1,0.52,1,0.52,9,4.69,3,1.56,0,0.0,1,0.52,0,0.0,16039
16,40,165,77,46.67,2,1.21,5,3.03,51,30.91,2,1.21,3,1.82,3,1.82,21,12.73,1,0.61,16040
16,41,76,29,38.16,0,0.0,2,2.63,43,56.58,0,0.0,0,0.0,1,1.32,1,1.32,0,0.0,16041
16,42,166,53,31.93,90,54.22,0,0.0,4,2.41,13,7.83,4,2.41,1,0.6,1,0.6,0,0.0,16042
16,43,157,44,28.03,2,1.27,28,17.83,80,50.96,1,0.64,0,0.0,1,0.64,1,0.64,0,0.0,16043
16,44,150,60,40.0,40,26.67,1,0.67,20,13.33,20,13.33,1,0.67,2,1.33,5,3.33,1,0.67,16044
