ward,precinct,total,RODERICK T. SAWYER,RODERICK T. SAWYER Percent,FREDDRENNA M. LYLE,FREDDRENNA M. LYLE Percent,BRIAN E. SLEET,BRIAN E. SLEET Percent,SEKUM WALKER,SEKUM WALKER Percent,CASSANDRA GOODRUM-BURTON,CASSANDRA GOODRUM-BURTON Percent,RICHARD A. WOOTEN,RICHARD A. WOOTEN Percent,precinct_id
6,42,131,33,25.19,63,48.09,2,1.53,8,6.11,6,4.58,19,14.5,06042
6,43,277,70,25.27,119,42.96,1,0.36,24,8.66,20,7.22,43,15.52,06043
6,44,258,69,26.74,115,44.57,6,2.33,7,2.71,10,3.88,51,19.77,06044
6,45,205,55,26.83,100,48.78,4,1.95,8,3.9,4,1.95,34,16.59,06045
6,46,229,65,28.38,94,41.05,5,2.18,3,1.31,22,9.61,40,17.47,06046
6,47,274,81,29.56,124,45.26,6,2.19,4,1.46,15,5.47,44,16.06,06047
6,48,209,55,26.32,101,48.33,1,0.48,3,1.44,15,7.18,34,16.27,06048
6,49,260,73,28.08,113,43.46,10,3.85,12,4.62,18,6.92,34,13.08,06049
6,50,278,54,19.42,136,48.92,6,2.16,2,0.72,17,6.12,63,22.66,06050
6,51,171,51,29.82,91,53.22,1,0.58,3,1.75,9,5.26,16,9.36,06051
6,52,141,38,26.95,55,39.01,2,1.42,8,5.67,8,5.67,30,21.28,06052
6,53,234,67,28.63,101,43.16,2,0.85,9,3.85,11,4.7,44,18.8,06053
6,54,236,64,27.12,89,37.71,9,3.81,13,5.51,21,8.9,40,16.95,06054
6,55,208,46,22.12,125,60.1,3,1.44,3,1.44,5,2.4,26,12.5,06055
6,56,62,15,24.19,26,41.94,0,0.0,2,3.23,1,1.61,18,29.03,06056
6,57,138,41,29.71,55,39.86,6,4.35,7,5.07,6,4.35,23,16.67,06057
6,58,294,64,21.77,155,52.72,6,2.04,0,0.0,16,5.44,53,18.03,06058
6,59,243,56,23.05,89,36.63,4,1.65,1,0.41,44,18.11,49,20.16,06059
6,60,159,27,16.98,76,47.8,2,1.26,8,5.03,9,5.66,37,23.27,06060
6,61,126,44,34.92,56,44.44,0,0.0,4,3.17,2,1.59,20,15.87,06061
6,62,212,76,35.85,101,47.64,3,1.42,1,0.47,11,5.19,20,9.43,06062
6,63,198,51,25.76,85,42.93,4,2.02,3,1.52,12,6.06,43,21.72,06063
6,64,302,73,24.17,127,42.05,4,1.32,3,0.99,17,5.63,78,25.83,06064
