ward,precinct,total,Charles J. Wheelan,Charles J. Wheelan Percent,Sara Feigenholtz,Sara Feigenholtz Percent,John A. Fritchey,John A. Fritchey Percent,Victor A. Forys,Victor A. Forys Percent,Jan H. Donatelli,Jan H. Donatelli Percent,Frank Annunzio,Frank Annunzio Percent,Carlos A. Monteagudo,Carlos A. Monteagudo Percent,Paul J. Bryar,Paul J. Bryar Percent,Tom Geoghegan,Tom Geoghegan Percent,Cary Capparelli,Cary Capparelli Percent,Mike Quigley,Mike Quigley Percent,Patrick J. O'Connor,Patrick J. O'Connor Percent,precinct_id
36,46,91,2,2.2,12,13.19,24,26.37,20,21.98,0,0.0,1,1.1,1,1.1,5,5.49,0,0.0,2,2.2,17,18.68,7,7.69,36046
36,47,93,4,4.3,7,7.53,36,38.71,14,15.05,2,2.15,0,0.0,1,1.08,5,5.38,0,0.0,0,0.0,12,12.9,12,12.9,36047
36,48,75,1,1.33,3,4.0,22,29.33,16,21.33,3,4.0,8,10.67,0,0.0,0,0.0,2,2.67,0,0.0,13,17.33,7,9.33,36048
36,49,167,6,3.59,15,8.98,47,28.14,39,23.35,2,1.2,3,1.8,0,0.0,1,0.6,0,0.0,7,4.19,19,11.38,28,16.77,36049
36,50,92,3,3.26,6,6.52,29,31.52,30,32.61,1,1.09,3,3.26,0,0.0,1,1.09,5,5.43,0,0.0,14,15.22,0,0.0,36050
36,51,80,2,2.5,15,18.75,27,33.75,9,11.25,2,2.5,1,1.25,0,0.0,3,3.75,1,1.25,4,5.0,10,12.5,6,7.5,36051
36,52,93,2,2.15,22,23.66,8,8.6,32,34.41,2,2.15,0,0.0,2,2.15,3,3.23,2,2.15,1,1.08,13,13.98,6,6.45,36052
36,53,77,2,2.6,6,7.79,11,14.29,43,55.84,0,0.0,1,1.3,0,0.0,0,0.0,4,5.19,0,0.0,5,6.49,5,6.49,36053
36,55,104,3,2.88,10,9.62,50,48.08,4,3.85,1,0.96,0,0.0,0,0.0,1,0.96,5,4.81,2,1.92,27,25.96,1,0.96,36055
37,39,4,1,25.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,37039
