ward,precinct,total,MICHAEL A. DEROSS,MICHAEL A. DEROSS Percent,ROBERT S. MOLARO,ROBERT S. MOLARO Percent,precinct_id
14,34,250,25,10.0,225,90.0,14034
14,35,147,27,18.37,120,81.63,14035
14,36,288,51,17.71,237,82.29,14036
14,37,261,33,12.64,228,87.36,14037
14,39,279,68,24.37,211,75.63,14039
14,40,224,30,13.39,194,86.61,14040
14,41,217,40,18.43,177,81.57,14041
14,42,235,29,12.34,206,87.66,14042
14,43,260,42,16.15,218,83.85,14043
14,46,316,26,8.23,290,91.77,14046
14,47,329,22,6.69,307,93.31,14047
15,2,343,17,4.96,326,95.04,15002
15,4,405,9,2.22,396,97.78,15004
15,5,332,14,4.22,318,95.78,15005
15,17,320,18,5.63,302,94.38,15017
15,18,339,7,2.06,332,97.94,15018
15,20,280,6,2.14,274,97.86,15020
15,22,503,36,7.16,467,92.84,15022
15,23,234,4,1.71,230,98.29,15023
15,26,308,9,2.92,299,97.08,15026
15,29,416,18,4.33,398,95.67,15029
15,34,268,13,4.85,255,95.15,15034
15,35,382,14,3.66,368,96.34,15035
15,36,308,6,1.95,302,98.05,15036
15,37,299,9,3.01,290,96.99,15037
15,40,340,10,2.94,330,97.06,15040
15,43,321,11,3.43,310,96.57,15043
16,2,278,13,4.68,265,95.32,16002
16,3,302,9,2.98,293,97.02,16003
16,4,100,5,5.0,95,95.0,16004
16,5,302,6,1.99,296,98.01,16005
16,6,238,6,2.52,232,97.48,16006
16,7,236,9,3.81,227,96.19,16007
16,8,389,21,5.4,368,94.6,16008
16,9,392,14,3.57,378,96.43,16009
16,10,298,14,4.7,284,95.3,16010
16,11,338,21,6.21,317,93.79,16011
16,12,312,15,4.81,297,95.19,16012
16,13,254,40,15.75,214,84.25,16013
16,14,274,12,4.38,262,95.62,16014
16,15,306,6,1.96,300,98.04,16015
16,16,167,7,4.19,160,95.81,16016
16,17,69,6,8.7,63,91.3,16017
16,18,216,4,1.85,212,98.15,16018
16,19,312,13,4.17,299,95.83,16019
16,20,293,9,3.07,284,96.93,16020
16,21,244,34,13.93,210,86.07,16021
16,22,240,7,2.92,233,97.08,16022
16,23,287,32,11.15,255,88.85,16023
16,24,248,6,2.42,242,97.58,16024
16,25,168,4,2.38,164,97.62,16025
16,26,263,4,1.52,259,98.48,16026
16,27,224,7,3.13,217,96.88,16027
16,28,267,6,2.25,261,97.75,16028
16,29,219,5,2.28,214,97.72,16029
16,30,355,10,2.82,345,97.18,16030
16,31,287,7,2.44,280,97.56,16031
16,32,100,5,5.0,95,95.0,16032
16,33,209,9,4.31,200,95.69,16033
16,34,231,9,3.9,222,96.1,16034
16,35,216,7,3.24,209,96.76,16035
16,36,260,7,2.69,253,97.31,16036
16,37,249,6,2.41,243,97.59,16037
16,38,435,17,3.91,418,96.09,16038
16,39,266,5,1.88,261,98.12,16039
16,40,309,9,2.91,300,97.09,16040
17,13,263,14,5.32,249,94.68,17013
17,14,323,13,4.02,310,95.98,17014
17,19,249,9,3.61,240,96.39,17019
17,42,202,10,4.95,192,95.05,17042
17,43,229,5,2.18,224,97.82,17043
17,46,327,10,3.06,317,96.94,17046
20,1,342,9,2.63,333,97.37,20001
20,2,276,6,2.17,270,97.83,20002
20,3,326,13,3.99,313,96.01,20003
20,4,371,11,2.96,360,97.04,20004
20,5,281,3,1.07,278,98.93,20005
20,6,360,8,2.22,352,97.78,20006
20,7,257,7,2.72,250,97.28,20007
20,8,297,10,3.37,287,96.63,20008
20,9,259,6,2.32,253,97.68,20009
20,10,389,10,2.57,379,97.43,20010
20,11,272,5,1.84,267,98.16,20011
20,12,281,2,0.71,279,99.29,20012
20,13,203,4,1.97,199,98.03,20013
20,14,456,16,3.51,440,96.49,20014
20,15,321,8,2.49,313,97.51,20015
20,16,234,13,5.56,221,94.44,20016
20,17,325,15,4.62,310,95.38,20017
20,18,379,15,3.96,364,96.04,20018
20,19,295,4,1.36,291,98.64,20019
20,20,398,18,4.52,380,95.48,20020
20,21,256,8,3.13,248,96.88,20021
20,22,300,11,3.67,289,96.33,20022
20,23,271,9,3.32,262,96.68,20023
20,25,271,10,3.69,261,96.31,20025
20,27,208,8,3.85,200,96.15,20027
20,28,353,4,1.13,349,98.87,20028
20,29,285,11,3.86,274,96.14,20029
20,30,290,7,2.41,283,97.59,20030
20,31,230,5,2.17,225,97.83,20031
20,33,317,11,3.47,306,96.53,20033
20,35,214,2,0.93,212,99.07,20035
20,36,349,10,2.87,339,97.13,20036
20,37,215,6,2.79,209,97.21,20037
20,39,304,14,4.61,290,95.39,20039
20,41,77,1,1.3,76,98.7,20041
20,42,139,4,2.88,135,97.12,20042
20,44,326,14,4.29,312,95.71,20044
20,45,95,1,1.05,94,98.95,20045
20,46,204,4,1.96,200,98.04,20046
20,47,185,4,2.16,181,97.84,20047
20,48,223,11,4.93,212,95.07,20048
20,49,218,6,2.75,212,97.25,20049
20,50,260,5,1.92,255,98.08,20050
20,52,116,2,1.72,114,98.28,20052
22,1,281,5,1.78,276,98.22,22001
22,15,326,3,0.92,323,99.08,22015
22,22,220,4,1.82,216,98.18,22022
23,5,321,46,14.33,275,85.67,23005
23,6,0,0,0.0,0,0.0,23006
23,9,266,38,14.29,228,85.71,23009
23,23,338,59,17.46,279,82.54,23023
23,24,298,61,20.47,237,79.53,23024
23,29,264,50,18.94,214,81.06,23029
23,32,434,54,12.44,380,87.56,23032
23,35,264,6,2.27,258,97.73,23035
23,37,269,4,1.49,265,98.51,23037
23,49,271,47,17.34,224,82.66,23049
23,50,288,58,20.14,230,79.86,23050
23,51,355,66,18.59,289,81.41,23051
23,53,284,46,16.2,238,83.8,23053
23,59,319,60,18.81,259,81.19,23059
