ward,precinct,total,KARL GROTH,KARL GROTH Percent,WILLIAM O. LIPINSKI,WILLIAM O. LIPINSKI Percent,precinct_id
23,36,474,81,17.09,393,82.91,23036
23,37,250,8,3.2,242,96.8,23037
23,38,317,48,15.14,269,84.86,23038
23,39,348,61,17.53,287,82.47,23039
23,40,365,51,13.97,314,86.03,23040
23,41,376,49,13.03,327,86.97,23041
23,42,296,40,13.51,256,86.49,23042
23,43,359,67,18.66,292,81.34,23043
23,44,353,56,15.86,297,84.14,23044
23,45,395,61,15.44,334,84.56,23045
23,46,370,65,17.57,305,82.43,23046
23,47,427,64,14.99,363,85.01,23047
23,48,336,44,13.1,292,86.9,23048
23,49,274,36,13.14,238,86.86,23049
23,50,294,44,14.97,250,85.03,23050
23,51,348,54,15.52,294,84.48,23051
23,52,428,64,14.95,364,85.05,23052
23,53,295,36,12.2,259,87.8,23053
23,54,347,37,10.66,310,89.34,23054
23,55,432,55,12.73,377,87.27,23055
23,56,360,77,21.39,283,78.61,23056
23,57,314,51,16.24,263,83.76,23057
23,58,482,75,15.56,407,84.44,23058
23,59,334,48,14.37,286,85.63,23059
23,60,417,80,19.18,337,80.82,23060
23,61,347,42,12.1,305,87.9,23061
23,62,312,56,17.95,256,82.05,23062
29,22,244,21,8.61,223,91.39,29022
29,34,244,26,10.66,218,89.34,29034
